first_release_date,genres,id,name,platforms,summary,rating,storyline
1002844800,"[14, 33]",259743,Tony Hawk's Pro Skater 2,[4],Tony Hawks Pro Skater 2s Nintendo 64 version was developed by Edge of Reality who developed the Nintendo 64 port of the original Tony Hawks Pro Skater  The Nintendo 64 version includes all of the features from the PlayStation version plus an additional level however it lacks the FMVs featured on other versions as well as having some content censored such as the soundtrack,Missing,Missing
1002240000,"[2, 5, 9, 14, 26, 31, 32]",130018,ScummVM,"[5, 6, 9, 14, 20, 23, 34, 37, 38, 39, 46, 130]",ScummVM is a program which allows you to run certain classic graphical pointandclick adventure games provided you already have their data files The clever part about this ScummVM just replaces the executables shipped with the games allowing you to play them on systems for which they were never designed  ScummVM supports a huge library of adventures with over 250 games in total It supports many classics published by legendary studios like LucasArts Sierra OnLine Revolution Software Cyan Inc and Westwood Studios Next to groundbreaking titles like the Monkey Island series Broken Sword Myst Blade Runner and countless other games you will find some really obscure adventures and truly hidden gems to explore,Missing,Missing
1002153600,"[4, 8]",19421,The Powerpuff Girls: Chemical X-Traction,"[4, 7]",Join the Powerpuff Girls to stop the villains from eating their Chemical X pie in an action packed adventure,Missing,Missing
1004054400,"[11, 31]",2239,Pikmin,"[4, 21]",Pikmin is a whole new breed of gameplay from Nintendo The quirky lifeunderthemicroscope title delivers a unique experience like few before it with a blend of realtime strategy adventure and puzzle elements Taking advantage of the GameCubes graphics power Pikmin sports lush texture work that brings to life a microscopic fantasy world Players control Captain Olimar a lovable little astronaut who crash landed on a planet inhabited by even more lovable little plant creatures known as Pikmin Olimar can command these creatures RTSstyle assign them tasks make them attack foes and gather resources The ultimate task is to rebuild Olimars space ship before a 30day time window elapses,82.15159863406373,Captain Olimar a man of high vocabulary and the only employee of any merit who works at Hocotate Freight After all the hard work he goes through Olimar decides to take an interstellar vacation in his personal ship the SS Dolphin He puts the ship in autopilot With no real place in mind Olimar relaxes within the comfort of his ship Suddenly a meteorite smashes into Olimars ship and he is knocked unconscious Meanwhile 30 parts of his ship careen towards a seemingly undiscovered planet Olimar awakes to find his beloved ship in ruins He must find all 30 or 25 ship parts with the help of his newfound friends the Pikmin in order to get back to his home planet
1004227200,[14],914,Tony Hawk's Pro Skater 3,"[6, 8, 11, 14, 21]",You may not be able to live like the legend but now you can skate like him Skate as the legendary Tony Hawk or choose from a dream team of 12 top pro skaters including old favorites like Lasek Thomas Muska and Steamer as well as new talent like Gilfberg Caballero Koston and Mullen Or enjoy full customization abilities with the enhanced CreateaSkater now including female skaters and the Skatepark Editor Travel from LA to Tokyo Suburbia to Skaters Island performing challenges and meeting goals New moves include the Revert which allows you to link vert tricks and flatland tricks such as Caspers the Primo and Handstand Manual If youre good you can even unlock hidden pro footage,81.11003796693261,Missing
1004313600,[14],701,FIFA Soccer 2002: Major League Soccer,"[6, 8, 21]",FIFA Football 2002 known as FIFA Soccer 2002 Major League Soccer in North America and FIFA 2002 Road to FIFA World Cup in Japan commonly known as FIFA 2002 is a football video game released in 2001 produced by Electronic Arts and released by EA Sports FIFA 2002 is the ninth game in the FIFA series  Power bars for passes were introduced and dribbling reduced in order to attain a higher challenge level The power bar can also be customised to suit the gamers preference The game also includes club emblems for many more European clubs as well as for major Dutch clubs such as PSV AFC Ajax and Feyenoord although there was no Dutch league of any kind they were under the Rest of World header This game also features for the first time the Swiss Super League at the cost of excluding the Greek League A card reward system licensed from Panini was also introduced where after winning a particular competition a star player card is unlocked There is also a bonus game with the nations that had automatically qualified for the 2002 World Cup France Japan and South Korea in which the player tries to improve the FIFA ranking of their chosen team by participating in international friendlies  Many of the international teams in the game are not licensed some of them down to the players names like the Netherlands as well as smaller countries such as Barbados who were only given numbers as player names Also to date this was the last FIFA edition not counting the World Cup versions to feature the Japanese national team since Japan Football Association would go on to concede exclusive rights to Konamis Pro Evolution Soccer series  FIFA Football 2002 ran for 10 years as the last FIFA to have only one person as cover before Lionel Messi appeared alone on FIFA 13,71.83499547475954,Missing
1004313600,[8],1188,Crash Bandicoot: The Wrath of Cortex,"[8, 11, 12, 21]",Crash Bandicoot The Wrath of Cortex is the fourth mainline series game and the first to feature Crash Bandicoot on the PlayStation 2 It was later ported to the GameCube and Xbox making it his first multiplatform appearance The player controls Crash and his younger sister Coco who must gather 25 crystals and defeat the main antagonists of the story Doctor Neo Cortex and his new super weapon Crunch Bandicoot Much of the game takes place in a Virtual Reality Hub System created by Coco to help Crash gather the crystals The gameplay is similar to the older games of the series,67.5144242442777,The story is set sometime after Crash Bandicoot Warped Dr Cortex wants revenge after being defeated by Crash and for this purpose he creates Crunch a superbandicoot who can destroy everything that crosses his way Crunchs power source is a set of magical masks known as the Elementals each representing a different element including Earth Water Fire and Ice Crash Bandicoot and his sister Coco must travel the world and gather special Crystals that will return the Elementals to a hibernated state and thwart Cortexs plans to use Crunch as a weapon for world domination
1003104000,[31],5740,Batman: Vengeance,"[6, 8, 11, 21, 24]",Batman Vengeance is a 2001 video game that was released on all major platforms of the sixth generation of console games It was developed and published by Ubisoft in conjunction with Warner Bros Interactive Entertainment and DC Comics It is based on the television series The New Batman Adventures the successor to Batman The Animated Series,66.61672934420449,Missing
1004400000,"[10, 13, 14]",5715,4x4 EVO 2,"[6, 8, 11, 21]",Professional drivers get paid by winning races and in career mode so do you Win fast money and deck out your truck from over 125 upgrades like performance shocks race tires brush guards roll bars snorkels working winches and performance exhaust to increase vehicle power and speed,60.81491509034281,Missing
1003622400,[13],9236,Top Gun: Combat Zones,"[6, 8, 21]",Jump into the cockpits of the Navys top planes with Top Gun Combat Zones With the F14 F18 and F22 under your control you must embark on dangerous lowlevel missions throughout hazardous canyons and across vast cityscapes Eliminate ground or air targets in Southeast Asia Gulf States Arctic Circle and Miramar Base,49.0,Missing
