first_release_date,genres,id,name,platforms,rating,storyline,summary
1035849600,[15],4016,Monopoly Party,"[8, 11, 21]",Missing,Missing,Missing
1034121600,[5],2143,TimeSplitters 2,"[8, 11, 21]",87.12122453988633,The game starts in the year 2401 when Sergeant Cortez and Corporal Hart are sent to a TimeSplitter infested space station where a time portal is being built Their objective is to retrieve the Time Crystals However before they can reach them the TimeSplitters take them into different time periods of the past They must be followed and the time crystals retrieved,TimeSplitters 2 is a firstperson shooter that requires players to kill enemies and complete objectives using a variety of weapons and tactics in different predefined scenarios Armour and health bars on the sides of the screen lower when the player is shot which can be increased by walking over body armor and medical kits
1035331200,[14],915,Tony Hawk's Pro Skater 4,"[6, 8, 11, 14, 21]",79.58841436591199,Missing,Drop into the ultimate challenge In the next chapter in the Tony Hawk series pros challenge you to make your mark in huge freeroaming levels taking on 190 progressively harder goals with no time limits to hold you back Decide when youre ready to take on your Pro Challenge and move into the pro ranks where its a whole new game Build your skills perform allnew tricks play up to eight players online and show that youve got what it takes to go Pro
1034035200,"[8, 31, 32]",1322,Ty the Tasmanian Tiger,"[8, 11, 21]",79.57892769842188,Gday mate Things can be a bit confusing at times so let me remind you whats going on You are TY the last of the Tasmanian Tigers Raised by a family of Bilbies you can only vaguely recall your real parents Youve always thought that all the other Tassie Tigers died a long time ago  But then the Bunyip Elder found you and told you that your family is alive but trapped in the Dreaming Now hold your horses dont get upset you see theyre not stuck there forever if youre up for a bit of an adventure You see deep in the Outback theres this kind of glowy portal thing that is a doorway to the Dreaming And around that portal there are some carvings in the rock where five ancient mystical Talismans used to lay Now all you have to do is find the five Talismans put them in the carvings and the portal to Dreaming will open  Now before you go off like a frog in a sock theres just this one SMALL problem You see theres this evil cassowary  Boss Cass  whos also after the Talismans Yes THAT Boss Cass The one that trapped your family in the Dreaming in the first place and told the school board to remove all the meat pies from the tuck shops And if you didnt think that made him enough of a megalomaniac hes ALSO trapped a whole bunch of your Bilby mates in cages all across the outback something about overdue library books Anyways if you want to open the portal youll have to beat him and his henchmen to the Talismans  Dont worry though you wont be alone Youll have a bunch of friends to help you along the way including me  your old mate Maurie Now lets get down to brass tacks find those Talismans and rescue your family,Gday Mate Explore the wilds of Australia with TY the Tasmanian Tiger the charming Aussie platformer Stone the crows Are you ready to explore the wilds of the Australian Outback in this remastered version of the classic game TY the Tasmanian Tiger  Join TY on a ripper of an adventure to free his family from the dreaming and stop the nefarious evil genius boss cass from removing mammals from the top of the food chain  To help you on your quest youve got a beaut arsenal of boomerangs sharp teeth and the help of a few friends
1034640000,"[25, 31]",1015,BloodRayne,"[6, 8, 11, 14, 21]",76.06792408563665,Missing,Rayne is a dhampir child of a vampire and human who possess vampire powers without their weaknesses She is working as an agent for the Brimstone Society and is also searching for her father
1035158400,[35],2330,Mario Party 4,[21],75.18097899149774,Missing,Toad Koopa and other partyplanning pranksters have hidden birthday presents for their closest friends inside the Party Cube To win the presents Mario Yoshi Peach and other Mushroom Kingdom favorites will have to plunge into a circus of minigame trickery As always keep an eye out for Bowser and his troublemaking goons Even Whomp and Thwomp have rockin surprises for you in their Extra Room Packed with surprises wild multiplayer action and zany challenges Mario Party 4 is your ticket to a good time
1035158400,"[25, 31]",2965,The Lord of the Rings: The Two Towers,"[8, 11, 21]",73.31285350689845,Missing,The Lord of the Rings The Two Towers is an action and adventure game based off of the first two movies of the popular Lord of the Rings series The Fellowship of the Ring and The Two Towers Players battle their way through some of the key events of these films as Aragorn Legolas and Gimli
1033948800,[14],808,NBA Live 2003,"[6, 7, 8, 11, 21]",73.26558751932468,Missing,The 2003 version of the NBA simulator has improved graphics in relation to the previous installments and features like detailed faces and a player design engine It also has rosters in accordance to the 20022003 Season  The game features more than 30 new rebound animations worked out by motion capture sessions different passing styles and blocks and a frame rate of 60 frames per second  As usual a complete fantasy draft is included and multiplayer support is present
1034035200,"[13, 14]",4030,NBA 2K3,"[8, 11, 21]",72.07952886447431,Missing,NBA 2K3 is a basketball video game released on October 7 2002 for the Nintendo GameCube October 8 2002 for the PlayStation 2 and October 9 2002 for the Xbox It was published by Sega and developed by Visual Concepts It is a part of the NBA 2K series Again like the previous games Allen Iverson of the Philadelphia 76ers is the cover athlete This is the last game in the series to be released for GameCube and the fourth installment in the series overall
1035504000,[14],14733,World Soccer Winning Eleven 6: Final Evolution,"[8, 21]",70.15943041326882,Missing,World Soccer Winning Eleven 6 Final Evolution also known as Pro Evolution Soccer 2 and World Soccer Winning Eleven 6 International in North America is the second installment of Konamis Pro Evolution Soccer football video game series  Final Evolution is an updated Version of the Base Game and was released for Sony PlayStation 2 and Nintendo Gamecube  World Soccer Winning Eleven 6 Final Evolution features six game modes including single matches training various cup tournaments and a Master League in which the player can select a team to compete in various competitions and partake in the transfer market A total of 40 unlicensed club teams and 56 unlicensed international squads expect for Japan which is the only fully licensed team in the game are available
