first_release_date,id,name,platforms,summary,genres,storyline,rating
1066089600,49405,Disney's The Haunted Mansion,"[8, 11, 21]",Based off a combination of the popular Disneyland attraction and the 2003 movie of the same name players guide Zeke Holloway through the house of 999 happy haunts in order to solve a mystery put the spirits to rest and get out of the house alive  The game is presented as a 3rd person action adventure Players are allowed full roam of the mansion once they collect enough Shriveled Souls inside their Beacon of Souls a special lantern designed to collect the various lesser ghosts throughout the rooms Though Zeke handles his quest alone he is aided by the help of Madame Leota and six friendly ghosts who will provide hints and items throughout the journey As Zeke solves puzzles completes various tasks and helps rid the house of its evil spirits these spiritual companions will provide Soul Gems which amplify the power of the Soul Beacon Once fully charged Zeke will have the ability to face the main spirit Atticus Thorn for the final showdown,Missing,Missing,Missing
1066953600,4149,Castle Shikigami 2,"[6, 8, 9, 11, 21, 23, 52]",Sequel to Shikigami no Shiro SS2 is a verticalscrolling shooter with scifi elements  As in most games in the genre the game puts you in control of a small fighter as you attempt to make your way past several stages filled with enemy ships charging and attacking you in different patterns  The game features 7 distinct characters with psychic powers which manifest ingame as bombtype attacks and other special moves and unique fighters and the game features a story mode for each character in which they have different dialogue and plotsequences for each boss fight  Also included is a weapon system similar to Psyvariars in which you can enhance your power and rate of fire by scraping incoming bullets,[5],Missing,Missing
1065139200,2728,Wallace and Gromit in Project Zoo,"[6, 8, 11, 21]",Wallace  Gromit in Project Zoo is a platform video game developed by Frontier Developments and published by BAM Entertainment European distribution being handled by Acclaim Entertainment for the PlayStation 2 GameCube Xbox and Microsoft Windows It is the first console game to feature Aardman Animations characters Wallace  Gromit and also features the voice of Wallace Peter Sallis reprising his role,[8],The diabolical penguin Feathers has imprisoned all the baby animals in a zoo and its up to Wallace and Gromit to rescue them Charge through the gates as the resourceful and adventurous Gromit and receive helpful hints from Wallace This indomitable duo has an array of new inventions such as the Porridge Gun and the Banana Launcher plus interesting contraptions built by Wallace himself Gromits break dancing backflips and sneaking moves will also prove valuable in your adventure,Missing
1066608000,4174,SSX 3,"[8, 11, 21]",Players can discover the open mountain in the newest version of the smashhit SSX snowboarding franchise  SSX 3 allows gamers to go anywhere gravity will take them Players will discover a colossal mountain where they can immerse themselves in a freeroaming snow paradise The ultimate allmountain experience SSX 3 features allnew events and courses aweinspiring tricks and a cast of cool customisable characters Discover the open terrain explore its hidden crevices and conquer its peaks  Produced under the EA SPORTS BIG brand the SSX 3 development team at EA Canada is adding technologies that bring to life rich natural graphics such as snow that sparkles and blows in the wind and realistic character shadowing A new gameplay experience allows users to seamlessly ride from one awesome area to the next entering competitions taking on Big Challenges and discovering hidden collectibles SSX 3 has blown out the trick component with unlimited combos and new overthetop tricks  In addition to the new boarding venues Big Challenges rewards players for completing any of the more than 100 unique challenges as they explore the mountains vast world Grind billboards board press logs even hand plant the fence line  The musical soundtrack features a broad range of music from artists including the XEcutioners Felix Da Housecat Queens of the Stone Age NERD and many more,"[10, 14]",Missing,89.2799528797589
1067299200,3932,Gladius,"[8, 11, 21]",Gladius is a turnbased gladiatorial RPG Players try to build a championship gladiator school by gaining experience through fighting battles in the arenas and recruiting new members,"[12, 15, 16]",The story of Gladius starts just as two schools begin the pursuit of the Championship It follows the epic saga of two young heroes Ursula daughter of the barbarian king from the land of Nordagh and Valens the son of Imperias greatest gladiator Become one of these characters and embark upon a spectacular and brutal journey to fulfill their destinies to keep the world from heading into another disastrous war,88.67781889771344
1067558400,2765,SpongeBob SquarePants: Battle For Bikini Bottom,"[8, 11, 21]",The evil Plankton has set in motion his most diabolical plot ever The fate of Bikini Bottom has been put into the unsuspecting hands of SpongeBob Explore a huge world filled with unexpected surprises challenges and familiar friends Join SpongeBob and his friends in his fearless crusade to end Planktons evil scheme,"[8, 31]",The game revolves around the theme of robots invading Bikini Bottom SpongeBobs hometown The robots were created by Plankton the evil genius owner of the Chum Bucket who has built a new machine called the Duplicatotron 3000 to produce an army ofjeremih to take over the world using these robots but only after he creates them does he realizes that the switch on the Duplicatotron has accidentally been switched to Dont Obey and the robots quickly kick him out of the Chum Bucket before taking over it  SpongeBob and Patrick were playing with toy robots and wish they would with real robots Patrick uses his magic wishing shell to make their wish come true hoping they will show up tomorrow SpongeBob wakes up to find that his house has been trashed after thinking he wants to play with a robot He wanders through the house for a while and receives a fax from Mr Krabs stating that he would give SpongeBob a golden spatula for every certain amount of shiny objects he collects for him Outside SpongeBob finds a disappointed Plankton who weaves a tale of lies to the hero claiming that the robots showed up out of nowhere and kicked him out Fooled by the diminutive villain SpongeBob embarks on a perilous quest to find golden spatulas get rid of the robots trading shiny objects to Mr Krabs for golden spatulas searching for Patricks stolen socks that had been taken by the robots who will give him golden spatulas if he brings back ten socks and getting Plankton back into the Chum Bucket including bungee jumping bubble blowing learning new bubble moves from Bubble Buddy and traveling through dreams amongst others,81.30888694324216
1066348800,1712,"WarioWare, Inc.: Mega Party Games!",[21],Following the almost universally acclaimed shortattentionspan action of the Game Boy Advances WarioWare Inc Mega Microgame comes this partygame adaptation for GameCube Many of the minigames featured in the handheld original have been converted for fourplayer competition on the console Gamers strive to be the quickest teethbrushers the most precise nose pickers the best freethrowers the most accurate apple shooters the most skillful paperairplane pilots and the victors in countless other quick contests that take no more than a few seconds to complete  As in the GBA original a wide variety of activities combine with a simple unifying theme for an experience designed to appeal instantly to anyone who played video games in the days before 3D graphics and complicated storylines Half the fun is in not knowing which fivesecond challenge will pop up next or what the player will be required to do in it Even when players arent in control of the active character some of the minigames allow them to participate in a more passive fashion adding to the grouporiented strategy,"[9, 33]",Missing,80.33967959504666
1067212800,2698,Tony Hawk's Underground,"[6, 8, 11, 21]",Get ready for a major new step for the Tony Hawk series Tony Hawks Underground tweaks the gameplay of previous installments to include a plottwisting story customizable tricks and decks online play and the ability to include your own mug shot on your custom player Of course you can also play as any one of pro skatings biggest stars including Tony Hawk Bob Burnquist and Elissa Steamer Ride walk or drive through nine expansive levels then test your skills against other gamers online Become a star of the Underground,"[10, 12, 14, 31]",Missing,79.77779912117461
1067558400,2973,The Lord of the Rings: The Return of the King,"[6, 8, 11, 14, 21, 24, 55]",The video game adaption of the acclaimed film of the same name The Lord of the Rings The Return of the King is a follow up the well received adaption of the first two films in the trilogy The game expands on what The Two Towers accomplished with the action and adventure sequel introducing three separate story lines from the movie one following Aragorn Legolas and Gimli as The Two Towers did another following Gandalf and a third following Frodo and Sam with Merry Pippin and Faramir serving as unlockable characters Gameplay features were also expanded upon including multiplayer,"[25, 31]",Missing,76.52118864708663
1066176000,4182,Star Wars: Rogue Squadron III - Rebel Strike,[21],Xwings Bwings speeder bikes ATSTs tauntaunsyoull have to master them all to save Luke Wedge Han Chewie and Leia from Darth Vader and his Imperial forces All new multiplayer modes include the entire Rogue Leader game in coop plus endurance capturethebase and dogfight modes  Cinematic realism takes you to new heights as you climb out of your cockpit to battle the Empire on foot in this thrilling third chapter of the Rogue Squadron series,"[5, 31]",Missing,75.67339822582173
