first_release_date,id,name,platforms,summary,genres,rating,storyline
1135209600,269670,Bouken-Ou Beet: Vandel vs. Busters,[20],Missing,Missing,Missing,Missing
1135209600,269645,Arashi no Yoru ni,[20],Missing,Missing,Missing,Missing
1135987200,269556,Pluk van de Petteflet,"[6, 14, 20]",An edutainment game for the Nintendo DS,Missing,Missing,Missing
1135987200,268108,Panic in the Mushroom Kingdom,[19],Missing,[8],Missing,Missing
1135987200,267617,Super Mario World: VIP and Wall Mix,[19],Missing,[8],Missing,Missing
1133913600,243196,Pac-Man World 3,[20],Missing,[8],Missing,Missing
1133827200,239902,Super Mario Bros. 3: The Lost Levels,[18],Super Mario Bros 3 The Lost Levels is a rom hack that implements all of the unused levels in Super Mario Bros 3 into the game,[8],Missing,Missing
1134604800,229545,Jikkyou Pawafuru Puroyakyu 12: Kettei-ban,"[8, 21]",Jikkyou Pawafuru Puroyakyu or Jikkyou Powerful Pro Yakyu lit Live Powerful Pro Baseball also known simply as Power Pro or Pawapuro to nonJapanese speakers is a traditionally Japanonly baseball series created by Konami,[14],Missing,Missing
1135987200,212730,Hitting Mices,[18],Hitting Mices is an unlicensed NES game thats frequently featured on plug and play systems,[33],Missing,Missing
1134000000,197941,James Pond: Codename Robocod,[20],In his second adventure James Pond must retrieve the toys Dr Maybe has stolen Pond has been armed with an Inspector Gadgetstyle stretch device which he can use to view higher areas or claw onto ceilings so as to slide across them  The gameplay takes place across worlds themed around particular types of toys such as sporting goods candy and aircraft The levels scroll sideways although a small amount of vertical movement is included On each level Pond must collect 2 penguins and reach the exit although there are usually multiple exits and lots of secret areas to explore After completing each pair of two worlds each of which has three sublevels a boss must be faced,[33],Missing,Missing
1135987200,193353,Rayman 10th Anniversary,"[8, 21]",Compilation with Rayman M Rayman 3 and Rayman The Animated Series This version of the bundle was only released in France,[8],Missing,Missing
1135987200,163214,Feng Yin Dao,"[18, 99]",Feng Yin Dao is a backport of The Legend of Zelda Links Awakening made for the Famicom that was developed by Nice Code and published by Shenzhen Nanjing Technology Co Ltd,"[12, 31]",Missing,Missing
1134000000,124427,Oekaki Puzzle Battle Vol. 1: Yuusha-Oh GaoGaiGar Version,[20],Missing,[9],Missing,Missing
1135209600,97812,Onegai My Melody: Yume no Kuni no Daibouken,[20],Onegai My Melody Yume no Kuni no Daibouken is a Nintendo DS game published by TDK Core Its based on the Onegai My Melody anime,"[9, 31]",Missing,Missing
1135209600,84855,Shanghai DS,[20],A Shanghai game by Sunsoft only released in Japan,Missing,Missing,Missing
1134000000,72549,Kouchuu Ouja Mushi King: Greatest Champion he no Michi DS,[20],Kouchuu Ouja Mushi King Greatest Champion e no Michi DS is an action game for the DS It is based on the Japanese card game Mushi King where players do battle using beetlelike monsters,"[4, 13, 16, 35]",Missing,Missing
1135814400,70521,Wizardry Asterisk: Hiiro no Fuuin,[20],A DS remake of the first Wizardry,[31],Missing,Missing
1134000000,47891,Dragon Booster,[20],Based on the popular animated series airing on ABC Family and Toon Disney Dragon Booster is a fast paced 3rd person racingaction game set in a fantastical world where humans and dragons coexist When their peaceful way of life is disrupted Beau a legendary dragon chooses Artha Penn an ordinary 16year old to become a mythical hero known as the Dragon Booster In this classic tale of good versus evil Artha must use his newfound abilities to defeat his foes and unite humans and dragons once and for all,[10],Missing,Missing
1135296000,47864,Monster Trucks DS,[20],Nintendo DS racing game from Skyworks Technologies and Majesco Jump behind the wheel of your favorite monster truck and race on 25 different allterrain tracks in five different environments Master eight different monster rides each with different starting attributes As you complete challenges you can upgrade your monster trucks in the performance shops between races with the cash you earn by winning the races Tearup the tracks and put it all on the line with your friends via a fourperson multiplayer mode,[10],Missing,Missing
1134086400,47728,Disney's Kim Possible: Kimmunicator,[20],Rescue Wade and save the world No big Help Kim go undercover using your Kimmunicator Collect and master cool gadgets and awesome new moves Dodge enemies and traps using Kims acrobatic skills to defeat enemies,Missing,Missing,Missing
1135209600,47725,SBK: Snowboard Kids,[20],SBK Snowboard Kids released in Japan as Snowboard Kids Party スノボキッズパーティー sunobo kizzu pātī is a snowboarding video game for the Nintendo DS released on November 22 2005 in North America and two days later in Japan It was also released in Europe on April 28 2006 It is the fourth in the Snowboard Kids series following three previous games released on the Nintendo 64 and the PlayStation Up to four people can play wirelessly with one game card Though the name is the same as the other games the characters are teenagers in this installment,[14],Missing,Missing
1135987200,47019,Crazy Chicken Remake,"[6, 130, 167]",Aim shoot chickens from the sky and reload Singleplayer multiplayer and 1 vs 1 duel mode,"[5, 33]",Missing,Missing
1135468800,20494,Real Time Conflict: Shogun Empires,[20],In Shogun Empires players assume the role of one of two brothers who are locked in bloody combat in feudal Japan Conquering neighboring territories and amassing formidable armies only one warrior is able to survive the deadly endgame to realize his ambitions and claim the title of Shogun In their quest to become Shogun players utilize the Nintendo DSs touch screen to plot complex battle plans while watching the action play out through detailed 3D graphics on the top screen Touch screen minigames such as duels castle sieges and sea battles enhance the battle experience and give Shogun Warrior impressive gameplay variety and replay value In between encounters gamers are able to use diplomacy and military strategy to manage their forces For the ultimate in feudal warfare up to 8 players can engage in enormous clashes through the wireless multiplayer capabilities of the Nintendo DS,[15],Missing,Missing
1135987200,5855,Greg Hastings' Tournament Paintball MAX'D,"[8, 11, 20, 24]",The sequel to the original Tournament Paintball game,"[5, 13, 14]",Missing,Missing
1135814400,2711,Brain Age 2: More Training in Minutes a Day!,[20],Brain Age 2 More Training in Minutes a Day contains allnew activities to challenge a players gray matter The title is a series of trainings designed to give the brain a workout The 17 new engaging activities are all designed to help work the brain Whether players are playing simple songs on a piano keyboard or monitoring the photo finish of a footrace theyll love this new mental workout,"[9, 26]",Missing,Missing
1135987200,1813,Dragon Quest II: Luminaries of the Legendary Line,"[34, 37, 39, 48, 55, 130]",This game allows the player to control more than one character and it is the first one in the Dragon Quest series to do so The player controls his or her characters as they move in the game world They can search treasure chests talk and trade with villagers equip weapons and armor and cast spells,[12],79.39938823078538,Missing
1134000000,47699,Harvest Moon DS Cute,[20],Harvest Moon DS Cute is the female version of Harvest Moon DS for the Nintendo DS It was published and developed by Marvelous Interactive Inc and first released in Japan on December 8 2005 Harvest Moon DS Cute replaces the male protagonist from Harvest Moon DS with a female character players may choose either Pony from Harvest Moon Another Wonderful Life or Claire from Harvest Moon More Friends of Mineral Town The Japanese version introduced a system not present in the North American version known as the Best Friend system This allowed the player to essentially marry any of the bachelorettes from Harvest Moon DS as well as the bachelors,"[12, 13]",74.0,The plot of Harvest Moon DS Cute is different than that of Harvest Moon DS In this version of the game the players mother sends a wish to the Harvest Goddess that you may be a successful farmer The Harvest Goddess eventually determines the player has no work ethic and tells the Harvest King what she thinks The Harvest King angrily tells the Harvest Goddess she isnt trying hard enough and she is slacking off in her old age The Harvest Goddess then calls the Harvest King a big baldy and is turned into stone The Harvest Sprites defend the Harvest Goddess which angers the Harvest King even more and he sends the Harvest Sprites and the Harvest Goddess to another world as punishment He then writes a letter to the player telling her if she works hard he will return the Harvest Sprites and the Harvest Goddess
1134432000,82281,Monopoly / Boggle / Yahtzee / Battleship,[20],Four board game adaptations for Nintendo DS,[35],68.0,Missing
1134604800,124491,Konjiki no Gash Bell!! Go! Go! Mamono Fight!!,"[8, 21]",Konjiki no Gash Bell Go Go Mamono Fight Konjiki no Gasshu Beru Gō Gō Mamono Fight Golden Gash Bell Go Go Demon Fight is a video game for PlayStation 2 and GameCube which was developed by Eighting and was published by Bandai on December 15 2005 The fighting gameplay style is similar to Super Smash Bros with fourplayer multiplayer as well as few other video games like Konjiki no Gash Bell Unare Yūjō no Zakeru Dream Tag Tournament,[4],56.0,Missing
1133827200,20485,Battles of Prince of Persia,[20],Battles of Prince of Persia is the first game in the Prince of Persia franchise to make its way onto the Nintendo DS The storyline takes place in the time between the Prince of Persia The Sands of Time and Prince of Persia The Two Thrones Unlike other entries this game is about tactical combat as you must control armies using the Prince and a number of generals via playable trading cards There are nine different playable characters 27 different units to control and three different factions Multiplayer is available for competition with one copy of the cartridge capable of being shared among multiple players,[15],40.66443813060516,The story of the game takes place between Prince of Persia The Sands of Time and Prince of Persia Warrior Within The game is set in Persia India and the fictional Aresura Each of these places sends three generals to fight their wars The Prince finds out that he is being hunted by the Dahaka an incarnation of fate because he interfered with time and cheated his own death in the process However the Prince accidentally starts a conflict between Persia and India Over the span of the game the Prince fights the Deavas a mythical race of demons contained in a box he opens and Kalim the Prince of India and brother of his long lost love Farah Because of the wars the Prince becomes darker and matures The game gives information as to what happens in between the two games in the Sands of Time trilogy
1134000000,3820,Bleach GC: Tasogare ni Mamieru Shinigami,[21],Bleach GC Tasogare Ni Mamieru Shinigami is an Action game developed by Polygon Magic and published by Sega which was released in Japan in 2005,[4],38.0,Missing
1134604800,22569,Sega Casino,[20],An unlicensed gambling sim for the Genesis,"[15, 16, 26]",33.0,Missing
1134000000,24145,Karaoke Revolution Party,"[8, 11, 21]",Along with singing the songs Karaoke Revolution Party also requires players to hit their marks on the pads as well as the notes on the screen Along with the trademark vocal lines that scroll across the screen there are now occasional directional arrows to tell gamers when to jump on a particular direction This is far from the aerobic insanity of the DDR games which can easily build up a sweat as dancers frantically try to keep putting their feet in the right place Instead the mode offers more of a light choreography addition to the game Instead of the usual three dozen songs that the previous games have included KRP sports 50 tracks that include some classics like Sweet Caroline and Do You Really Want To Hurt Me as well as modern hits like Crazy in Love and I Dont Wanna Be,"[7, 13]",30.0,Missing
1133740800,4014,Momotaro Dentetsu 11: Black Bombee Shutsugen! no Maki,"[8, 21]",Missing,Missing,25.0,Missing
1134000000,3973,The Legend of the Quiz Tournament of Champions,[21],A quiz game published by Nintendo and released only in Japan for the Nintendo GameCube,[26],23.0,Missing
