first_release_date,id,name,platforms,summary,genres,rating
1187827200,269720,Bikkuriman Daijiten,[20],Bikkuriman Daijiten is a Bikkuriman game released by 3 oClock for Nintendo DS in August 2007 Similar to the 1988 Bikkuriman Daijikai the game is an improved encyclopedia of the Akuma vs Tenshi Seal series containing seals from all 31 series In the beginning the seals are all black and white but players can obtain points and use them to buy Bikkuriman Choco where the seals can be obtained and later viewed in color Depending of the seal once obtained they will also have extra content unlocked like extra information their alternate versions from other products like Bikkuriman Ice and the ability to move foil cards like Black Zeus to see their colors Points are earned in three ways Once per day a certain amount is given to the player by answering questions in the quiz mode or trading duplicated and unwanted becoming black and white again and locking bonus content if all are given seals for 5150 depending of the seal points each It is also possible to trade seals with other players,Missing,Missing
1187049600,229191,Madden NFL 08,"[8, 11, 21]",Oldgen port of Madden NFL 08,[14],Missing
1186617600,203407,Simple DS Series Vol. 20: The Senkan,[20],The Senkan is a Simulation game developed by Tamsoft and published by D3Publisher which was released in Japan in 2007,Missing,Missing
1186617600,186732,New Eitango Target 1900 DS,[20],New Eitango Target 1900 DS is an educational English language learning game based on the Eitango Target series of books by Obunsha These books teach a common set of English words in order to help students pass the TOEIC English language proficiency test This game specifically is based on the Eitango Target 1900 book which teaches 1900 common English words,Missing,Missing
1186012800,122526,Zettai Onkan Otoda Master,[20],Missing,[12],Missing
1186617600,100196,1500 DS Spirits Vol. 4: Reversi,[20],A DS implementation of the classic game of Reversi,[35],Missing
1186617600,79546,1500 DS Spirits Vol. 5: Hanafuda,[20],1500DS Spirits Vol 5 Hanafuda is a Japanese Hanafuda game for the Nintendo DS,[35],Missing
1187827200,78727,Hayate no Gotoku! Boku ga Romeo de Romeo ga Boku de,[20],Missing,Missing,Missing
1186617600,77021,1500 DS Spirits Vol. 1: Mahjong,[20],1500DS Spirits Vol 1 Mahjong is a Japanese Mahjong game for the Nintendo DS  The game also feature a quiz mode called Furikomi Quiz with 110 Questions,"[26, 35]",Missing
1186617600,77020,1500DS Spirits Vol. 2: Shogi,[20],1500DS Spirits Vol 2 Shogi is a Japanese Shogi game for the Nintendo DS  For beginners there is a Teitei Learning Mode In addition to the basic rules you can also learn how to win  The Go Evaluation Quiz is a fun way for beginners and Shogi lovers to deepen their knowledge review and check their skills  To test your skills you can also try the missionclearing Challenge Mode with 15 missions and 45 stages  You can also play against other players with one software using DS Download Play  The game features 18 different characters to play against,"[26, 35]",Missing
1186012800,69702,Slide Adventure: Magkid,[20],On a dark night a lightning storm struck the house and brought to life all kinds of strange creatures It also brought to life a fridge magnet called Mag Kid  The game was mentioned in the Super Smash Bros series as the officially romanized title of Slide Adventure MAGKID,Missing,Missing
1186617600,69129,1500 DS Spirits Vol. 3: Block Kuzushi,[20],1500DS Spirits Vol 3 Block Kuzushi is an Action game modelled after the classic game Breakout developed and published by Tasuke which was released in Japan in 2007  This game is a simple and straightforward game in which the player controls a board to play balls and break the blocks in the screen There are various stages with different arrangements of blocks but can the player really clear all the stages,[33],Missing
1186012800,63422,Kikansha Thomas: DS de Hajimeru Kokugo Sansuu Eigo,[20],Kikansha Thomas DS de Hajimeru Kokugo Sansuu Eigo is an edutainment game where the player can learn Japanese arithmetic and English,Missing,Missing
