first_release_date,id,name,platforms,summary,genres,storyline,rating
1239235200,269815,Eiken Kakomondai Shuuroku: Eiken DS 2 Deluxe,[20],A languagelearning edutainment game,Missing,Missing,Missing
1241049600,269787,Jewelpet: Kawaii Mahou no Fantasy,[20],Missing,Missing,Missing,Missing
1239840000,269584,Hokkaido Hatsu!! Dosanko Wide ga DS ni Narimashita! Hoshizawa Sachiko no Temanashi Raku Raku Gohan,[20],Missing,Missing,Missing,Missing
1239062400,255370,Super Metroid: Fear,[19],This is going to be a minifullhack mostly resembling Searching For Items Based mostly on exploration and finding items which I intend to hide very well making 100 a very hard goal to reach But this is also to help out with mine and DSOs main hack Fear is my platform for trying a whole bunch of odd and wacky stuff which might make it in our main project,[31],Missing,Missing
1240790400,252658,Tierbabys Puzzle: Echter Puzzlespass für Unterwegs,[20],Solve puzzles of baby animals in different modes to collect stars and to unlock more images,[9],Missing,Missing
1239926400,252657,Blumen & Muster Puzzle: Echter Puzzlespass für Unterwegs,[20],Solve puzzles of flowers and patterns in different modes to collect stars and to unlock more images,[9],Missing,Missing
1240444800,191868,Yatsu Hakamura,[20],Yatsu Hakamura is an adventure game Talk with the illustrious characters for hints and clues pick up keywords along your explorations trigger reactions from the witnesses and related personnel for different reactions throw them off balance to uncover the secrets they may be hiding Besides solving the case along the main story alternate reality plots are also included for gamers who want to do some original detective workThe game comes with the exploration mode which allows you to store news entries family or relationship charts and game history so you may refer to them as you proceed Train your brain or take a break with the fun minigames as well,"[31, 34]",A grudge spawned 400 years ago manifests itself as a massacre in a secluded village With the culprit disappearing the case was left unsolved until 20 years later when a series of related murders happened Yatsu Hakamura is one of the most difficult cases Kindaichi has ever solved,Missing
1240444800,147196,Horoscope DS,[20],A virtual horoscope thanks to which we can get to know the predictions concerning our private and professional life In addition there is an option to complete an astrology course,Missing,Missing,Missing
1240099200,135176,Super Mario 64: The Missing Stars,[4],Super Mario 64 The Missing Stars is the first official major ROM hack of Super Mario 64 ever created It was initially released in April 2009  Main Features  38 stars in about 10 levels  A Daynight cycle replacing most act selectors  Choose to play as Mario or Luigi  Modified enemies objects and bosses too many to list  Custom music including one original song the town night music  A new final boss fight,[8],Missing,Missing
1239235200,123406,Rhythm de Run Run Run,[20],Missing,[7],Missing,Missing
