first_release_date,id,name,platforms,summary,storyline,genres,rating
1248912000,269628,Hisshou Pachinko Pachi-Slot Kouryaku Series DS Vol. 4: CR Shinseiki Evangelion - Saigo no Shisha,[20],Missing,Missing,Missing,Missing
1248912000,269624,Hello Kitty no PacPac & Logic,[20],Missing,Missing,Missing,Missing
1248307200,269557,Anna & die Liebe,[20],Take the role of Anna Polauke and interactively experience via touchscreen control the exciting story of the shy career starter who has to assert herself in the harsh media world All scenes as well as characters come from the successful telenovela in Sat1 The goal of the game is to assert itself as an emerging media designer in the advertising agency Broda  Broda  and conquer the great love From hard internships to important creative meetings numerous challenges await to be mastered in order to then be able to climb the career ladder further upwards With multiplechoice dialogues you can influence the story itself Solve crises and impress with creative ideas  this way you can conquer with Anna the heart of her great love Jonas,Missing,Missing,Missing
1246492800,254483,Shuwa no Mori,[20],Missing,This educational software for the Nintendo DS is an introductory course in Nihon Shuwa Japanese Sign Language Touchscreen vocabulary selection is used to trigger and replay demonstrations and progress is measured via quizzes In game points are earned and can be used to purchase signlanguage picture novels which can be read by the player Includes emergency sign language and quick reference tools,Missing,Missing
1248134400,248561,Disney G-Force,[20],GForce is a Disneymovie licenced 3D action game where you play as Agent Darwin the hightech guinea pig and as Agent Mooch the highly equipped house fly to solve many different missions Your main target and priority mission is to stop the evil billionaire Leonard Saber who wants to use his socalled Saberling household appliances as weapons to gain world domination,Missing,[31],Missing
1246924800,210441,The Bigs 2,[20],The BIGS 2 is an arcadestyle baseball game that is less focused on the intricate details of the game and more on the actual gameplay proven by the inclusion of powerups and turbos during gameplay All 30 teams from MLB and their stadiums are included as well as their player rosters The Wii version of this game is controlled by flicking the Wii remote and Nunchuk These motion controls include drumming the remote and nunchuk when trying to speed up and using the remote as a bat when hitting,Missing,Missing,Missing
1248998400,200913,Guitar Rock Tour,[159],With Guitar Rock Tour you can perform the guitar and drum tracks of the most popular worldwide hits on your NintendoDSi and live the most explosive musical experience on the DSi Targeted for all audiences Guitar Rock Tour features solo and multiplayer modes where beginners can have loads of fun right from the start and fans of music games can discover plenty of nuances,Missing,[7],Missing
1248912000,130713,Gokujou!! Mecha Mote Iinchou: Girls Motekawa Box,[20],Missing,Missing,[13],Missing
1248912000,123410,Saikin Koi Shiteru?,[20],Saikin Koi Shiteru is an otome game developed by Microvision and published by D3Publisher which was released in Japan in 2009,The 17 year old nameable heroine transfers to Seiran Academy and falls into a deep pool thats just sitting right at the entrance and meets somemitochondria It turns out that everyone she meets has them but only she can see them She names them Saikin bacteria and uses them to manipulate other peoples feelings withgood intentions,[34],Missing
1247011200,85117,Electroplankton Hanenbow,[159],Normally aquatic creatures Hanenbow sometimes use floating leaves to launch themselves out of the water creating strange sounds and melodies as they bounce off the leaves,Missing,Missing,Missing
1248220800,85116,Electroplankton Lumiloop,[159],Lumiloop plankton are curious donutshaped aquatic creatures,Missing,Missing,Missing
1247011200,85113,Electroplankton Nanocarp,[159],Nanocarp have very sensitive hearing,Missing,Missing,Missing
1248220800,85112,Electroplankton Rec-Rec,[159],RecRec are fishlike plankton that feed on sound waves,Missing,Missing,Missing
1247011200,85110,Electroplankton Trapy,[159],Trapy plankton make sounds as they swim over graceful lines made up of linked triangles,Missing,Missing,Missing
1247011200,85105,Electroplankton Beatnes,[159],Beatnes are curious plankton with geometrically shaped heads that form vertical strands like seaweed,Missing,Missing,Missing
1247616000,84645,Game & Watch Vermin,"[37, 159]",Experience a piece of Nintendo history with the Game  Watch series for Nintendo DSiWare Each title is a perfect recreation of a classic LCD game from the early 1980s including normal Game A and alternate Game B modes,Missing,[33],Missing
1248825600,84556,Game & Watch Chef,"[37, 159]",Experience a piece of Nintendo history with the Game  Watch series for Nintendo DSiWare Each title is a perfect recreation of a classic LCD game from the early 1980s including normal Game A and alternate Game B modes,Missing,[33],Missing
1247616000,84554,Game & Watch Flagman,"[37, 159]",Experience a piece of Nintendo history with the Game  Watch series for Nintendo DSiWare Each title is a perfect recreation of a classic LCD game from the early 1980s including normal Game A and alternate Game B modes,Missing,Missing,Missing
1248825600,84550,Game & Watch Helmet,"[37, 159]",Experience a piece of Nintendo history with the Game  Watch series for Nintendo DSiWare Each title is a perfect recreation of a classic LCD game from the early 1980s including normal Game A and alternate Game B modes,Missing,[33],Missing
1248825600,78893,Puzzle Iroiro: Gekkan Crossword House Vol.3,[159],Puzzle Iroiro Gekkan Crossword House Vol3 is a puzzle game and the third instalment in the Gekkan Crossword House series,Missing,[9],Missing
