first_release_date,genres,id,name,platforms,storyline,summary,rating
1381276800,[8],267935,New Super Mario World: The Seven Crystals of Peace,[19],Bowser has kidnapped Peach and now he stole the seven Crystals of Peace More trouble for the Mario Bros,Missing,Missing
1382918400,[8],259929,Royal Flush: Princess Sidestory,[18],Missing,A short romhack of SMB3 where you play as Peach,Missing
1381622400,"[8, 25, 31]",256681,Skylanders: Swap Force,[37],Missing,Skylanders Swap Force is a platformer video game developed by Vicarious Visions and published by Activision It is the third main game in the Skylanders video game and toy franchise following 2012s Skylanders Giants which was a direct sequel to 2011s Skylanders Spyros Adventure the spinoff of The Legend of Spyro series It is the game before Skylanders Trap Team and features the voices of John DiMaggio Jess Harnell Audrey Wasilewski Richard Tatum David Sobolov Josh Keaton Keythe Farley Dave Wittenberg Joey Camen Gregg Berger Troy Baker and Robin Atkin Downes  The 3DS ports of the first four Skylanders games are completely different from their home console counterparts in terms of gameplay and story,Missing
1381449600,[10],222645,Bibi Blocksberg: Das große Hexenbesen-Rennen 2,"[5, 37]",Missing,The new Big Broom Race is characterized by completely revised and significantly improved graphics which clearly surpass its predecessor and thus ensures even more identification with Bibis adventures This time the players are drawn to three worlds that fans of the little witch have already learned to love in the animated series to Transylvania to the Orient and to the dinosaurs There is something for every taste here Each of the 12 racetracks is characterized by special features that affect gameplay From simple shortcuts jumps and obstacles to spontaneous route changes during the race everything is included The airfield has increased to eight characters and also comes up with eight witches brooms that can be freely combined with each other There are also eight completely renewed hex potions that provide excitement and invite you to play tactical games,Missing
1383177600,[34],203791,Starry Sky: in Winter 3D,[37],Starry Sky takes place at Seigatsu Gakuen a school which specializes in horoscopes astronomy and other related topics The main characters are all based on horoscopes  Starry Sky Winter features Kazuki Shiranui Aries Hayato Aozora Virgo and Tsubasa Amaha Aquarius,Starry Sky in Winter 3D is a port of Starry Sky in Winter for the 3DS,Missing
1381449600,"[5, 8, 31]",194951,SpongeBob SquarePants: Plankton's Robotic Revenge,[20],Missing,Plankton and his new legion of evil robots have destroyed the Krusty Krab and stolen the safe that houses the famous Krabby Patty formula Its up to you to locate the hidden keys for the safe before the secret is lost forever  Play as five of your favourite characters  SpongeBob Patrick Sandy Squidward and Mr Krabbs Switch between them as often as youd like Travel across lands from the show Bikini Bottom Rock Bottom and Dutchmans Triangle,Missing
1382659200,Missing,145312,Brain Training 3D,[37],Missing,Following on from the global phenomenon that was Dr Kawashimas Brain Training for the DS we bring you a new brain training game now in glorious 3D  Both thinking power and memory skills can be improved for adults and children The player will need to be thinking and memorising several kinds of items including numbers colors shapes and words within the 180 stages included  To get higher scores shoot rapid bullets one shot through multiple targets or devise smart ways and find hidden solutions  Brain Training 3D is a smart and fun brain training game for both adults and children alike The simple shooting method mixed with challenging levels makes it easy for children to play and learn while also being engaging and testing adult brains  With 6 different level types training both memory and thinking power cleverly designed to appeal to children kids will not want to stop playing The friendly little piggy character will guide your child through the game and both encourage and reward them when they are doing well,Missing
1380672000,[8],141921,2 Player Co-op Quest!,[19],Missing,2 Player Coop Quest is a short ROMhack of Super Mario World in which the second player assumes the control of the enemies There are 8 exits and 2 of them are only completed if the both players play in coop mode,Missing
1380758400,"[10, 14]",85646,Family Bowling 3D,[37],Missing,Family Bowling 3D is a game in which anyone can enjoy bowling with simple controls,Missing
1383004800,[8],85571,Doodle Jump Journey,[20],Missing,Jump into classic game and see just how high you can go Dangerous enemies cool locations and great gameplay await the entire family,Missing
1381363200,"[5, 31, 33]",85118,Escape From Zombie City,[37],Missing,Escape the city before a bombing raid starts by blasting through hordes of zombies that have overrun the streets,Missing
1382572800,"[5, 9, 31, 33]",85053,Crazy Chicken: Director's Cut 3D,[37],Missing,The crazy chickens are back and this time they have invaded a movie studio wreaking havoc in every corner,Missing
1381968000,"[13, 31]",85012,Brunch Panic,[37],Missing,Ever dreamed of running your own food truck Or traveling to the places youve always dreamed about,Missing
1381363200,[31],84930,Zombie Blaster,"[37, 159]",Missing,Fight off hordes of the undead as they seek out the living in Zombie Blaster Struggle for survival as infected snarling zombies try to turn you into a mindless decaying corpse with a hunger for human flesh Armed with deadly weapons you must fight your way through the living dead or find yourself walking among them,Missing
1381104000,"[9, 31]",84858,Secret Agent Files: Miami,[37],Missing,Probably the most challenging adventure to date for Nintendo 3DS and Nintendo 2DS,Missing
