first_release_date,genres,id,name,platforms,summary,storyline,rating
1413417600,"[8, 9]",269846,Hotel Mario II,[18],Missing,Missing,Missing
1414713600,[8],268715,Super Mario 64: Halloween Mayhem,[4],Missing,Missing,Missing
1412467200,"[8, 25, 31]",256683,Skylanders: Trap Team,[37],In Skylanders Trap Team Kaos continues his ongoing quest to rule over Skylands He has discovered the location of the legendary Cloudcracker Prison  a fortress built entirely out of the magical substance Traptanium and home to Skylands most nefarious baddies In an attempt to build his own army of foes Kaos blows up the prison releasing the most wanted villains and blasting shards of Traptanium to Earth in the form of Traps Now its up to Portal Masters to recapture all of the escaped villains using powerful Traptanium Traps and defeat Kaos before its too late  The 3DS ports of the first four Skylanders games are completely different from their home console counterparts in terms of gameplay and story,Missing,Missing
1412726400,Missing,254829,Minecraft: Doctor Who Skin Pack - Volume I,"[9, 12, 41, 48, 49, 130]",Minecraft Doctor Who Skin Pack  Volume I is a skin pack for Minecraft that contains 57 Doctor Whothemed skins,Missing,Missing
1412985600,[33],251587,New Nintendo 3DS Internet Browser: Breakout,[137],Breakout is a hidden Easter Egg game built into the web browser application on Japanese models of the New Nintendo 3DS The game is accessed when tapping out the Mario theme on the bookmarks menu of the browser,Missing,Missing
1413417600,[8],228887,Peppy Mario,[18],Here is a Super Mario Bros hack which increases the speed of enemies  projectiles coming at you at an alarming high speed rate Can you dodge your enemies  obstacles in this high paced challenge,Missing,Missing
1412812800,[12],222517,Choco-ken no Chokotto Fushigi na Monogatari: Chocolate Hime to Mahou no Recipe,[37],Missing,Missing,Missing
1412208000,[12],221997,Kingdom Hearts Birth by Sleep Final Mix,"[6, 9, 48, 49, 130]",Originally released exclusively in Japan An HD remaster of Kingdom Hearts Birth by Sleep Final Mix was finally released globally for the collection Kingdom Hearts HD 25 ReMIX,Missing,Missing
1414627200,"[14, 31]",210288,Duck Dynasty,[37],Take on the role of Willies son John Luke as he learns how to become one of the Robertson men Interact with Willie Uncle Si Jase and the rest of the family from the hit TV show Duck Dynasty Go duck hunting varmint shooting offroading and play office pranks in the Robertsons hometown of West Monroe LA Will you learn the way of the beards,Missing,Missing
1412726400,"[12, 13, 32]",174238,My Little Car Wash,"[39, 130]",Youre the boss of the car wash  do you get all these cars clean again The must have for all young cars fans Experiment in your lab and mix your own super wash foam With the great photo feature you can make funny pictures of yourself With the permission of your parents you also can send these pictures to your friends A variety of different vehicles and functions ensures longlasting gaming fun,Missing,Missing
1413676800,[9],165121,Club Nintendo Picross Plus,[37],Club Nintendo Picross Plus is a Japanonly Nintendo 3DS eShop Picross title sequel to Club Nintendo Picross It is very similar to its predecessor featuring all the original content from the first as well as being packed with over 100 new puzzles The game could only be downloaded through the Club Nintendo rewards program,Missing,Missing
1412208000,"[8, 9]",141107,Multidude,"[6, 18, 26]",In MultiDude you control of a team of characters with various abilities that must work together so all of them can reach available exits on each level The ZXSpectrum version uses multicolor a software technique to combine more colours than normally possible without colour clash,The AI codenamed DUDE lies deep in the computer core of a long forgotten laboratory DUDE was content to spend its days and nights decoding complex algorithms and optimizing sprite sheetsuntil it deciphered a transmission from the surface that said its lab would be destroyed  Having developed a will to survive and maximize the efficiency of artwork DUDE searched through the laboratory for a way to escape Luckily the lab was once a factory for different kinds of robots  DUDE modified itself so it could interface with and control these robots and escape the lab one room at a time However DUDE realized that many of the rooms in the factory were designed for testing these robots to see how they could work in unison  To escape DUDE knew what it must do The AI had to become MULTIDUDE,Missing
1413849600,[10],135258,F-Zero X Climax,[4],This hack replaces all GFX textures and circuits of FZero X All the 24 FZero X tracks have been remade the 24 new circuits are from FZero Climax but very large changes were made including 3D absent the GBA version Like many games it takes a little time to learn the tracks and enjoy it On championship mode the opponents are much faster than in the original game it makes FZero X Climax more difficult,Missing,Missing
1414627200,"[13, 31, 34]",111914,Kitty Love -Way to look for love-,"[34, 130]",I want to be a cat  Oddeyed black cat caught on this casual thought and was cursed to be a cat only at night  The fantasyromance of human by day and cat by night  This game has been recorded with the popular voice actors Soma Saito Atsushi Tamaru Hiroki Yasumoto Tomoaki Maeno and Takahiro Sakurai  Enjoy the fully recorded voice throughout the story,Missing,Missing
1414713600,"[13, 31, 34]",110982,Iris School of Wizardry: Vinculum Hearts,"[34, 39, 130]",The Iris School of Wizardry A school where girls and boys blessed with intelligence talent and economic fortune gather  The difficulty factor is said to be more than 300 but those who graduate are promised a sparkling future as elite members of every important institution in the country  The protagonist Arias parents died when she was a child she spent her days taking care of her parents old rare bookshop and wishing she could someday become a fine magician like her father was Then one day a letter came to her  It was permission to enroll into the academy,Iris School of Wizardry known as ISW is the school where smart talented and rich boys and girls attends Its very difficult to enter but after they graduate their future is promised to be working in a various elite section for the government organization  Aria who lost her parents when she was small As she was working in the secondhand book shop she dreamed to be a great wizard like her father  She received a letter It was the letter of acceptance to ISW,Missing
