first_release_date,id,name,platforms,genres,summary,storyline,rating
1565654400,268345,Mario Rescues the Golden Mushroom,[19],Missing,Missing,Missing,Missing
1564790400,268105,Ninja World 2,[19],[8],Missing,Missing,Missing
1565654400,265918,Freddy Fazbear's Pizzeria Simulator,"[34, 39, 48, 49, 130]",[32],Presenting a fun Five Nights at Freddys adventure with a lighter touch for the holidays Freddy Fazbears Pizzeria Simulator puts you in charge of developing your own restaurant Design pizzas feed kids and get high scores,Missing,Missing
1564704000,250080,SM64 Remastered Quest,[4],[8],Missing,Missing,Missing
1565222400,237970,BQM: BlockQuest Maker - 1st DLC: Samurai Era,[130],Missing,Missing,Missing,Missing
1565827200,218067,Luigi Kaizo King,[19],[8],Luigi Kaizo King is a ROM hack of Super Mario World with Luigi as the main character,Missing,Missing
1567123200,166244,Blair Witch: Limited Edition,"[6, 48, 49, 130]",[31],This edition includes the following   Blair Witch  Luxury Box  Original Soundtrack on CD 15 tracks  Artbook All colored 52 pages  DLC Ticket,Missing,Missing
1565222400,165890,Dragon Ball FighterZ: Janemba,"[6, 49, 130]",Missing,Janemba the demon of pure evil joins the fight from the Underworld  This content includes  Janemba as a new playable character  5 alternative colors for his outfit  Janemba Lobby Avatar  Janemba Z Stamp,Missing,Missing
1567123200,164715,Risk of Rain 1 + 2 Bundle,"[48, 49, 130]",Missing,Missing,Missing,Missing
1565740800,159398,Super Hoops,"[39, 130]","[5, 9, 31, 33]",Become the hoop throwing master Go for perfect by not missing a shot or try for infinite hoops by landing the golden pole Over 100 levels with boss stages Awesome relaxing atmosphere Prepare to be addicted,Missing,Missing
1565395200,159321,Book of Mario,[4],[12],Book of Mario is a texthack of the Paper Mario Nintendo 64 created by Fatguy703 and his fans The text within the game is produced by oscillating translations several times with Google Translate to change the dialogue creating a very different plot from the original game The game also has a new badge added which was only obtained via hacking,Missing,Missing
1566518400,158440,Zaccaria Pinball: Time Machine 2019 Table,"[3, 6, 14, 130]","[30, 32]",Time Machine 2019 Table is a modernized version of the original Time Machine table from 1983,Missing,Missing
1567123200,154467,Blair Witch: Deluxe Edition,"[6, 48, 49, 130]",[31],This edition contains   Blair Witch base game  Blair Witch Original Soundtrack  The Art of Blair Witch,Missing,Missing
1566864000,147688,Eight-Minute Empire: Complete Edition,[130],"[15, 35]",EightMinute Empire is a quick CivilizationExploration game using carddriven area control 25 players take turns selecting a card from the six displayed This card gives the player a resource and also has an action which the player takes immediately Actions help players take over the map but the resources are worth points at the end of the game so players have to balance the two aspects Players spread across the map in order to collect points at the end of the game by having majority control in regions and continents,Missing,Missing
1565049600,147588,Cazzarion,"[37, 49, 169]","[5, 31, 33]",Cazzarion is a shoot em up space shooter Galactic war in space and endless alien invader waves are waiting for you You will be faced with an alien invader bullet storm The increasingly large number of projectiles and enemies is a big challenge in this game Blast the enemies with your laser weapon out from the space Your ship have infinite ammo Each time if you hit an enemy ship or an asteroid you will get some points for your high score,Aliens attack from outer space Stop the aggressive alien starships in a battle inside a foreign galaxy to protect the earth In endless waves the alien invader will attack you and your starship to reach our home planet Its up to you to prevent the downfall of our civilization,Missing
1566864000,146945,Trail Boss BMX,"[39, 130]","[10, 14, 33]",Ride your bike through increasingly tricky levels while pulling off daring stunts huge combos tests of accuracy and skill,Missing,Missing
