first_release_date,genres,id,name,platforms,summary,storyline,rating
1011484800,[5],273173,Hydrostation,[6],Duke Nukem who is a veteran agent of EDF had a very hard work the last 6 years And now it was time for vacation  Duke was on the coast of California for 3 months enjoying that he finally got some free time and then he returned to the EDF Headquarters to bring his help again,Missing,Missing
1010188800,[5],273170,FbSp001,[6],Military installation with snowy scenery similar in style to maps of the BobSP Series,Missing,Missing
1011916800,[5],271994,Eye-Witness,[6],Youre watching Itchy and Scratchy and its annoying you so youve decided to go outside and when you just get out of the door you hear this awful crashing sound and youve,Missing,Missing
1011657600,[5],271497,The Coagula Contest,[6],This contest was run midSeptember to midNovember of 2001 with the goal of creating maps in the tradition of Tim Eleks Coagula series of maps  a series of structures floating in the void There were 5 entries Tronyn2 Fat Controller Dilvish and Necros In addition a start map created by Tronyn is included as well as the original Coagula series by Tim Elek,Missing,Missing
1010102400,[5],270697,The Lost Moonbase,[6],In an EDFs secret base Duke didnt stop the aliens and they have stolen a very powerful bomb in that hitech airplane Destination was unknown,Missing,Missing
1011139200,"[5, 32, 33]",269484,GunViper,[6],A freeware 25D vertical scrolling shoot em up developed by MNagahashi from Japan,Missing,Missing
1010880000,[8],256411,Wario vs. Windows,[6],Missing,Missing,Missing
1011312000,[5],230164,Sidrial,[6],In a star system far from Earth there is intelligent life Driven by conquest a race more advanced than Humans  and far more brutal  has waged a war against all sentient beings They will destroy anything in their path as they have done for thousands of years The OVERLORDS a bloodthirsty race bent on power and destruction have annihilated every inhabited planet in their wake Sidrial one of the last planets standing is the last outpost between Earth and the Overlords With most of Sidrial destroyed a new breed has risen to fight back against the tyrants As the Sidrilian Rebel Forces fight back and struggle to join with others against the OVERLORDS new alliances will be forged and the future of entire galaxies will depend on their success  In Sidrial you make your escape from some sort of prison that seems to be devoid of life,Missing,Missing
1010534400,[5],222193,The Xeno Project II,"[6, 14]",After fighting your way across Xen and escaping in a rocket you are captured and imprisoned aboard an Earth vessel full of grunts lead by the our old friend the GMan  What happens next Im afraid thats up to you Good luck Youll need it,After fighting your way across Xen and escaping in a rocket you are captured and imprisoned aboard an Earth vessel full of grunts lead by the our old friend the GMan  What happens next Im afraid thats up to you Good luck Youll need it,Missing
1010620800,[5],221921,Affliction,"[6, 378]",Starting with a black sequence its clear you were in some medical distress Fortunately the HEV did what it was supposed to do protect and heal you Waking up being guarded by Assassins seems the least of your troubles Pick up the crooked crowbar go about your usual day creating mayhem and destruction,Missing,Missing
