first_release_date,genres,id,name,platforms,summary,rating,storyline
1073001600,[5],271776,Quake Condensed,[6],Mini episode consisting of five small polishedup speedmaps each following one of Quakes native texture themes,Missing,Missing
1074988800,[5],271185,Februus Depth,[6],Large underground catacomb level,Missing,Missing
1073520000,[5],268908,Wolfen,[6],A warlord has harnessed ancient powers and is turning his subjects into wolf like creatures He must be stopped before his wolfen army grows beyond possible defeat,Missing,Missing
1073088000,[5],263407,End Game,[6],End Game is an eight map collaboration PWAD for Doom II The project is the last active contribution to the Doom community by Anthony Soto Swedish Fish There is no set theme as the map environments range from gothic castles to tech bases,Missing,Missing
1073952000,[5],252216,Doomworld Forums 3,[6],This WAD tells the true story of what REALLY happened in the recent episode at the NewDooM forums My sources are infallible so dont even try to dismiss any of this as false because it is the cold hard truth and it will hit you like a speeding bus in the middle of a rainy night Its that powerful,Missing,Missing
1074038400,"[5, 8, 31]",239154,The Lizard King,[6],Whilst in London investigating the legend of Jack The Ripper Lara Croft has inadvertently resurrected the malevolent deity that lies behind the infamous serial killer The Lizard King is an ancient demon that when manifest on Earth is capable of the most heinous crimes  it is also impossible to destroy Faced with certain death Lara is forced to invoke the Spell Of Anubis and transport herself to the shadow world that lies between the realm of the living and the realm of the dead This is the true home of the Lizard King but it is also the only place where he is vulnerable,Missing,Missing
1075248000,[13],166443,Ayumu Kasuga's Mail Order Life,[6],Ayumu Kasugas Mail Order Life is a fanmade interactive Osaka simulator from hirahiranet for PC Osaka spends time in her room and occasionally walks out possibly to a parttime job Afterwards she comes back with money used by the player to buy various items that appear on TV along with Chiyochichi,Missing,Missing
1075420800,[34],145449,Soshite Bokura ha... And He Said,"[6, 8]",A group of people goes to an island to shoot a video While filming they discover a mystery about the island,Missing,Missing
1074211200,[34],137092,Paradise Lost,[6],Paradise Lost takes off in a dystopian setting that comes off as much more blatantly dark than its successors The stage is in a city known only as Sodom which is separated from the outside world known as Zoar Ruled by the gang known as the Infinite Viper the law of the strong eat the weak is rampant throughout Sodom to the point that if youve lived beyond the age of 20 you most likely have murdered someone in order to do so It is widely believed that outside lies a peaceful world free of the everyday violence so frequently seen in Sodom but there is a closely guarded Gate that prevents residents of Sodom from leaving so no one has actually left and returned to confirm,Missing,Missing
1073865600,"[32, 33]",135851,Strong Bad's RhinoFeeder,"[6, 82]",Strong Bads RhinoFeeder is a game invented by Strong Bad where you have to feed an angry rhino You have to avoid snakes to get his food If you fail to feed the rhino it charges after you This game comes equipped with the amazing 8bit graphics that look almost real,Missing,Missing
1073865600,"[31, 32]",132037,Thy Dungeonman,"[6, 82]",A parody fantasy text adventure game inspired by classics such as Zork and Colossal Cave Adventure Created in conjunction with the Strong Bad Email flash animation video games,Missing,Missing
1074211200,"[8, 33]",94580,Gold Miner Joe,[6],Help Gold Miner Joe explore the legendary fourshafted gold mine in this cartoonstyle jump and run game Collect the gold and be sure and avoid the sneaky Kentucky brothers who wont hesitate to fire your rump full of salt Yeehaa,Missing,Missing
1073520000,"[10, 13]",91574,Taxi Racer London 2,[6],Missing,Missing,Missing
1075161600,[15],91429,"The Misadventures of Sir Randolph Doogleberry, British Explorer",[6],You are playing Randolph Doogleberry an archaeologist who is inside an Egyptian tomb searching for the pharaoh Help Randolph to find him by mastering 45 levels  Each level has sinkable platforms which will sink when Randolph moves over it Once that happens you never can use this platform again Your job is now to sink all platforms in the level If one or more platforms remain and you cant reach them you have lost the level But you can try the level so often as you want,Missing,Missing
1073952000,[10],69052,Midnight Race Club: Supercharged!,[6],Midnight Race Club Supercharged is the second racing game from the developers behind the notorious Big Rigs Over the Road Racing Unlike Big Rigs it has proper collision detection unintentionally removing one of the quirks that made the previous game famous  Midnight Race Club was originally intended to be a single package along with Big Rigs but GameMill decided to split the two early in development For this reason both games share an identical UI and nearidentical gameplay,Missing,Missing
1073433600,"[11, 15, 16, 24]",53336,Medieval: Total War - Battle Collection,[6],Medieval Total War Battle Collection an allnew compilation of the Creative Assemblys critically acclaimed Medieval Total War and the expansion pack Medieval Total War Viking Invasion,Missing,Missing
1073260800,[10],50911,Rebel Trucker: Cajun Blood Money,[6],Missing,Missing,Missing
