first_release_date,genres,id,name,platforms,storyline,summary,rating
1077753600,"[5, 31]",274877,Grove,[6],In your garden you can sometimes see an angry looking fat dude steal your mushrooms Hes Smugla Whenever he takes them he leaps into a deep hole in the floor like a rabbit Youve never catched him One day you think Gee I wonder why he lives in the ground So one day taking your pistol to blow that mushroom stealer to bits you jump down the hole Lets see how he enjoys my mushrooms now Whatever that means You hit the bottom of the hole and you see the hole continue horizontally down So you go down it and hit a dead end But then you look up and see another hole out ha HA you retort You climb out the hole and look around Umm where the hell am I You say as you see the red skied gold stared tree covered 7 frame per second frame rate world of Grove You get out of the hole and see Smuglas house infront of you with HIS mushroom garden which are really your mushrooms that he stole You might as well take them They are yours even if it would anger him Where is he anyway  There is a map in his house showing his X on it Hmm I wonder why he wants to go there Well he IS a transgalactical mushroom stealer  maybe its a huge mushroom grove or maybe an opportunity to get other mushrooms from other dimensions Who knows Do you You do dont you dont lie Tell me TELL ME  END OF STUPID STORY,A 1level wad for Doom II created by Bernard BPRD de Windt Grove was one of the winners of the 2004 Cacowards and placed 97th in Doomworlds Top 100 Most Memorable Maps receiving recognition for its puzzles and atmosphere,Missing
1077840000,[5],228981,Power Dolls 6,[6],Missing,Power Dolls 6 changes the dynamic up by being the series first realtime action game,Missing
1078012800,[5],221668,Cthulhu: An Unspeakable Mod,"[6, 14]",Aeons ago Earth was ruled by The Great Old Ones beings so alien and terrible that merely seeing them would drive most people mad Before mans ancestors climbed down from the trees these being were defeated in a war with The Elder Gods  But their alien nature meant that they could not be slain in any way that we would understand so they were imprisoned And so they wait patient and potent until the stars are right and they shall walk forth once again and wipe mankind from the face of the Earth  You play Ranulf Stafford an occult investigator in Arkham in the year 1928 Drawn into a nightmare chain of events you find yourself the only thing standing between mankind and the return of Cthulhu one of the most dreadful of The Great Old Ones,You play Ranulf Stafford an occult investigator in Arkham in the year 1928 Drawn into a nightmare chain of events you find yourself the only thing standing between mankind and the return of Cthulhu one of the most dreadful of The Great Old Ones,Missing
1075680000,Missing,210054,Huntin' Adventure,[6],Missing,Missing,Missing
1077580800,[5],206004,Hishou Ayu: Dreampainter,[6],Missing,Missing,Missing
1075852800,"[2, 31]",187812,Alyosha Popovich i Tugarin Zmej,[6],Missing,Alyosha Popovich i Tugarin Zmej is a colorful and lighthearted pointandclick adventure based on the Russian hit animated film of the same name which features popular characters from Russian folk epics The player controls Alyosha Popovich the youngest of three Russian Bogatyrs warrior heroes Alyosha with the help of his mentor Tikhon and a talking horse which also serves as a comic relief along with other characters from the film must return the gold stolen by Tugarins horde Along with typical pointandclick gameplay there are some puzzles and brief arcade scenes The game is abundant with elements of Russian folklore,Missing
1077235200,[10],144385,Autobahn Raser: Das Spiel zum Film,"[6, 8]",Missing,Autobahn Raser Das Spiel zum Film is the game based on the movie Autobahn Raser which is based on the Autobahn Raser game series Like usual the player races through courses based on real German cities this time Munich Berlin Hamburg and Cologne There are four playing modes racing against opponents racing against the clock police chases and a campaign which has nothing to do with the movie The difference to the regular races is that the player sometimes has to ram stolen car dealers off the roadThe connection to the movie are film sequences biographies of the actors the original soundtrack and similar cars,Missing
1075680000,"[8, 33]",134828,Pac Quest 3D,[6],Missing,Simple arcade game based on Pac Man,Missing
1076025600,"[12, 16]",86029,Xuan-Yuan Sword: The Millennial Destiny,[6],Set within the Spring and Autumn period the story is told from the perspective of an orphaned girl Che Yun 車芸 whose family was framed by a corrupt official and executed She was spared from execution due to her age but her legs were amputated as punishment Che Yun was talented in the art of Mujia  a technique of creating and manipulating constructs of magnets and wooden machinery which are lightweight yet powerful with her late grandfather as her inspiration She fashioned herself wooden prosthetic legs and managed to craft a lifelike and agile wooden fox that can be used in various tasks such as transportation and battle Yunhu 雲狐 after much effort and coming across rare materials She was a close friend with Huan Yuanzhi 桓遠之 whom Che Yun saved from drowning and who assisted her in creating Yunhu with exotic components Che Yun later encountered Ying Shi 嬴詩 who is reincarnation of Che Yun except that Ying was from a different era and was named Murong Shi  慕容詩 With Che Yun as a common link Huan and Ying formed a grudging alliance and adventured together coming into conflicts with the Jin Kingdoms Tai Chen Gong a priest organization focused on increasing its power and influence and Heralds of the Seven Luminaries 七曜使者 Qiyao Shizhe a group of powerful rebels from a bleak future timeline sent back with the help of the student of the thendeceased Spirit of the Vessel At the culmination of the story Che Ying and Huan reached the deepest chamber of the Realm of Haotian containing the wheel that determines the destiny of and relationship between all things Wheel of Taiyi 太一之輪 Taiyi Zhi Lun However Murong and Huan were both dutybound to set history on diverging courses in favor of their homelands Che intended to stop Huan from changing the future despite Murong having decided against intervening with history by ordering Yunhu to push Huan away However Huan wielded the XuanYuan Sword and injured Che fatally by accident while repelling Yunhu The gate to the Palace then closed abruptly Murong unable to extract her friends was transported out of the gate leaving Huan and Che in the room where Huan immortal due to the power of his surroundings mourned in regret for a thousand years At the instant of Che Yuns death Murong realized their link and inherited the knowledge of Mujia She entered the gate when it next opened in a thousand years after she returned to the future in which Jin overcame Qin to fight for the welfare of the commonfolk encountering a sorrowful aged Huan and offering forgiveness and acceptance as Che Yun would have,Chinese 軒轅劍外傳蒼之濤 literally XuanYuan Sword Legend Billows of the Bleak  The game opens with an alternate version of the Battle of Fei River a battle between Former Qin and Eastern Jin It concludes with Eastern Jins surrender to Former Qin Former Qin merged with Eastern Jin and united the entirety of China  Released on February 6 2004    On December 3 2015 an animated series inspired by the game called Xuan Yuan Sword Luminary 軒轅劍蒼之曜  Ken En Ken Aoki Kagayaki literally XuanYuan Sword Lights of the Bleak was announced as a collaborative project with TV Tokyo and Studio Deen and began airing on October 2 2018 in Mainland China Taiwan as well as Japan,Missing
1075680000,[31],73339,Garfield: Attack of the Mutant Lasagna,[6],Missing,Garfield Attack of the Mutant Lasagna is a fanmade point and click adventure based on the comic strip character Garfield In it a radioactive spill mixing in with the ingredients of lasagna cause an incident of mutant lasagna running amuck and its up to Garfield to stop them with all the verbs of a point and click protagonist,Missing
1076457600,"[13, 15]",72288,Two Thrones,[6],Missing,Two Thrones From Jean DArc to Richard III is a turnbased strategy game that takes place in the years between 1337 and 1490 focusing on the conflicts between England and France Though based on the Europa Universalis engine Two Thrones is much smaller in scope and tighter in focus,Missing
1077926400,[13],71605,WWI Medic,[6],Missing,A WWI game where the player is cast in the role as medic They must bandage and return from No Mans Land with wounded soldiers,Missing
1077235200,"[2, 9, 31]",53411,Neighbours from Hell Compilation,[6],Missing,Living next door to you is a real Neighbour From Hell and its now time to have your revenge Creep around your neighbours house performing ever more elaborate tricks upon the unsuspecting resident As the star of a fantastic new TV show cameras will track your every move as you set your fiendish traps Your objectives are to create more and more disarray increase ratings and maybe even win prestigious awards But beware of watchful neighbours and alert guard dogs if they catch you then the show will be taken off air  And when your neighbour wants to enjoy an undeserved holiday  go with him Sneak along onto a cruise liner to make the nasty neighbours holiday a living hell This time the neighbours mum has joined him and she is taking good care of her baby Get the neigh from hell into his mums and fellow travellers bad books play tricks on him and give free reign to your vengeance Includes the original Neighbours From Hell and its sequel Neighbours from Hell 2 On Vacation Set clever traps and lure your neighbour into them Plan your steps ahead not to get caught and win a prize in a wacky TV show,Missing
1076457600,[8],43578,Jumper,[6],Missing,Jumper is a freeware game made by Maddy Thorson Jumper is a 2D platformer which you control Ogmo a failed experiment as you try and escape the lab,Missing
1076630400,[31],43564,Kaan: Barbarian's Blade,"[6, 8]",Missing,Asaquan the realm of Queen Xithanna is being attacked by the troops of Tothum Siptet the evil sorcerer of Syrkonia As soon as Kaan arrives on the scene he applies all his fighting energy into attempting to repel the attack But he is already too late the town has been pillaged put to fire and sword by the sorcerers troops,Missing
1076371200,[12],24240,EverQuest: Gates of Discord,[6],Missing,Gates of DIscord is the seventh expansion for the popular MMORPG franchise EverQuest,Missing
1075939200,Missing,24108,The Road to Baghdad,[6],Missing,This RTS recreates that battles of Operation Iraqi Freedom,Missing
1076716800,"[11, 12, 13, 31]",23811,Gangland,[6],Missing,Missing,Missing
1077840000,"[10, 12]",18959,A.I.M. Artificial Intelligence Machine,[6],Missing,Play as a Freelancer robot in a actionRPG set on an abandoned military testing planet trying to unravel what happened to the creators,Missing
1075852800,"[5, 31]",5719,Alias,"[6, 8, 11, 21]",Missing,Alias is a thirdperson action adventure containing a unique blend of action and stealth that puts you under fire and under pressure Whether youre up against the clock or being hunted by the enemy fighting against the odds or fleeing for your life the action is relentless Utilize your incredible spyware deadly moves and array of disguises to complete the most dangerous covert missions across the globe All the heartstopping action and tension of the TV series is now under your control,Missing
1077753600,[31],11758,Onimusha 3: Demon Siege,"[6, 8]",The story focuses on the returning hero swordsman Hidemitsu Samanosuke Akechi who is in his quest to defeat his nemesis Nobunaga Oda who wishes to conquer Japan with his army of demons known as Genma However Samanosuke changes places with a French officer from the future named Jacques Blanc and both have to adapt to their new worlds to get rid of Nobunaga and the Genma,Onimusha 3 is the third game of the Onimusha series The game retains elements from previous games in the franchise including the use of multiple special weapons in order to fight enemies and absorb their energy to enhance the weaponry This time the player primarily controls both Samanosuke and Jacques in separate scenarios The two are able to exchange items in order to solve puzzles The development from this game started after the release of the PlayStation 2 which allowed the team to work on a 3D engine to design 3D backgrounds In order to appeal to the Western market the team set this game in Paris and chose French actor Jean Reno to portray Jacques  Onimusha 3 has been generally well received by publications for video games Most of the writers praise focused on the improved controls and the use of a 3D engine that allowed better combat and visuals respectively The game also generated good sales with over 15 million copies sold as of May 2008,84.53987831572047
1076716800,[5],80594,GunZ: The Duel,[6],Missing,GunZ The Duel is an online thirdperson shooting game The game allowed players to perform exaggerated gravitydefying moves including wall running stunning tumbling and blocking bullets with swords in the style of action films and anime,78.91999408093862
1076457600,"[5, 14, 31]",1644,James Bond 007: Everything or Nothing,"[6, 8, 11, 21, 48]",Missing,Returning as James Bond is Pierce Brosnan who will lend his cyberscanned likeness and voice to the character The rest of the cast will include new Bond girls Shannon Elizabeth and Heidi Klum as well as old and new Bond villains The original script will take players through exciting locales in four continents including the Valley of the Kings in Egypt and the French Quarter in New Orleans,76.62463299027002
1076457600,"[9, 33]",3759,Feeding Frenzy,"[6, 9, 11, 12, 14]",Missing,Slurp gulp and crunch your way all along the Frenzy Coast in Feeding Frenzy The rules here are simple Eat anything thats smaller than you and swim clear of everything else The more you eat the bigger you get and the bigger you get the closer you come to taking on the fearsome Shark King Starfish bubbles dont help you grow but theyre an easy way to boost your score Oysters offer up bonus points in the form of pearls but be quick or the shell could snap shut with you inside Nibbling on the tail of a patrolling barracuda is a risky way to earn extra pointshe can turn on you in an instant And the jellyfish  well its best to swim clear of them altogether Did you know that tuna can swim up to 50 miles per hour Or that a parrot fish can change its gender Feeding Frenzy includes more than four dozen fascinating fish facts like these  one between each game level,72.70886339074822
