first_release_date,genres,id,name,platforms,summary,storyline,rating
1353715200,[5],273739,Sinister Intention,[6],7 maps done by Jayextee after a 10 year mapping break,Missing,Missing
1351814400,[5],272116,Brainwash Facility,[6],Duke after travelling lots of miles finally cached a bus A bus which took to a small suspicious village A village with big psychiatric hospital at the center It looked evil at very beginning of Dukes adventure It indeed was,Missing,Missing
1352160000,[5],271954,Arcanum Bonus Maps,[6],Two maps originally supposed to be featured as bonus levels in Arcanum The first one is a small mediavalfantasy cathedral  a remake of Heretics E1M6 complete with original textures and music The second one is a mediumsized arcane industrial complex with a similar vibe as Towers of Wrath from Dissolution of Eternity,Missing,Missing
1353628800,[5],271729,"10,000 Feet Below",[6],Mediumsized underground temple with a unique Persianlike style Previewteaser for the upcoming DOM3 episode,Missing,Missing
1352332800,[5],269123,Mayhem 2012,[6],MAYhem 2012 is a 12level PWAD for Boomcompatible source ports created by members of the Doomworld forums in May 2012 It was the first WAD in the MAYhem series which has continued annually every year since The concept of the MAYhem series and its resulting project was started by TheMionicDonut The initial goal was for a full megawad to be completed within the month of May,Missing,Missing
1352764800,[34],261072,Meimou Halloween,[6],Its October 31st meaning its Halloween So I carved a pumpkin and then the damn thing started to talk And it claims to be the devil lol Also Trick or Treat Time to make him go away with treats,Missing,Missing
1354233600,[5],257296,Dubai,[6],techbase with a varied theming midsized generally nonlinear less puzzlelike,Missing,Missing
1351987200,[5],257057,Khorus,[6],Khorus is a 9level wad in which you should battle against evil in woods and deserts caves and vaults the ancient abandoned temples and catacombs of the forgotten civilisation that has some related roots with the ancient Egypts one and all it  while listening to Russian folk music or later motives close to them with a possible small exception You will learn why nobody likes cyberdemons voice also you will take part in the search of our heros missing red cow and feel the Masterminds wrath who couldnt expect that despite numerous and difficult traps prepared for you nevertheless youll break into his den to make the court of Doom come true,Missing,Missing
1354147200,[5],256864,Frozen Time,[6],You need an OpenGL port with support of ZDoom extended nodes hires textures and tall patches  GLBoomPlus with gamma 1 is recommended,Missing,Missing
1352764800,[5],252458,Call of Dooty II: Green Ops,[6],Call of Dooty II Green Ops is a fivelevel jokewad for Doom II and the GZDoom source port by Matthew Christian Chubzdoomer It was released on November 13 2012 and received the Mockaward at that years Cacowards,Missing,Missing
1352678400,"[5, 9, 31]",252341,King Arthur Project,[6],This is a fanmade standalone game that uses the Tomb Raider The Last Revelation engine while creating its own story and puzzles,This story starts where Twin crystals saga ended Cindy finally found the location of the Topaz crystal on Topaz island While she was searching for it Lara already collected three of the other crystals and brought them to Topaz island where she also bought the hotel to cover her real plans of getting the crystal from Dark Clan Cindy Lara and Jean discuss the plan how to get to the last crystal while Kurtis is watching over the hotel They have to hurry because the Dark clan already started to gather around the hotel They somehow found out there are the remaining three crystals The one who would have them all would be able to get the ultimate power Or so it is told,Missing
1354060800,"[8, 9]",250064,Mario Learns About Colors: Recolored,[6],Guide Mario to the silver pipe through worlds of puzzles by painting him different colors The games special rule is that you pass through any obstacle that matches your color Be careful this applies to enemies as well,Missing,Missing
1354147200,[31],232418,AbyssalCraft,"[3, 6, 14]",AbyssalCraft is an eldritch horror mod for Minecraft centered around exploration with growing magic and Lovecraftian influences,Missing,Missing
1353628800,[31],225366,Single Line,[6],Single Line is a Chinese Yume Nikki fangame,Missing,Missing
1353715200,[5],221849,Black Snow,"[6, 14]",Welcome to Amaluuk research station we hope your stay is a productive and pleasant one,Missing,Missing
