first_release_date,genres,id,name,platforms,summary,storyline
1604016000,[8],275408,Youmenkiden,[6],A sidescrolling action platformer in the style of NESFamicom games Play as high school student Zankirou Tougi as he is whisked away into a world where he must do battle against fearsome youkai,Missing
1603065600,[5],275320,Disconcerting Unease 2,[6],Four small to mediumsized spooky Halloween maps an arctic outpost a Q2textured mining complex a pumpkin spice latte franchise place and an infinite horde arena Comes with a few new features a custom skybox and new sounds,Missing
1602288000,[5],274011,All the Wiser,[6],A collection of birthday maps Major Arlene made last year for various members of the Doom community who are considered to be great influences and friends,Missing
1603324800,[31],272062,You are Grounded!,[6],Its 1997 Haddonfield Illinois You are trapped in the basement Father is upstairs He has been drinking all day He wants to come down to give you a lesson Do you have the guts to survive,Missing
1604102400,[5],271491,Candles of the Damned,[6],Remake of E1M2 from Quake a mediumsized medieval castle with many candles The map was previously released as part of Halloween Jam 2 Among other things this version features even more candles Comes with a new bat model and some ambient sounds,Missing
1602115200,[5],271349,Brick Red,[6],Mediumsized terracottared brick castle based on the Progs_dump mod included Comes with a custom skybox and a few new soundsmodels The map and QC sources are included,Missing
1604102400,"[31, 34]",263385,999999,[6],There is no information on the last entry of CHAIN,Missing
1604102400,[31],263384,Abraxas,[6],Link 19 in Haunted PS1s CHAIN is purported to mirror an unknown apocalypseesque event and its cover art supposedly has an intoxicating effect on some who witness it  Now there is nothing more to do I must do what I promised my father,Missing
1604102400,"[31, 32]",263383,Scary Library,[6],CHAIN link 18 revolves around a librarian in her workplace during a torrential thunderstorm The specimen can purportedly possess people,Missing
1604102400,[31],263012,Vale,[6],Link 17 In a unique departure from most other case reports this one is entirely in Japanese and its subject follows an unknown protagonist in a dark forest,Missing
1604102400,"[31, 32]",263010,16,[6],Appropriately titled 16 this CHAIN link may or may not be linked to an incident of occult Welsh origin,Missing
1604102400,[31],263009,Specimen 15,[6],Mysterious disembodied eyes chase you in this link of Haunted PS1s CHAIN,Missing
1604102400,[31],263006,Specimen #14,[6],Yet another untitled entry in Haunted PS1s CHAIN it follows an unknown protagonist hounded by mysterious eyeballlike creatures,Missing
1604102400,[33],263005,Column Dodger,[6],For the 13th link in Haunted PS1s CHAIN is a simple dodging game Nearby metal objects are purported to migrate by a couple inches if the game is left on for a certain duration,Missing
1604102400,"[31, 32]",263004,Avert Your Eyes,[6],Link 12 in the Haunted PS1 CHAIN is footage from a hiking trip in west Germany The video quality is abhorrent for what should be a modern phone and the device itself is caked in ashes,Missing
1604102400,"[25, 31]",263003,Day 11,[6],The 11th link in the Haunted PS1 CHAIN is extremely anomalous and is known to cause psychosis and paranoia among the staff who play it or otherwise come in contact with it They are typically then reported either missing or dead There is no known way to handle this game safely,Missing
1604102400,[32],263002,Organ of Eden,[6],The tenth entry within Haunted PS1s CHAIN is preceded by a report of a parasitic mind virus and a biostratigraphic diagram A medical team surrounds the player as gore begins to pile around them,Missing
1604102400,[32],262974,Swell,[6],Link 9 of Haunted PS1S CHAIN initially resembles a PSX disc but is revealed in the research log to be some form of potentially living creature What follows is only explainable on those terms,Missing
1604102400,"[4, 25, 32]",262963,Specimen #08,[6],The untitled eighth game in the Haunted PS1 CHAIN takes place in an unknown bloodsoaked location The only new detail given on the research log is an ultrasound image of an unknown figure,Missing
1604102400,[8],262962,Ball Out,[6],Link 7 in the Haunted PS1 CHAIN provides souls in balls for the player to rebirth The research log indicates that the physical properties of the disc may not be completely inert,Missing
1604102400,"[7, 32]",262713,Dream Aether,[6],Dive deeper and deeper into dreams in this short musical experience  This is link 6 in the Haunted PS1 CHAIN,Missing
1604102400,"[8, 32, 33]",262711,Drip,[6],The fifth link in the Haunted PS1 CHAIN anthology is a lovecraftian arcade platformer under the water,Missing
1604102400,"[31, 32]",262710,Emerge,[6],The fourth link in the CHAIN anthology is a mysterious exploration game Its case report has a mysterious now dried liquid on top of a mostly illegible synopsis,Missing
1604102400,"[12, 31, 32]",262709,The Participants,[6],The third game in the HauntedPS1 CHAIN anthology it documents a nightmarelike trawl through a surrealist underwater world,Missing
1604102400,"[31, 32, 34]",262708,"Ms. Blanch,",[6],The second game in the HauntedPS1 CHAIN anthology it follows the interactions of a Ms Blanch and a man who attempts to drive her into the ocean,Missing
1604102400,"[31, 32]",262707,Torch,[6],The first game in the HauntedPS1 CHAIN anthology it follows a young woman exploring a cave with not but a singular torch Its case report details a labyrinth of walls and pathways in Utah first recorded on the 25th of August 1997,Missing
1603324800,[5],261455,Cold Front,[6],Cold Front is a 4 map wad for limit removing ports featuring snowy landscapes and Egyptian architecture,Missing
1602806400,[5],260995,The Mapwich 2: The Mapwichening,[6],The Mapwich 2 is a collaborative megawad for Doom II first released on October 2020 A sequel to the previous years The Mapwich the project was led by Bridgeburner56 and was once again based around the idea of pairing up mappers for each of the levels in the set but also having the pairs be randomly chosen the result was contributions of 45 mappers for a total of 22 maps Unlike its predecessor Mapwich 2 is built with the OTEX texture pack by ukiro and integrates the gameplay changes of the Supercharge mod by Tango,Missing
1603843200,[5],260128,Barbie Girl,[6],Barbie Girl is a single limitremoving complevel 2 doom strict map for DOOM 2 This was made in response to a Doomworld post that nobody should ever use a MIDI of the pop song Barbie Girl by Aqua in a Doom map,The UAC has been conducting experiments on demons again  Theyve lost contact with the base where they were conducting the tests  What a shock  Your job is to go in and clear out the base  Alas a failsafe means that the exit from the complex cannot be accessed until the full test regimen has been completed  So youre ALSO going to need to make sure the tests are done  Dont let the test subject die or your only way out is as chunky giblets
1601769600,Missing,259225,WonderfulWhims,"[6, 14]",WonderfulWhims is a standalone mod for The Sims 4 that offers plenty of social relationship and pregnancy enhancements in the forms of Attractiveness Impressions Personality Archetypes Menstrual Cycle Birth Control and many more,Missing
