first_release_date,id,name,platforms,summary,genres,storyline
1657324800,275929,Chikn Nuggit Nightmare Fwiends,[6],Youre now dreaming of your worst nightmare that Chikn Nuggit and his fwiends are gonna kill you You have to collect all the 10 Chicken Nuggets and then get out of this maze,Missing,Missing
1658275200,274941,Wretched Flesh,[6],Wretched Flesh is a set of 5 boomcompatible complevel 9 maps The wad includes a dehacked file that makes the combat slightly faster paced All of the maps are mostly linear Combat ranges from cramped brawls to wide open skirmishes,[5],Missing
1658793600,274894,Hitman 3: Ambrose Island,"[6, 48, 49, 167, 169]",Ambrose Island is a brand new location for HITMAN 3 and a major release as part of our Year 2 plans Its available now as a free download included with the July Patch  Embark on a new adventure with Agent 47 to a secluded island in the Andaman Sea Located north from the Strait of Malacca Ambrose Island is an isolated harbour packed full of dense vegetation hidden coves twisting paths and perilous bridges  From the lit torches that illuminate narrow passageways to the neon lights that flicker over the bustle of Farahs bar theres a sense of discovery around every corner,[31],Missing
1658793600,273921,Fishing Minigame 2,[6],The pseudovisual novel sequel to the first Fishing Minigame is here The hero Roselle decides to revisit the Fishing Shrine to have a good time and finds herself enraptured by the minigame to the dismay of the shrines sage and another visitor Dark Lord Who cares about that fella,[34],Missing
1658275200,273919,Hand of the Goddess,[6],This was made for IGMC Rebirth and can be finished within an hour as per contest rules The game definitely isnt perfect especially since I stick to the default animations instead of using my own but Im happy with it Ive only been able to work on this game because I was stuck indoors for weeks because I caught Covid Ive spent most of my Covid time working on this and Im kinda exhausted of it Anyway Covid is still here and serious take care of yourselves yall,[12],A short game of a JRPG adventure on fast forward where a boy goes on a journey to stop the resurrection of the Dark Lords god in hopes of resurrecting his goddess May he find peace of mind
1658534400,273540,Nuclear Bunker,[6],Sprawling techbase exploration focused dungeon crawl with mostly low intensity combat though there are a few set piece battles This map was finished in 2007 but I hadnt released it because it was supposed to be part of a miniepisode that was never finished,[5],Missing
1659225600,272078,Hell Girl,[6],A reimagination of Pokémon Emeralds Battle Pike,"[12, 16]",Missing
1657152000,272023,Klonoa 2: Lunatea's Veil,"[6, 48, 49, 130, 167, 169]",Klonoa 2 Lunateas Veil is a remaster of the original 25D platformer game released for modern consoles with enhanced graphics The game was bundled with Klonoa Door to Phantomile in the Phantasy Reverie Series This is actually the first time Lunateas Veil has had any sort of rerelease since its debut on the PS2,"[8, 31]",The game puts players in the role of Klonoa who along with a new cast of friends has stumbled into another adventure this time to save the world of Lunatea and help unveil the mysteries of the enchanted world
1656806400,271968,40oz Bounce,[6],15 small  medium sized maps made in three days with one design constraint only 40 monsters or less Built on Copper v119 already included and map source files are included too,[5],Missing
1656892800,271249,Head Reattachment Trauma,[6],Small short linear single player scifi base map with Makkon textures,[5],Missing
1657929600,271223,Disposal Of Otherworldly Monsters,[6],A large Doom themed map using the SMEJ2 progs already included Contains music from Doom 2 OST,[5],Missing
1657152000,270725,Klonoa: Door to Phantomile,"[6, 48, 49, 130, 167, 169]",Klonoa Door to Phantomile is a remaster of the original 25D platformer game released for modern consoles with enhanced graphics The game was bundled with Klonoa 2 Lunateas Veil in the Phantasy Reverie series This version is actually a remaster of the 2008 Wii remake simply titled Klonoa with the character designs and colors remaining more faithful to the original PS1 game,"[8, 31]",The story follows Klonoa and his friend Huepow in their efforts to save the dream world of Phantomile from an evil spirit intent on turning it into a world of nightmares
1657929600,268725,The Village of Archensheen,[6],A bite sized Heretic level with the restrictions of no more than 100 enemies 100 sectors and 1000 linedefs,[5],Missing
1657670400,267604,Rabbitmaiden Softbook,"[3, 6, 14]",Rabbitmaiden Softbook is a companion visual novel to the mainline rabbitmaiden softworks vns eg heartlovepowertemple,[34],Missing
