first_release_date,genres,id,name,platforms,storyline,summary
1693699200,[34],275466,Girlfriend Guide,"[3, 6, 14]",Scotts father is threatening to withhold his funmoney if he doesnt get his life together and find a longterm girlfriend Scott whose university life was all about partying and chasing random girls doesnt have a clue what to do now Will he find his true love or fail miserably,Girlfriend Guide is a boyslove romantic comedy visual novel about finding true love failing miserably to do so and making friends along the way
1694649600,[4],275240,Wreck League,"[6, 34]",Wreck League is the Megaverses preeminent mech sports combat organization known for its spectacular battles robust customization and competitive culture  From humble beginnings on a distant junk moon to the creation of its governing board BRAWL Wreck League has grown to become the pinnacle of mechanized sporting events,Wreck League reigns as an unrivaled battleground where the most powerful mechs you can create clash with others fighters in an unforgiving competition of skill and dominance Build your mech sharpen your abilities in training mode then face the ultimate challenge in scheduled TOURNAMENTS and EVENTS against other mech owners across the globe Rise to supremacy and unlock prized onchain rewards  Unleash your mechs in realtime playerversusplayer combat With seamless crossplay functionality the action transcends devices allowing you to compete on mobile PC or Mac  Unleash powerful moves by deploying your loadout of action cards which manifests randomly in battle Each action costs a different amount of energy to execute so manage your loadout accordinglywith strategic timing you can inflict devastating combo attacks
1693958400,"[32, 34]",275003,I Have Hired This Anime Girl to Talk to You,"[3, 6]",Missing,This visual novel is about you talking to a girl named Claire Thats all
1696032000,[34],274732,Model Employee,[6],Missing,Model Employee is a corporate horror visual novel where players take control of the latest individual amongst millions to start working in one of Tethys online shopping labyrinthine warehouses Just discharged from the hospital and massively in debt for their lifesaving cybernetics the playercharacter must adapt to the extreme worklife balance of a Tethys Team Member but they have help  Penny the artificial personality that controls all security waste disposal and employee surveillance in the facility specializes in reinforcing an especially cutthroat variety of workplace culture and shes taken an interest in you  With a vibrant cast PC98 inspired visuals and multiple endings Model Employee is a modern horror story thatll stick with you long after youve clocked out of your shift  If you want to get ahead in your career you gotta be willing to take some risks
1694563200,[5],274266,Never Trust a Zone Warden,[6],Missing,510 minutes of vibes and violence give or take
1695859200,[31],274172,Parasite Flower,[6],Missing,A short disturbing horror game where youre playing as Ari Yeong she is reliving the same day over and over again  With each loop the world around her gets darker and more dangerous  Get her to school safely
1695427200,[2],273872,Why the Wrong Face?,"[3, 6, 82]",Missing,A game jam point and click adventure game about disguises and treasure
1695513600,[2],273871,Stranger in Utopia,"[3, 6]",Missing,Teleia a selfsufficient island separated from the outside world that has seen no poverty unemployment or crime in 60 years  Until now  When a brutal murder is committed you Lieutenant Stevenson are called from the mainland to investigate Discover the secrets of the island find the killer and their motives Not everything is as it seems
1695772800,[5],272531,Call of Duty: Modern Warfare II - Season 06: The Haunting,"[6, 48, 49, 167, 169]",Missing,Prepare for frightening thrills the shambling undead squad hunts to take down grotesque monsters and those infamous jumpscares as The Haunting returns to Call of Duty The Hellmouth has opened spilling unearthly creatures from the underworld and a creeping terror is slowly swallowing all souls as it infects the entirety of Al Mazrah reaching the bloodred canals of Vondel and beyond  It appears a clandestine group known as the Dark Ritual Operators have located and opened a terrifying Hellmouth After the gates seals were ripped apart a cacophony of otherworldly gurgling resounded before a veritable panoply of the grotesque poured forth from their opened prison  All Operators should ready themselves for Operation Nightmare and prepare to battle and repel these aberrant threats  Fortunately in the ensuing chaos the Dark Ritual Operators left the gate open in time for backup to arrive in the form of Spawn the hellacious antihero who is now tasked with sending these monsters and their ilk back to the underworld  The Haunting event officially begins at midseason bringing Halloweenthemed maps modes events and more across both games Prepare for spinechilling scares and ferocious battles ahead at launch with the release of four new Multiplayer maps a Battle Pass stocked with devilishly entertaining new Operators and Weapon Blueprints and more
1695686400,"[31, 32]",272323,Feydome: Fairy Dress Up,[6],Missing,FEYDOME is a short almost relaxing game about exploring an abandoned world and finding clothing items to customize a playable fairy it is part of the DreadXP End of Summer Bone Jam It was made in slightly less than 14 days
1695081600,[31],272303,Lakefront Restaurant,"[3, 6, 14]",The story begins with a phone call in the middle of the night asking you to come in and finish your coworkers job however this restaurant seems to hold a sinister past that you must rectify before leaving for good,Lakefront Restaurant is a short experimental horror game that takes gameplay events and randomizes them leaving the player to question whats going to happen next without it impacting the story or gameplay
1694044800,"[31, 32]",272113,Paddle! Shimmyoumal!,"[3, 6, 14, 82]",Shimmy is racing through the river to retrieve her mallet back,This game is a secondary Touhou game in which Shimmyoumaru is the main character
1695081600,[9],271950,Bumper Stickers Archipelago Edition,"[3, 6]",Missing,The basic concept is simple Youre given a Bumper in the bottomright Click on one of the Launchers surrounding the field to launch the Bumper into it Itll first move in the direction launched then bump into a wall or another Bumper and start moving in the direction on the Bumper itself Match three of the same colour horizontally or vertically to clear them off  But wait theres more This version also plugs into Archipelago Multiworld so you can try a whole new challenge with your friends
1694995200,[5],271845,Grisly Grottos,[6],Missing,10 speedmaps  start map inspired by e1m4  The Grisly Grotto Mappers had 60 hours to create a map using custom progs  based on Copper and featuring the diving gear from Dwell  with no restrictions on texturing or gameplay other than the prompt
1694476800,[5],271844,Reload Map Jam,[6],Missing,Map jam run by Slipgate Sightseer in cooperation with Reload Magazine with the goal of picking 3 entries to write about in an article
