first_release_date,id,name,platforms,genres,summary,storyline,rating
942105600,210037,Nerf Jr. Foam Balster: Attack of The Kleptons,[6],Missing,Missing,Missing,Missing
942969600,194925,Tina wa Seirei Tsukai,[6],[12],Rahel is a professional swordsman He takes a job to hunt bandits since its well paid and takes a female companion with him He has to cooperate with the female group of bandit hunters Arabian Knights,Missing,Missing
942624000,185866,Star Wars: Jar Jar's Journey Adventure Book,[6],[26],Star Wars Jar Jars Journey Adventure Book is a game released by Lucas Learning in 1999 It is intended for children ages 4 and up and featured Jar Jar Binks and other characters from Star Wars Episode I The Phantom Menace,Missing,Missing
942105600,181515,Pokémon Project Studio: Blue Version,[6],Missing,From the main menu users can choose the type of media they wish to create including greeting cards signs birthday kits banners photos stationery envelopes calendars paper crafts certificates and stickers The user can use several included images and templates or they can import custom images into the picture Each CD contains 81 different Pokémon The kind of Pokémon they get depends on whether they are running the Red CD or the Blue CD For example only the Red CD has Mewtwo while Raichu only appears in the Blue CD,Missing,Missing
942105600,181509,Pokémon Project Studio: Red Version,[6],[13],This program lets the user create all kinds of Pokémonrelated projects such as calendars or greeting cards,Missing,Missing
943315200,143532,Inherit the Earth,[6],[5],Inherit the Earth is an earlier addon by Dustin Bloatoid Twilley later creator of Hostile Takeover 2001 2013 and much later of Death Wish 2011 20172020 from 1999 that comprises of three episodes plus a short secret fourth The batch file was last modified on November 23 1999,When Tchernobog was defeated in the Hall of Epiphany He was forced to return to His own realm The power and rage released by Caleb while fighting the Dreaming god was partly absorbed and had allowed Tchernobog to lay dormant gathering energy to follow on with His plan to open the Gateway the connection between the realms of the living and the damned Would Caleb be able to stop the revived Daemon Tchernobog,Missing
943142400,140944,Operation: Biowar,[6],[5],Operation Biowar more generally known as Biowar is a 19 level megawad created by Chris Harbin together with Paul Corfiatis and John Bishop It was released in 1999 and features a combination of techbase and Hell levels but also some new themes including a snowy mountain There are several new sound effects and textures but no changes in the regular Doom gameplay The mod features music by well known composer Mark Klem,The story involves the new president of the UAC making an alliance with a high ranking demon codenamed TCHERNOBOG which has resulted in the souls of all UAC workers being sold to the demons in exchange for an unlimited amount of live demonic biological weapons Flynn Taggart the protagonist of the original Doom is killed by the UAC and it is up to the new protagonist to put an end to this new diabolic scheme by finding and destroying TCHERNOBOG once and for all,Missing
942019200,80778,"Sabrina, the Teenage Witch: Brat Attack",[6],[31],Sabrina the Teenage Witch Brat Attack is an action puzzle game for the PC released during 1999 Its the second in a series of game spinoffs from the popular tv show Sabrina the Teenage Witch,Missing,Missing
943660800,78950,Monopoly Casino,[6],[35],From poker and roulette to blackjack and slots its casino fun for everyone Play all the most popular casino games in a 3D Monopoly casino Choose a favorite token pick a game on a deed card and try your luck on over 40 Monopoly themed games with over 200 variations,Missing,Missing
942969600,75882,Neon Genesis Evangelion: Eva to Yukai na Nakamatachi - Datsui Hokan Keikaku!,[6],Missing,Shinseiki Evangelion Eva to Yukai na Nakamatachi  Datsui Hokan Keikaku is an Adventure game developed and published by Gainax which was released in Japan in 1999,Missing,Missing
943488000,73422,Swedish Touring Car Championship,[6],[10],A racing game based around the reallife Swedish Touring Car Championship,Missing,Missing
943228800,73166,Monopoly Junior,[6],[15],A computer adaptation of the lite version of Parker Brothers classic real estate trading game Monopoly Junior is a much simplified variation of Monopoly designed for 58 year olds The PC version is a direct kid friendly translation of the board game,Missing,Missing
942624000,72070,Myth II: Chimera,"[6, 14]","[11, 15, 24]",Chimera is a free expansion scenario playing out the events of Four Bear Silent Oak the journeymans visions of doom,Missing,Missing
943920000,71686,12 O'Clock High: Bombing the Reich,[6],"[13, 15]",12 OClock High Bombing the Reich is a flight sim set in World War II,Missing,Missing
941760000,71668,Hangsim,[6],[13],1999 flight simulator,Missing,Missing
941587200,71602,Abomination: The Nemesis Project,[6],[15],Abomination is a squadbased real time action game for the PC developed in 1999 by Hothouse creations,Missing,Missing
943920000,55058,SNK vs. Capcom: The Match of the Millennium,"[6, 120, 130]",[4],With 18 starting characters 26 total after unlocking numerous battle modes and varied minigames this may be the largest fighting game for the Neo Geo Pocket Color Choose the fighting style that suits you from the available Single Tag and Team modes The SC Olympic mode grants access to minigames from a music game featuring Felicia to a whackamole style game with Jubei The Olympic mode also allows players to compete for gold silver and bronze medals in various fighting challenges Link features include NGPCtoNGPC battles and NGPCtoDreamcast data exchange with other SNK titles,Missing,Missing
943574400,45098,MTV Music Generator,"[6, 7]","[7, 9, 13]",There are musicmixing computer programs that cost thousands of dollars but none of them are this fun You chose your rhythm tracks bass lines guitar riffs and triangle hits in this complete musicmaking experience You can make rock pop hiphop techno or jazz songs and each will be vastly different from the others There are more than 1500 riffs and 3000 instrument sounds to choose from and you can even write your own parts instead of using the preprogrammed melodies Just about everything you can think of can be manipulated here right down to the volume of the floor toms the amount of reverb applied to each instrument and the songs tempo The next step is to create a music video for your masterpiece and youll have plenty of 3D clips at your disposal in so doing Once you have your complete package you can save everything to a memory card and access any part of it from an instrument sound or keyboard riff to the entire song later All in all its about the most creative use of a video game console imaginable,Missing,Missing
