first_release_date,genres,id,name,platforms,summary,rating,storyline
1075334400,[12],203264,Simple 2000 Series Vol. 44: The Hajimete no RPG - Densetsu no Keishousha,[8],The region of Lordenias has seen a peaceful era for the last 400 years thanks to a single hero However this time was coming to an end The king of Magura who controls the southeast island Sylvania was fascinated by demons and planned to revive the god of evil Demons began to appear all over the island and soon the people began to disappear The demonic forces turn their gaze towards Mid Earth You will play as the protagonist and go on an adventure to save the world that has fallen Travel around the world listening to people and gathering information Around 100 kinds of monster 50 kinds of magic and 40 kinds of weapons and protective gear are available in this game,Missing,Missing
1075420800,[34],145449,Soshite Bokura ha... And He Said,"[6, 8]",A group of people goes to an island to shoot a video While filming they discover a mystery about the island,Missing,Missing
1074211200,"[13, 16, 35]",118566,Chess Challenger,"[8, 9]",A chess simulator that boasts the best chess AI on any game machine for its time of release,Missing,Missing
1074729600,[9],93289,Crossword,[8],A simple Japaneselanguage crossword puzzle game released for the PlayStation 2,Missing,Missing
1074124800,"[9, 33]",69789,Sega Ages 2500 Vol. 6: Ichini no Tant-R to Bonanza Bros.,[8],This game is the first compilation to be released as part of the Sega Ages 2500 series It contains both an upgrade of the original 1990 arcade release of Bonanza Bros and an updated version of Puzzle  Action TantR first seen in 1992 Bonanza Bros is almost identical to the original bar a few small cosmetic changes whereas TantR has received higher definition graphics and several minigames from its sequel Puzzle  Action IchidantR,Missing,Missing
1075334400,[14],61450,Hajime no Ippo: The Fighting! 2 - Victorious Road,[8],Victorious Road is the sequel to Victorious Boxers Unlike its predecessor and successor this installment did not see release outside of Japan,Missing,Missing
1074211200,[9],44640,Casino Challenge,[8],Casino Challenge simulates all the fun and thrills of a real live casino allowing you to recreate all the thrills of the gaming action you find in real casinos from Las Vegas to Monte Carlo Choose your game and hit the tables All the great and classic casino games are included in this one exciting package including blackjack simulated live horse racing roulette and even jackpotstyle slot machines Playing Casino Challenge gives you an insight into how to play casino games more effectively you can learn the secrets and develop your own play strategies the more you play and practice,Missing,Missing
1074211200,[25],43567,Underworld: The Eternal War,[8],Underworld The Eternal War is based on the movie of the same name The storyline revolves around the eternal war between the vampires and werewolves and as the player you can choose the side youre teaming with You can either choose the movies heroine Selene or can be the bad guy Raze who is a werewolf  Its an all out slugfest as you take on to the battlefields where you must accomplish missions were they about protecting someone kill someone get an item from somewhere or just kill everyone The action is the name of the game here and there are lots of it Using different weapons you smack the opposition to kingdom come Many many times After that its more smacking And then some,Missing,Missing
1074816000,[9],43473,Dalmatians 3,[8],Our old lady loves cookies a lot doesnt she Lets get some from the market for her The little Dalmatians take the cookies without paying The vendor calls the police and the Dalmatians are locked up  You will never come out of here says Butch the Bulldog No way that we will stay here says Kruimel I have got an idea  It is another of the Phoenix games that features a mix between watching a cartoon and a collection of sliding puzzles jigsaw puzzles and colouring images  Includes Cartoon film  Jigsaw puzzle  Colouring book  Memory game,Missing,Missing
1073606400,[4],43348,The King of Fighters 2000/2001,[8],A doublepack of the two hardcore fighting games from SNK King Of Fighters 0001 features all of the tight gameplay and characters 35 in KoF 2000 over 40 in KoF 2001 of the arcade hits New features to the home versions include redesigned character select and menu screens a new continue system that allows players to handicap the CPU fighters as they progress through the game an autosave feature intro movies from these and other previous King of Fighters games and special new Strikers not seen in the original games or any other versions of these titles Game modes including Team Play Party Mode and even 4on4 bouts KoF 2001 only for 4on4 provide hours of gameplay in these classic 2D fighting games,Missing,Missing
1075334400,[5],22165,Vietcong: Purple Haze,"[6, 8, 11]",Vietcong Purple Haze is a narrativebased First Person Shooter set during the Vietnam conflict Players of Vietcong experience the war from the perspective of a soldier assigned to join a squad of US Special Forces running reconnaissance missions deep into the jungles of Northern Vietnam Utilizing any means necessary players of Vietcong patrol various tactical regions  setting traps gathering intelligence calling in air strikes or ambushing enemy patrols Over 18 dramatic missions featured in a cinematic single player campaign,Missing,Missing
1074729600,"[12, 15, 24, 31]",5097,Phantom Brave,"[5, 6, 8, 38]",Phantom Brave is a strategy RPG which takes place in the world of Ivoire Ivoire consists of vast seas and numerous islands it used to be a peaceful place but an ancient and powerful force is now threatening life in the various lands The character you control in the game is Marona a 13 year old orphaned girl Marona has the ability to communicate with phantoms an ability that brings a lot of resentment from other people but will help her to head out into the world and solve the problems that are occurring A phantom known as Ash acts as Maronas guardian as the game progresses other phantoms will join your party each of which have different capabilities  The game features a turn based combat system During battles Marona is able to attack enemies by herself and she can also summon phantoms in her party to help out To summon phantoms you will need to confine them to an object on the screen such as a rock or tree Once confined to an object you will then be able to control the phantom in battle though phantoms only remain controllable for a limited number of turns The object you confine a phantom to will affect its abilities for example a rock may make a phantom stronger but move slower By defeating enemies in battle you earn experience points allowing to level up and become more powerful,Missing,Missing
1073952000,"[5, 13]",4168,Star Trek: Shattered Universe,"[8, 11]",The universe is not as you know itThink Fast Shoot Faster All hands to battle stations Get ready for a frenetic adrenaline pumping experience in an entirely new breed of Star TrekAn intenseedgy highenergy spacecombat action game set in the dark mirror universe of Star Trek The Original Series classicera setting Star Trek Shattered Universe challenges the player to adapt to a new reality where everything once familiar is now a dark reflection  where the noble Federation is now an evil and relentless foe,Missing,Missing
1073952000,[14],4041,NFL Street,"[8, 11, 21]",NFL Street is a series of sports video games developed by EA Tiburon and published by Electronic Arts It combines the talent and big names of the NFL with the atmosphere of street football,89.65611784671185,Missing
1074470400,"[4, 14]",5835,Fight Night 2004,"[8, 11]",Fight Night is EA Sports new boxing series replacing the previous Knockout Kings line of games    You have the option of creating your own personalized boxer and entering a career mode where you start off on the lowest rung in dirty rundown gyms as you make your way up the ropes to become the undisputed champion Throughout your career you will have to battle many enemies all vying for the same title As you play you will be able to train improving your boxers stats You can hit a punching bag to increase power and speed spar with an opponent for more stamina and agility attack the dummy to improve chin and body or hit the mitts to improve heart and cut Besides career mode you have access to the standard modes    Fight Night 2004 features the Total Control system which utilizes both sticks to give you complete percision over your boxers moves The right analog stick controls all the punching and the left stick controls movement and defenseblocks    There are several unlockables available all of which must be earned through career mode You can buy new clothes entrance music even new girls to accompany you to the ring    The PlayStation 2 version of Fight Night 2004 supports online play via EA Sports online network    As with all other EA Sports titles Fight Night 2004 utilizes the EA Sports Bio which tracks your progress through all EA Sports games The more games you play the longer you play them and the better you do translates into a higher Gamer Level When you reach certain levels you can unlock special rewards,86.51583808105184,Missing
1074556800,"[12, 25, 31]",84,Baldur's Gate: Dark Alliance II,"[3, 6, 8, 11, 14]",Using the 3rd Edition Dungeons  Dragons rules set Baldurs Gate Dark Alliance II features four new acts of hackandslash combat and powerful spell casting Even more monster types will engage in realtime battles using the same overhead perspective as witnessed in the original game Each selected character can parlay the experience gained from combat into acquiring new feats and enhanced abilities over time To help in battle a new item creation system lets players craft magical weapons and armor using raw materials found during their travels  As before two heroes can join the adventure in cooperative play on the same screen with each character differing in the types of feats and powers under his or her command Equipment can be found or purchased from local merchants using the gold looted from felled creatures or received as payment for quests Baldurs Gate Dark Alliance II also features a number of hidden areas secret characters and literally hundreds of items to find and use including potions scrolls and wands In addition the game features a new branching storyline that offers players a choice where to go next for fortune and honor,77.31958080113566,This sequel to the hit 2002 action roleplaying game set in the Dungeons  Dragons universe picks up right where the original left off The mysterious disappearance of the Onyx Tower and death of Eldrith the Betrayer had left the noble heroes trapped in an unknown setting Yet the harbor town of Baldurs Gate is still very much part of a heinous plot to control the Forgotten Realms Five new character types vow to stop whoever or whatever is behind this new alliance no matter what the cost
