first_release_date,id,name,platforms,summary,genres,storyline,rating
1315267200,271143,DC Universe Online: Episode 1 - Fight for the light,"[6, 9]",The first DC Universe Online episode Fight For The Light This episode allowed players to embark on a new adventure with Green Lantern and Sinestro Corps as their battle becomes the forefront of the episode Some of the key features of this episode include a new Tier 3 Duo in Ferris Aircraft two Tier 2 Alerts with Oan Sciencells and STAR Labs Research Facility and a Tier 3 alert in Coast City This episode also brought the new Controller powerset Light based on Green and Yellow lanterns for heroes and villains respectively,Missing,Missing,Missing
1317254400,269513,Tanteibu: The Detective Club - Angou to Misshitsu to Kaijin to,[38],Second in the four volume romantic detective story The detective team consists of Maya Tora and Natsu three teenage girls and Sodom a little robot with a useful set of skills Each game in the series focuses on three different cases you have to solve,Missing,Missing,Missing
1317081600,240465,Pro Evolution Soccer 2012,[38],PSP port of Pro Evolution Soccer 2012,[14],Missing,Missing
1317081600,240392,FIFA Soccer 12,[38],PSP port of FIFA Soccer 12,[14],Missing,Missing
1317081600,240391,FIFA Soccer 12,[8],PS2 port of FIFA Soccer 12,[14],Missing,Missing
1317081600,220981,Pro Evolution Soccer 2012,[8],PS2 and PSP port of Pro Evolution Soccer 2012,[14],Missing,Missing
1316044800,212736,Gekka Ryouran Romance,[38],In a scenic valley theres a celebrity boarding school called Hakuou Gakuen  At a glance the school is full of smart and beautiful guys Behind it a secret club nobody knows of was conducted  To others its the mysterious goinghome club But the real name is actually the Forbidden Date Club The after school chime is the date signal The strict rule is to always get the girl theyre targeting It doesnt matter who the club members spread love like night hosts These students are called the Gekka Ryouran  The love renaissance  love game unfolds by the hands of these rich guys who seem to sneer at those who admire love However those who are obsessed with their charms couldnt stop asking for more despite the excessive payment  Its a dangerous love you cant go back after touching it Now the forbidden flowers are blooming,"[31, 34]",In a scenic valley theres a celebrity boarding school called Hakuou Gakuen  At a glance the school is full of smart and beautiful guys Behind it a secret club nobody knows of was conducted  To others its the mysterious goinghome club But the real name is actually the Forbidden Date Club The after school chime is the date signal The strict rule is to always get the girl theyre targeting It doesnt matter who the club members spread love like night hosts These students are called the Gekka Ryouran  The love renaissance  love game unfolds by the hands of these rich guys who seem to sneer at those who admire love However those who are obsessed with their charms couldnt stop asking for more despite the excessive payment  Its a dangerous love you cant go back after touching it Now the forbidden flowers are blooming,Missing
1317081600,187871,Fallout: New Vegas - Gun Runners' Arsenal,"[6, 9, 12]",The famous weapons manufacturer Gun Runners has opened up their exclusive cache of armaments including new weapons weapon mods ammo types and recipes Their inventory doesnt come without a price though Trek far and wide throughout the Mojave Wasteland in search of this elite class of weapons that range from the outrageously potent to the bizarrely impractical,"[5, 12]",Missing,Missing
1316649600,167938,Might & Magic: Clash of Heroes - I Am the Boss,"[6, 9, 12]",Embody the four powerful bosses  Azexez Count Carlyle Ludmilla and AzhRafir  in Quick Battle online or offline Multiplayer modes Master their four new spells Azexezs Demon Portal Ludmillas Spider Swarm Count Carlyles Bile Blast and AzhRafirs Palm Blast,"[12, 16]",Missing,Missing
1316649600,145166,Ico & Shadow of the Colossus Collection: Limited Box,[9],The core game and story for both Ico 2001 and Shadow of the Colossus 2005 remain unchanged with the remastered versions For the remastering both games have had a graphical overhaul to allow them to support modern highdefinition displays up to 1080p With the more powerful PlayStation 3 both games feature a fixed frame rate of 30 frames per second the original PlayStation 2 version of Shadow of the Colossus was noted for pushing the limits of the older console and often suffered from framerate losses Both games support stereoscopic 3D taking advantage of the original design of the games with considerations towards depthoffield viewing as evidenced by the large landscapes Both games in the collection support 71 surround sound  Icos remastering is based on the European version which features additional content that did not make it into the North America release of the original game as well as some altered puzzles from these original releases Specifically upon completing the game the player can restart to see the English translations of the mysterious language that Yorda the player characters companion uses and a twoplayer mode with the second player in control of Yorda Though there was consideration for inclusion of PlayStation Move motion control support it was not released with it  The collection includes bonus content including two XMB Dynamic Themes and exclusive video content for Ico Shadow of the Colossus and Uedas next game The Last Guardian,"[8, 31]",Ico In a remote sunlit forest several masked men travel on horseback to the edge of an enormous sheer cliff overlooking the sea Off the coast is an otherworldly dilapidated fortress built on tall rocky spires Some of the men have horns on their helmet These horns look like those of Maluss head The men proceed down a winding path towards sea level get in a small boat and row silently towards the castle  They have a prisoner with them Ico a boy with an immediately identifiable characteristic two large horns protruding from his head These horns are the result of an ancient curse one that has stricken Icos village for generations and earned him all its hatred and blame for whatever misfortune comes to its residents The men have taken him to the castle after his twelfth birthday to place him in a mysterious coffin deep inside the fortresss darkened halls where he will either starve or succumb to the cold To open the way to the coffin they take an enchanted sword that has the ability to open the idolshaped gates that lead to the room  The men force him into the coffin ordering him not to resist and telling him they do this for the good of the village After they leave however a tremor caused by the castles many aged moving parts dislodges Icos coffin from the wall breaking it open but knocking him unconscious During this time he experiences a strange vision set in another part of the castle  a spiked stone cage hangs from the ceiling of an enormous cylindrical room As Ico approaches the cage on a spiral path that runs up the rooms walls a shadowy substance amasses at the bottom of the cage overflowing and dripping onto the floor far below Another shadow emerges from the walls behind Ico engulfing him and ending the vision He wakes up  Ico begins to explore the old castle pulling levers and opening doors in search of a way out Soon however he finds himself at the bottom of exactly the same room he saw in the vision including the metal cage hanging from the ceiling Ico ascends the spiral path until he reaches the top of the room again This time the cage contains a young girl Yorda who sits there quietly Ico calls out to her and promises to find a way to let her out He reaches a lever which lowers the cage close to the ground Ico makes his way back down and jumps on the cage sending it and a dislodged piece of wood crashing to the floor The impact opens up the cage door freeing Yorda  Shadow of the Colossus One cloudy night a lone hawk flies by two longtime companions  Wander and his horse Agro  navigating an unforgiving cliffside path on the edge of a canyon The two have been traveling for a long time on this offbeat path through murky forests and wet grasslands alike  They arrive at last at their destination a tall stone gate with a narrow passage On the other side lies an enormous bridge of nearotherworldly construction The bridge spans over the Forbidden Lands a dramatic landscape of plains and canyons with enclosed and cutoff environments ranging from arid deserts to clefts with tall geysers to dark forests and murky crevasses  The bridge finally comes to an end at the Shrine of Worship a gigantic structure in the middle of the Lands Wander and Agro make their way to the ground floor and the temples main hall which is lined with sixteen stone idols At the end of the empty hall is an altar Here it is shown that Wander is carrying something with him a body wrapped in a cloth sheet He places the body on the altar and removes the sheet revealing Mono a young woman clothed in a white dress  The game suddenly cuts to a picture of an owl mask amidst a cloudy sky From here Lord Emon a spiritual leader in Wanders society speaks an esoteric monologue  That placebegan from the resonance of intersecting points They are memories replaced by ens and naught and etched into stone Blood young sprouts sky  and the one with the ability to control beings created from light In that world it is said that if one should wish it one can bring back the souls of the dead But to trespass upon that land is strictly forbidden Agro is suddenly frightened by a noise from behind the trio Several shadowy apparitions are emerging from the temple floor and Wander sees this and draws a mysterious sword from its sheath pointing it towards the shadows The blade emits an otherworldly energy and the creatures immediately dissolve into thin air Immediately a booming pair of voices fill the halls from a great aperture above surprised that Wander possesses the Ancient Sword Wander correctly identifies the voices as belonging to Dormin and asks that Mono be revived Initially Dormin expresses an indifference towards the matter but ultimately cannot hide the interest in the sword Wander carries,Missing
