first_release_date,genres,id,name,platforms,storyline,summary,rating
1372291200,"[12, 16]",268097,The Legend of Heroes: Sora no Kiseki the 3rd - Kai HD Edition,[9],Half a year after the events of Trails in the Sky Second Chapter Liberl has settled into peace once againbut even during peaceful times there are many among the distinguished and fortunate burning with greed thanks to the influence of ancient artifacts Most of the population remains unaware of their abuses of power but to the most enigmatic order of the beloved Septian Church the Gralsritter snuffing out these wouldbe villains and claiming artifacts in their name is as everyday as professing ones faith in the Goddess  On the eve of another successfully completed mission highranking member Father Kevin Graham is immediately assigned to retrieve one more artifact that rests beneath Grancel Cathedral Whats more even though this is a task he could easily complete on his own he must reluctantly do so in partnership with his newest recruit rookie Gralsritter and childhood friend Sister Ries Argent  Thus begins the start of a routine mission that becomes anything but delving into a new and mysterious realm that follows an unnaturally strict set of rules Phantasma Therein the history of the Septian Church and the pasts of the many familiar faces who took up arms for the sake of Liberls future will be laid bareand some may have been better off staying forever sealed behind closed doors,A remaster of the PSP version of Sora no Kiseki the 3rd with enhanced graphics crosssave with the PSP version and extras like PS3 themes music calendars and more  Join Kevin Graham and Ries Argent in their quest to retrieve an ancient artifact for the Septian Church Featuring the largest cast of playable characters in the Trails series up to that point new minigames a stellar soundtrack by Falcom jdk Sound Team and even more gameplay features Trails in the Sky the 3rd brings the Liberl arc story to an end while also teasing new plot developments across the continent of Zemuria,Missing
1372291200,[34],222554,Solomon's Ring: Chi no Shou,[38],Based on the Legend of Solomon who was known to be the third king of the Israelites who built the Temple of Jerusalem and who was said to possess a magical ring that had the powers to control demons  He soon saw the dangers of their arrogance and sealed them all into a brass vase Approximately 2500 years later a certain demon Lucifer has taken the reins to be the most powerful demon He turned his extreme hatred for Solomon into dark magic and successfully released the seal upon the brass vase Now free his goal is nothing less than to seek revenge upon his enemy Solomon and destroy the human world in which Solomon lived Scorched with an evil desire Lucifer orders demons under him to eliminate Solomons descendants as well as the legendary ring  On the other hand over the years the existence of the seal Solomon had left gradually begins to fade within the memories of the people in the human world It is there that the heroine Lily lives humbly while managing a library she inherits from her grandfather Before her only living relative her grandfather passes away he tells her that she is a descendant of Solomon and entrusted her with the ring that had been passed on from generation to generation the ring that is used to face off against demons However for Lily this is nothing but brutal as the powers of the ring arent awakening  Being oppressed by this mission the ones who come to stand before her are a troop of demons However the 3 demons that come to rescue her from her plight are none are than ones from the 72 demons that had been sealed together with Lucifer  There are 12 demons with routes separated into 4 games by elements with 3 demons per game The elements are Fire Water Wind and Earth,Part of the Solomons Ring series,Missing
1372291200,[34],218786,School Wars: Sotsugyou Sensen,[38],The story takes place after Shiori graduates and now she has a month before she starts college Unfortunately the school gets slammed with an investigation and instead of spending her spring break having fun she has to spend her spring break making sure nothing weird happens so that their school isnt shut down Also to add salt to the wound aside from Itsuki and Shinya all the relationship statuses with the rest have been reset,A fandisc to School Wars,Missing
1372291200,[34],203174,Starry Sky: After Autumn Portable,[38],Tsukiko comes back to Seigatsu Gakuen after a number of years as a trainee teacher and meets up with the original gang  her old homeroom teacher Naoshi school doctor Kotarou and newly qualified teacher Iku Now they enjoy life at school while Tsukiko is on her 3 month placement,Starry Sky After Autumn Portable is a port of Starry Sky After Autumn for the PlayStation Portable,Missing
1371686400,[34],132071,Storm Lover 2nd,[38],Our heroine Arashiyama Mari has just moved to town and starts her 2nd year of high school at St Louis High,A sequel to Storm LoverStorm Lover Kai featuring a new heroine and a new set of guys with the exception of Nanao Shiina from the previous games,Missing
1370304000,Missing,119585,Paint Park Plus,[46],Missing,Draw doodle and color anything you like with your PlayStationVita system and Paint Park Plus Play solo or with your friends via AdHoc mode add a personal touch to photographs taken with your PS Vita and Tweet your artwork for the world to see,Missing
1370908800,[5],118182,Aliens: Colonial Marines - Movie Map Pack,"[6, 9, 12]",Missing,Fight headtohead against other players on familiar grounds with 4 exciting new maps set in locations from previous aliens movies Alien Aliens and Alien 3    The Movie Map Pack includes     Two new maps for Team Deathmatch and Extermination including Fury 161 which takes place in the rundown prison facility seen in Alien 3   One new Survivor map called Nostromo where marines must defend themselves against Xenos inside the classic spaceship from Alien   A new Escape map Exodus situated on the doomed Sulaco Marines awaken from cryosleep and must navigate their way to escape pods whilst under Xeno attack,Missing
1370908800,"[5, 24]",106171,Hitman HD Pack,"[9, 12]",Hitman 2 Silent Assassin  Enter the realm of a retired assassin forced back into action by treason You may be a hired killer but you still have a sense of loyalty and justice Visit the dark recesses of a world corrupted by crime greed degradation and dishonor And a past that catches up with you  Hitman Contracts  Enter the world of a HITMAN  a world of crime sin and greed Delve into the mind of Agent 47 and encounter his greatest adversaries completing the work that made him so brutally efficient and shaped him as an assassin Eliminate your targets by any means necessary  There are no rules only the contract signed in blood  Hitman Blood Money  Money Talks Silence Pays Prepare to Make a Killing When assassins from Agent 47s contract agency The ICA are eliminated in a series of hits it seems a larger more powerful agency has entered the fray Sensing he may be a target 47 travels to America and prepares to make a killing,Experience Hitman 2 Silent Assassin and Hitman Contracts now in HD Enter the mind of Agent 47 the worlds most deadly assassin Staying anonymous being smart and totally ruthless is the key to a perfect execution The Hitman HD Pack includes HD remastered versions of Hitman 2 Silent Assassin and Hitman Contracts  Hitman Blood Money is available separately through Xbox Live Games on Demand,Missing
1371168000,"[5, 31]",102083,The Last of Us: Post-Pandemic Edition,[9],Missing,Twenty years after a mutated fungus started turning people all over the world into deadly zombies humans become an endangered species Joel a Texan in his forties with the emotional range of a teaspoon to quote Hermione from Harry Potter finds himself responsible with the safety of a fourteen year old girl named Ellie whom he must smuggle to a militia group called the Fireflies And as if the infected arent enough of a hassle they also have to deal with the authorities who wouldnt let them leave the quarantine zone as well as other survivors capable of killing anyone who might have something useful in their backpacks,Missing
1371168000,"[5, 31]",102082,The Last of Us: Survival Edition,[9],Missing,Twenty years after a mutated fungus started turning people all over the world into deadly zombies humans become an endangered species Joel a Texan in his forties with the emotional range of a teaspoon to quote Hermione from Harry Potter finds himself responsible with the safety of a fourteen year old girl named Ellie whom he must smuggle to a militia group called the Fireflies And as if the infected arent enough of a hassle they also have to deal with the authorities who wouldnt let them leave the quarantine zone as well as other survivors capable of killing anyone who might have something useful in their backpacks,Missing
