first_release_date,id,name,platforms,summary,genres,storyline,rating
1452038400,271166,DC Universe Online: Episode 20 - Blackest Night & Wastelands Wonderland,"[6, 9, 48]",The twentieth episode Blackest Night and Wastelands Wonderland was released on January 6 2016 for members with a subscription and January 13 2016 for players without an active subscription The episode revolved around players fighting The Blackest Night and dealing with the fallout from the War of the Light saga Some of the core features of this episode include one Tier 7 8Player Operation in Blackest Night and one Tier 7 Duo in Wastelands Wonderland,Missing,Missing,Missing
1452729600,250380,Velocity 2X: Daily Sprint,"[46, 48]",Originally part of the Xbox and PC release of the game it was planned as a DLC for PlayStation but was added as a free update after the AGDQ Speed Run of Velocity 2X  The mode features platforming sections of the game in a randomly generated order with a practice option to see the new layout each day but only one chance to finish the level with a high score for the leaderboards,"[5, 8, 9, 33]",Missing,Missing
1453939200,216267,God Eater Off Shot: Twin Pack Vol.4,"[46, 48]",This edition includes the following  Game God Eater Off Shot  God Eater Anime Bluray Disc Vol4  DLC PS Vita Version God Eater Off Shot Code Only,Missing,Missing,Missing
1453161600,204455,Atrapa la Bandera,[48],Missing,Missing,Missing,Missing
1453161600,188153,5 Star Wrestling: ReGenesis,[48],5 Star Wrestling ReGenesis is built on true Ring Psychology with Heel and Face mechanics a revolutionary Limb Damage System and Rivalries that impact gameplay Featuring a 40 Hour Challenge campaign with 128 challenges over 400 objectives and more movesperwrestler than any other game including never before seen FinisherToFinisher reversals 5 Star Wrestling is brimming with content  Introducing Ragnabrok The Conqueror Raging Andy Organ HarVee Dee and Jonny The Bull Miavia 5 Star Wrestling is all about the characters each coming with their own original theme music massive move set and spectacular finishing manoeuvres which look and feel different depending on the characters physical condition when executing the move 5 Star Wrestling also features fully customisable goaloriented AI with each character having 5 different personalities to choose from that will significantly change the way matches play out  If youre a wrestling fan this game was made for you,Missing,Missing,Missing
1453161600,172573,LEGO Dimensions: Peter Venkman Ghostbusters Level Pack,"[9, 12, 41, 48, 49]",Help Peter Venkman and the rest of the Ghostbusters save New York and the world from Gozer once and for all Build Dr Venkman attach him to his Lego Toy Tag and place him on the Lego Toy Pad to see him come to life in the game Activate his Laser Deflector Suspend Ghosts and Hazard Protection abilities to solve puzzles and overpower enemies and when he needs an extra ghosthunting boost add the rebuildable 3in1 Ecto1 or the Ghost Trap into the game,"[9, 31]",Missing,Missing
1453161600,172571,LEGO Dimensions: Back to the Future Doc Brown Fun Pack,"[9, 12, 41, 48, 49]",Go back to the future with Doc Brown and his Traveling Time Train Join Doc Brown on a series of crazy adventures in a mashup multiverse of your favorite characters Build and place him on the Lego Toy Pad and see him spring to life in the game then activate his Hacking Technology Fixit and Drone abilities to solve puzzles and battle enemies If he runs out of ideas bring in Doc Browns Traveling Time Train and rebuild it into a Flying Time Machine and Missile Blast Time Train for upgraded ingame powers,"[9, 31]",Missing,Missing
1453766400,168780,LEGO Marvel's Avengers: Marvel's Captain America - Civil War Character Pack,"[6, 9, 14, 48]",Heroes once united now find themselves divided This pack features 9 playable characters starring in the actionpacked theatrical blockbuster,[31],Missing,Missing
1453939200,141896,Taishou Mebiusline Vitable,[46],PlayStation Vita port with sexually explicit content removed,[34],In the year 1923 during the last days of the Taishou Period Hiiragi Kyouichirou leaves his home in the countryside to attend the Imperial University As soon as he arrives in Tokyo though he runs right into a conflict between the allpowerful Imperial Army and the mysterious Gohongatana Clan The Imperial Army wants him for his ability to see the spirits of the dead now and hell have to figure out where his loyalties lie Is it to his country To the Emperor To his fellow man Or is there an even greater cause,Missing
1453852800,136105,Phantasy Star Online 2: Episode4 Reborn,"[6, 46, 48, 49]",The fourth major update to Phantasy Star Online 2 as well as the first major update for the Global version Episode 4 introduces new enemies and environments new classes and a wide array of several new features  The main new area of Episode 4 is the Planet Earth of the year 2028 AD Set in a different universe from the Oracle Universe of the last three games ARKS battle against the new enemy types known as the Phantasm Dealing with these threats ARKS will battle across Japan and the USA as they confront the wide array of unique forms the Phantasm can take on  The Japanese version of Episode 4s brought with it several new features which were available during the launch of the Global version The new class Summoner was introduced and several extra character customization options such as Layering Wear were introduced Besides that EPISODE 4 came with new expanded graphics settings which bring the PC version onpar with its newly released PlayStation 4 version  Over on the Global version the Episode 4 launch was the games Steam release and the game transitioning from a North American exclusive game to a Global game available to 33 countries including Europe and Oceania Several new features that were originally gated and general qualityoflife improvements were released in the Global version as part of the Episode 4 update including several new features introduced in the latest Japanese update  In addition to the new content both versions benefited from new features such as the addition of Bonus Quests and Battle Arenas,"[12, 25, 31]",Four years after the events of EPISODE 3 and one year after the events of Phantasy Star Online 2 The Animation the player is revived from stasis by the operator Xiera to accompany a new recruit named Hitsugi a young boy who is suspected to have ties to an internal invasion of fake ARKS members During the mission Hitsugi is attacked by a mysterious black mass the player attempts to purify Hitsugi but Hitsugi disappears prematurely Hitsugi is revealed to be a high school girl from Earth playing the video game Phantasy Star Online 2 who finds a strange boy with her avatars appearance in her room after the fiasco Hitsugi names the boy Aru  The player is subsequently sent to investigate Earth Through transdimensional video feeds it is discovered that Earth uses a parallel mutation of Photons called Ether that is primarily used as a method of highspeed data transmission but also resonates with the emotions and fears of the general public to create monsters called Phantoms The company ESCA who created Phantasy Star Online 2 is actually a front for a mysterious organization of Ethersensitives known as Mother Cluster Opposing them are the Earth Guides Ethersensitives lead by Ardem S Sacred who fight back against Mother Clusters Phantoms  The player Hitsugi and Hitsugis brother Enga travel around the world to suppress Mother Clusters efforts During an attack on Las Vegas Hitsgui is killed this triggers Arus Dark Falz powers to awaken and he revives Hitsugi who is captured and taken to Mother Clusters home base on the Moon Enga and the player rescue Hitsugi but discover that Hitsugi was a ploy to allow Mother Cluster to attack the ARKS Ship The player and Hitsugi return to the ARKS Ship and fend off Mother Cluster but Mother the leader of Mother Cluster absorbs Aru and escapes  The heroes pursue Mother back to the Moon base where she reveals that she is a failed Xion clone discarded by the Photoners and seeks vengeance against them The heroes defeat Mother causing her and Aru to separate and she is redeemed by the heroes However Ardem appears and kills and absorbs Mother revealing his true plan to usher in the next stage of humanitys evolution with Ether The heroes travel to Yggdrasil and confront Ardem who banishes the player back to the Oracle dimension and strips the heroes of their Ether abilities Back on the ARKS Ship Aru is revealed to have a fragment of Mothers consciousness remaining with him Mother possesses Aru and returns to Earth with the player restoring the heroes powers in the process and they defeat Ardem with their combined power,Missing
