first_release_date,id,name,platforms,genres,storyline,summary,rating
1480032000,268436,La Voz Vol. 2,"[5, 9]",Missing,Missing,Missing,Missing
1478822400,255606,Dishonored 2: Limited Edition,"[6, 48, 49]","[5, 12, 31]",Dishonored 2 is set 15 years after the Lord Regent has been vanquished and the dreaded Rat Plague has passed into history An otherworldly usurper has seized the throne from Empress Emily Kaldwin leaving the fate of the Isles hanging in the balance As either Emily Kaldwin or Corvo Attano travel beyond the legendary streets of Dunwall to Karnaca a oncedazzling coastal city that holds the key to restoring Emily to power Armed with the mark of the Outsider and powerful new supernatural abilities hunt down your enemies and forever alter the fate of the Empire,Reprise your role as a supernatural assassin in Dishonored 2 Play your way in a world where mysticism and industry collide Will you choose to play as Empress Emily Kaldwin or the Royal Protector Corvo Attano Will you stalk your way through the game unseen make full use of its brutal combat system or use a blend of both How will you combine your characters unique set of powers weapons and gadgets to eliminate your enemies The story responds to your choices leading to intriguing outcomes as you play through each of the games handcrafted missions  The Dishonored 2 Limited Edition is a limited supply edition of the game available by preordering from specific retailers before the release date that comes with additions They include the following physical and digital rewards   A free digital copy of Dishonored Definitive Edition an enhanced version of the original title which includes all the DLC and features improved graphics  Physical editions from participating retailers come with the Imperial Assassins Pack  Duelists Luck Bone Charm bullet packs have an increased chance of holding one more bullet  Void Favor Bone Charm supernatural powers have an increased chance of consuming no mana  Lore Book A Musicians Farewell  Antique Serkonan Guitar  500 coins to use in black market shops  Retailer exclusives include  Best Buy Dishonored comic book Also offers an exclusive The Royal Protector Bundle with Collectible Steelbook Corvo Keychain and Dishonored Corroded Man Novel  GameStop a reversible mask  Amazon free Dishonored soundtrack,Missing
1480118400,222782,No Man's Sky: Foundation,"[6, 48]",Missing,Missing,Update 11 Today were excited to bring you the Foundation Update Its the first of many free updates to come and were looking forward to you getting hands on with it Heres an outline of the updates  but we encourage you to dive in and discover for yourselves,Missing
1479168000,221824,Assassin's Creed Revelations,"[48, 49, 130]",[31],Missing,A remaster of Assassins Creed Revelations included with Assassins Creed The Ezio Collection  All the singleplayer addon content The Lost Archive is included and multiplayer is removed,Missing
1479168000,221823,Assassin's Creed Brotherhood,"[48, 49, 130]",[31],Missing,A remaster of Assassins Creed Brotherhood included with Assassins Creed The Ezio Collection  All the singleplayer addon content Copernicus Conspiracy The Da Vinci Disappearance is included and multiplayer is removed,Missing
1479168000,221822,Assassin's Creed II,"[48, 49, 130]","[8, 31]",Missing,A remaster of Assassins Creed II included with Assassins Creed The Ezio Collection  All the singleplayer addon content The Battle of Forlì Bonfire of the Vanities is included and multiplayer is removed,Missing
1480377600,205260,Final Fantasy XV: Special Edition,"[48, 49]",[12],Missing,Final Fantasy XV is the fifteenth main installment in the Final Fantasy series It is an open world roleplaying game set in the fictional world of Eos It is almost entirely ruled by the empire of the militaristic Niflheim except for the kingdom of Lucis The Lucians have been able to keep Niflheim at bay mainly because the capital Insomnia is protected by the Wall a magical shield powered by a crystal At the start of the game an armistice is proposed as well as a union of states through the marriage of Prince Noctis of Lucis and Lady Lunafreya of Tenebrae a separate nation with limited political power due to the influence of a priestess called the Oracle The game opens when Noctis the only playable character travels with his friends Gladiolus Ignis and Prompto to Accordo where the wedding is to take place Along the way it is revealed Niflheim has betrayed Lucis and the crystal has been stolen with many important figures killed Noctis main quest becomes to reclaim the throne and rescue the crystal,Missing
1479859200,202374,Starry Sky: Spring Stories,[46],[34],Starry Sky takes place at Seigatsu Gakuen a school which specializes in horoscopes astronomy and other related topics The main characters are all based on horoscopes  Starry Sky Spring features Suzuya Tohzuki Cancer Kanata Nanami Pisces and Yoh Tomoe Capricorn It follows main character Tsukiko Yahisa whos the first girl to enroll in the school and her first semester there which she spends with her childhood friends Suzuya and Kanata along with Yoh a transfer student who came from France,Starry  Sky Spring Stories is a port for the Playstation Vita of both Starry Sky In Spring and Starry Sky After Spring,Missing
1478908800,198429,Warframe: The War Within,"[6, 48, 49]","[5, 12, 25]",Missing,The Grineer Empire grows stronger as a cryptic adversary surfaces What secrets does the Grineer Empire keep Underpowered unprepared and forced out of your comfort you must find it in yourself to improvise not just to save yourself but the fate of all Tenno The Queens Fortress awaits where both Warframe and Operator will be pushed past their limits as they slowly unravel mysteries about the Tennos past and their true capabilities,Missing
1479427200,172578,LEGO Dimensions: Fantastic Beasts and Where to Find Them Story Pack,"[9, 12, 41, 48, 49]","[9, 31]",Missing,Take your adventure into the Wizarding World with the allnew Fantastic Beasts and Where to Find Them Story Pack Play the complete movie in the Lego Dimensions multiverse and help Newt Scamander find his escaped magical creatures in New York City across six actionpacked levels of gameplay Use a variety of spells including Diffindo Reparo and Lumos and interact with creatures like the Niffler Swooping Evil Bowtruckle and more You can even build the Niffler and then rebuild it into the Sinister Scorpion and Vicious Vulture Customize the Lego Toy Pad with the MACUSA gateway build and unlock the Fantastic Beasts and Where to Find Them Adventure World and Battle Arena,Missing
