first_release_date,id,name,platforms,genres,summary,storyline,rating
1482364800,245034,"Taiheiyou no Arashi: Koukoku no Kouhai Koko ni Ari, 1942 Senkan Yamato Hankou no Kouhou",[46],Missing,Missing,Missing,Missing
1482278400,235319,Minecraft: Vault-Tec Mash-up,"[6, 9, 12, 34, 39, 41, 46, 48, 49, 74, 130, 132, 388]","[13, 31]",Welcome to the wasteland Crack open the Vault containing 44 unique skins custom textures reskinned mobs a special postapocalyptic map an original soundtrack compilation and a PipBoyinspired UI,Missing,Missing
1482710400,226082,Ikemen Bakumatsu: Unmei no Koi Hana no Miyako to Koi no Ran,"[46, 48]",[34],PS Vita and PS4 port of the original smartphone release,In Japan the dawn of a new era was approaching  You find yourself suddenly snatched from your peaceful life in modern days to a different time and a landscape unlike youve ever seen Caught in the center of revolution which side will you choose Even if for a mere moment whose arms will you find sanctuary in Your romance awaits you in the past Do you believe in destiny,Missing
1482364800,223077,Dynamic Chord feat.Liar-S V Edition,[46],[34],A Vita port,The protagonist is a university student named Futaba Nina Raised by her overprotective parents and ignorant of the ways of the world Nina is a wealthy girl who had never properly fallen in love before  One day she is invited by a friend to a bar that hosts live music events Nina was captivated by the singing ability of Hinomiya Sakura and Suzuno Chiyas composition both of whom belongs to a certain band Around the time she left the bar and as her excitement of the live show cooled down she received a single SMS on her mobile phone It was from Yuisaki Seri a former acquaintance of hers  What will be the fate of the love between a wealthy girl who had lead a life without any association with rock bands and a band member,Missing
1483142400,206292,Blackguards: Definitive Edition,"[48, 49]",[16],Blackguards is a roleplaying game which focuses on tactical combat It leaves the highfantasy parts of Aventuria which is usually found in The Dark Eye games and is set in the wild south Mengbilla Loch Harodrôl and The Green Hell The player character has memory loss and is accused of murdering a princess The next course of action is breaking out of prison picking up some other criminals as party members and finding out what happened Parts of the story are told in flashbacks,Missing,Missing
1482364800,199220,Re:Birthday Song: Koi wo Utau Shinigami - Another Record,[46],"[31, 34]",ReBirthday Song Koi wo Utau Shinigami  Another Record is an Adventure game developed by honeybee and published by Asgard which was released in Japan in 2016,That song is an offering from the Reapersa Requiemvery near the boundary between heaven and hell where ones soul returns to In that place is a school in which Reapersbeings that collect human soulsare developed and trained Assembled as Reaper Cadets at this school are the protagonist and her peers who were once human There all possessing the same aspiration of becoming a Reaper cadets pair up with one another to study in order to become a fully fledged Reaper but  The protagonist Cocoro wasnt selected by anybody to be her partner as she performed poorly in all disciplines of Reaper study As a result she was grouped with other cadets that were falling behind and was made to take special supplementary lessons The other attendees of these supplementary lessons are fellow Reaper cadets Its filled with unique guys all with their own reasons for attending the school  Cocoro must choose one of the boys to become partners with however With her partner at her side will she be able to become a fully fledged Reaper  Or Will a single tale of love between two underachieving Reaper cadets be woven instead,Missing
1482278400,165866,Inside & Limbo Bundle,"[48, 49]",[8],Get Playdeads two critically acclaimed titles Inside  Limbo,Missing,Missing
1481673600,151907,Xposed,[48],[33],Xposed is a modern and challenging tribute to the arcade classics Avoid opponents be aware of your surroundings expose the covered area and have lots of fun Uncover dozens of unique backgrounds and unlock more level packs while mastering your skills Simple controls demanding levels but rewarding experience,Missing,Missing
1483142400,139855,Oddworld: New 'n' Tasty - Limited Edition,"[48, 130]",[8],This limited edition version of Oddworld Abes Oddysee  New n Tasty includes the original game as well as the Alfs Escape DLC,Missing,Missing
1482364800,136751,Saki Zenkoku Hen Plus,[46],Missing,Missing,Missing,Missing
1483142400,136741,Biohazard Value Pack,[48],"[5, 31]",Biohazard Value Pack includes these main titles from the Resident Evil franchise,Missing,Missing
1482364800,136527,Harukanaru Toki no Naka de 6 Gentou Rondo,[46],"[12, 34]",Sequel of Harukanaru Toki no Naka De 6 that was announced during the Haruka Matsuri 2016 event,After saving the imperial capital from destruction the protagonist remains in the parallel world to help her comrades rebuild the ruined capital with the help from a local zaibatsu One month later during the Reconstruction Festival commemorating their hardearned peace vengeful spirits reappear and beckons the Dragon Gems to manifest The protagonists comrades are donned as the Eight Guardians Along with this supernatural resurgence an automata a moving doll claims the protagonist as his master The protagonist hopes to once again restore prosperity before she returns to her home world,Missing
