first_release_date,genres,id,name,platforms,summary,storyline,rating
1567468800,"[13, 31]",254079,Minecraft: DuckTales,"[6, 34, 39, 48, 49, 74, 130, 132, 388]",Discover treasure and trouble at every turn in the DuckTales Adventure Map From McDuck Manor to Mount Neverrest zoom from adventure to legendary puzzles in the Sun Chaser and deposit your riches at The Money Bin Solve a mystery or rewrite history as Huey Dewey Louie Webby and other Duckburg citizens Life is like a hurricane in the DuckTales Adventure Map WOOOO,Missing,Missing
1569283200,[31],226797,Generation Zero: Blockbuster Vanity Pack,"[6, 48, 49]",Everyone knows that the summer season is a perfect time to sit back with an actionpacked blockbuster and let the movie magic happen And few decades had such excellent ones as the 1980s so in tribute to some of those you can now mix and match between 4 iconic new outfits as well as express your love for them using 6 emotes,Missing,Missing
1568246400,"[9, 31]",220893,The Sinking City: Deluxe Edition,"[130, 167, 169]",Upgrade your experience with the Deluxe Edition which includes   The Sinking City game  The Worshipers of the Necronomicon  3 new quests in which Charles Reed investigates unsolved cases and sets out in search of mysterious spell books that harbor unspeakable powers  Merciful Madness  3 new quests that explore Lovecrafts iconic stories and bring to light the mysteries of Oakmont and its demented citizens  Investigator Pack  Upgrade your gaming experience with an exclusive private investigator outfit and access to a first aid kit antipsychotics and a crafting materials starter pack  Chicago Organ Grinder  This DLC grants early access to the most powerful weapon in the game the Tommy gun and comes with a golden skin of the weapon  Experience Boost  This DLC includes a skill point that can be used from the start of the game Use it wisely to upgrade your combat skills vigor or mind,Missing,Missing
1568851200,[13],205268,Cities: Skylines - Parklife Edition,"[48, 49]",Cities Skylines is a modern take on the classic city simulation The game introduces new gameplay elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some wellestablished tropes of the city building experience Constructing your city from the ground up is easy to learn but hard to master,Playing as the mayor of your city youll be faced with balancing essential requirements such as education water electricity police fire fighting healthcare and much more along with your citys real economy system Citizens within your city react fluidly with gravitas and with an air of authenticity to a multitude of gameplay scenarios Build the city of your dreams Bring on a smogfilled industrial revolution or create a quiet beach town ideal for tourists powered by renewable energy Build it your way Multitiered and challenging simulation Playing as the mayor of your city youll be faced with balancing essential requirements such as education water electricity and much more along with your citys economy Extensive local traffic simulation Managing traffic and the needs of your citizens to work and play will require the use of several interactive transport systems Districts and Policies Be more than just another city hall official Create a carfree downtown area assign free public transport to your waterfront or ban pets in suburbia After Dark included Watch your city become an entirely different place at night a daynight cycle will have your citizens seeking out places to unwind after work Parklife is a playful new expansion making your city more alive with new amusement parks nature reserves city parks and zoos and giving new life to your empty land with custom parks and gardens Parklife adds new ways to play with the introduction of a new park area tool and levelup features that increase your parks property values along with five new maps and a ton of assets in play,Missing
1569542400,"[11, 15, 24]",202221,Ancestor's Legacy: Conqueror's Edition,[48],Ancestors Legacy is a historyinspired realtime strategy game influenced by historical events in the Middle Ages The game combines resource management and base building with largescale squadbased battles across vast battlefields all rendered in superb detail with Unreal Engine 4 Experience medieval bloodshed like never before thanks to the cinematic action camera that puts you right in the middle of the battle at the press of a button  Conquerors Edition includes  Ancestors Legacy full version  Exclusive Art Book  Soundtrack,Missing,Missing
1568678400,[15],164813,Dead by Daylight: Stranger Things Edition,"[6, 48, 49, 167, 169, 170]",The Stranger Things Edition of Dead by Daylight includes all the content of the Special Edition three original chapters Curtain Call Shattered Bloodline Darkness Among Us and the Stranger Things chapter This edition gives you access to a roster of 11 Killers and 14 Survivors  This edition of the game was delisted on November 17th 2021 along with the related DLC The DLCs map The Underground Complex was removed from the game and additional costumes related to Stranger Things were removed from the ingame store,Missing,Missing
1569369600,[13],164584,Ace Combat 7: Skies Unknown - Unexpected Visitor,"[6, 48, 49]",The 4th addon included in the season pass for ACE COMBAT 7 SKIES UNKNOWN This addon allows you to play the new mission Unexpected Visitor,Missing,Missing
1567987200,[4],163260,Tekken 7: Zafina,"[6, 48, 49]",An addon for TEKKEN 7 that grants use of the character Zafina,Missing,Missing
1567728000,[25],148509,Monster Hunter: World - Iceborne Deluxe Kit,"[6, 48, 49]",Expand your Monster Hunter World Iceborne experience with this special Deluxe Kit that adds a wide variety of content ranging from layered armor gestures sticker sets additional character creation options and new decorations to personalize your hunters living space,Missing,Missing
1569542400,"[8, 9, 33]",147597,The Adventures of Elena Temple: Definitive Edition,"[6, 48, 49, 130, 167]",Experience The Adventures of Elena Temple in a Definitive Edition including more content more features more fun and more black and white pixel art,Missing,Missing
1568160000,Missing,143852,"Evan, Daniel and Friends","[34, 48, 49]",Educational Game for preschoolers this video game is intended to reinforce learning based on Standards of Education for Kindergarten in the State of California,Missing,Missing
1569456000,[12],136823,Atelier Ryza: Ever Darkness & the Secret Hideout - Premium Box,"[48, 130]",This edition includes the following   Atelier Ryza Ever Darkness  the Secret Hideout  DLC Divells Embrace costume for Ryza  Atelier Ryza Art Book  Atelier Ryza Illustration B2 Cloth Poster  Atelier Ryza Stained Glassstyle Clear File twoset  Atelier Ryza Acrylic Mini Character Charm,Missing,Missing
1568332800,"[5, 31]",136270,Borderlands 3: Ultimate Loot Chest - Limited Edition,"[6, 49, 167]",This version includes   Replica of the Chest of Arms  Exclusive bobblehead by Marcus Kincaid  Metal box for the game  Field notes from Sir Hammerlock  Pandora cloth map  Identification table of Pandoras creatures  4 postcards with lithographs  4 exclusive stickers  Artbook Inside the chamber  Certificate of authenticity numbered,Missing,Missing
1568332800,"[5, 31]",136268,Borderlands 3: Diamond Loot Chest - Collector's Edition,"[49, 167]",The following items are included in the Diamond Loot Chest   Diamond Loot Chest replica  Borderlands 3 character figurines X10  Sanctuary 3 snap model  Vault Key chains X4  Cloth galaxy map  Character art lithographs X5,Missing,Missing
1567728000,Missing,136071,The Legend of Heroes: Trails of Cold Steel III - Early Enrollment Edition,[48],Missing,Missing,Missing
1568937600,"[13, 14, 15, 31, 32]",135586,Hidden,"[6, 48, 130]",You wake up trapped in a mental asylum for the criminally insane which crawling with the most the evil murderers    The only way to survive is to find the three keys and escape without being found and killed by the other inmates    In order to navigate around the dark asylum and find the three keys you have a flashlight however turning on the flashlight at the wrong time will attract the other inmates so use it wisely if you want to stay alive,Missing,Missing
1567728000,"[12, 31, 32]",133044,Ashen: Nightstorm Isle,"[6, 48, 49, 130]",The wanderer accompanies a mother on a quest to find her lost daughter Venturing far from familiar ashcovered shores players descend into the perilous depths of Nightstorm Isle Countless horrors lurk below yet nothing will prepare you for the ancient evil they imprison,Missing,Missing
1569456000,[12],131955,Code Vein: Season Pass,"[6, 48, 49]",The Code Vein Season Pass includes DLC packs that feature new bosses weapons character creation content and more  Season Pass Bonus Alternate Mia Set,Missing,Missing
1568160000,"[5, 24]",129902,Tom Clancy's Rainbow Six Siege: Operation Ember Rise,"[6, 48, 49]",Something new is on the horizon and Operation Ember Rise will shed light on it Two operators Amaru and Goyo were recruited from Peru and Mexico bringing with them innovation and change to Rainbow Six along with a thrilling rework to Kanal,Missing,Missing
