first_release_date,id,name,platforms,genres,summary,storyline,rating
846201600,252198,Eexy Life: East End X Yuri,[7],Missing,Missing,Missing,Missing
844387200,166555,Eternal Melody,"[7, 32]","[13, 34]",Main character is a normal high school student who gets into an accident at the construction site Instead of dying he finds himself in a strange world There he learns that he needs to find a powerful artifact in order to return to his world However there are also other contestants for the treasure as it can help to conquer the world Will protagonist return to his world safely  The primary objective of this game is to plan training schedules for yourself and the four members of your party including you to strengthen them You must win several board game battles that occur during the journey Additionally by forming close bonds with the girls you recruit as allies you can receive a confession of love from them in the ending if you fail to build a good rapport with any party member you will receive a confession from one of the rival characters Kyle Remit or Iris These romantic elements are secondary objectives There are a total of 27 different endings in the game  This game can be considered a precursor to MediaWorks Yuukyuu Gensoukyoku Series,Missing,Missing
846201600,112183,Building Crush!,[7],Missing,Missing,Missing,Missing
846201600,78624,Pinball Fantasies Deluxe,"[7, 13]",[30],Pinball Fantasies Deluxe is a compilation of two previously released Digital Illusions pinball titles   Pinball Fantasies  Pinball Mania,Missing,Missing
845596800,69532,Langrisser III,"[8, 32]","[12, 15]",Missing,Missing,Missing
846633600,66137,Rupupu Cube: Lup Salad,[7],[9],Rupupu Cube Lup Salad is a blockpushing puzzle game developed by Fupac for the PlayStation in Japan only until it offered in the US through PSN Import Classic It has been ported to both the DS and the PSP in Japan as well The characters were designed by Izumi Takemoto,Missing,Missing
844905600,61566,Heroine Dream,[7],[13],Idol simulation game where the player has to train a girl to become Japans next star idol,Missing,Missing
844992000,49570,Fushigi no Kuni no Angelique,"[6, 7, 24, 32, 274]","[15, 31, 35]",A board and dating sim otome game set in the Angelique universe It was originally released for PCFX and later ported to several other platforms,The protagonist takes a nap one day during the Queen Examination She overhears her rival Rosalia rushing to meet with the Sacred Guardians for a tea party Wishing to attend herself the protagonist pursues her and falls into a giant hole She lands into an Alice in Wonderland version of the Flying Capital Her goal is to explore her strange surroundings and to reach the four oclock tea party in time,Missing
846720000,45514,Blazing Dragons,"[7, 32]","[2, 9, 31]",A video game based on the television series was created for the Sega Saturn and PlayStation consoles In a twist on the legend of King Arthur the player controls Flicker who lives in Camelhot castle and is in love with Princess Flame but is not eligible to ask for her hand in marriage because he is not a knight However the King has announced a dragon tournament where the winner will not only win the princess but also become the new king  As a young Flicker the player must collect various objects and interact with an eccentric cast of dragon and human characters in order to solve puzzles The players overall quest is to become a dragon knight to compete in the grand tournament and win the heart of Princess Flame However the player discovers an evil human plot to take over the kingdom by kidnapping the princess  As is the case with many other graphic adventure games the player can never die in the game or reach a point in the game where a puzzle cannot be solved The humour in the game is heavily influenced by the British comedy of Monty Python the game starring former Monty Python actor Terry Jones and thus includes plenty of mild sexual innuendos and other shenanigans  While the video game leaves open the possibility for a sequel no sequel for the game was planned,Missing,Missing
846633600,44984,Fox Hunt,"[6, 7]",[31],Jack Fremont was planning to enjoy his day doing the things he loved  reading comics ignoring the eviction notices and heading down to the bar to play 70s television trivia That was until CIA agents kidnapped him As it turns out theres a missile aimed at LA and the Russians are planning to hijack Hollywood The agents make Jack an offer he cant refuse 500 to save the world Now hes wanted dead by a man named Frank and ends up fighting for his life  Fox Hunt is a cinematic adventure referred to as Interactive Comedy Spy Thriller Help Jack by moving him through several locations using your gamepad Jump kick and punch the bad guys in certain scenes and watch as the action plays out Encounter characters such as Fat Freddy Alan and Allen and several feisty showgirls in your quest to save the world Youll also be able to explore Jacks apartment jump out of windows and chase a wolf through a maze in the park Be careful though because Frank is always on your tail,Missing,Missing
