first_release_date,id,name,platforms,summary,genres,rating,storyline
1143676800,91725,Zoids Infinity EX NEO,[12],An expanded version of the arcade game Zoids Infinity Players could play against each other online through Xbox Live,Missing,Missing,Missing
1143504000,22584,Far Cry Instincts: Evolution,[11],A sequel to Far Cry Instincts with a different campaign,[5],Missing,Missing
1143072000,7214,Far East of Eden Ziria: Harukanaru Jipang,[12],Missing,[12],Missing,Missing
1143676800,6944,The Conveni 200X,[12],The Conveni 200X is a convenience store simulation game where you start your own store manage it and then by being successful start another store until you have an empire,[13],Missing,Missing
1143763200,6187,Taito Legends 2,"[6, 11]",Taito Legends 2 is a games collection for Xbox and Windows A different version was released for the PS2 under the same title,"[4, 5, 9, 10, 12, 13, 14, 15, 31, 33]",Missing,Missing
1143590400,5949,NBA Ballers: Phenom,"[8, 11]",Phenom is the second game in Midways NBA Ballers series,[14],Missing,Missing
1142553600,5806,Dancing Stage Unleashed 3,[11],Get dancing with this fantastic party game for the whole family  Pit your skills against your friends in an outright headtohead versus match or show of your moves online with Xbox Live Plenty of new mini games and challenges will keep the excitement going,[7],Missing,Missing
1143072000,5014,Monster 4x4: World Circuit,"[5, 11]",This game has over 20 monster trucks and 30 circuits that take you all over the world Race on circuits in the US Europe Asia and even Antarctica Drive trucks that have different car frames like a taxi a mini cooper an ambulance a school bus the original truck frame and much more All of these can be customized with vinyls paint jobs and performance parts While racing you can score points to unlock hidden cars and tracks by hitting barrels that can hurt opponents and hitting tires crates and buildings,[10],Missing,Missing
1142294400,1852,Tom Clancy's Rainbow Six: Critical Hour,[11],In Tom Clancys Rainbow Six Critical Hour Ubisofts Quebec studio blends the finest elements of Tom Clancys Rainbow Six series to create the most complete chapter to date This latest chapter marks the return to the franchises roots by reintroducing the deeply strategic and tactical gameplay synonymous with the Rainbow Six name while incorporating classic ingame elements such as vintage maps and weapons all rebuilt using todays technology Rainbow Six Critical Hour brings a new sevenmission singleplayer campaign and 18 multiplayer levels,"[5, 24]",Missing,Missing
1142812800,59,The Elder Scrolls IV: Oblivion,"[6, 9, 12]",The Elder Scrolls IV Oblivion the fourth game in the Elder Scrolls story is set within the province of Cyrodiil the heartland and Imperial capital of Tamriel Emperor Uriel Septim VII is assassinated in flight from his own palace but just before he dies he passes on to you the mystic Amulet of Kings The adventure proper begins with the quest to find Uriels lost and illegitimate son who is the only heir to the throne In a world where the forces of darkness seek their ultimate dominion over the ranks of man and mer alike you alone stand between the future of Tamriel and the gates of Oblivion,"[12, 31]",85.04774118818425,After the mysterious and untimely death of the Emperor desperate factions vie for control of Tamriels throne With the empire ready to crumble the gates of Oblivion open and demons march upon the land laying waste to everything in their path To turn the tide of darkness the player must find the lost heir to the throne and unravel the sinister plot that threatens to destroy all of Tamriel
1143504000,7167,Rumble Roses XX,[12],Its all female wrestling in Rumble Roses XX the sequel to Rumble Roses,"[4, 14]",85.0,Missing
1141257600,3155,The Lord of the Rings: The Battle for Middle-earth II,"[6, 12]",Wage war in the North and assume command of the most storied civilizations in all of Middleearth history  the Elven and Dwarven armies  or fight on the side of Evil with heroes and creatures that have never been seen in The Lord of the Rings films Defend or overtake never before seen lands such as Dol Guldur The Misty Mountains and Mirkwood as you unleash powerful new weapons and abilities such as summoning dragons,"[11, 15]",82.32802982880267,Missing
1143417600,5841,Full Spectrum Warrior: Ten Hammers,"[6, 8, 11]",Sequel to the critically acclaimed squadbasedrealtime tactical combat game Full Spectrum Warrior Ten Hammers delivers the most authentic and realistic infantry combat experience ever As Squad Leader coordinate the actions of multiple infantry squads leading them through over 12 levels of intense action Utilize authentic combat tactics to command your squad as you battle enemies with an explosive arsenal of weapons hightech military equipment and new controllable mechanized units New advanced squad controls give you more indepth tactical command over your squad as you lead them through a variety of realistic combat missions With all new multiplayer modes go online and team up with a friend in two player coop or go headtohead with up to eight players through a variety of new adversarial and teambased objective missions,"[11, 13, 15]",79.90926604934435,Missing
1142553600,2054,OutRun 2006: Coast 2 Coast,"[6, 8, 11, 38]",OutRun 2006 Coast 2 Coast features 15 unique cars the most ever seen in any OutRun game In addition to the ten cars from OutRun 2 SP new models include the 550 Barchetta F355 Spider Superamerica 328 GTS and the Ferrari F430 Some models cannot be unlocked on the PlayStation Portable or PlayStation 2 without the use of the crosssystem connectivity feature inherent of the two systems,[10],77.98067777941105,Missing
1143072000,19624,Dynasty Warriors 5: Empires,"[8, 12]",Dynasty Warriors 5 Empires 真三國無双4 Empires is the second expansion for Dynasty Warriors 5 Like the previous Empires expansion the game focuses on the players ability to simulate a leader taking and controlling territory eventually becoming a powerful leader controlling China,"[24, 25]",77.14205813571189,Missing
