first_release_date,id,name,platforms,genres,summary,rating,storyline
1204848000,90912,SuperStar Karaoke,[12],Missing,Missing,Missing,Missing
1205712000,50945,Merv Griffin's Crosswords,"[5, 6, 12]",[9],Merv Griffins Crosswords combines over a thousand unique and challenging crossword puzzles with fastpaced game show action in an incredibly addictive and entertaining game for the whole family,Missing,Missing
1204502400,21356,Mr. Driller Online,[12],[9],Players take on the role of a driller moving through levels of colorful blocks avoiding the threat of being crushed by falling blocks all while keeping their air supply from running out  Mr Driller Online features single player modes including Standard Driller and Quest Driller as well as online multiplayer support for up to four players on Xbox LIVE In online multiplayer mode players can participate in a split screen Solo Battle where the best score wins or in Tag Battle where friends team up in pairs to beat the game,Missing,Missing
1204761600,20273,Rocketmen: Axis of Evil,"[9, 12]",[5],Rocketmen Axis of Evil is a downloadable topdown shooter developed by ACRONYM Games Eyerisk Studios and published by Capcom for the PlayStation 3 and Xbox 360 The game is based on the constructible strategy game called Rocketmen from WizKids It supports 14 person cooperative play either online or offline,Missing,Missing
1204588800,4989,Major League Baseball 2K8,"[5, 8, 9, 12, 38]","[13, 14]",Major League Baseball 2K8 or in shorter terms MLB 2K8 is an MLB licensed baseball simulation video game developed by Kush Games and published by 2K Sports for the PlayStation 2 PlayStation 3 PlayStation Portable Wii and Xbox 3601 It was released on March 4 2008 A demo was released on Xbox Live Marketplace the next day on March 5 for Canada United States and Asian markets,Missing,Missing
1205193600,13784,Mass Effect: Bring Down the Sky,"[6, 9, 12]","[5, 12]",Bring Down the Sky is the first DLC for Mass Effect The DLC takes place in the Asgard system where an asteroid has been hijacked and sent on a collision course with the human colony of Terra Nova,82.65291444382355,Missing
1205798400,43643,The King of Fighters '98: Ultimate Match,"[6, 8, 12, 48, 52]","[4, 33]",A remixed version of King of Fighters 98 with rebalanced gameplay Ultimate fighting mode an unlockable art gallery and 64 fighters to choose from 10 of these were previously unseen in KoF 98 Also included is the original Neo Geo version Additionally the game now supports 480p resolution  Featuring 5 game modes Arcade Single Play no team Endless endurance trial Practice and Challenge mode Options include the ability to increase character sprite size soften the sprite by various degrees reduces blockiness and a 3D2D background toggle The Ultimate fighting mode lets you toggle three different modes Move Type Dash  Step Evasion Type Avoiding  Urgent and Power Gauge Advanced  Extra  The game comes with a second bonus disc containing trailers and wallpapers for both this title and the upcoming King of Fighters XII,80.00813696172239,Missing
1206576000,7153,Raiden Fighters Aces,[12],[5],A compilation of games in the Raiden Fighters franchise All three arcade classics have been faithfully recreated in this ultimate collection A new Training mode lets you modify every aspect your ships and wingmen skip to any level or play in slowmotion Comprehensive screen and control settings let you play each game fullscreen as a sidescroller or even vertically on a rotated 43 display Play 2player coop games offline or play Arcade Mode as a lonewolf posting highscores and gameclips to Xbox Live,80.0,Missing
1205280000,4737,Cabela's Dangerous Hunts 2009,"[5, 8, 9, 12]","[4, 5, 14]",Cabelas Dangerous Hunts 2009 is a hunting video game published by Activision for the PlayStation 2 PlayStation 3 Wii and Xbox 360 video game consoles It was released in the United States on September 23 2008,80.0,Missing
1206576000,5642,Guilty Gear XX Accent Core Plus,"[5, 8, 9, 12, 38]",[4],Λ Core Plus also features a new Story mode The story is a continuation of the storyline from Guilty Gear XX All characters have a storyline and the stories cover the major events involving the mystery of Gears That Man and conflict with the Post War Administration Bureau etc The mode uses a full branching path Zapping system with a total of 350 scenarios The game also introduces a new NPC character the Post War Administration Bureau scientist Crow who attacks the cast in the Story mode using mindless clones of Justice,79.73811025601199,Missing
1206316800,707,Command & Conquer 3: Kane's Wrath,"[6, 12, 49]","[11, 13, 15]",In the name of Kane The Command  Conquer series continues to thrive with Command  Conquer 3 Kanes Wrath As the expansion pack to the criticallyacclaimed and fan favorite Command  Conquer 3 Tiberium Wars this Realtime Strategy RTS game returns to the Tiberium Universe with Kane at the center of an epic new single player campaign spanning 20 years  from the rebirth of the Brotherhood of Nod after the Second Tiberium War through the dramatic events of the Third Tiberium War and beyond  This story will be told through a new set of highdefinition live action video sequences starring a celebrity cast including Joe Kucan playing the megalomaniac leader of the Brotherhood of Nod alongside new talent Natasha Henstridge and Carl Lumbly With your help Commander the Dark Messiah may rise again  Unprecedented Multidecade Campaign  Kane returns as the centerpiece of an epic new singleplayer campaign Experience a new story that spans 20 years  from the rebirth of the Brotherhood of Nod after the Second Tiberium War through the dramatic events of the Third Tiberium War and beyond Facilitate the rise of the Brotherhood leading up to and beyond the events of Command  Conquer 3 Tiberium Wars,79.60749932636435,Missing
