first_release_date,genres,id,name,platforms,summary,rating,storyline
1280188800,"[5, 31]",232808,Transformers: War for Cybertron Map and Character Pack,"[9, 12]",The additional TRANSFORMERS characters entering the pack include SCATTERSHOT ONSLAUGHT SHOCKWAVE DEMOLISHOR and JAZZ Players have access to all five characters in the games adrenalinepumping fourplayer coop Escalation mode and will be able to select their chassis to create their own TRANSFORMERS character in competitive multiplayer  Additionally four brand new multiplayer maps extend the diverse set of battlefields on which players can battle with or against their friends online District and Forsaken allow fans to team up in allnew environments in Escalation mode while Havok and Fortress deliver more frenetic gameplay in competitive multiplayer modes  Demolisher Jazz and Shockwave were originally released as individual preorder bonus codes from Amazon BestBuy and GameStop respectively,Missing,Missing
1279670400,[9],202775,Opposites,[12],Opposites is a Tetrisstyle competitive puzzle game Two players play simultaneously on the same field one player adds white pieces from the left while the other adds black pieces from the right Solid objects on one side become open space on the other If a player completes a line of their color that line vanishes and the field shifts toward the other player When one players open space reaches the other players edge they win the game Opposites can be played either against the computer or with a second player,Missing,Missing
1278460800,Missing,202091,Bejeweled 3,"[6, 9, 12, 20, 55, 82]",The biggest brightest Bejeweled ever Discover allnew ways to play the worlds 1 puzzle game Find your perfect match with 8 breathtaking game modes that meet all your moods ease into Classic Bejeweled for cascades of fun journey through 40 challenging Quest puzzles charge into the electrifying Lightning for nonstop action and tailor your experience in Zen for a revolutionary new way to relax,Missing,Missing
1280361600,[5],145399,Strike Witches: Hakugin no Tsubasa,"[12, 38]",Strike Witches Hakugin no Tsubasa is a bullet hell shoot em up developed by Cyberfront and Gulty The game is more specifically a horizontal scrolling twinstick shooter with 3D models The story mode is a fully voiced multiending scenario where the story changes greatly depending on the battles results,Missing,Missing
1280102400,[30],144035,Avatar Pinball,[12],Avatar Pinball combines ragdoll physics with classic pinball gameplay in a giant pinball machine where your Avatar is the ball Five different gameplay modes have you playing pinball with avatars sock puppets and even actual balls Full 3D visuals with a tropical island theme round out the experience,Missing,Missing
1279843200,[14],93518,Pétanque Master,"[5, 9, 12]",Alone or with friends enjoy the fun of this sport at home using Motion Plus and discover unrivalled simulation quality Choose your bowls amongst the wide selection of equipment of the famous Obut brand Pétanque specialist and choose one of the five game fields according to the effects you wish to simulate and select your teams by their expertise shooter pointer or intermediary Organize tournaments either solo in doubles or triples Perfect your style and game tactics with respect to your opponents Enable your teammates talents to grow and buy ever more effective equipment to become a true Pétanque champion Strong Points  Using Wii Motion Plus simulation is even more accurate particularly helping to reproduce all the effects of champions  The Obut brand sponsor the game  5 game fields with special features for a true impact on the game large gravel fine gravel sand etc  Can be played by up to 6 players,Missing,Missing
1279065600,[4],67092,Deadliest Warrior: The Game,"[9, 12]",Drawing inspiration from the Bushido Blade series Deadliest Warrior The Game is a 3D fighting game based on the Spike TV show Deadliest Warrior where generic versions of ancient warriors clash to find out who is the deadliest,Missing,Missing
1278892800,"[9, 31]",66479,Decay: Part 2,[12],The story continues in the sequel to Decay  Part 1 Decay  Part 2 is a thrillerhorror adventure game with a very creepy atmosphere and challenging gameplay,Missing,Missing
1278720000,"[4, 32]",62786,Battle-SX,[12],Upgraded version of the Xbox Live Indie fighter BattleX,Missing,Missing
1280361600,Missing,47407,Deathsmiles: Limited Edition,[12],Missing,Missing,Missing
