first_release_date,genres,id,name,platforms,storyline,summary,rating
1333670400,[31],254884,Skylanders Spyro's Adventure Dragons Peak Expansion,"[5, 9, 12, 37]",The dragon knight Flavius sought the Skylanders to help him free his King from the clutches of the Undead dragon Vathek and usurp him from the throne After arriving in Dragons Peak Flavius explained to the Skylander the events that led to Vatheks rule over the Peak Previously the red dragon knight convinced King Ramses to go flying with him but while they were away Ramses evil brother Vathek sat on the Dragons Throne making him ruler of Dragons Peak by Dragon Law Using the power of the Throne Vathek cursed Ramses turning him into stone and Flavius blamed himself for what happened  After the Skylander freed Ramses from Vatheks curse the elder dragon tasked them of defeating his evil brother and informs them of how to reach Vathek having grown too weak to fly due to the curse Upon arriving at the Elder Dragon Throne Vathek selfishly told the Skylanders that the Dragon Throne was his and summoned the minions that are loyal to the Throne to attack the Skylander for their treachery As the Skylander defeated the minions Vathek retreated to the Dragons Throne to use its power to summon more minions to destroy them suspecting that the Skylander cant keep fighting forever  As the evil dragon summoned all of the minions the Throne can muster the Skylander emerged victorious despite the mass amount of enemies Enraged Vathek leaped off of the Dragon Throne to deal with the Skylander himself but as it would seem a fight was about to begin Flavius appeared and took the Throne making him king by Dragon law and rendering Vathek completely powerless As Vathek exclaimed in disbelief that he fell for the oldest trick in the book Flavius used the Thrones power to turn Vathek into stone as punishment for betraying Ramses  After the battle Ramses returned to his position as King and pondered about what to do with Vathek at first suggesting banishment but dismissed the idea when Flavius mentioned that the frozen Vathek makes a  good statue The Dragon King then became curious as to why Flavius didnt keep the Dragons Throne for himself when the dragon knight had the chance Flavius replied that Ramses himself is the only true king of Dragons Peak and that the Throne was his until the day he decides to resign Moved by Flaviuss loyalty Ramses then mentioned that when that day comes he knows exactly who will take his place The elder dragon then expressed his gratitude to the Skylander for their help and has Flavius take them back to the Ruins,Dragons Peak is an Adventure Pack level in Skylanders Spyros Adventure that comes with the Skylander Sunburn As its name suggests it is home to one of Skylands most ancient creatures the Dragons,Missing
1333411200,[25],217921,Asura's Wrath Episode 15.5,"[9, 12]",Missing,Defiance is the special lost 155th episode of Asuras Wrath from the DLC featuring unseen events after Episode 15 A New Cause,Missing
1335225600,[25],157312,Asura's Wrath: Part IV Nirvana,"[9, 12]",Missing,Missing,Missing
1333584000,[32],128683,Vidiot Game,"[6, 12, 82]",Missing,Can you figure out what the hell is going on Probably not but have fun trying Features multiple minigames several plots and schemes wacky effects and Ungus Fungus Doug Beach and Hiratio as playable characters Vidiot Game has gamepad support,Missing
1333411200,[10],79939,10 Amazingly Awful Games Vol 2,[12],Missing,Oh no Back despite popular demand for it not to be here is 10 Amazingly Awful Games Volume 2  Featuring Zombies Platforms Shooters and more 10 Games for the price of 1 We take no responsibility for any anguish and torment that may come from playing enjoy,Missing
1333584000,[9],64654,48 Chambers,[12],Missing,48 Chambers is the second game developed by Discord Games The player must navigate chambers full of traps to reach the goal,Missing
1334880000,Missing,47464,Ninja Gaiden 3: Collector's Edition,[12],Missing,Ninja Gaiden 3 Collectors Edition  Featuring a new story new gameplay and new modes Ninja Gaiden 3 marks a new direction in this fanfavorite franchise The game will also feature online multiplayer both coop and competitive that will add a completely new experience to Ninja Gaiden,Missing
1333584000,"[9, 35]",47431,Mahjong: Dream C Club,"[9, 12]",Missing,Japan release,Missing
1335484800,[14],47419,Tiger Woods PGA Tour 13: Masters Collector's Edition,[12],Missing,Tiger Woods PGA Tour 13 is a golfing simulation video game in the PGA Tour series This is the first version of the game since 2006 not to be released on the Wii,Missing
1333670400,[4],45197,Street Fighter X Tekken: Special Edition,"[6, 9, 12]",Missing,Street Fighter X Tekken is a crossover fighting game developed by Capcom and released in March 2012 for the PlayStation 3 and Xbox 360 in May for the PC and in October for the PlayStation Vita The game features characters from both the Street Fighter franchise and Namcos Tekken series In the game players select two characters and face other duos in tag team fighting matches in which the objective is to knock out one of the members from the opposing team In addition to the games multiplayer modes the game also features a singleplayer Story mode with a plot revolving around a mysterious object called the Pandora,Missing
