first_release_date,genres,id,name,platforms,summary,rating,storyline
1358208000,[31],151548,Assassin's Creed III: The Battle Hardened Pack,"[6, 9, 12, 41]",The Battle Hardened Pack extends the Assassins Creed III multiplayer experience with three new playable characters and maps plus awesome bonus items Become the influential Governor the resilient Highlander or the fearsome Coyote Man,Missing,Missing
1359590400,[7],64466,Love Tore: Bitter,[12],Love Tore Bitter is an animethemed Kinect dance game released only in Japan It is the third in the series,Missing,Missing
1358812800,[5],47467,BioShock: Ultimate Rapture Edition,"[9, 12]",This edition includes the original BioShock BioShock 2 and addon content for both games  For BioShock this edition includes the Plasmid Pack and the DLC Challenge Rooms which was a PS3 exclusive now available as well for the Xbox 360 version In addition a new addon for BioShock Museum of Orphaned Concepts showcases early concept art and ideas that were removed or never added to the final version of the game  For BioShock 2 the Ultimate Rapture Edition will also include the Sinclair Solutions Tester Pack Rapture Metro Pack Kill em Kindly The Protector Trials and Minervas Den DLC which come with related achievementstrophies  This edition also comes with a collectible Columbia Sticker pack inspired by the thenupcoming game,Missing,Missing
1359417600,[5],20153,Call of Duty: Black Ops II - Revolution,"[6, 9, 12]",Revolution is a downloadable content pack DLC for the 2012 game Call of Duty Black Ops II It includes four new multiplayer and one new zombie map   Hydro takes place on the Indus River in Pakistan  Downhill takes place in the Alps in France  Grind takes place in a skate park in Venice Beach  Mirage takes place in the middle of the Gobi Desert  Die Rise the zombie map taking place in two broken down skyscrapers  It also contains a new weapon the Peacekeeper and the new game mode Turned in which players can become an zombie in the zombies mode,Missing,Missing
1357171200,[5],16403,Special Forces: Team X,"[6, 12]",Special Forces Team X STX is a team centric 3rd Person cover based shooter The game features a unique map selection system with the ability to shape the battlefield by selecting individual environmental pieces resulting in over 100 map variations STX supports asymmetric game play with 24 teams and 5 frenetic game modes Cooperative play between team members is richly rewarded Customize your skills weapons and character to tailor your tactics and performance in battle STX brings you the brutality of war as you take on the role of an elite soldier in a Special Forces squad,Missing,Missing
1359417600,[31],20749,Hitman HD Trilogy,"[9, 12]",Experience more than 40 intense missions across 3 classic Hitman games each remastered in glorious HD Whether youre a longtime fan or new to the franchise this is your opportunity to take on the contracts that defined the series and fully established Agent 47 as the worlds deadliest assassin  Includes Hitman 2 Silent Assassin Hitman Contracts and Hitman Blood Money,85.0,Missing
1357171200,"[9, 14, 32, 33]",19497,Tennis in the Face,"[6, 9, 34, 39, 46, 48, 49, 130]",Shoot tennis balls at your adversaries and save the city from the evil Explodz Inc This is no Wimbledon this is Tennis in the Face Get ready for some hilarious ragdollsmashing ballbouncing action,80.0,Missing
1358899200,"[5, 13, 32]",8507,Strike Suit Zero,"[3, 6, 14, 48, 49]",Strike Suit Zero is an actionpacked arcade space shooter set in the final hours of a future Earth The clock is ticking your planet is about to be destroyed and its only hope is the Strike Suit  an advanced transforming spacecraft that empowers you with ludicrous firepower and awesome abilities Every second is precious youll be forced to fight with fury choose targets on instinct and make snap decisions that will not only affect the outcome of your mission but your path through the game and the ultimate destiny of seven billion lives,80.0,Missing
1358208000,"[9, 25, 31]",1254,DmC: Devil May Cry,"[6, 9, 12]",DmC Devil May Cry is the fifth game in the hackandslash thirdperson action series and the first not largely developed by Capcom This title is a reimagining of the series with the same protagonist Dante but set in an alternate universe The Dante in this game is very different from before doing away with the trademark white hair and altering the main character as well as the games tone with a much more Western influence The gameplay is still largely identical as Dante engages many opponents with a fast fighting style stringing together combos and hits in quick succession,76.35055436539875,Dante a young demon hunter teams up with his estranged twin brother Vergil in order to save humanity from the powerful influence of the demon king Mundus
1359331200,"[5, 13, 24]",2165,War Thunder,"[3, 6, 14, 48, 49, 167, 169]",War Thunder is the most comprehensive freetoplay crossplatform MMO military game dedicated to aviation armored vehicles and naval craft from the early 20th century to the most advanced modern combat units Join now and take part in major battles on land in the air and at sea,74.4269673981862,Missing
1358208000,"[5, 12]",13922,Borderlands 2: Sir Hammerlock's Big Game Hunt,"[3, 6, 9, 12, 14]",The third DLC for Borderlands 2 the Vault Hunter travels to a new part of Pandora populated by exotic but dangerous creatures as well as savage natives and witch doctors who are out to kill the Vault Hunter at all costs However they are not alone joining them is the cybernetic gentleman Sir Hammerlock as they embark on quests to find and study the most eloquent creaturesthen kill them,70.81407131097794,Missing
1359504000,"[15, 16, 32]",9023,Skulls of the Shogun,"[3, 6, 12, 14, 34, 39, 46, 48, 72, 74]",Skulls of the Shogun is a turnbased tactics video game developed by 17BIT The game is inspired by Advance Wars and features turnbased combat between undead samurai,63.52126350297013,Missing
1358812800,"[5, 33]",28409,ACA Neo Geo: Nam-1975,"[5, 39, 48, 49, 130]",Nam1975 is an action game released by SNK in 1990 It was one of the first ever games released on Neo Geo Players will take on the role of US Special Forces soldiers braving a harsh battlefield as they try to survive a series of deadly firefightsPlayers will need to use collectible powerups and other abilities such as their evasive roll to complete their mission,63.0,Missing
1358121600,[31],20864,Assassin's Creed: Liberation HD,"[6, 9, 12, 46, 170]",In the modern day Abstergo Entertainment a subsidiary of Abstergo which is in charge of producing multimedia goods releases their first major product Liberation a video game about the life of the Assassin Aveline de Grandpré The game however is heavily censored with any details regarding the Assassins  Templar war being comitted in an attempt to portray the Assassins as the villainous force As the player progresses through the game they are greeted by messages from a group of hackers known as Erudito giving them access to the full story hidden behind Abstergos censoring attempts,62.36779624110916,In the modern day Abstergo Entertainment a subsidiary of Abstergo which is in charge of producing multimedia goods releases their first major product Liberation a video game about the life of the Assassin Aveline de Grandpré The game however is heavily censored with any details regarding the Assassins  Templar war being comitted in an attempt to portray the Assassins as the villainous force As the player progresses through the game they are greeted by messages from a group of hackers known as Erudito giving them access to the full story hidden behind Abstergos censoring attempts
1359590400,"[12, 13, 15, 16]",6330,Omerta: City of Gangsters,"[6, 12, 14]",Work your way up from smalltime crook to boss of the underworld in this strategic simulation set in the Golden Twenties by setting up speakeasies gambling dens and distilleries Recruit a hardhitting crew armed with a variety of lethal weapons and equipment for tactical turnbased combat Match wits with the AI or work your way up the global leaderboards in actionpacked online duels,62.1908512204072,Missing
1359590400,"[11, 13, 15, 32, 33]",17338,Arcadecraft,"[6, 12]",Enter the exciting world of Arcade ownership Play through the start of the 1980s arcade revolution by buying and placing video games for your customers to play Customize your arcade to increase its popularity Modify machine parameters manage your finances capitalize on newly released games but beware of the events and pitfalls that could bankrupt you,50.0,Missing
1359417600,[5],10404,Heavy Fire: Shattered Spear,"[6, 9, 12]",Save the spy Protect your base Take the battle to the enemy Destroy the nuclear threat All in a days work for an Army Ranger  Your spy has stolen the secret plans to an Iranian nuclear weapons facility Rescue him protect your base then take the fight to the enemy Fight your way into the enemy base using all of the tools at your disposal including pistols machine guns shotguns sniper rifles grenades helicopters tanks the mighty AC130 night vision goggles and more Use the multidirectional multicover system to protect yourself along the way Grab some of your buddies for 4player coop mode or take on the enemy by yourself in singleplayer mode Do you think you have what it takes to tackle the enemy in the edgeofyourseat action shooter,40.0,Missing
