first_release_date,id,name,platforms,genres,summary,storyline,rating
1445558400,251379,Assassin's Creed Syndicate: Limited Edition,"[6, 48, 49, 170]",Missing,Missing,Missing,Missing
1445472000,234676,Minecraft: Halloween Mash-up,"[6, 9, 12, 34, 39, 41, 46, 48, 49, 74, 130, 132, 388]","[13, 31]",Dress suitably spookily and prepare for the ultimate Minecraft Halloween thrill ride,Missing,Missing
1445558400,230499,Assassin's Creed: Syndicate - Rooks Edition,"[6, 48, 49]","[12, 31]",London 1868 The Industrial Revolution unleashes an incredible age of invention transforming the lives of millions with technologies once thought impossible Opportunities created during this period have people rushing to London to engage in this new world a world no longer controlled by kings emperors politicians or religion but by a new common denominator money  Not everyone is able to enjoy the benefits of this boom however Despite fueling the engine of the British Empire workers lives are little more than legalized slavery while the top few percent profit from their labor Living poor and dying young the lower class unite in protest as a new kind of family gangs who turn to a life in the underworld in their struggle to survive A struggle until watchful Assassins come to their side and reignite an ageold conflict involving Londons leaders that will echo throughout modern history from the underground up  Introducing Jacob Frye who with the help of his twin sister Evie will change the fate of millions in Assassins Creed Syndicate Rise to rally and lead the underworld to break the corrupt stranglehold on London in a visceral adventure filled with action intrigue and brutal combat,Missing,Missing
1445558400,135965,Assassin's Creed: Syndicate - Special Edition,"[6, 48, 49]",[31],Assassins Creed Syndicate is set in London 1868 The Industrial Revolution unleashes an incredible age of invention transforming the lives of millions with technologies once thought impossible Opportunities created during this period have people rushing to London to engage in this new world a world no longer controlled by kings emperors politicians or religion but by a new common denominator money  Not everyone is able to enjoy the benefits of this boom however Despite fueling the engine of the British Empire workers lives are little more than legalized slavery while the top few percent profit from their labor Living poor and dying young the lower class unite in protest as a new kind of family gangs who turn to a life in the underworld in their struggle to survive A struggle until watchful Assassins come to their side and reignite an ageold conflict involving Londons leaders that will echo throughout modern history from the underground up  Introducing Jacob Frye who with the help of his twin sister Evie will change the fate of millions in Assassins Creed Syndicate Rise to rally and lead the underworld to break the corrupt stranglehold on London in a visceral adventure filled with action intrigue and brutal combat  Exclusive Content Includes 10 Exclusive Missions The Dreadful Crimes,Missing,Missing
1445299200,127038,Tales from the Borderlands: Episode 5 - The Vault of the Traveler,"[6, 9, 12, 34, 39, 48, 49]","[2, 31]",A new episodic adventure set in the badlands of Pandora This collaborative brain child is set after the events of Borderlands 2 and is a part of the franchise official lore,In the final episode of the season all hell breaks loose Jack is now in control of Helios systems and hes ready to reclaim his rightful place as king of Hyperion with or without you Its a mad dash to get out of the chaotic space station alive as everyone scrambles to grab the final Gortys piece and high tail it back to Pandora Can you guide our ragtag team through perilous corporate dangers in hopes of getting some sweet alien riches Loyalties will be tested secrets will be revealed and explosions will be in large supply in this climactic chapter of Tales From The Borderlands,Missing
1446249600,108174,Syrup and the Ultimate Sweet,"[3, 6, 14, 34, 46, 48, 49, 82, 130]","[12, 13, 31, 32, 34]",In a magical town there lives a candy alchemist Syrup who one day discovers a candy golem in her basement Where did she come from Who couldve made her Go find out Featuring a memorable cast of colorful characters and 10 unique endings Your choices affect the story Will Syrup achieve her dream of making the Ultimate Sweet or will she meet a much more tragic fate,Missing,Missing
1444953600,106230,Tower of Guns: Special Edition,"[6, 9, 48, 49]",Missing,Missing,Missing,Missing
1445299200,93915,Life is Strange: Episode 5 - Polarized,"[6, 9, 48, 49]","[12, 31]",Max Caulfield learns that time is impossible to control and that her power carries many consequences as she moves inexorably towards the most agonizing decision of her life Arcadia Bay meanwhile is preparing to weather a huge storm as Life is Strange comes to a gripping and gutwrenching conclusion,Missing,Missing
1445904000,91299,Minecraft: Story Mode - Episode 2: Assembly Required,"[6, 9, 12, 14, 34, 39, 48, 49]",[31],Minecraft Story Mode is an adventure game set in a Minecraft world It is a fivepart episodic series that will take you to the Nether the Farlands the End and beyond You will drive how the story flows through the decisions you make what you say to people and how you say it and what you choose to do in moments of thrilling action,Missing,Missing
1445904000,75413,Halo 5: Guardians - Digital Deluxe Edition,[49],[5],The Halo 5 Guardians Digital Deluxe is a digital edition of Halo 5 Guardians that is available to preorder on the Xbox store until the game releases It contains limited edition digital content  Contents Digital game download Warzone REQ bundle Halo The Fall of Reach Animated Series,Missing,Missing
1443744000,59658,Ultra Aktion!,[12],Missing,A retro styled run and gun shooter,Missing,Missing
1445385600,59549,Zombie Defense Squad 2,[12],[5],The followup to the original Zombie Defense Squad,Missing,Missing
1445558400,52626,Assassin's Creed: Syndicate - Gold Edition,"[6, 48, 49]",[31],London 1868 The Industrial Revolution unleashes an age of invention transforming the lives of millions with technologies once thought impossible But industrialization only fattens the purses of a privileged few while workers struggle to survive in the factories that make London the beating heart of the global economy until an Assassin rallies to their defense sparking an epic conflict that will echo throughout history Create the worlds first organized crime family Conquer the streets of London Bring the ruling class to their knees And rise to lead the London underworld in a visceral adventure unlike anything youve played before  Gold Edition includes game and Season Pass featuring a major expansion plus digital content and exclusives  Season Pass included 10 hours of extra gameplay Jack the Ripper campaign the Last Maharaja mission pack A Long Night exclusive mission the Streets of London gameplay pack new gears weapons a permanent xp boost and 500 Helix Credits,Missing,Missing
1445558400,52613,NOW That's What I Call Sing,"[48, 49]",[7],Get your microphones at the ready for the arrival of a whole new generation of karaoke gaming with NOW Thats What I Call Sing Get the party started and sing along to the hottest popstars in the world today featuring tracks from Calvin Harris Sia Rita Ora and 31 other huge artists across 30 hit songs in the definitive karaoke party experience,Missing,Missing
1445904000,45145,Halo 5: Guardians - Limited Edition,[49],[5],Contents  Limited edition disk  Steelbook case  14day Xbox Live Gold trial  Warzone REQ bundle  Halo The Fall of Reach Animated Series  SPARTAN Lockes classified orders  Dossiers on Blue Team and Fireteam Osiris  Metal Guardian model  Limited edition packaging,Missing,Missing
1445904000,45144,Halo 5: Guardians - Limited Collector's Edition,[49],[5],Contents  Either  Digital game download  Default disk Steelbook case 14day Xbox Live Gold trial Warzone REQ bundle Halo The Fall of Reach Animated Series SPARTAN Lockes classified orders Dossiers on Blue Team and Fireteam Osiris Metal Guardian model A statue of Master Chief and Jameson Locke which can be pulled apart to present the two as either allies or enemies Limited Collectors edition packaging,Missing,Missing
1446076800,32903,Talisman: Digital Edition - The City,"[6, 14, 49]","[12, 15, 32, 35]",Discover the City Region one of the four Kingdoms surrounding the land of Talisman This expansion adds a new board piece to the main Talisman board taking you into the bustling City filled with shops Strangers Merchants and more For the traveller with some gold to spend a trip to the City can give them the edge to survive,Missing,Missing
1445990400,26035,Batman: Arkham Knight - 1970s Batman Themed Batmobile Skin,"[6, 48, 49]","[25, 31]",Speed through the streets of Gotham City with this 1970s Batman Themed Batmobile Skin,Missing,Missing
1445558400,21318,D/Generation HD,"[6, 14, 48, 49, 130]","[5, 9, 31, 33]",A virus has escaped at Genoq HQ in London and Derrida the lead scientist at Genoq has asked you to help save the day Travel up through the Genoq skyscraper rescuing the stranded employees and putting an end to the escaped virus,Missing,Missing
1445990400,15528,Batman: Arkham Knight - Crime Fighter Challenge Pack 3,"[6, 48, 49]","[25, 31]",Get this Crime Fighter Challenge Pack to receive various combat and predator maps featuring Batman Nightwing Robin and the Batmobile This expansive challenge pack allows focused training in Freeflow Combat and Invisible Predator stealth incursion,Missing,Missing
1445990400,15527,Batman: Arkham Knight - Batman Classic TV Series Batmobile Pack,"[6, 48, 49]","[25, 31]",Travel back in time with the Batman Classic TV Series Batmobile Pack This pack includes the 1960s TV Series Batmobile Classic TV Series Catwoman Skin Classic TV Series Robin Skin and two racetracks inspired by the Batman Classic TV Series,Missing,Missing
1445990400,15526,Batman: Arkham Knight - Crime Fighter Challenge Pack 2,"[6, 48, 49]","[25, 31]",Grab this Crime Fighter Challenge Pack and receive various challenge maps for Batman Nightwing Robin Catwoman and the Batmobile This expansive challenge pack allows focused training in Freeflow Combat and Invisible Predator stealth incursion,Missing,Missing
1445990400,15524,Batman: Arkham Knight - 2008 Tumbler Batmobile Pack,"[6, 48, 49]","[25, 31]",Inspired by the 2008 movie The Dark Knight intimidate your foes with the Tumbler Batmobile and race through two themed tracks,Missing,Missing
1445990400,15522,Batman: Arkham Knight - Crime Fighter Challenge Pack 1,"[6, 48, 49]","[25, 31]",Grab this Crime Fighter Challenge Pack and receive 6 AR challenges for Batman Nightwing Robin and Catwoman This expansive challenge pack allows focused training in Freeflow Combat and Invisible Predator stealth incursion,Missing,Missing
1444608000,12503,The Witcher 3: Wild Hunt - Hearts of Stone,"[6, 48, 49, 130, 167, 169]","[12, 31]",Step again into the shoes of Geralt of Rivia a professional monster slayer this time hired to defeat a ruthless bandit captain Olgierd von Everec a man who possesses the power of immortality This expansion to The Witcher 3 Wild Hunt packs over 10 hours of new adventures introducing new characters powerful monsters unique romance and a brand new storyline shaped by your choices,Hired by the Merchant of Mirrors Geralt is tasked with overcoming Olgierd von Everec  a ruthless bandit captain enchanted with the power of immortality,93.21465729849642
1446163200,13177,The Binding of Isaac: Afterbirth,"[3, 6, 14, 48, 49]","[5, 12, 31, 32]",The Binding of Isaac Afterbirth is the massively updated expansion to 2014s roguelike of the year The Binding of Isaac Rebirth Following Isaac one more time on his journey players will find bizarre treasures that change Isaacs form giving him super human abilities and enabling him to fight off droves of mysterious creatures discover secrets and fight his way to safety,When Isaacs mother starts hearing the voice of God demanding a sacrifice be made to prove her faith Isaac escapes into the basement facing droves of deranged enemies lost brothers and sisters his fears and eventually his mother,90.23632374051091
1444867200,43017,Destiny: The Taken King - Legendary Edition,"[9, 12, 48, 49]","[5, 31]",Destiny The Taken King  Legendary Edition is perfect for new and existing Guardians that are ready to jump into the Destiny universe or continue to carve their legend in the stars The Legendary Edition features the complete Destiny experience including The Taken King the next evolution in the Destiny universe Destiny Expansion I The Dark Below and Expansion II House of Wolves Unite with 20 million Guardians in the fight to defeat Earths enemies reclaim all that we have lost and Become Legend,Missing,90.0
