first_release_date,id,name,platforms,summary,genres,storyline,rating
1519344000,193761,Pure Pool Snooker Bundle,[49],Get ready for the most authentic billiards experience youve ever witnessed from the comfort of your couch Whether you prefer to spend your time refining your Pool skills or weighing up against the competition in an online Snooker game take your best shot and prepare to be blown away  This bundle includes the Pure Pool base game  the Snooker pack,Missing,Missing,Missing
1518480000,175533,Monster Energy Supercross: Special Edition,[49],An exiting and spectacular event brand new tracks and countless customization options for rider and bike are waiting for you,Missing,Missing,Missing
1518480000,168786,LEGO Marvel Super Heroes 2: Marvel's Black Panther Movie Character and Level Pack,"[6, 48, 49, 130]",Set within the Kingdom of Wakanda players will take the legendary Wakandan Super Hero and his sister Shuri on a dangerous mission within the darkest depths of their homeland battling mutated creatures and archnemesis Erik Killmongers vicious army,"[9, 25, 31]",Missing,Missing
1519776000,168748,Dragon Ball: Xenoverse 2 - Extra DLC Pack 2,"[49, 130]",This Extra Pack 2 is the perfect content to enhance your experience with a lot of new elements  4 new powerful characters including Jiren Fu and Android 17  Exclusive New Scenario  5 New Parallel Quests  2 New Costumes  8 New Skills  8 New Super Souls,[31],Missing,Missing
1519084800,164834,Injustice 2: TMNT,[49],Deep below the surface in the sewers of New York City four turtle brothers were mutated by radioactive ooze and began training in the art of ninjutsu While in a fight with the fearsome Krangour heroes in a halfshell were jettisoned on a one way trip across the Multiverse,Missing,Missing,Missing
1519689600,164769,Gravel: Special Edition,[49],Buy the Special Edition and download the Full Game  Season Pass with 5 premium expansion sets  Take part in the crazy Off Road Masters show and travel around the world discovering a wide variety of challenges and locations Enjoy four different disciplines  Cross Country Wild Rush Stadium Circuits and Speed Cross  and drive the most powerful vehicles for any type of Off Road terrain Youre a newcomer but will you be the new Off Road Master,Missing,Missing,Missing
1517875200,164734,Middle-earth: Shadow of War - Blade of Galadriel,"[6, 49]",The Blade of Galadriel Story Expansion includes   NEW Story campaign  NEW Orc Allies  Side Missions  NEW Boss fights against the Ringwraiths and Dark Talion  NEW Light wielding Combat  NEW Legendary Gear Set for Eltariel,[31],Missing,Missing
1519084800,164012,Pinball FX3: Jurassic World Pinball,"[49, 130]",With one pinball table based on Jurassic World and two more inspired by Jurassic Park you know what that means  LIFE FOUND A WAY,[13],Missing,Missing
1519171200,155177,The Escapists 2: Big Top Breakout,"[49, 130]",A clowns life awaits in Big Top Breakout,"[13, 15, 32]",Missing,Missing
1518652800,154719,For Honor: Season 5 - Age of Wolves,"[6, 48, 49]",Age of Wolves celebrates the one year anniversary since the launch of For Honor This season will focus on gameplay and stability with major hero updates global fight changes new training features and the long awaited arrival of dedicated servers,"[4, 25]",Missing,Missing
