first_release_date,genres,id,name,platforms,summary,storyline,rating
1633392000,"[5, 31]",269155,Alan Wake: The Writer Remastered,"[6, 48, 49, 130, 167, 169]",The Writer Remastered is a single player episode included with Alan Wake Remastered 2021 The Writer originally was the second Alan Wake episode released via DLC in November of 2010 The episode can be started whenever the player chooses to do so but it is set immediately after the events of the first DLC episode The Signal The Signal episode was also remastered and included with Alan Wake Remastered,Missing,Missing
1633392000,"[5, 31]",269135,Alan Wake: The Signal Remastered,"[6, 48, 49, 130, 167, 169]",The Signal Remastered is a single player episode included with Alan Wake Remastered 2021 The Signal originally was an additional Alan Wake episode released via DLC in October of 2010 The episode can be started whenever the player chooses to do so but it is set immediately after the events of the base game The second and final Alan Wake DLC episode titled The Writer was also remastered and included with Alan Wake Remastered,Continuing on where the main game finished Alan finds himself outside the diner in a night time Bright Falls which quickly changes to daytime Entering the diner a surreal déjàvu dream of the events play out similar to when Alan first arrived with everything eerily familiar but out of place Alan is unable to remember where he was prior to this moment but knows he must go to the back of the diner which he forcibly enters Zane talks to Alan and warns him that he should go no further and that Alan must focus Zane plays a video of Alan struggling with reality and even telling of events playing out at the moment Alan realizes where he is The Dark Place,Missing
1633737600,[9],267454,Sudoku Pro+,"[6, 34, 49, 169]",Play up to over six sextillion unique puzzles never play the same puzzle twice,Missing,Missing
1634083200,"[12, 25, 31]",264071,Lost Judgment: School Stories Expansion Pack,"[48, 49, 167, 169]",This pack includes activities to deepen the interactions with the schools clubs  Additionally Yagami takes boxing from the ring to the streets as a new fighting style that joins his default martial arts styles  The School Stories Expansion Pack contains  Dance Club additions Additional Special Moves New Outfit  An additional robot for the robot war minigame Additional Robot MB5000SUPREMACY  The following items expand the game of School Stories Bikers The body of the motorcycle MAXINATOR Additional Course Urban  Adds the following sparring partners to the Boxing Gym Sugiura Higashi Kaito  A new fighting style for Yagami Boxing Battle Style,Missing,Missing
1635379200,Missing,250032,PC Building Simulator: IT Expansion,"[6, 48, 49, 130]",The PC Building Simulator  IT Expansion is the second DLC of PC Building Simulator published by The Irregular Corporation in collaboration with FuturLab Unlike Esports Expansion this expansion is free and included when player updated to newer version  Build and grow your very own computer repair enterprise as you learn to diagnose fix and build PCs With realworld licensed components and comprehensive hardware and software simulation you can plan and bring your ultimate PC to life,Missing,Missing
1634774400,[10],248417,Hot Wheels: Tropical Wave Customization Pack,[49],Palm trees waves surfboards enjoy a tropical paradise from the comfort of your couch Customize your Basement and your Unleashed Profile with exclusive elements inspired by beach life dont you feel like youre on vacation already,Missing,Missing
1635379200,[12],247133,Van Crane Bundle,[49],Use Van Cranes deadly weapons to root out the cursed plague haunting the streets of Harran with your ancient arms forged especially to kill what cannot die,Missing,Missing
1634601600,Missing,225373,Fortnite: Graveyard Drift Quest Pack,[49],After falling into darkness only the Driftwalker remains Corruption is taking over and the Graveyard Drift begins Complete Quests to earn VBucks with the Graveyard Drift Quest Pack   Driftwalker Outfit w Styles  Broken Fractal Wings Back Bling  Corrupted Rift Edges Pickaxe  Corrupted Tendrils Glider  Graveyard Drift Quest Bundle Unlock up to 2000 VBucks as you complete Quests,Missing,Missing
1635379200,Missing,205574,Train Sim World 2: BR Class 313,"[49, 169]",Pep up operations on the South Coast of England with the classic BR Class 3132 adorned in the distinctive Southern Coastway livery and ready to serve Brighton Seaford and beyond in Train Sim World 2 East Coastway,Missing,Missing
1634083200,[5],205054,Halo: The Master Chief Collection Season 8 - Mythic,"[6, 49, 169]",Season 8 succeeded Season 7 in October 2021 It included new noncanon armors a new map new collectibles and Custom Game Browser support for Halo Combat Evolved and Halo 3,Missing,Missing
