first_release_date,id,name,platforms,summary,genres,storyline
1699488000,275808,Like a Dragon Gaiden: The Man Who Erased His Name - Deluxe Edition,"[49, 169]",Once a legendary yakuza Kazuma Kiryu faked his own death and abandoned his name for the sake of protecting his family Now he is thrust into conflict by a mysterious figure attempting to drive him out of hiding,Missing,Missing
1699488000,275807,The Crew: Motorfest - Deluxe Edition,"[49, 169]",With the Deluxe Edition get access to the base game and the Fitted Ultimate Pack including  Porsche 718 Spyder 2021 Fitted Edition  Honda Civic Type R 2021 Fitted Edition  Customization items  Welcome to Motorfest the ultimate driving experience Explore the vibrant open world of Oahu in Hawaii as you compete in intense races themed events and much more,Missing,Missing
1699488000,275677,Bem Feito,"[6, 48, 49, 130, 167, 169]",Bem Feito is a Life Sim where players follow Reginaldo a charming and almost silent protagonist Reginaldos simple life revolves around his daily household tasks captivating friends and perhaps unexpected choices that subtly shape the course of the game,"[12, 13, 31, 32]",Missing
1699315200,275619,Stranded: Alien Dawn Premium Edition,"[49, 169]",Purchase the Stranded Alien Dawn Premium Edition to receive the critically acclaimed base game alongside its expansive new DLC Robots and Guardians Test your survival skills overcome challenges and embrace unexpected events that you encounter on this deadly alien planet Forge your story in this compelling planet survival sim,Missing,Missing
1699315200,275498,Nickelodeon All-Star Brawl 2: Ultimate Edition,"[49, 130, 169]",Duke it out with the biggest and best fighting character roster yet This Ultimate edition contains the following content  Full Base Game  Season Pass Content  4 additional brawlers  Bonus SpongeBob Squarepants The Quickster Costume  A bonus costume for every brawler,[4],Missing
1699315200,275497,Nickelodeon All-Star Brawl 2: Deluxe Edition,"[49, 130, 169]",Nickelodeon AllStar Brawl 2 lets you duke it out with the biggest and best fighting character roster yet This Deluxe edition contains the following content  Full Base Game  Season Pass Content  4 additional brawlers  Bonus SpongeBob Squarepants The Quickster Costume,[4],Missing
1698969600,275357,Call of Toys: Tower Defense!,[49],Embark on an exhilarating journey to protect Santas Valley in this epic Tower Defense game a 2D strategic Tower Defense game inspired by classic TD games  Explore an arsenal of 13 unique towers each equipped with magical spells and exclusive abilities Customize your towers with numerous upgrades that enhance their strength and unlock new magical powers  But thats not all Your towers can be equipped with a variety of items including armor helmets shields amulets rings and an impressive selection of weapons such as swords axes hammers magic wands and bows,[15],Missing
1698969600,275141,Fortnite: Chapter 4 - Season OG,"[6, 34, 48, 49, 130, 167, 169]",Drop in the original Island once again in Fortnite Battle Royale Chapter 4 Season OG Throughout Fortnite OG each major update will bring a different phase of Battle Royales past starting with Chapter 1 Season 5 That means Shopping Carts ATKs the Assault Rifle Pump Shotgun and more in both Battle Royale and Zero Build  Go back in time Season by Season Some of the unvaulted gear in each update will remain for that update be in more than one update or stay for the rest of Fortnite OG,"[5, 12, 15]",Missing
1699920000,274832,Remnant II: The Awakened King,"[6, 167, 169]",The One True King has awakened and is out for blood Corrupted by the Root during his neardeath slumber the mad king sees betrayal at every turn and is on a rampage of revenge,"[12, 31]",Missing
1699488000,274439,Super Double Dragon,"[6, 49, 130]",Super Double Dragon rises again after 30 years Now with new features such as customisable wallpapers and speed options,"[4, 33]",Missing
1699401600,274438,Excessive Trim,"[49, 130, 169]",Wreak havoc through backwater farmlands as an alien with a buzzsaw flying saucer,"[5, 33]",Missing
1699488000,274107,Hot Wheels Unleashed 2: Turbocharged - Speed and Style Pack,"[130, 169]",The recipe for success A mix of speed and style Exactly what you will find in the amazing Speed and Style Pack 2016 Ford GT Race Audi R8 LMS Corvette C8R and Nissan GTR R35 Liberty Walk Silhouette Works 35GTRR are the 4 extraordinary cars waiting for you,[10],Missing
1698969600,273334,DreamWorks All-Star Kart Racing: Rally Edition,"[49, 130, 169]",DreamWorks AllStar Kart Racing Rally Edition is the ultimate kart racing experience for DreamWorks Animation fans young and young at heart by bundling the full game together with the DreamWorks AllStar Kart Racing Rally Packs exclusive characters and content in one actionpacked offering,"[10, 33]",Missing
1699315200,272800,Minecraft: Star Wars - Path of the Jedi,"[6, 34, 39, 48, 49, 167, 169]",For Minecraft players who want to experience the thrill of being a Jedi Knight Minecraft Star Wars Path of the Jedi offers an immersive experience that lets you train as a padawan battle monsters duel other Jedi and master the force Support the Jedi council during the clone wars and join on a special mission with Yoda to uncover the mysteries of an uncharted planet The experience is complete with your droid companion by your side and lightsaber at the ready,"[13, 31]",Missing
1699488000,272434,Dungeons 4: Deluxe Edition,[169],The Digital Deluxe Edition includes the full Dungeons 4 gamethe digital artbook and soundtrack nostalgic Dungeons 3 skins for Thalya and your Evil Hand as well as a remaster of the classic Dungeons 3 map The Storming of Dollaran,"[13, 15]",Missing
1700784000,272292,Barton Lynch Pro Surfing,[169],Missing,[14],Missing
1700006400,270589,Teardown: Deluxe Edition,"[167, 169]",Missing,Missing,Missing
1700179200,270578,Naruto x Boruto: Ultimate Ninja Storm Connections - Collector's Edition,"[48, 49, 130, 167, 169]",Missing,Missing,Missing
1700092800,270502,Dredge: The Pale Reach,"[6, 48, 49, 130, 167, 169]",The Pale Reach is the first official expansion for Dredge  a cosmic horror fishing adventure with a sinister undercurrent This content adds a brand new icethemed biome that can be experienced at any stage in your playthrough  In The Pale Reach youll navigate the treacherous ice fields to discover a mystery frozen under the ice Retrace the steps of the last crew that came before you and unearth a story of bitter betrayal Find some familiar faces and develop new equipment to navigate the area and profit from its inhabitants,"[12, 31]",Missing
1699488000,270485,Berzerk: Recharged,"[6, 49, 130, 169]",Blast your way through an endless maze inhabited by deadly robots and their invulnerable menacing master Evil Otto Tag in a friend in local coop to help you survive this twinstick revival of an arcade classic,"[5, 31, 32, 33]",Missing
1699315200,269378,Harvest Moon: The Winds of Anthos - Tool Upgrade & New Interior Designs Pack,"[6, 48, 49, 130, 167, 169]",Customize the interior of your house with 3 new fabulous design themes Mix and match them up to your hearts content Youll also be able to upgrade your hoe watering can hammer axe sickle fishing rod and pickaxe an additional level making growing crops fishing and mining a breeze,"[12, 13, 31]",Missing
1699315200,268592,Let's Sing 2024 with International Hits,"[49, 130, 169]",Step into the spotlight  Its your time to shine,[7],Missing
1699315200,268093,Devil Engine: Complete Edition,"[48, 49, 130, 167, 169]",Lightning Strikes Again Take control of the AI ship Andraste and blast through hordes to destroy the Devil Engine  Devil Engine is a highoctane classicstyled sidescrolling shootemup heavily influenced by the best in the genre from the 32bit era featuring a variety of incredible locations handdrawn pixel art and a bloodpumping soundtrack that brings the dark future to life,"[5, 33]",Missing
1699488000,266719,Tales of Arise: Beyond the Dawn,"[6, 48, 49, 167, 169]",The new expansion pack taking place a year after the war between Dahna and Rena,"[12, 31]",Missing
1699228800,266382,Football Manager 2024,"[6, 49, 130, 167, 169]",Progress never stops when youre pursuing footballing greatness Gameplay upgrades empower you to develop a blueprint for success on and off the pitch Preorder for 10 off and Early Access,"[13, 14, 15]",Missing
1700092800,266209,Mortal Kombat 1: Omni-Man,"[6, 130, 167, 169]",Announced for the Mortal Kombat 1 Kombat Pack OmniMan is a guest character from the comic book and television series Invincible,Missing,Missing
