,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,"[4, 14, 25]",4221,UFC: Throwdown,"[8, 21]",UFC Throwdown is based on the UFC Ultimate Fighting Championship mixed martial arts sports The game places you in the position as a realworld fighter utilizing various fighting styles such as Freestyle Wrestling Kickboxing Ju Jitsu etc  Each fighter has a variety of reallife moves in different categories There are punches kicks grapples and takedowns There are also ways of making your opponent submit or tapout to gain a victory  You have the ability to perform combos but these combos are realistic you can perform a 1234 punch combo or a punchpunchkick or any variation of those There are over twenty five fighters in the game each one based off of reallife UFC fighters The game includes fighter entrances and authentic voices,Missing,Missing,0.0,7.01,0.0,68.0,5.0,1.0
1,[4],3793,Barbarian,"[8, 11, 21]",A fourplayer fighting game developed by Saffire for the Xbox PS2 and GameCube Its gameplay drew comparisons to Power Stone though not many favorable ones,Missing,Missing,4.33,20.0,0.0,60.0,2.0,2.0
2,"[9, 31]",3907,Eternal Darkness: Sanity's Requiem,[21],Eternal Darkness Sanitys Requiem is a psychological horror action adventure released in 2002 by Nintendo for the Gamecube It tells the stories of twelve characters that span across the world and two millennia who have to deal with ancient forces of evil which have been trying to manifest themselves in our world Chapters take place in Ancient Rome Persia the Middle East and modernday Rhode Island Throughout the game the protagonists will have access to several weapons appropriate for their era from bastard sword  gladius to flintlock pistol and shotgun  The game features an involved Magic system which allows different spells to be created through the combination of runes These spells can attack enemies dispel illusions and heal both the body and items  Eternal Darkness Sanitys Requiem also has a unique feature called Sanity If an enemy sees a character their Sanity meter drops When Sanity gets low hallucinations begin to plague the character Walls bleed voices whisper from nowhere the camera gets disoriented Sanity can be restored by dealing a finishing move on a dying enemy or with spells or some items,81.04409368116967,The story of Eternal Darkness takes place over four principal locations which the game skips back and forth between They include an underground temple complex called the Forbidden City in Persia a Khmer temple in Angkor Thom Cambodia Oublié Cathedral in Amiens France not to be confused with Amiens Cathedral and the Roivas Family Estate in Rhode Island which also leads to an ancient underground city named Ehngha beneath the mansion Each time a location is visited it is done so in a different time period Spanning from 26 BC to 2000 AD Almost half of which take place in the 20th century Each different era and character offers a different periodic and personal perspective on the location  The chapters found in the game are not discovered in chronological order Instead to make the narrative more dramatic each chapter jumps around the timeline of the plot However despite the overall story skipping back and forth through time the chapters do follow chronological order within their respective locations This is because each setting also has its own contained story  In 2000 AD Alexandra Roivas finds herself returning to her familys estate in Rhode Island after her grandfather Edward Roivas her only living relative is found brutally murdered Two weeks after returning with the local police having gotten nowhere with the investigation Alex decides to investigate the mansion for clues and stumbles upon a secret room containing a book bound with human skin called the Tome of Eternal Darkness Deciding to read it she finds it contains accounts of various people in the past beginning with the story of Pious Augustus,13.24,15.69,29.81,80.0,193.0,195.0
3,[10],4227,V-Rally 3,"[6, 8, 11, 21]",Strap yourself in for the most intense and lifelike rally racing youve ever experienced Introducing VRally 3 the next evolution in the leading rally racing franchise that has sold over 5 million copies worldwide  Everything about VRally 3 from the highly detailed cars to the meticulously handcrafted tracks creates unprecedented racing realism VRally 3 It leaves everything else in the dust,79.92097307635092,Missing,5.1,6.17,0.0,61.0,8.0,6.0
4,"[10, 14, 15]",3919,Freekstyle,"[8, 21]",Youve been waiting for it and now its here  FreekStyle  the ultmate goforbroke freestyle motocross experience EA SPORTS BIG brings you motoX like youve never seen it  pushing even the greatest riders to go full throttle while pulling the craziest tricks on awesome tracks FreekStyle isnt just about being the fastest rider its about being absolutely fearless Backflips Tsunamis and Mulisha Airs  you can do it all against the worlds craziest moto daredevils,78.52233781251888,Missing,9.06,12.0,0.0,76.0,14.0,5.0
5,"[8, 31]",8432,Shantae,"[22, 37]",Geniegirl Shantae is the selfappointed guardian of a small fishing village Scuttle Town Living life in a lighthouse rather than a bottle shes constantly on the lookout for danger When the nefarious ladypirate Risky Boots catches wind of the treasure that was recently unearthed in the village she launches an attack To get Scuttle out of trouble its up to Shantae to prove that shes the rightful Guardian Genie to the best of her dancing buying and hairwhipping abilities Now crack that whip,73.0685029103081,A gang of pirates the Tinkerbats led by Risky Boots attacks Scuttle Town and steals a prototype steam engine from Mimic the towns resident treasure hunter Mimic tells Shantae the guardian of Scuttle Town that if Risky retrieves four magical elemental stones she could power up the steam engine and create an unstoppable weapon out of it Shantae travels across Sequin Land determined to retrieve the steam engine and the elemental stones and stop Risky  With help from her friends Bolo and Sky and her acquaintance Rottytops she gains access to three dungeons where she retrieves three of the stones At the fourth dungeon Shantae finds the fourth stone but is ambushed at the exit by Risky who leaves with the stones Shantae subsequently discovers the location of Riskys hideout with a magical flying telescope called the Sky Scope and teleports there Shantae reaches and destroys Riskys weapon the Tinker Tank Risky tries to kill Shantae but is defeated and as Riskys hideout collapses Shantae escapes After she is magically abducted to a place called the Genie Realm where the genies offer her a chance to remain with them as a reward for her courage but at the price of never seeing her friends again She refuses and is sent back to Scuttle Town where she announces to Mimic that she had to destroy the steam engine but is relieved to hear from him that it was probably for the better,8.46,9.89,11.74,66.0,106.0,143.0
6,[31],3832,Bomberman Generation,[21],Bomberman returns with a new celshaded 3D look The same storyline applies however Bomberman has been given the task of taking back a powerful element of magic and protecting it from the hands of evil To do so he must use his bombing abilites to blast his way through mazes filled with crazy enemies and hidden secrets There are 5 worlds in all each with 16 levels to complete And after completing cetain objectives and picking up items Bomberman will learn new techniques and abilities to improve his range with his bombs or use new weapons  Also included is a 4 player classic bomberman multiplayer modes Unlike the adventure mode all of the multiplayer modes are set in the original 2D top down style perspective The last man standing wins in most rounds with the added twist of other enemies on screen and timed battles,69.95918978259898,Missing,9.99,10.08,10.72,72.0,17.0,13.0
7,[14],50567,Virtua Striker 2002,[21],The Virtua Striker series returns with 64 national football teams from around the world Whether you play as France Brazil or Argentina you can take your team to the final of the International Cup for a chance to win the trophy On the road to the International Cup youll encounter more than 1400 different players with their own stats and play in 13 stadiums Virtua Striker 2002 also includes player edit and replay functions,67.0,Missing,,,,,,
8,[14],4573,WWE WrestleMania X8,[21],Legendary battles and intense drama are packed into one eventWrestleMania where the baddest men on the planet meet to become champions of wrestling An updated 2002 roster features superstars and newcomers Rob Van Dam Booker T The Hurricane and nWo members Scott Hall Kevin Nash and Hulk Hogan Master each superstars unique wrestling style and turn the tide of the match through a combination of counters reversals and brutal finishing moves Now you can start from the beginning and take your rookie wrestler up through the ranks in quest for the Heavyweight Championship Belt,60.58147992545468,Missing,3.0,6.6,7.0,60.0,8.0,4.0
9,"[5, 31]",3872,Dead to Rights,"[6, 8, 11, 21, 24]",Meet Jack Slate a cop framed for murder and facing execution Slate escapes from Iron Point MaximumSecurity Penitentiary to bring down the criminals that framed In Dead to Rights you play the role of Slate as he fights through the hard streets and corrupt enemies of Grant City There are plenty of ways go about bringing the conspirators to justiceJack can perform disarm moves shoot different weapons pick locks fight handtohand and play minigames such as arm wrestling bench press and dancing In this gritty crimenoir inspired epic youre always on the run,58.7132148695446,Missing,8.2,9.94,13.61,63.0,39.0,29.0
10,"[10, 14]",4024,MX Superfly,"[8, 11, 21]",MX Superfly featuring Ricky Carmichael released as MX Super Fly in PAL regions is a motorcross racing game developed by Pacific Coast Power  Light and published by THQ for the Xbox PlayStation 2 and Nintendo GameCube The main mode pits a usercreated rider against the CPU riders From the creation screen there are two different career paths to takea racing career or a freestyle career The racing career consists of straightforward races against computer opponents while the freestyle career consists of doing different tasks to get through to the next level The Xbox version of the game has Xbox Live download support allowing users to download different soundtracks riders and bikes off of the service There is no Xbox Live multiplayer support There is split screen multiplayer,32.0,Missing,0.47,0.0,0.0,73.0,3.0,1.0
11,"[5, 13]",3916,Fire Blade,"[8, 11, 21]",Fire Blade is a flight simulation video game released in 2002 by Kuju Entertainment In the game the player takes control of an advanced helicopter gunship as a part of the Fire Blade task force which in the arc of the games story is responsible for fighting terrorism The enemies of the game are the United Eastern States who are believed to be building terrorist training camps and factories for weapons of mass destruction  The game is similar in many respects to ThunderHawk Operation Phoenix However in Fire Blade the player is forced to be far less cautious unless on a stealth mission and is usually pitted against far larger amounts of enemies The main element of the game is aggressively piloting the players attack helicopters against large enemy armored formations and completing the main mission objectives these vary in creativity from simply blowing up a bridge to aiding a special forces team in stopping a train by parking a truck across the tracks and stopping enemy troops from moving it  A secondary element of the game is FPSstyle sniping when the players helicopter enters stealth mode the autocannon is used as a precision sniper weapon that can be used to accurately target individual soldiers allowing the player to snipe enemy infantry much like in an FPS  Additional fuel and ammunition for the helicopters jet boosters and heavier armaments are acquired from destroyed enemy vehicles instead of the more conventional reloading areas from games such as the Strike Series,32.0,Missing,0.0,0.0,0.0,0.0,0.0,0.0
12,"[5, 31]",4003,Men in Black II: Alien Escape,"[8, 21]",Men in Black 2 Alien Escape is a fastpaced thirdperson perspective action game liberally infused with the trademark humor of the smash 1997 movie and the upcoming sequel The game is divided into five distinct episodes including a Nuclear Station the Docks and the streets of Manhattan All episodes include numerous levels and challenges to complete prior to progressing through the game,25.0,Missing,0.0,0.0,0.0,50.0,1.0,0.0
13,[10],4019,Monster Jam: Maximum Destruction,"[6, 8, 21]",Using recognizable Monster Trucks Monster Jam Maximum Destruction is a fast action vehicle combat game Players control the awesome power of a huge monster truck to smash through walls leap over buses and grind opponents beneath their tires Damaged truck pieces deform blacken bend and eventually fall off under the fury of savage vehicular combat,23.0,Missing,0.0,0.0,0.0,80.0,1.0,0.0
