,id,name,platforms,genres,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,248490,Robots,[20],Missing,Missing,Missing,Missing,6.97,0.0,0.0,55.0,22.0,9.0
1,230484,NBA Street V3,[21],[14],The GameCube version features Mario Luigi and Princess Peach as playable characters collectively known ingame as the Nintendo AllStars This is in response to a deal between EA and Nintendo in which EA would include Nintendo characters and properties in a few of their games another game to take advantage of this was SSX Tour A basketball court based on the Mario franchise named the Nintendo Court is also featured in the GameCube version,Missing,Missing,13.97,15.0,0.0,80.0,18.0,6.0
2,796,MVP Baseball 2005,"[6, 8, 11, 21]",[14],MVP Baseball 2005 is a baseball video game developed and published by Electronic Arts It features thenBoston Red Sox left fielder Manny Ramirez on its cover The game features full Major League Baseball Minor League Baseball and Major League Baseball Players Association licenses It holds the 98th spot on IGNs readers choice top 100 games ever as of 2006 As with previous versions of the game the announcers are Duane Kuiper and Mike Krukow reallife announcers for the San Francisco Giants,89.60856345698443,Missing,4.0,20.0,50.0,88.0,6.0,3.0
3,148,Star Wars: Republic Commando,"[6, 11, 48, 130]","[5, 24, 31]",Chaos has erupted throughout the galaxy As a leader of an elite squad of Republic Commandos your mission is to infiltrate dominate and ultimately annihalate the enemy Your squad will follow your orders and your lead working together as a teaminstinctively intelligently instantly You are their leader They are your weapon  Star Wars Republic Commando is a tactical firstperson shooter video game set in the Star Wars universe It was developed by LucasArts using the Unreal Engine and published for the Xbox and Microsoft Windows in 2005 The game features both singleplayer and multiplayer game modes In the story set in the Star Wars Legends expanded universe players assume the role of RC1138 Boss an elite clone trooper known as clone commando and the leader of the special ops unit Delta Squad consisting of three fellow clone commandos with distinctive personalities and character traits RC1262 Scorch RC1140 Fixer and RC1207 Sev The story follows Delta Squad as they complete increasingly difficult missions throughout the Clone Wars and learn to bond as a team  Republic Commando received generally favorable reviews at release Many critics praised the story and combat but criticized the short length and average multiplayer In the years since its release it has come to be considered one of the best Star Wars games ever made and has gained a cult following  An enhanced port of the game by Aspyr is set to release for the Nintendo Switch and PlayStation 4 on April 6 2021 As reported by Jordan Ramée of GameSpot Handled by Aspyr Media Star Wars Republic Commando Remastered brings the original 2005 Xbox and PC game to PS4 and Switch with enhanced HD graphics and modernized controls though the multiplayer is absent Otherwise its the same game And though the flaws in its gameplay are only more noticeable now 16 years later this remaster manages to still deliver a compelling story of four specialized commandos engaging in a variety of combat missions across the Clone Wars,82.16297432137637,Following a montage that briefly details Delta Squads creation early life and training at the cloning facilities on Kamino the game begins with the team being deployed into the front lines of the Battle of Geonosis at the onset of the Clone Wars There team leader Delta38 Boss the player character meets up with squad mates 62 40 and 07 Scorch Fixer and Sev respectively as they are given their first assignment to assassinate Sun Fac chief lieutenant of Geonosian Archduke Poggle the Lesser one of the members of the Separatist Council Upon successful completion of their objective Delta Squad sabotage the droid factory underneath Sun Facs headquarters disable an antiaircraft bunker that is wreaking havoc on the Republic Armys air forces and sneak onto a disabled Separatist Trade Federation Lucrehulkclass Core Ship to steal important launch codes to prevent the Separatist fleet from retreating escaping moments before the ship is destroyed  A year into the war the nowveteran Delta Squad is sent to investigate the derelict Acclamatorclass Republic Assault Ship RAS Prosecutor their former home before being deployed to active duty Delta Squad splits up to investigate quickly losing contact with command as they board the ship Making their way inside the squad find the Prosecutor seemingly abandoned and in disrepair The squad lose contact with Scorch after he reports electrical interference with his visor and Boss is soon ambushed by scavenger droids Boss makes his way to one of the ships data cores to reunite with Sev but he is suddenly attacked and captured by a Trandoshan who is part of a large crew of slavers and mercenaries whove taken over the ship Having evaded capture Boss and Fixer meet up but are soon attacked by battle droids deployed by the Trandoshans After rescuing their captive squad members Delta Squad takes back the ships bridge and destroy a jamming device which reestablishes communication with command It becomes clear that the Trandoshans intend to sell the vessel to the Separatists in exchange for battle droid dispensers Making their way down to the hangars Delta Squad then destroys the Trandoshan dropship during their retreat Immediately afterwards a Lucrehulkclass Trade Federation Battleship drops out of hyperspace As Republic reinforcements are en route Delta Squad defends the vessel against hordes of battle droids After successfully repelling the incoming droid forces the enemy Battleship begins opening fire on the Prosecutor Delta Squad fight their way to the gunnery deck to activate the ships turbo lasers in order to defend themselves The timely arrival of a second Republic ship the RAS Arrestor buys the squad enough time to activate the turbo lasers ultimately destroying the Separatist Battleship and shutting down all remaining battle droids on board,8.88,9.73,10.13,76.0,437.0,560.0
4,5832,FIFA Street,"[8, 11, 21]",[14],As a spinoff of the FIFA lineage FIFA Street combines arcade action with the culture of freestyle street soccer By removing the rules from the simulation soccer experience FIFA Street exposes the heart of the worlds beautiful game ontheball flair and individual style  Leading this movement are the worlds top professional players showing off their skills and individual style in 4on4 matchups against the backdrop of global venues that represent the true culture of street soccer In the games dynamic 1on1 encounters beating your opponent will require skill technique and the careful selection of specific moves Take on the best and earn their respect gradually building your reputation and team into an unstoppable force that leads the tide of street soccer,78.33908785291726,Missing,9.96,10.36,15.89,72.0,41.0,14.0
5,3243,Star Fox: Assault,[21],[5],Step into the guise of furry flyboy Fox McCloud as he returns to take on his deadliest enemy wingmen Slippy Toad Peppy Hare and Falco Lombardi are covering your back as you take on hordes of intergalactic hostiles on land and in air  Hop into Arwings for aerial skirmishes and Landmaster Tanks for groundbased confrontations or simply run around on foot dispensing laser justice the searing single player adventure is a total blast while the glorious fourway splitscreen mode is sure to keep you and your friends coming back for more With sniper rifles and rocket launchers this is one Fox you dont want to mess with,66.6351724462298,Missing,5.47,8.5,13.58,71.0,157.0,78.0
6,18595,Trace Memory,[20],"[2, 9, 31, 34]",The events of the game take place on the fictional Blood Edward Island The games protagonist Ashley Mizuki Robbins is the daughter of Richard and Sayoko Robbins researchers of human memory After her parents mysteriously went missing in 1994 they were presumed deadConsequently Ashley was raised by her fathers younger sister Jessica Robbins in the suburbs of Seattle Eleven years later two days before her fourteenth birthday Ashley receives a package from her father containing a birthday card and a device called a DAS The DAS programmed to respond only to Ashleys biometrics contains a message from her father claiming that he is waiting for her on Blood Edward Island Assuming control of Ashley Robbins players navigate through 3D environments and attempt to solve puzzles During movement the touchscreen displays an aerial view of Ashley and her surroundings The player can move Ashley using a point and click system dragging the stylus across the screen or using the Dpad The top screen shows prerendered images of the players current location To solve puzzles encountered in the game the player must use the touchscreen or other DS capabilities such as the DS microphone,64.149495244533,Two days before her fourteenth birthday Ashley Mizuki Robbins receives a package from her father Richard Robbins whom she thought was dead The package contained a small handheld device called a Dual Another System or DAS Dual Trace System DTS in the American release along with an invitation to meet him on Blood Edward Island The following day her and her aunt  Jessica Robbins set off for the island While there Ashley meets D a ghost with no memories who has been wandering the island alone for decades since his death Ashley attempts to aide D in uncovering his lost memories while also uncovering the truth about her father the murder of her murder and the mysterious project code named Another,,,,,,
7,4091,Robots,"[6, 8, 11, 21]","[8, 9, 10]",Live the adventures of a genius inventor robot named Rodney Copperbottom as he moves to the big city to work for the company founded by his childhood hero When Rodney uncovers a villains plot to take over the city the brave young bot with the help of his new friends overcomes all obstacles to realize his dreams  and make the world a better place for all robots Take wild rides in fastpaced robot vehicles upgrade your gadgets with cooler more useful parts and team up with your trusty Wonderbot to solve challenging puzzles battle evil bots and explore a highly interactive 3D universe that brings the world of Robots the Movie to life,59.37464388042513,Missing,6.97,0.0,0.0,55.0,22.0,9.0
8,4234,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,"[8, 21]","[8, 31]",Join Winnie the Pooh and his friends on five birthdaythemed adventures In Winnie the Pooh Rumbly Tumbly Adventures you can play as Tigger Piglet Eeyore and Winnie the Pooh Find as many honey pots as you can but beware of the mischievous Heffalumps and Woozles who steal honey,53.0,Missing,,,,,,
9,22303,UEFA Champions League 2004-2005,"[6, 8, 11, 21]","[13, 14]",The Champions League where the player leads one team to the Final in the Atatürk Olympic Stadium in Istanbul in the quest to succeed FC Porto as European Champions is one of the available modes but not the most important That honour goes to the The Season mode where the player starts by creating his managing avatar and then proceeds to a a series of 50 missions with the first being a close lastweek match against a Champions League spot rival proceeding with a buyout of the club and increased expectations and hopefully closing with the Champions League final This mode also allows players to unlock additional features such as balls a stadium and special exhibition modes by fulfilling objectives set by the club president during the season some of them crucial matches which can result in a sacking if failed others simply a matter of balancing the squad Other modes include the usual friendlies home and away a twolegged friendly scenarios where the player can create situations such as a defending a 10 nil for 45 minutes while two man down and practice,41.0,Missing,8.67,0.0,0.0,60.0,1.0,3.0
