first_release_date,genres,id,name,platforms,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1121558400,"[12, 31]",202975,The Griffon Legend,"[6, 37]",The Griffon Legend is a freeware zeldalike RPG created in FreeBASIC as part of a contest by Syn9 Daniel Kennedy 500 years after the GriffonDragon war the Dragons have returned to reclaim their empire Cities are falling everyone is dying and the lone Griffon Knight Fayne is caught up in the middle of it all,Missing,nan,nan,nan,nan,nan,nan
1122508800,[5],66831,Sengoku Cannon: Sengoku Ace Episode III,"[6, 38, 130]",Sengoku Cannon Sengoku Ace Episode III is the third entry in Psikyos Sengoku Ace series of shoot em up games,Missing,0.52,0.0,5.0,67.0,3.0,4.0
1121299200,[12],21373,Naruto RPG 2: Chidori vs. Rasengan,[20],The second Naruto RPG game from Tomy it focuses on the rivalry between Naruto and Sasuke,Missing,0.0,0.0,0.0,50.0,2.0,0.0
1122681600,[31],6306,"Animaniacs: Lights, Camera, Action!",[20],Recent account calculations have shown that Yakko Wakko and Dot have cost Warner more money in accumulated damage than they have generated profit since their escape from the watertower The Board of Directors are now giving them one last chance to justify themselves To set their accounts straight Warner have now decided to shoot three Animaniacs feature films in one go,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1121904000,"[15, 16, 35]",2285,Yu-Gi-Oh! Nightmare Troubadour,[20],YuGiOh Duel Monsters Nightmare Troubadour is the first time that the YuGiOh dueling card game has appeared on the Nintendo DS You can build a deck out of more than 1000 cards including three exclusive trading cards that come with each game The bottom screen represents the card game area utilizing full touch capabilities and the upper levels displays characters as they battle in full 3D YuGiOh Duel Monsters Nightmare Troubadour also supports wireless play letting you challenge your friends to a duel or trade cards wirelessly,80.07703489845696,29.65,49.74,83.44,66.0,28.0,14.0
1121299200,[7],3680,Dance Dance Revolution Mario Mix,[21],Boogie down with Mario in his own dance party Players shake their things to more than 25 danceflavored songs from classic Nintendo themes to familiar favorites With five difficulty levels dancers of all abilities will be able to get into the groove The special Workout feature tracks the calories burned while playing Someone has stolen the Music Keys and released the music they held Without the Music Keys the unstable power of the music is wreaking havoc on the land Mario must recover them before the chaos destroys the entire Mushroom Kingdom The path to the keys is simple Left Right Up Down Right Down Characters include Mario Luigi Toad Waluigi Wario Bowser Players clear levels by performing the correct steps Once they clear all the levels in a particular world theyll collect a Music Key Collect all the Music Keys to win Players control Dance Dance Revolution Mario Mix by stepping on different arrows on the Action Pad included with game Players can finally experience the thrill of stomping Goombas and other enemies firsthand As players clear songs they will unlock more songs minigames and difficulty levels,78.54512489717723,1.98,5.51,13.58,71.0,33.0,28.0
1121904000,"[12, 15]",124791,Mega Man Battle Network 5: Double Team DS,[20],Mega Man Battle Network 5 Double Team is a dual screen version of the Game Boy Advance title The DS will combine both Team Protoman and Team Colonel in one game but add specific content unique to the Nintendo DS version The second screen comes into play by giving players direct access to their Cyber Map and PET The microphone can be yelled into to power up Mega Man during battle And using the Nintendo DSs GBA slot players can carry over battle chips earned in past Mega Man Battle Network games for use in the Nintendo DS edition,77.0,nan,nan,nan,nan,nan,nan
1121040000,"[9, 35]",2334,Mario Party 7,[21],You can play more than 80 new minigames in the most recent Mariothemed party game Mario Party 7 Mario and pals needed some time off but they forgot to invite Bowser on their cruise You can battle against an angry Bowser or up to seven of your friends on a single GameCube system Mario Party 7 includes a few new characters and brings back microphone support from Mario Party 6,72.37437476848581,10.28,15.97,23.29,73.0,99.0,26.0
1120867200,Missing,21436,Nanostray,[20],Nanostray is a vertical scrolling shooter video game for the Nintendo DS Similar to many games in the genre the user takes control of a futuristic spacecraft against a seemingly endless horde of enemies A sequel to the game was released in 2008 entitled Nanostray 2,68.13696560344417,1.0,1.2,1.4,68.0,15.0,18.0
1121299200,[31],3063,Batman Begins,"[8, 11, 21]",Step into the shadows of Gotham Citys perilous criminal underworld as DC Comics legendary Dark Knight in the Batman BeginsTM video game Slated for release day and date with the Warner Bros Pictures film Batman Begins challenges players to use fear as their ultimate weapon  The game explores the origins of the Batman legend and the Dark Knights emergence as a force for good in Gotham Gamers will play as both Bruce Wayne and his alterego Batman hunting evildoers from the shadows using strength intellect and an array of high tech gadgets to fight the sinister forces that threaten the city including classic villains Scarecrow Ras Al Ghul and Carmine Falcone,66.46551562411402,7.3,8.41,9.04,68.0,49.0,38.0
