first_release_date,id,name,platforms,genres,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1132790400,269650,Appare! Shogi Jiisan,[20],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1131580800,261105,Manga-Ka Debut Monogatari DS: Akogare! Manga Ka Ikusei Game,[20],[13],Play as a young girl who hopes to become a comic artist,Manga Ka Debut Monogatari DS Akogare Manga Ka Ikusei Game is a Simulation game developed by Hyde and published by TDK Core which was released in Japan in 2005,Missing,nan,nan,nan,nan,nan,nan
1131408000,248545,Harry Potter and the Goblet of Fire,[20],[31],Missing,Missing,Missing,7.07,9.75,17.29,54.0,158.0,72.0
1132185600,248541,Peter Jackson's King Kong: The Official Game of the Movie,[20],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1132012800,243048,Need for Speed: Most Wanted,"[8, 11, 21]",[10],Missing,Missing,Missing,20.2,23.83,31.12,84.0,671.0,411.0
1131667200,242992,Need for Speed: Most Wanted,[20],Missing,Missing,Missing,Missing,20.2,23.83,31.12,84.0,671.0,411.0
1131926400,194238,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",[20],[31],Missing,Players enter the world of Narnia a land frozen in a 100 year winter by the evil powers of the malevolent and evil White Witch In order to end this frigid captivity and free his people the mighty lion Aslan true ruler of Narnia invokes an ancient prophecy It will become the destiny of four young siblings from our world Peter Susan Edmund and Lucy Pevensie to work together and use their unique combat skills weaponry and abilities to defeat the Witch and her armies to save Narnia These four unlikely heroes must battle the evil forces of the White Witch by waging war against a vast variety of creatures including Centaurs Minotaurs Minoboars Cyclops Werewolves Wraiths Ankleslicers Wolves Satyrs Boggles and more,Missing,4.3,5.89,6.58,59.0,39.0,35.0
1133222400,194233,Burnout Legends,[20],"[10, 33]",Missing,Burnout Legends takes the most explosive moments of the popular Burnout series of racing games mashes them together and adds some new surprises  giving you the best racing experience to come out for the DS Use your car as a weapon and battle your way to the front of the pack  by taking out rivals and instigating spectacular crashes Speed depth and destruction are waiting for you in the game of onthego automotive anarchy,Missing,7.88,12.14,16.81,70.0,65.0,58.0
1133136000,92708,Elf Bowling 1 & 2,"[20, 24]",[14],Missing,This game is a compilation of two NStormdeveloped minigames Elf Bowling and Elves in Paradise Elf Bowling 2 Both games come with unchanged graphics straight from their flashbased originals  Elf Bowling is a standard bowling game where the player as Santa hurls a bowling ball down an alley at belligerents elves This is done by pressing a button at the right moment as a red cone moves left and right along the bottom of the lower screen  Elf Bowling 2 is a game of shuffleboard The goal of the game is to hurl Elves down the deck into a score zone at the end of the ship This is done by aiming the elf left and right with the Dpad and hitting Abutton at the right moment as a light slides across the grid in front of the players character,Missing,0.2,0.0,0.0,26.0,8.0,7.0
1132876800,75350,Titeuf: Mission Nadia,[20],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1132617600,69810,ATV Quad Frenzy,[20],"[10, 14]",Missing,ATV Quad Frenzy is a Nintendo DS four wheeler racing game,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1133049600,47727,Nintendogs: Best Friends,[20],[13],Missing,A limitededition bundle featuring a specially colored Nintendo DS system and a Best Friends edition of the bestselling Nintendogs The special bundleonly version of Nintendogs will let owners start with the six most popular breeds chosen from the three Nintendogs editions,Missing,nan,nan,nan,nan,nan,nan
