first_release_date,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1153958400,269781,Jinsei Game DS,[20],A DS adaptation of the board game known in the US as The Game of Life Not to be confused with the other release on the DS known as Jinsei Game,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1153526400,215382,Bubble Wrap DS,[20],A virtual bubble wrap for the DS made with PALib  Who doesnt love to pop bubble wrap So why not pop it on the go with your DS,[13],Missing,Missing,nan,nan,nan,nan,nan,nan
1153180800,205157,Monster House,"[20, 24]",Oh no Old man Nebbercrackers house is eating anything and anyone who gets near it and Halloween is almost here So grab your Water Blaster gather up your courage and get ready to explore the Monster House to find out its secrets  Monster House is an oldschool shoot em up based on Columbia Pictures animated movie of the same name With the help of your touch screen controlled water gun you explore the house room by room fighting off waves of enemies assorted household objects coming from every direction You also pick up various powerups along the way You can play as each of the three characters from the film  DJ Chowder and Jenny,"[5, 31]",Oh no Old man Nebbercrackers house is eating anything and anyone who gets near it and Halloween is almost here So grab your Water Blaster gather up your courage and get ready to explore the Monster House to find out its secrets,Missing,4.0,4.33,6.91,56.0,10.0,11.0
1153180800,200811,Virtual Villagers: A New Home,[20],Care for and nurture a tribe of little people by teaching them the basics of survival They need to become farmers builders scientists parents and make decisions about unpredictable island events Guide their daytoday lives and help them explore and restore their new home As your village grows and prospers your villagers become curious about their mysterious new island home and the secrets it holds,"[13, 15]",Missing,Missing,0.0,0.0,6.97,74.0,8.0,3.0
1152748800,139127,Project Hacker: Kakusei,[20],Project Hacker Kakusei is a point and click adventure game developed by Red Entertainment for the Nintendo DS In Project Hacker Kakusei the player takes control of a hacker named Satoru Amatsubo Both Satoru and detective partner Rina Okubo are employed by the internet crimefighting GIS,Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1152835200,84609,Miss Spider: Harvest Time - Hop and Fly,[20],Miss Spider Harvest Time  Hop and Fly was especially developed for a younger audience to take full advantage of the special capabilities of the Nintendo DS system including the touch screen and the microphone It contains a wide variety of different game play situations spread over more than two dozen stages,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1153353600,70563,Sekai no Gohan Shaberu! DS Oryouri Navi,[20],Sekai no Gohan Shaberu DS ORyouri Navi is the sequel to Cooking Guide Cant Decide What to Eat for the Nintendo DS The game now features recipes from around the world,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1154044800,51468,James Pond: Codename Robocod,"[8, 130]",Urgent communication James Pond  Codename RoboCod has got himself embroiled in some very fishy business indeed involving his archnemesis the notorious supervillainDr Maybe James Pond launches himself back into battle to thwart the evil Dr Maybe and his dastardly plans for World domination With help from his amazing new robotic suit James Pond must traverse bizarre worlds jumping squashing climbing stretching and squishing bouncing bears crazy cadillacs whirling dervishes chocolate mountains and not forgetting devious and wacky endof level bosses,"[8, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1153008000,47803,Hasbro Compilation,[20],MonopolyBoggleYahtzeeBattleship is a collection of the hit board games that so many enjoyed as kids Try your finance and negotiation skills in Monopoly see how good you are with words in Boggle roll the dice and hit the high numbers in Yahtzee and use your critical thinking to sink your friends Battleship Stateoftheart engine and physics create stunning visuals and effects Bloodcurdling music and sound effects enhance the experience  Play four of your alltime favourites anytime anywhere Wireless multiplayer modechallenge up to 4 friends Touchscreen controls  play word games as fast as you can think Hot seat modeshare games with up to 4 people on a single DS,"[9, 15]",Missing,Missing,nan,nan,nan,nan,nan,nan
1153440000,43571,Heracles: Battle with the Gods,"[6, 8, 20]",30 immense levels of nonstop action including hidden bonus levels Each level contains treasures and magical delights to find earn and use Numerous enemies taken straight from the realm of myth and legend Medusa Cerberus the Minotaur the Centaur and many others Guide Heracles through great trials of mental and physical strength in varied gaming environments including slippery ice burning cliff ledges traps bouncy platforms and crumbling rocks Classic platforming fun,[8],Missing,Missing,0.0,0.0,5.0,0.0,0.0,1.0
1152921600,23673,Crazy Chicken: Pirates,"[6, 34, 37, 39, 130, 159]",A onelegged captain a gunner a cutlasswielding chicken and a treasure hunter the island is home to countless perils hidden extras and mysteries The lords of the island are by no means willing to surrender themselves and their treasure without a fight Crazy Chicken Pirates 3D is a point  shoot action game where you take aim at birds as they scurry through the island and plunge bravely into the waves for a desperate counterattack You only have 90 seconds to complete your raid by slaying pirates and collecting all hidden treasures,"[2, 5, 13, 14, 31, 32, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1152748800,21375,Naruto: Path of the Ninja 2,[20],TOMY Corporation and D3Publisher present NARUTO Path of the Ninja 2 the latest in the popular RPG videogame series this fall as Naruto and his friends take on a brandnew mission The completely original storyline will test the resolve of aspiring ninja everywhere as they use the DS Touch Screen to explore the world solve puzzles and unleash devastating jutsu attacks The expanded roster features 30 playable characters from VIZ Medias hit television series NARUTO currently running on Cartoon Network Improvements to the battle system will give players more options than ever before as they make use of the newlyadded Squad Leader and Ninja Tag systems,"[12, 16, 31]",Missing,Missing,8.03,9.88,33.0,59.0,8.0,7.0
1152144000,18823,Brave Story: My Dreams and Wishes,[20],Missing,"[2, 9, 31, 34]",Missing,Missing,nan,nan,nan,nan,nan,nan
1152144000,1779,Mega Man ZX,[20],This game contains elements from the Mega Man X series and the Mega Man Zero series The game introduces a new openended gameplay environment and the ability to select the protagonists gender a first in the series The players character Vent or Aile is on a 2dimensional overlay map with sprites where he or she engages enemies to finish the mission When Vent and Aile receive a Biometal they are able to change form gaining various abilities such as the charge moves or charging their weapon with an element of that Biometal for example Biometal H will charge the weapon with electricity While in a special form using the formspecific abilities use up weapon energy When Vent and Aile receive the other half of the Biometal they are able to perform a different special ability,"[5, 8]",The game takes place on a technologically advanced world centuries after Mega Man Zero 4 Humans and Reploids now coexist peacefully both treated as humans due to the new laws  In time the habitants of Earth managed to revive some of the former nations However preventing further prosperity like the days of old incidents around the world began where some of the machine life forms became Maverick making some areas dangerous for the inhabitants and soon this activity obstructed exchange between nations  The nations became divided into areas designated as the Inner where it was safe for humans to live and the Outer region where the dangerous Mavericks appeared Great developments were made due to the efforts of the corporation Slither Inc which possesses technology unearthed from historic ruins in the outlands Peaceful life is maintained by receiving the technology offered by Slither Inc in the central areas of cities  In the frontier regions where the crisis management of countries still doesnt reach damage from attacks by Mavericks general term for Reploids and Mechaniloids that threaten the peace still occur The humans in these areas developed the selfdefense organization known as the Guardians They defend the frontier regions and investigate the cause of the Maverick element  Slither Inc uses the technology developed from historic ruin finds essentially as a lifeline for the cities providing goods to its people such as energy resources It is not necessarily a bad thing that the company has more or less grasped the lifeline of the cities at least for the people in those cities Slither Incs president is named Serpent Serpent is considered a wonderful person who raised the company on his own by excavating the ancient technology sleeping in the Outlands Furthermore he has arranged a Mechaniloid army in his company and is said to have repeatedly saved countries from Maverick attacks in the past  On the other hand the Guardians in the frontier regions are considered to be unassociated private ventures They make the Guardian Base a gigantic flying ship their headquarters and they take people on a volunteer basis to not only defend the frontier areas but also investigate the Maverick source The original leader of the Guardians disappeared during the investigation of an Outlands area and command has been taken over by the young girl named Prair,93.0957521035943,7.06,11.97,17.03,76.0,97.0,69.0
1153958400,20607,Tamagotchi Connection: Corner Shop 2,[20],Tamagotchi Connection Corner Shop 2 features all new shops such as the Bowling Alley and Sushi Bar as well as old favorites like the Flower Shop and Concert Hall,[13],Missing,73.0,0.0,0.0,0.0,55.0,4.0,0.0
1154044800,78002,Game & Watch Collection,[20],Game  Watch Collection is a compilation cartridge featuring three of Nintendos MultiScreen Game  Watch games Not available for purchase this game could only be obtained in Japan North America and Australia by buying it with points included with Nintendo games and systems The included games are Oil Panic Donkey Kong and Green House,[33],Missing,71.0,1.02,14.11,0.0,56.0,13.0,5.0
1153958400,3988,Mario Hoops 3-on-3,"[20, 41]",Get that magic touch There are plenty of basketball games out there but none with the handson control of Mario Hoops 3on3 Players use the touch screen to get their game on as they execute tricky dribbles special passes and sweet shots  all with strokes and taps of the stylus Players choose their teams of three characters from the Mario universe and hit the parquet Powerups like Red Shells and Bobombs can turn the tide as they chase down coins  they will affect the score so players collect as many as they can as they drive to the hoop Whether playing against friends on a local wireless connection jamming through a tournament or just playing minigames theres a mode for everyone,[14],Missing,60.25211880792594,4.94,11.89,22.9,69.0,89.0,36.0
1152230400,2848,Alex Rider: Stormbreaker,"[20, 24]",Based on Anthony Horowitzs series of teen spy movies and movie following adventureseeker Alex Rider Players embrace the role of Alex Rider to outspy outwit and outcool evil in this thrilling action adventure Featuring thirdperson stealth game play fastpaced racing action intense fighting and engaging gadgetbased minigames players can relive defining moments from the Stormbreaker movie and become the ultimate spy,[31],Missing,52.0,1.81,0.0,6.5,35.0,2.0,4.0
1153180800,4018,Monster House,"[8, 21]",Oh no Old man Nebbercrackers house is eating anything and anyone who gets near it and Halloween is almost here So grab your Water Blaster gather up your courage and get ready to explore the Monster House to find out its secrets  Monster House is an oldschool shoot em up based on Columbia Pictures animated movie of the same name With the help of your touch screen controlled water gun you explore the house room by room fighting off waves of enemies assorted household objects coming from every direction You also pick up various powerups along the way You can play as each of the three characters from the film  DJ Chowder and Jenny  Monster House is an actionadventure game developed by Artificial Mind and Movement and published by THQ Although the game was marketed toward the same preteen audience as the accompanying film its gameplay was highly reminiscent of Resident Evil 4 the game was generally higherquality than many other games based on childrens films and it received high ratings from numerous prominent gaming magazines and websites including Play magazine and GameZone  Monster House was met with mixed reviews Aggregating review websites GameRankings and Metacritic gave the Game Boy Advance version 6650 and 69100 the GameCube version 6513 and 60100 the DS version 6365 and 62100 and the PlayStation 2 version 6064 and 59100  This game is heavily inspired by classics like Robotron and Smash TV,"[5, 31]",Oh no Old man Nebbercrackers house is eating anything and anyone who gets near it and Halloween is almost here So grab your Water Blaster gather up your courage and get ready to explore the Monster House to find out its secrets,43.0,4.0,4.33,6.91,56.0,10.0,11.0
1153699200,3787,The Ant Bully,"[5, 6, 8, 21]",Based on the animated movie The Ant Bully puts you in the role of Lucas a 10year old boy who passes his time by tormenting an ant hill Before he knows it the ants use a magic potion to shrink him down to their size Then they put him to work for the colony giving him a fresh perspective on life  The game is played from a 3D thirdperson perspective Most actions are contextsensitive performed with the press of one button eg Lucas automatically jumps when running off a ledge You play various missions and receive medals upon their completion These medals are worth varying amounts depending on how well you played gold is 50 points silver is 30 points and bronze is 10 You use these medals to unlock special abilities every time you reach 300 points The missions mostly involve fighting enemies and collecting items scattered in the game world,[31],Missing,23.0,4.32,6.0,0.0,53.0,10.0,8.0
1153353600,1196,Crash Boom Bang!,[20],Crash Boom Bang is a party game developed by Dimps and published by Vivendi Universal Games in Japan and by Sierra Entertainment internationally for the Nintendo DS It was released in Japan on July 20 2006 in North America on October 10 20061 in Europe on October 27 2006 and in Australia on November 2 20063 It is the only game in the Crash Bandicoot series to be developed by a Japanese company and the first to be released in Japan before North America It was also the final game in the series to be released in Japan  Crash Boom Bang is the first game to be released exclusively for the Nintendo DS and the second party game of the series after Crash Bash The games story centers on a multimillionaire who uses the characters of the series to unearth a powerful object dubbed the Super Big Power Crystal The game has received largely negative reception from reviewers who criticized it for having unoriginal dull gameplay and poor controls,"[9, 26]",Missing,22.05998317425802,3.09,5.17,6.16,35.0,10.0,9.0
