first_release_date,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1167523200,"[8, 31]",275781,Super Mario World: The Second Reality Project 2 - Zycloboo's Challenge,[19],A OneEyed Big Boo called Zycloboo wants to conquer the Mushroom Kingdom and like Bowser in The Second Reality Project 1 he wants to use the power source from another dimension called the Second Reality to get to his goal To get Mario out of sight or maybe for some other reasons he warps Mario and his Castle in the Second Reality Marios only chance to stop Zycloboo is to find the Power Supply station which can give him the power he needs for the task  or at least thats what Zycloboo told him heeheehee,Sequel to the first rom hack The Second Reality Project this new story brings a totally new villain to the franchise Zycloboo who is a Big Boo with one eye,Missing,nan,nan,nan,nan,nan,nan
1166659200,Missing,269751,Daredemo Kantan! Watanabe Akira no Tsume Shogi,[20],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1165449600,Missing,269578,DS Kageyama Method: Dennou Hanpuku - Masu x Masu Hyaku Masu Keisan,[20],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1165449600,Missing,269573,Doko Demo Raku Raku! DS Kakeibo,[20],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1165449600,Missing,269544,Akko ni Omakase! Brain Shock,[20],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1167523200,[8],267619,Super Mario World: VIP and Wall Mix 2,[19],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1166313600,[8],259910,Blue Mario Bros. 3,[18],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1165795200,[8],250215,Toad's Treasure Quest,[18],Missing,Toads Treasure Quest is a Super Mario Bros rom hack based around the character Toad The hack provides a fanmade explanation on how Toad was able to possess all the items in the Toad Houses in Super Mario Bros 3,Missing,nan,nan,nan,nan,nan,nan
1165449600,"[13, 31]",240908,Cinnamoroll: Ohanashi Shiyo!: Kirakira de Kore Cafe,[20],One day out of the blue a dog with large ears that enables it to fly dropped out of the sky and decided to help you run the cafe The dogs name is Cinnamon and he mightve caught a sniff of the cinnamon rolls that your cafe had to offer With your new little aid youll be able to tell Cinnamon what to do talk to him via microphone and send him on errands,Cinnamoroll Ohanashi shiyo  Kira Kira DE core Cafe is a Japanese Nintendo DS game released in 2006 developed and produced by Namco Bandai Games Inc In this japaneseonly game you control Cinnamoroll per touchscreen and microphone You walk around the town and complete various errands to run a café,Missing,nan,nan,nan,nan,nan,nan
1166659200,[12],222344,The Mysterious Mine Bouncin' Back Edition,[19],The year is 2006 and a young boy named Trae the hero is the author of this hack has been sent to do a late night errand for his mother However things are not right Strange humans are located around town When Trae encounters one of the higher strange fighters he is sent to the mysterious mine What exactly will happen to our hero,This is the authors Earthbound hack that they have worked on since 2006 This hack is a graphics story gameplay change hack,Missing,nan,nan,nan,nan,nan,nan
1167177600,[33],214712,Danmaku Kentei Shiken: Ketsui Hen,"[55, 130]",Missing,Part of CAVEs line of mobile bullet dodging tests Released for DoJa and J2ME mobile devices then rereleased for Nintendo Switch  Based on the arcade game Ketsui Kizuna Jigoku Tachi it weaves the stages and bosses from the original into an endless boss rush The farther a player gets the harder the game becomes Players are challenged to survive as long as possible while racking up a high score Players are able to pick from the original games ships,Missing,nan,nan,nan,nan,nan,nan
1165449600,Missing,203405,Simple DS Series Vol. 11: Mou Ichido Kayoeru - The Otona no Shougakkou,[20],Missing,Mouichido Tsuueru  The Otona no Shougakkou is a Miscellaneous game developed by Affect and published by D3Publisher which was released in Japan in 2006,Missing,nan,nan,nan,nan,nan,nan
1166659200,Missing,203404,Simple DS Series Vol. 10: The Doko Demo Kanji Quiz,[20],Missing,The Doko Demo Kanji Quiz is a Miscellaneous game developed by Vingtetun Systems and published by D3Publisher which was released in Japan in 2006,Missing,nan,nan,nan,nan,nan,nan
1166659200,Missing,203403,Simple DS Series Vol. 9: Atama ga Yoku Naru - The Me no Training,[20],Missing,Atama ga Yoku Naru  The Me no Training is a Miscellaneous game developed by Japan Art Media JAM and published by D3Publisher which was released in Japan in 2006,Missing,nan,nan,nan,nan,nan,nan
1165363200,"[4, 31]",200677,Star Wars: Lethal Alliance,[20],Missing,To capture the plans for the Death Star and make it back home safely players must guide Rianna Saren and her trusty droid Zeeo through a variety of Star Wars environments while avoiding or attacking Imperial soldiers and their allies Rianna is gifted in combat and Zeeo comes in handy for unlocking security doors reaching high places and bypassing dangerous areas The story of Star Wars Lethal Alliance unfolds between Episode III and Episode IV when Princess Leia recruits the duo to steal the plans so the Rebels may learn any weaknesses in the massive weapon Players will explore such areas as Tatooine Despayre Alderaan and Danuta while interacting with characters including Boba Fett Darth Vader and Kyle Katarn The PSP features various minigames and multiplayer Twillek vs Twilek combat over a wireless network,Missing,5.5,6.08,8.74,58.0,14.0,20.0
1167523200,Missing,186653,YuYu Hakusho: Ankoku Bujutsukai-hen,[20],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1167523200,"[25, 33]",176054,Biker Mice From Mars,"[8, 20]",Missing,The Biker Mice from Mars are on a quest to get hold of the one thing that can save Mars their home planet from total destruction  the Regenerator but they are not the only ones who want this powerful item  Hairball leader of the ruthless feline race the Catatonians and Ronald Rump evil corporate land developer want the Regenerator for their own evil purposes They will throw everything they have at our heroes to acquire it but the Biker Mice are not alone  they have friends throughout the solar system to help them when the going gets rough Its an actionpacked struggle that starts on Earth and culminates on the planet Mars with the fate of both planets hanging in the balance Play the role of each of the three popular Biker Mice Throttle the cool leader Vinnie the fun daredevil or Modo the gentle giant Throughout each challenge General Carbine is in touch with the Biker Mice to communicate the mission objectives Charley the mechanic will also help by repairing their bikes inventing new weapons and gadgets and instructing the heroes on how to use them,Missing,3.43,5.92,6.86,73.0,23.0,24.0
1167523200,Missing,159043,Maths Play: Have Fun with Numbers!,[20],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1165449600,"[9, 31]",122870,Chao Dream Touch! Happy Anniversary,[20],Based on the popular 70s Shogakukan Comic series Play various mini games and solve various puzzles,Chao Dream Touch Happy Anniversary is a game released for Nintendo DS in Japan on December 7 2006 The game is based on several 1970s Shogakukan manga series The game contains various mini games puzzles in which twenty characters from nine different comics appear,Missing,nan,nan,nan,nan,nan,nan
1165449600,[34],112538,DS Dengeki Bunko: Inukami! feat. Animation,[20],Missing,Based off of the anime series of the same name Inukami is a visual novel with story artwork and voice acting to match the slapstick romantic comedy about a boy named Keita and his mischievous companion In a world where demons with canine features known as Inukami exist the Inukami tamers must rise up to tame them so that the Inukami shall protect humans with their power Keita Kawahira born from a long line of tamers has only ever successfully managed to partner up with Youko an uncontrollable yet powerful Inukami,Missing,nan,nan,nan,nan,nan,nan
1165449600,[34],112534,DS Dengeki Bunko: Allison,[20],Missing,A visual novel based in the Allison light novel of Dengeki Bunko,Missing,nan,nan,nan,nan,nan,nan
1165449600,[14],98514,Pawapuro-kun Pocket 9,[20],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1166227200,"[4, 8, 33]",87815,Super Mario War,"[3, 5, 6, 9, 11, 14, 20, 23, 38, 82, 130]",Missing,Super Mario War is an opensource crossplatform platformadventure video game and level editor released on 16 December 2006 It is based upon gameplay elements and audiovisual media that are cloned from Nintendos Super Mario series The game centers on players fighting each other by one player jumping on the other players head or by making use of items which can be picked up during gameplay,Missing,0.5,0.0,0.0,0.0,0.0,1.0
1167523200,[9],83301,Puzzle Series Vol. 7: Crossword 2,[20],Missing,A second series of crossword puzzles in Hudsons Puzzle Series,Missing,nan,nan,nan,nan,nan,nan
1165536000,Missing,75353,Winx Club : The Quest For The Codex,[20],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1166054400,Missing,75352,My Animal Centre in Africa,[20],Missing,Missing,Missing,9.5,0.0,0.0,40.0,2.0,1.0
1166054400,"[13, 31]",71907,Oshare Princess DS: Oshare ni Koishite!,[20],Missing,The first DS installment of the Oshare Princess series,Missing,nan,nan,nan,nan,nan,nan
1165449600,"[7, 13, 31]",70662,Kirarin Revolution: Naasan to Issho,[20],Missing,Kirarin Revolution Naasan to Issho is the second game by Konami for the Nintendo DS based on the Kirarin Revolution series It was released on December 7th 2006 in Japan and in April 29th 2010 in Europe France Spain and Italy only,Missing,nan,nan,nan,nan,nan,nan
