,id,name,platforms,summary,genres,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,269699,Doraemon: Nobita no Shin Makai Daibouken DS,[20],A Doraemonthemed card battle game for the Nintendo DS,Missing,Missing,Missing,,,,,,
1,269547,ALC no 10-punkan Eigo Master: Shokyuu,[20],Missing,Missing,Missing,Missing,,,,,,
2,269546,ALC no 10-Punkan Eigo Master: Joukyuu,[20],Missing,Missing,Missing,Missing,,,,,,
3,269545,ALC no 10-Punkan Eigo Master: Chuukyuu,[20],An edutainment game for the Nintendo DS,Missing,Missing,Missing,,,,,,
4,248516,Meet the Robinsons,"[5, 8, 21]",Missing,Missing,Missing,Missing,4.56,14.95,21.0,60.0,17.0,10.0
5,248515,Meet the Robinsons,[20],Missing,Missing,Missing,Missing,4.56,14.95,21.0,60.0,17.0,10.0
6,248514,TMNT,"[5, 8, 11, 21]",Missing,[25],Missing,Missing,4.84,5.14,6.0,58.0,127.0,88.0
7,248512,TMNT,[20],Missing,Missing,Missing,Missing,4.84,5.14,6.0,58.0,127.0,88.0
8,248507,Shrek Smash n' Crash Racing,[20],Missing,[10],Missing,Missing,1.04,1.81,2.0,55.0,13.0,7.0
9,196254,My Melody Angel Book: Denshi Techou & Enjoy Game,[20],My Melody Angel Book Denshi Techou  Enjoy Game is an Action game developed and published by TDK Core which was released in Japan in 2007,[13],Missing,Missing,,,,,,
10,193363,Rayman Raving Rabbids,[20],Rayman Raving Rabbids is a portable version of the console game of the same name which was released for the Nintendo DS in 2007 Unlike both the console versions and the Game Boy Advance version this game uses 3D graphics but plays as a sidescroller throughout the majority of the game Like the console version there are several minigames which have to be completed to progress,Missing,Missing,Missing,5.89,7.99,12.66,62.0,171.0,87.0
11,184569,Puzzle Series Vol. 12: Akari,[20],Puzzle Series Vol 12 Akari is a Puzzle game published by Hudson Soft released on March 8 2007 for the Nintendo DS,Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
12,182238,Advanced Sorcerian,"[55, 130]",Advanced Sorcerian is an enhanced remake of the classic computer action RPG Sorcerian It features the original games scenario along with the Sengoku and Pyramid addon disk scenarios Aside from enhanced graphics and fresh character portraits the remake adds several exclusive scenarios created specifically for this release,"[8, 12, 31]",Missing,Missing,,,,,,
13,150078,The Legend of Zelda: Third Quest,[19],The Legend of Zelda Third Quest is a ROM hackmod of BS Zelda no Densetsu by Con with additional code by other ROM hackers of the BS Zelda scene The mod intend to make BS Zelda no Densetsu closer to a traditional Zelda experience with the ability to play as Link or Zelda and changes to the engine of the original game which was heavily based on a timelimited gameplay making it directly related to story progression,[12],Missing,Missing,,,,,,
14,148731,Impossible Mission,"[5, 8, 20, 38]",Reimagining of the original 1980s classic Choose from 3 characters New tutorial mode 3 game modes Full games haring on PSP  Its hard to believe that it was twentyfive years since the original release Impossible Mission was the first game to use real synthesized speech an incredible development when first unleashed on the 8bit formats The original game included a random gamemap system which ensured that no two games were the same Although the original still stands the test of time today inclusion of brand new graphics and sound ensures that Impossible Mission is primed to thrill a brand new audience  The gamer takes the role of a secret agent attempting to stop evil genius Professor Elvin Atombender who has been tampering with National Security Computers Players must penetrate Atombenders base attempting to recover parts of the system password whilst avoiding deadly robots in a race against time  Whilst the game has been rewritten from the ground up and features new graphics 3D objects new Sound Effects and Music the gameplay remains impressively loyal with the game layout changing for every new game There are now three main characters to choose from plus a brand new tutorial mode The player can now chose from three game modes new original and for the purist a hybrid mode with the original gameplay using the updated graphics  The PSP versions offer an unusual feature which allows players to send a full copy of their game to a friend by Wireless so they can try it for themselves,Missing,Missing,Missing,3.25,0.0,0.0,70.0,2.0,2.0
15,130609,Atama de DO! Kotencotenco,[20],Missing,Missing,Missing,Missing,,,,,,
