,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,269752,Eiken DS,[20],Missing,Missing,Missing,Missing,,,,,,
1,269745,Deviens Miss France,[20],Deviens Miss France is a Simulation game developed by Gimagin Games and published by Micro Application which was released in Europe in 2007,Missing,Missing,Missing,,,,,,
2,269723,Biz Nouryoku DS Series: Wagokoro no Moto,[20],Missing,Missing,Missing,Missing,,,,,,
3,248486,Cocoto Kart Racer,[20],Missing,[10],Missing,Missing,3.0,0.0,0.0,30.0,4.0,1.0
4,240294,FIFA Soccer 08,"[6, 8, 21]",Oldgen port of FIFA Soccer 08,[14],Missing,Missing,,,,,,
5,240292,FIFA Soccer 08,[20],Nintendo DS port of FIFA 08,[14],Missing,Missing,,,,,,
6,210806,Zekkyou Senshi: Sakeburein,[20],Zekkyō Senshi Sakeburein was a Nintendo DS game exclusively available to Club Nintendo members in Japan This quirky multiplayer beatem up forced players to attack by shouting key phrases into the DS builtin microphone,[25],Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
7,201339,MySims,[20],The Nintendo DS version of MySims takes place in a vacation resort with the player tasked with the job of luring tourists This is accomplished by doing tasks for the locals who live in your town and after youre done with a certain task you earn stars Players collect stars to unlock other parts of the city as well as new minigames and new items in stores As more stars are collected the town grows and mini games are unlocked,"[13, 15]",Missing,Missing,12.5,15.0,25.35,66.0,42.0,21.0
8,154776,Yoshi's Island: Kamek's Revenge,[19],Yoshis Island Kameks Revenge commonly referred to as Kameks Revenge or YIKR is a Yoshis Island hack by SNN The original version was released on September 29 2007 It was inspired by the bonus level 5 of the same name from the original game  In late 2016 BTD6_maker took over the project releasing version 20 with a completed Extra 5 and various other fixes in March of 2017 The most recent release of Kameks Revenge was on February 06 2018,"[8, 31]",Missing,Missing,,,,,,
9,138291,Star Wars: Rogue Squadron III - Rebel Strike Preview Disc,[21],A preview disc containing a demo for Rebel Strike as well as a handful of trailers for other games releasing around the time and a port of the original Star Wars arcade game,"[31, 33]",Missing,Missing,,,,,,
10,124112,Uwasa no Midori-kun!! Natsu Iro Striker,[20],Uwasa no Midorikun Natsu Iro Striker is a DS game based off the manga Uwasa no Midorikun,"[14, 34]",Yamate Midori is a 15 yearold girl and is a tomboy One day Midori meets a boy called Hino Tsukasa who came to the island she lives on for a holiday He teaches her to play soccer and she falls in love with the sport Inspired by Tsukasa Midori continues to play soccer in hopes that they would meet again someday When they do meet again Tsukasa loses her trust by doing something unforgivable Determined to defeat Tsukasa on the soccer field Midori enrolls in an allboys high school,Missing,,,,,,
11,123235,Interactive Storybook DS: Series 1,[20],Full of gaming goodness and positive fairy tales this title immerses both the parent and the child into the world of skill building learning reading and having fun Bringing different generations together like never before Interactive Storybook DS aims to bring loved ones together to share to grow and to prosper,Missing,Missing,Missing,,,,,,
12,122955,Age-age the Zero-Yon Shinya,[20],The ZeroYon  Shinya is a Racing game developed by Tamsoft and published by D3Publisher which was released in Japan in 2007,Missing,Missing,Missing,,,,,,
13,77878,Wedding Dash,"[6, 14, 20, 39, 55, 73]",Manage a wedding while trying to keep guests happy,"[15, 33]",Missing,Missing,0.0,0.0,0.0,40.0,1.0,0.0
14,72648,Zekkyo Senshi Sakebrain,[20],Missing,[25],Missing,Missing,,,,,,
15,72615,Jigoku Shoujo: Akekazura,[20],Jigoku Shoujo Akekazura is an adventure game based on the anime series Jigoku Shoujo Hell Girl,[31],Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
16,72434,I did it Mum! 2,[20],A collection of educational minigames for the youngest of gamers Comes in both girl and boy versions,[9],Missing,Missing,,,,,,
17,70539,Bartender DS,[20],Japanese game that teaches you how to make cocktails and serve drinks,Missing,Missing,Missing,,,,,,
18,69192,Animal Genius,[20],Missing,[9],Missing,Missing,,,,,,
