first_release_date,id,name,platforms,genres,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
1212969600,269794,Cedric: L'Anniversaire de Chen,[20],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1214438400,269675,Breath: Toiki wa Akaneiro,[20],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1213228800,269627,"Hisshou Pachinko Pachi-Slot Kouryaku Series DS Vol. 2: CR Shinseiki Evangelion - Shito, Futatabi",[20],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1213833600,269608,Gakken Mainichi no Drill DS: Mesaze! Miracle Shougaku 1-nensei,[20],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1213833600,269589,Minna de Shitendo DS: Hanshichi Yuumon & Ango & Ago Juurou & Hatamoto Taikutsu Otoko,[20],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1212624000,269575,DS Yamamura Misa Suspense: Maiko Kogiku / Kisha Katherine / Sougiya Ishihara Akiko / Koto ni Mauhana Sanrin - Kyoto Satujin Jiken File,[20],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1214438400,262925,Higurashi no Naku Koro ni Kizuna: Someutsushi-hen,[20],[34],An extra arc and the first in the Advanced Story saga partially adapted from the mangaexclusive arc Onisarashi developed for Higurashi no Naku Koro ni Kizuna Volume I Tatari,Missing,Missing,nan,nan,nan,nan,nan,nan
1214438400,262919,Higurashi no Naku Koro ni Kizuna: Tatarigoroshi-hen,[20],[34],A port of the remade version of the original third chapter of Higurashi When They Cry,Missing,Missing,nan,nan,nan,nan,nan,nan
1214438400,262918,Higurashi no Naku Koro ni Kizuna: Watanagashi-hen,[20],[34],A port of the remade version of the original second chapter of Higurashi When They Cry,Missing,Missing,nan,nan,nan,nan,nan,nan
1214438400,262917,Higurashi no Naku Koro ni Kizuna: Onikakushi-hen,[20],[34],A port of the remade version of the original first chapter of Higurashi When They Cry,Missing,Missing,nan,nan,nan,nan,nan,nan
1214438400,248838,Jigsaw World: Daigekitou! Jig-Battle Heroes,[20],[9],Jigsaw World Daigekitou JigBattle Heroes is a Japaneseexcusive action jigsaw puzzle game developed by Nippon Ichi Software,Missing,Missing,nan,nan,nan,nan,nan,nan
1214179200,248564,Top Spin 3,[20],[14],Missing,Missing,Missing,0.0,0.0,0.0,81.0,9.0,0.0
1214524800,222739,Samantha Oups! Le Jeu,[20],Missing,A DS party game based on a French sitcom,Missing,Missing,nan,nan,nan,nan,nan,nan
1212451200,194936,LEGO Indiana Jones: The Original Adventures,[20],"[8, 31]",Build Battle and Brawl your way out of trouble Play through all three classic Indiana Jones movies and relive your favorite Indy adventures in the tongueincheek worlds of LEGO Explore and Discover  Battle enemies solve puzzles and seek out the worlds greatest treasures,Missing,Missing,9.48,14.05,20.32,72.0,446.0,415.0
