,id,name,platforms,genres,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,272092,Summon Night 2,[20],Missing,Missing,Missing,Missing,0.0,54.23,0.0,0.0,0.0,1.0
1,271426,Beach de Reach! DS,[20],"[34, 35]",Kaitto Asari captain of the Mahjong Club is enjoying his summer vacations in a training camp he was asked to participate in However there are also five cute girls in the camp Will Kaito become closer to them thanks to mahjong,Full remake of the original game with redone graphics,Missing,,,,,,
2,269826,LonQ! Highland in DS: Puu Puu Seijin Arawaru!! Shukketsu Dai-service! Onara no Saiten SP,[20],Missing,Missing,Missing,Missing,,,,,,
3,257764,Hayarigami 2: Keishichou Kaii Jiken File,"[20, 38]",Missing,Missing,From chain mails that leads to murder mysterious suicides and missing children you as a police officer have to put all your brain cells to work connect the events together to discover the truth,Missing,,,,,,
4,255351,DS Pico Series: Sanrio no Party Heikou! Oryouri - Oshare - Okaimono,[20],[31],Based on Sanrios various Sega Pico games,A Japanese Nintendo DS Sanrio video game from the DS Pico Series,Missing,,,,,,
5,248560,Race Driver: Grid,[20],[10],Missing,Grid will take players to beautifully realised and dramatic race locations over three continents to compete in an unprecedented variety of racing events Packed with the most powerful race cars  new and classic circuit and drift  players will compete to conquer the most prestigious official race tracks and championships and then go beyond to compete in challenging citybased competitions through to road events and urban street races,Missing,20.11,24.02,33.84,77.0,198.0,188.0
6,229195,Madden NFL 09,[20],[14],Missing,Nintendo DS port of Madden NFL 09,Missing,15.72,16.08,16.45,66.0,20.0,12.0
7,213862,Crocodingus in Cube Island,[20],"[8, 9]",Missing,Crocodingus the crocodile is happily playing video games when he carelessly drops his drink onto his consoles outlet Unfortunately the drink in the receptacle creates an electromagnetic distortion and Crocodingus got snatched into the vortex and sent to the pixel world In this game you play as the crocodile called Crocodingus in a cubic environement and you must collect all the bananas from each levels in order to advance  Crocodingus In Cube Island is a full 3D game that you can play on your Nintendo DS You can move the crocodile with the stylus and strike monkeys with its tail You must help Crocodingus to finish the game,Missing,,,,,,
8,124289,Secret Game: Killer Queen,"[6, 8, 38, 130]",[34],Missing,Reimagining of the 2006 doujin title Killer Queen  13 people are locked inside an abandoned building none of them remember how they got there Each has a PDA representing a playing card from A to K and a collar device locked around their necks Each of the 13 PDAs correspond to a different set of objectives ranging from simply surviving to eliminating everyone else If a player fails to fulfill their PDAs objective within 72 hours or breaks any of the games rules their collar will activate and they will die,Missing,,,,,,
9,124113,Uwasa no Midori-kun!! Futari no Midori!?,[20],"[14, 34]",You take control of Midori She is actually a girl but she joins a boys high school without telling her secret to anybody One day Midori and her friends carry out a training camp for a next soccer game But she meets Tsukasa her first lover there and their checkered school life begins,Uwasa no Midorikun Futari no Midori is the second game based off the manga Uwasa no Midorikun,Missing,,,,,,
