,id,name,platforms,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
0,269733,Dragon Dance,[20],Dragon Dance is a Puzzle game developed by Always Neat and published by Success which was released in Japan in 2009,Missing,Missing,3.01,0.0,0.0,70.0,1.0,1.0
1,269671,C'est Pas Sorcier,[20],Missing,Missing,Missing,,,,,,
2,163218,D-Pad Hero,[18],DPad Hero is a homebrew for NES based on Guitar Hero,[7],Missing,0.0,0.0,2.86,50.0,1.0,1.0
3,124270,The Hikyou Tankentai: Choutoko Special,[20],The Hikyou Tankentai Choutoko Special is an Action Adventure game developed by Japan Art Media JAM and published by D3Publisher which was released in Japan in 2009,Missing,Missing,,,,,,
4,112196,Ys II DS,[20],This is a remake of the second game in the Ys series for the DS The game have been remade in 3D with new music art and a new translation while still keeping the feel of the older games Also featured are touch control and local wireless multiplayer,[12],Missing,,,,,,
5,92183,Chibi Maruko-Chan DS: Maru-Chan no Machi,[20],Missing,Missing,Missing,,,,,,
6,79923,GameCenter CX: Arino no Chousenjou 2,[20],The sequel to Retro Game Challenge released only in Japan,Missing,Missing,,,,,,
7,71946,Destiny Links,[20],A piratethemed action RPG where you choose and customize one of eight playable characters to play as It also supports coop online play with up to 4 players,[12],Missing,0.0,0.0,0.0,0.0,0.0,0.0
8,70548,Let's Play Fashion Designer,[20],No info,[13],Missing,,,,,,
9,69130,Real Madrid: The Game,"[5, 6, 8, 20, 38]",Real Madrid The Game is the official game of Real Madrid football club,"[13, 14]",Missing,,,,,,
10,67582,Clubhouse Games Express: Strategy Pack,[159],A DSiWare game based on the original Clubhouse Games,[15],Missing,,,,,,
11,63356,Art Style: Precipice,[159],Another entry in Skips DSiWare Art Style series The player must navigate an ever growing tower of falling blocks without getting squashed,"[8, 9]",Missing,0.0,0.0,0.0,60.0,1.0,0.0
12,47968,Wonderworld Amusement Park,[20],All of the fun and thrills of your favorite amusement parks and carnivals have gone portable In Wonder World Amusement Park for DS the complete dayatthepark experience is in your hands with 6 themed zones full of mini games and an exhilarating ride in each Play through a huge variety of minigames as you win outfits and prizes for your unique character Step right up and test your skills in a fun filled experience for the whole family,[9],Missing,,,,,,
13,47946,Sokoban,[20],Missing,[9],Missing,0.0,0.0,0.0,63.0,3.0,0.0
