,id,name,platforms,summary,storyline,genres,rating,main,extra,completionist,review_score,review_count,people_polled
0,269628,Hisshou Pachinko Pachi-Slot Kouryaku Series DS Vol. 4: CR Shinseiki Evangelion - Saigo no Shisha,[20],Missing,Missing,Missing,Missing,,,,,,
1,269624,Hello Kitty no PacPac & Logic,[20],Missing,Missing,Missing,Missing,,,,,,
2,269557,Anna & die Liebe,[20],Take the role of Anna Polauke and interactively experience via touchscreen control the exciting story of the shy career starter who has to assert herself in the harsh media world All scenes as well as characters come from the successful telenovela in Sat1 The goal of the game is to assert itself as an emerging media designer in the advertising agency Broda  Broda  and conquer the great love From hard internships to important creative meetings numerous challenges await to be mastered in order to then be able to climb the career ladder further upwards With multiplechoice dialogues you can influence the story itself Solve crises and impress with creative ideas  this way you can conquer with Anna the heart of her great love Jonas,Missing,Missing,Missing,,,,,,
3,254483,Shuwa no Mori,[20],Missing,This educational software for the Nintendo DS is an introductory course in Nihon Shuwa Japanese Sign Language Touchscreen vocabulary selection is used to trigger and replay demonstrations and progress is measured via quizzes In game points are earned and can be used to purchase signlanguage picture novels which can be read by the player Includes emergency sign language and quick reference tools,Missing,Missing,,,,,,
4,248561,Disney G-Force,[20],GForce is a Disneymovie licenced 3D action game where you play as Agent Darwin the hightech guinea pig and as Agent Mooch the highly equipped house fly to solve many different missions Your main target and priority mission is to stop the evil billionaire Leonard Saber who wants to use his socalled Saberling household appliances as weapons to gain world domination,Missing,[31],Missing,8.52,9.38,10.59,66.0,29.0,32.0
5,210441,The Bigs 2,[20],The BIGS 2 is an arcadestyle baseball game that is less focused on the intricate details of the game and more on the actual gameplay proven by the inclusion of powerups and turbos during gameplay All 30 teams from MLB and their stadiums are included as well as their player rosters The Wii version of this game is controlled by flicking the Wii remote and Nunchuk These motion controls include drumming the remote and nunchuk when trying to speed up and using the remote as a bat when hitting,Missing,Missing,Missing,6.5,0.0,0.0,70.0,7.0,2.0
6,200913,Guitar Rock Tour,[159],With Guitar Rock Tour you can perform the guitar and drum tracks of the most popular worldwide hits on your NintendoDSi and live the most explosive musical experience on the DSi Targeted for all audiences Guitar Rock Tour features solo and multiplayer modes where beginners can have loads of fun right from the start and fans of music games can discover plenty of nuances,Missing,[7],Missing,4.17,4.52,0.0,60.0,2.0,2.0
7,130713,Gokujou!! Mecha Mote Iinchou: Girls Motekawa Box,[20],Missing,Missing,[13],Missing,,,,,,
8,123410,Saikin Koi Shiteru?,[20],Saikin Koi Shiteru is an otome game developed by Microvision and published by D3Publisher which was released in Japan in 2009,The 17 year old nameable heroine transfers to Seiran Academy and falls into a deep pool thats just sitting right at the entrance and meets somemitochondria It turns out that everyone she meets has them but only she can see them She names them Saikin bacteria and uses them to manipulate other peoples feelings withgood intentions,[34],Missing,,,,,,
9,85117,Electroplankton Hanenbow,[159],Normally aquatic creatures Hanenbow sometimes use floating leaves to launch themselves out of the water creating strange sounds and melodies as they bounce off the leaves,Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
10,85116,Electroplankton Lumiloop,[159],Lumiloop plankton are curious donutshaped aquatic creatures,Missing,Missing,Missing,,,,,,
11,85113,Electroplankton Nanocarp,[159],Nanocarp have very sensitive hearing,Missing,Missing,Missing,,,,,,
12,85112,Electroplankton Rec-Rec,[159],RecRec are fishlike plankton that feed on sound waves,Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
13,85110,Electroplankton Trapy,[159],Trapy plankton make sounds as they swim over graceful lines made up of linked triangles,Missing,Missing,Missing,,,,,,
14,85105,Electroplankton Beatnes,[159],Beatnes are curious plankton with geometrically shaped heads that form vertical strands like seaweed,Missing,Missing,Missing,0.0,0.0,0.0,55.0,1.0,0.0
15,84645,Game & Watch Vermin,"[37, 159]",Experience a piece of Nintendo history with the Game  Watch series for Nintendo DSiWare Each title is a perfect recreation of a classic LCD game from the early 1980s including normal Game A and alternate Game B modes,Missing,[33],Missing,0.1,0.23,0.27,70.0,2.0,7.0
16,84556,Game & Watch Chef,"[37, 159]",Experience a piece of Nintendo history with the Game  Watch series for Nintendo DSiWare Each title is a perfect recreation of a classic LCD game from the early 1980s including normal Game A and alternate Game B modes,Missing,[33],Missing,0.05,0.0,0.18,60.0,2.0,2.0
17,84554,Game & Watch Flagman,"[37, 159]",Experience a piece of Nintendo history with the Game  Watch series for Nintendo DSiWare Each title is a perfect recreation of a classic LCD game from the early 1980s including normal Game A and alternate Game B modes,Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
18,84550,Game & Watch Helmet,"[37, 159]",Experience a piece of Nintendo history with the Game  Watch series for Nintendo DSiWare Each title is a perfect recreation of a classic LCD game from the early 1980s including normal Game A and alternate Game B modes,Missing,[33],Missing,0.14,0.22,0.22,65.0,2.0,4.0
19,78893,Puzzle Iroiro: Gekkan Crossword House Vol.3,[159],Puzzle Iroiro Gekkan Crossword House Vol3 is a puzzle game and the third instalment in the Gekkan Crossword House series,Missing,[9],Missing,,,,,,
20,76971,Game & Watch Ball,"[37, 159]",A Game and Watch game from the original Silver collection from 1980 that was recreated as a DSiWare game,Missing,[33],Missing,,,,,,
21,69120,Doki Majo Plus,[20],A remake of the first game however adding a new graphical overlay a new interaction mode a revised soundtrack a new character and an all new bonus chapter at the end,The player assumes the role of a junior high school student who is asked by an angel to locate a witch that has snuck into his school In order to find the witch he must search the suspects bodies for a witch mark,"[31, 34]",Missing,,,,,,
22,68010,Penguin no Mondai X: Tenkuu no 7 Senshi,[20],Penguin no Mondai Tenkuu no 7 Senshi is an adventure game was released on the Nintendo DS on July 23 2009 in Japan only and was developed and published by Konami It is the second game based on the anime of the same name,Missing,Missing,Missing,,,,,,
23,67846,Magical Drop Yurutto,[159],A downloadable Magical Drop for DSi released only in Japan  Magical Drop Yuruto is a game that has two modes Magical Drop which erases colorful drops coming down from above side by side and Yuruyuru Yuruto which allows you to fortunetelling with tarot cards With the cute characters of Yuruyuru Friends designed by Toshinao Aoki you can play with the magical drop of comfortable operation with the touch pen and have the tarot card loosely fortune,Missing,[9],Missing,,,,,,
24,67742,Kupu!! Mamegoma!,[20],The 3rd installment of the Mamegoma series in which you raise seals and Mamegoma that are small enough to fit in your hand is now available There are 40 new types of Mamegoma in total Two Mamegoma can be raised together and you can pet them tickle them and touch them with a stylus Items such as rice and interior items are also available and there are 180 cosplay items that can be worn by Mamegoma Also when you play music to Mamegoma they will remember the song and hum with a cute cry,Missing,[13],Missing,,,,,,
25,64379,Katekyo Hitman Reborn! DS Flame Rumble X - Mirai Chou-Bakuhatsu!!,[20],Missing,Missing,Missing,Missing,,,,,,
26,50926,Big League Sports: Summer,"[5, 20]",Put your athletic skills to the test Beat the best in a variety of allstar skill challenges to become the ultimate champion Football Baseball Volleyball Soccer Tennis Golf,Missing,[14],Missing,,,,,,
27,47909,Crazy Chicken: Star Karts,[20],Get ready to race at blistering speeds through the most addictive hairraising tracks with the craziest chicken in town Join Crazy Chicken and his friends as you race your way through exhilarating 3D worlds with explosive excitement around every corner Collect weapons as you race around the tracks and strategically fire them to drive your opponents off the road Once you have proven your new skills in the championships you will be awarded a higherpowered racing kart for a faster and more furious race 7 different drivers from the Crazy Chicken family to choose from Loads of extras    Features     Multiple exciting tracks   Multiple levels of difficulty   4 racing modes   2player mode   Tons of Weapons,Missing,[10],Missing,,,,,,
28,47855,Hurry Up Hedgehog!,[20],Race creep jostle and outmaneuver in this intriguing multiplayer brainteaser for all ages 32 different ways to play on your own against the DS or with friends Up to 5 friends with a single Nintendo DS in hotswap mode or with multiple systems through DS Wireless Communication,Missing,[9],Missing,,,,,,
29,47702,My Healthy Cooking Coach,[20],With more than 240 recipes created by a culinary school and in collaboration with a renowned nutritionist My Cooking Coach offers you tips and tricks to create healthy and delicious meals that will delight friends and family,Missing,[13],Missing,0.0,0.0,0.0,0.0,0.0,0.0
30,21112,Science Papa,"[5, 20]",Explore chemistry physics paleontology and biology as you play over 40 experiments in a sciencethemed minigame collection for the Nintendo Wii and DS,Missing,"[9, 13]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
