,id,name,platforms,storyline,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
0,269576,"DS Kageyama Method: Dennou Hanpuku - Chiri, Rekishi, Koumin: Maru x Maru Shakai-ka",[20],Missing,Missing,Missing,Missing,,,,,,
1,248557,Max & the Magic Marker,[20],Missing,Missing,Missing,Missing,2.68,4.61,5.0,63.0,7.0,14.0
2,215849,Bibi Blocksberg: Neustadt im Hex-Chaos,[20],Young witch Schubia Wanzhaar turns Neustadt upside down From Aunt Manias witch book she tried out a very special spell that was forbidden and caused a huge chaos in the whole city Great fun for Schubia a nightmare for the citizens of Neustadt And everyone thinks Bibi Blocksberg is the culprit Now its up to you slip into the role of Bibi and uncover the error To do this you must try to undo the whole mess,Young witch Schubia Wanzhaar turns Neustadt upside down From Aunt Manias witch book she tried out a very special spell that was forbidden and caused a huge chaos in the whole city Great fun for Schubia a nightmare for the citizens of Neustadt And everyone thinks Bibi Blocksberg is the culprit Now its up to you slip into the role of Bibi and uncover the error To do this you must try to undo the whole mess,Missing,Missing,,,,,,
3,85146,Flametail,[159],Missing,The year is 2099 and the solar system is littered with space junk,Missing,Missing,0.0,5.33,0.0,0.0,0.0,1.0
4,84996,BlayzBloo: Super Melee Action Battle Royale,[159],Missing,Blayzbloo Super Melee Action Battle Royale pits Ragna Rachel Jin Noel Taokak and others against one another in five stages of rumbleandtumble brawling action to see whos the best,"[4, 8]",Missing,0.25,0.0,1.93,53.0,2.0,4.0
5,84505,GO Series: Dark Spirits,[159],Missing,GO Series presents Dark Spirits from Suzak,Missing,Missing,,,,,,
6,76167,SokoMania,[159],Missing,The game is a variation on a warehouse keeper theme Sokoban,"[9, 15]",Missing,,,,,,
7,74418,Absolute Chess,[159],Missing,Chess for DsiWare,[26],Missing,,,,,,
8,67188,Daniel X: The Ultimate Power,[20],Missing,The Ultimate Power is the Power to Create Daniel X was born with the greatest superpower of all the power to create Now the fate of the world rests on his shoulderssaving the world has never been easy but its a fight Daniel is made for,Missing,Missing,,,,,,
9,67152,Legends of Exidia,[159],Missing,An action RPG by Gameloft originally called Might and Magic II when the game first released on mobile platfroms The game has since been rereleased on both DSiWare and iPhone under the name Legends of Exidia,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
10,67050,Move your Brain: Rollway Puzzle,[159],Missing,A DSiWare game by Assoria in which the player has to navigate a ball through a obstacle filled maze by tilting the Nintendo DSi that uses the position of the players face as a control input,[9],Missing,,,,,,
11,62845,Go Series: Pinball Attack!,[159],Missing,Pinball Attack is a unique fusion of pinball exploration and shooting,"[30, 31]",Missing,,,,,,
12,44502,Spot the Differences,"[5, 38, 159]",Missing,Are your eyes keen enough to spot the difference even if its ever so slight in a pair of pictures This game gives you that classic puzzle challenge while also offering a journey through odd and picturesque scenes on various themes travel gastronomy playground sports pets wildlife  Three game modes are available in Spot The Differences In Arcade Mode images appear in a random sequence Spot 5 differences in each picture In Select Pictures Mode play with pictures you choose And in Time Attack Mode spot one difference in each picture and then switch  spot as many as you can while the timer runs,[9],Missing,,,,,,
13,38294,Oh No! More Zombies Ate My Neighbors,[19],Missing,Almost 10 years in the making a complete hack unofficial sequel including 55 all new levels new gameplay options items enemies and more,[5],Missing,,,,,,
