,id,name,platforms,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
0,274397,Plants vs. Zombies DS,[20],The Nintendo DS port of Plants vs Zombies,Missing,Missing,,,,,,
1,269538,4 Kyouka Perfect Clear DS: Eigo Onsei Tsuki,[20],An edutainment game for the Nintendo DS,Missing,Missing,,,,,,
2,268406,The Legend of Zelda: PuzzleDude's Quest,[19],Missing,[31],Missing,,,,,,
3,183625,Zombie Daisuki,[20],Realtime strategy game where you must command a hord of zombies to complete each stage,Missing,Missing,,,,,,
4,146354,Super Mario Bros Galaxy DS,[20],Super Mario Bros Galaxy DS is a homebrew fan game for the Nintendo DS by The Dark Master inspired by Super Mario Galaxy,[8],Missing,,,,,,
5,136804,Eigo de Tabi Suru: Little Charo,[20],Missing,Missing,Missing,,,,,,
6,85529,Surfacer+,[159],Surfacer is easy to pick up and has totally innovative game play thats suitable for all gamers  casual and hardcore alike,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
7,85138,Ferryman Puzzle,[159],Jiang is one of the best ferrymen in the world and transports everything across the river,Missing,Missing,,,,,,
8,85106,EJ Puzzles: Hooked,[159],Can you catch all the fish,Missing,Missing,,,,,,
9,85003,Boom Boom Squaries,[159],Furries are cute happy and round beings that enjoy rolling around in the sun all day long,Missing,Missing,,,,,,
10,84963,Word Searcher 2,[159],Youll need a sharp eye and a quick mind to complete 100 themed word search puzzles,Missing,Missing,,,,,,
11,84956,The Seller,[159],Once a bigtime boss you are now down and out forced into the small time after your company was driven into bankruptcy by an underhanded competitor who stooped lower than even you would dare,Missing,Missing,,,,,,
12,84794,Puzzle to Go Baby Animals,[159],Puzzle to Go Baby Animals is the jigsaw puzzle for on the move,Missing,Missing,,,,,,
13,84760,Ante Up: Texas Hold'em,[159],Its time to let your inner gambler get a turn at the table,Missing,Missing,,,,,,
14,84744,Alien Puzzle Adventure,[159],Alien Puzzle Adventure is a fastpaced colourful and cartoony puzzle game combining matchthree gameplay with a humorous and quirky storyline,[9],Missing,,,,,,
15,84743,All-Star Air Hockey,[159],Remember the days of hanging around the local arcade and playing air hockey until the wee hours,Missing,Missing,,,,,,
16,84673,505 Tangram,[159],Solve 505 Tangram puzzles from different groups and become a Tangram Master Numerous challenges await you,Missing,Missing,0.0,0.0,6.25,60.0,1.0,1.0
17,84608,Missy Mila: Twisted Tales,[159],Missy Mila Twisted Tales is an interactive storybook with five stories in it,Missing,Missing,,,,,,
18,84509,Glory Days: Tactical Defense,[159],Time to get tough,Missing,Missing,,,,,,
19,66404,SaGa 3: Jikuu no Hasha - Shadow or Light,[20],This remake is an RPG that makes use of the story and world view of the Game Boy version of SaGa III and renews all characters and battle systems The latest in the Saga series which has further advanced the evolution system SSS Scenario Sync System of the free scenario system in which the six races can change freely and various growth factors are also powered up and the battle and the scenario are closely intertwined,[12],Missing,20.0,39.83,60.0,80.0,2.0,4.0
20,66175,Chronicles of Mystery: The Secret Tree of Life,"[6, 20]",Help Sylvie Leroux a young archaeologist discover the secrets of the legendary Tree of Life which is said harbors the power of immortality,"[9, 31]",Missing,,,,,,
21,63985,Airport Mania: Non-Stop Flights,[159],A DSiWare and iOS installment in the Airport Mania series it is basically an endless mode,[15],Missing,0.0,0.0,0.0,0.0,0.0,0.0
22,62623,Sora no Otoshimono Forte: Dreamy Season,[20],Missing,[34],Missing,,,,,,
23,59158,Kaijuu Busters Powered,[20],A Bandai Namco developed kaijuu based action game released exclusively on the Nintendo DS,Missing,Missing,,,,,,
24,58664,Digger Dan & Kaboom,[159],Mining exploration game,Missing,Missing,,,,,,
25,56338,Oscar in Toyland 2,[159],Oscar returns to Toyland,[8],Missing,,,,,,
26,52340,101 Dolphin Pets,[159],A virtual pet game that features dolphins,[13],Missing,,,,,,
27,47851,Paws & Claws: Marine Rescue,[20],In Paws  Claws Marine Rescue players take on the caretaker role at an animal rehabilitation centre The game involves rescuing injured creatures providing medical attention and nursing them back to health Once recovered players release the animals into their natural habitats allowing them to return to their lives in the wild,[13],Missing,,,,,,
28,42824,I Must Run,"[38, 159]",You have been convicted of a crime you didnt mean to commit Your sentence was harsh despite the circumstances and now you rot in jail But those affected by your actions are not satisfied Now they are threatening to kill the one you love to exact revenge And if you do not escape and reach the courthouse in 24 hours shell be gone There are no other options You must run,[8],Missing,0.0,0.0,0.0,50.0,2.0,0.0
29,26588,Mini Golf Resort DS,"[20, 37]",The DS port of the Wii game Mini Golf Resort An improved version was released digitally for the 3DS,[14],Missing,,,,,,
30,26587,Mini Golf Resort,"[5, 37]",Cartoonish minigolf game for various Nintendo systems,"[13, 14]",Missing,,,,,,
31,576,DC Universe Online,"[6, 9, 48, 49, 130]",DC Universe Online is a freetoplay superhero  supervillian MMORPG that lets players create their own unique tightswearing hero or villain and roam the streets of places like Gotham City and Metropolis fighting or creating crime Players fight alongside such iconic DC Comics characters as Superman and Batman Lex Luthor and The Joker and many others Excellent physics help bring comic book action and combat to life all under the creative direction of noted comic book artist Jim Lee,"[4, 12, 25, 31, 32]",64.06144495042025,79.24,86.25,265.11,63.0,60.0,17.0
32,10480,Kaptain Brawe: A Brawe New World,"[6, 14, 130]",Step into the world of interstellar travel where Space Pirates lurk at every corner Kaptain Brawe a Space Police officer will embark on a journey filled with quests conspiracies and general chaos as he follows the lead of two kidnapped alien scientists  Set in a beautiful hand drawn alternative 19th century world Kaptain Brawes cartoon appearance will suit younger as well as mature players who enjoy games filled with humorous storyline and challenging puzzles,"[2, 9, 31, 32]",50.0,3.53,4.31,5.08,59.0,11.0,19.0
