,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,[34],221219,Hakuoki Yuugiroku DS,[20],Chizuru notices that the members of Shinsengumi are secretly having a meeting and so Hijikata tells her to report to him if she finds out anything She overhears Itou talking about how he lost something precious and that he has to find it before it falls in the other members hands When Chizuru finds and opens the box that Itou lost suddenly everyone goes into chibi mode and now Chizuru has to figure out a way to return back to normal The challenge is you must successfully pass a bunch of mini games to get to the bottom of things,A DS port,Missing,,,,,,
1,[34],202901,Kimi ni Todoke Special,[20],Sawako Kuronuma called Sadako by her classmates for her resemblance to the character from Ring has always been feared and misunderstood because of her appearance There are rumors that Sawako can see ghosts and curse people However despite her appearances she is a sweet and timid girl who longs to be able to make friends with everyone and be liked by everyone else When her idol popular boy Kazehaya begins talking with her everything changes She finds herself in a new world trying to make friends and talking to different people and she cant thank Kazehaya enough for giving her these opportunities Slowly but surely a sweet love is blossoming between the two as they will overtake any circumstance or clear obstacles in their way,A bundle of both Kimi ni Todoke games,Missing,,,,,,
2,[34],202897,Kimi ni Todoke: Tsutaeru Kimochi,[20],In this game players take again control of Sawako and will help her get Kazehayas attention,A sequel to the first Kimi ni Todoke game for the Nintendo DS,Missing,,,,,,
3,Missing,148651,Kuukan Sagashimono-kei: Nouryoku Kaihatsu 3D Nou Training,[37],Missing,Missing,Missing,,,,,,
4,"[12, 31]",141482,Pokémon Blaze Black,[20],Missing,Pokémon Blaze Black and Pokémon Volt White are edits of the regular Pokémon Black and White versions which selfcontain all 649 Pokémon allowing a player a large amount of variety In addition BBVW also have edited trainers an increased difficulty level improvements to many Pokémon and more,Missing,,,,,,
5,[35],97232,100 Classic Games,[20],Missing,Featuring a wide variety of board puzzle logic dice card and tabletop games 100 Classic Games is the definitive collection of much loved classics Whether players want to bluff their way through a hand in Texas HoldEm check mate an opponent in chess win big on the slot machines or number crunch through a Sudoku puzzle they will be spoilt for choice Other notable titles in the 100 Classic Games compilation include Air Hockey Match3 Freecell Klondike Mahjongg Spot The Difference and Tennis just to name a few,Missing,,,,,,
6,[14],92232,Pro Yakyuu Spirits 2011,"[9, 37, 38]",Missing,Pro Yakyuu Spirits 2011 is a baseball game that allows players to compete in Japans professional baseball league with licensed team and player names,Missing,,,,,,
7,Missing,85472,Valet Parking 1989,[159],Missing,Relive the undeniable coolness of the 80s to the sound of screeching tires,Missing,0.0,0.0,0.0,0.0,0.0,0.0
8,Missing,85458,Trollboarder,[159],Missing,Descend the slopes in the craziest snowboard game in history,Missing,,,,,,
9,Missing,85401,Successfully Learning Mathematics: Year 5,"[5, 159]",Missing,In Successfully Learning Mathematics Year 5 pupils will solve exciting maths problems with the little vampire Freddy to learn maths in a playful way,Missing,,,,,,
10,Missing,85397,Successfully Learning English: Year 2,"[5, 159]",Missing,In Successfully Learning English Year 2 your task is to complete a range of exciting exercises which will help you to learn English in a playful way,Missing,,,,,,
11,Missing,85396,Successfully Learning English: Year 3,"[5, 159]",Missing,In Successfully Learning English Year 3 pupils will solve exciting exercises to learn English in a playful way,Missing,,,,,,
12,Missing,85303,Music On: Learning Piano Volume 2,[159],Missing,The entire orchestra follows your performance of 15 great classics,Missing,,,,,,
13,Missing,85187,Ice Hockey Slovakia 2011,[159],Missing,Challenge your friends to the ultimate Table Hockey game on your Nintendo DSi,Missing,,,,,,
14,Missing,84929,Zoonies: Escape from Makatu,[159],Missing,Leo the lion crashes his plane deep within the dark jungle,Missing,,,,,,
15,Missing,84729,A Fairy Tale,[159],Missing,Once upon a time,Missing,0.0,0.0,0.0,40.0,1.0,0.0
16,Missing,84524,Hellokids: Vol. 1 - Coloring and Painting,[159],Missing,Hellokids  Vol 1 Coloring and Painting enables you to create your own colourful drawings as well as draw over photos,Missing,,,,,,
17,[4],80340,Original Story from Fairy Tail: Gekitotsu! Kardia Daiseidou,[20],Missing,Original Story from Fairy Tail Gekitotsu Kardia Daiseidou is a Fighting game developed by AI and published by Hudson which was released in Japan in 2011,Missing,,,,,,
18,[31],78609,Junior Mystery Quest,[20],Missing,Become a Secret Sleuth Embark on a strange and mysterious journey in the newest detective game designed especially for kids Junior Mystery Quest puts you in the middle of a captivating conspiracy where the Tibutto family must solve the puzzle of their missing Uncle Alester With challenges hidden around every corner children must put their problemsolving skills to the test,Missing,0.0,0.0,0.0,0.0,0.0,0.0
19,[9],65551,3D Twist & Match,[159],Missing,Twist and match in 3D,Missing,,,,,,
20,Missing,60317,Retro Arcade Toppers,[20],Missing,Play a trio of simple arcade games in this Nintendo DS release,Missing,,,,,,
21,Missing,59124,Art of Ink,[159],Missing,A Nintendo DSiWare exclusive tattoo based action game,Missing,,,,,,
22,Missing,56903,GO Series: Picdun,[159],Missing,A dungeon crawler released as DSiWare by Gamebridge,Missing,0.0,0.0,0.0,0.0,0.0,0.0
23,"[9, 35]",53946,Ubongo Puzzle Adventure,"[5, 130, 159]",Missing,Fastpaced addictive and easy to learn  Ubongo brings excitement and fun to your Nintendo Switch  In this fastpaced game youll need to use your wits to solve a puzzle of various shapes as quickly as possible Download the ultimate puzzle fun and see how quickly you can turn these puzzles around  Discover four exotic worlds in the Solo campaign Take on hundreds of gripping levels in the Baobab Savanna on the wild Fang River in the Whispering Jungle and in the sandy Canyon of Bones Join a zebra a crocodile a gorilla and a rattlesnake on a journey through their puzzle worlds challenging you with increasingly tricky puzzles,Missing,,,,,,
