first_release_date,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1319760000,269672,"Byoutai Seiri DS: Image Dekiru! Shikkan, Shoujou to Care",[20],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1318464000,256678,Skylanders: Spyro's Adventure,[37],"[8, 25, 31]",Skylanders Spyros Adventure is the first video game in the Skylanders series It is a video game that is played along with toy figures that interact with it through a Portal of Power that reads their tag through NFC and features the voices of Josh Keaton Dave Wittenberg Darin De Paul Joey Camen Audrey Wasilewski Keythe Farley and Kevin Michael Richardson  The 3DS ports of the first four Skylanders games are completely different from their home console counterparts in terms of gameplay and story,Missing,Missing,9.81,20.8,22.96,67.0,130.0,76.0
1317686400,249160,Spider-Man: Edge of Time,[37],Missing,Missing,Missing,Missing,6.86,9.55,12.56,66.0,83.0,58.0
1319155200,248739,Captain America: Super Soldier,[37],Missing,The Nintendo 3DS port of Captain America Super Soldier,Missing,Missing,6.04,7.26,9.79,66.0,68.0,90.0
1319328000,245361,Quest On Full Moon Island,[19],[8],One day a mysterious black pipe suddenly appeared in the Mushroom Kingdom in front of the Toadstool Castle Mario decided to explore inside it and he was teleported to an unknown island called Full Moon Island Little did he know that there wasnt any way back apparently Other people were trapped there so he began to roam around in search of an escape,Missing,Missing,nan,nan,nan,nan,nan,nan
1318896000,228496,The Sims 3: Pets,"[9, 12, 37]",[13],Bring excitement and surprise into your Sims lives with pets in The Sims 3 Pets an expansion pack for The Sims 3 Create the perfect or imperfect pets for your Sims from fierce guard dogs to destructive kittens to trusty horses and more as you determine not only how your Sims pets look but their personality traits as well With a variety of new activities and social interactions take direct control of your Sims pets and explore new ways to mess with their lives Give your Sims a new member of their household and discover allnew ways to play with life,Missing,Missing,8.0,20.0,0.0,66.0,13.0,3.0
1317686400,218005,Spider-Man: Edge of Time,[20],"[8, 31]",The Nintendo DS version of SpiderMan Edge of Time  This version differs from the console counterpart in terms of graphics and gameplay,Missing,Missing,6.86,9.55,12.56,66.0,83.0,58.0
1318896000,210259,Ben 10: Galactic Racing,[37],Missing,Its a galactic race to the finish as Ben Kevin and twelve of Bens alien heroes join an interplanetary Galactic Grand Prix in Ben 10 Galactic Racing an actionpacked game now available on all platforms This is the first Ben 10 game to be a racing game,Missing,Missing,3.56,0.0,25.0,35.0,2.0,4.0
1317600000,198462,Super NicoNico Kart,[19],[10],Super NicoNico Kart is ROM hack of Super Mario Kart which changes the track layouts and the characters for Japanese meme characters,Missing,Missing,nan,nan,nan,nan,nan,nan
1319500800,192927,Puss In Boots,[20],Missing,The DS port of Puss In Boots a game based on the movie with the same name,Missing,Missing,2.74,3.21,4.05,51.0,17.0,21.0
1319673600,141729,Mameshiba,[37],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1317859200,85176,House M.D.: Episode 3 - Skull and Bones,[159],Missing,Dr Gregory House and his elite diagnostic team race against the clock to unravel an allnew medical mystery,Missing,Missing,nan,nan,nan,nan,nan,nan
1319068800,84734,Academy: Checkers,[159],Missing,The worlds most famous board game for two players is now joining our Academy,Missing,Missing,nan,nan,nan,nan,nan,nan
1318464000,84613,1001 BlockBusters,[159],Missing,Think youve seen the ultimate brickbreaking game Think again,Missing,Missing,nan,nan,nan,nan,nan,nan
1319068800,84593,Castle Conqueror - Revolution,[159],Missing,This is our lovely island and we will never allow the Empire to ruin it,Missing,Missing,nan,nan,nan,nan,nan,nan
1319155200,81447,Schlag den Raab: Das 2. Spiel,"[5, 6, 9, 37]","[13, 14, 26]",More questions more games and even more fun Schlag den Raab Das 2 Spiel promises the best entertainment again whether alone against Stefan Raab in the show mode or with up to eight friends in the new team mode,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1319155200,65498,Venture Towns,"[6, 34, 39, 48, 130]","[13, 15]",Venture Towns is a town simulator similar to Kairosofts previous games,Missing,Missing,0.0,0.0,17.5,0.0,0.0,1.0
1318291200,61783,Grinsia,"[34, 37]",[12],A traditional Japanese RPG from Kemco originally released on iOS and Android devices later brought to PC and Nintendo 3DS by Nicalis,Missing,Missing,14.24,15.62,0.0,50.0,1.0,3.0
1319500800,61513,I Spy Castle,[20],[9],Based on the popular I Spy book series this game has the player looking for objects in 12 stunning castle scenes,Missing,Missing,2.08,0.0,2.61,0.0,0.0,2.0
1319673600,61364,"Halloween: ""Trick or Treat""",[159],[15],Halloween Trick or Treat is a hidden object game from Virtual Playground,Missing,Missing,nan,nan,nan,nan,nan,nan
1317859200,59904,Anthill,"[34, 39, 130]","[9, 11, 13, 15]",Anthill is a gorgeous strategy game with an awardwinning interface based on the realworld behavior of ants By drawing pheromone trails you direct your ground forces to different destinations working with streams of units rather than individuals  Similar to a tower defense game your mission is to protect the hill as wave upon wave of enemy bugs are thrown at you,Missing,Missing,5.75,0.0,0.0,70.0,2.0,1.0
1318464000,47942,Camping Mama: Outdoor Adventures,[20],"[9, 13, 14]",Mama develops her wilderness skills in Camping Mama Outdoor Adventures that features 100 different stylus based games across a broad range of challenges Craft a fishing pole use it to fish then cook your catch capture wild chickens for a tasty egg breakfast set up your tent collect exotic insects and much more  Both girls and boys can enjoy fun outdoor activities like rock climbing spelunking rowing and tree climbing as they navigate 38 different levels that span forests mountains and seas Wouldbe campers can choose to play as either the son or daughter with Mama or Papa providing guidance depending on the challenge With customization options and collectible play Camping Mama lets everyone go wild in the great outdoors,Missing,Missing,5.0,30.0,0.0,60.0,1.0,2.0
1317859200,47689,Sudoku the Puzzle Game Collection,[37],[9], Put yourself to the test and tackle Japanese puzzles as youve never seen them before in Sudoku  The Puzzle Game Collection for Nintendo 3DS  Tackle 600 puzzles that include Sudoku and other Japanese favourites Shikaku Hashi and Akari  Unlock hints by using the Play Coins you acquire whilst walking around with your Nintendo 3DS in Sleep Mode  Watch puzzles come to life in a new way thanks to the unique graphical capabilities of the Nintendo 3DS system,Missing,Missing,nan,nan,nan,nan,nan,nan
1318896000,47634,Pet Zombies,[37],[13],Pet Zombies is a pet simulation spoof with a horrific twist  nurture or punish its your choice Reanimate your very own customizable zombies that you can play with care for or torment in a variety of environments where they can shamble shuffle and lurch Form a bond with your zombie by providing it with food toys and entertainment Pet Zombies offers lots of gory effects and games to keep players fully entertained and challenged Customize your zombie to look as grotesque and scary as you desire Its your pet your rules however twisted they may be,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
