first_release_date,id,name,platforms,genres,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1327536000,269612,"Maru Goukaku: Shikaku Dasshu! IT Passport Shiken, Kihon Jouhou Gijutsusha Shiken, Ouyou Jouhou Gijutsusha Shiken",[20],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1326931200,220877,Seduced in the Sleepless City,"[34, 39, 130]","[31, 34]",You are an editor at a womens magazine covering the opening party of a casino in Roppongi the nightlife district of Tokyo There you meet a famous actor bestselling novelist charismatic plastic surgeon and a top F1 racer  Your personal interview is arranged in the VIP room,Editor of a womans magazine youre assigned to cover the grand opening of a new hotel and casino In the partys VIP room you get up close and personal with a famous actor a bestselling novelist a charismatic plastic surgeon and an F1 racer,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1327536000,104109,ZooKeeper DX,[37],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1325721600,84836,Quick Fill Q,[159],Missing,Missing,Quick Fill Q is a simple game where you have to fill the holes in the ground so the pink ball can keep rolling When Q rolls past a certain distance Q begins to speed up When the game ends the distance traveled by Q is recorded Quick Fill Q is a nonstop easy to learn puzzle game that provides hours of fun for the entire family,Missing,nan,nan,nan,nan,nan,nan
1326931200,84750,Anne's Doll Studio: Gothic Collection,[159],Missing,Missing,Dressup a stylish doll selecting from a wide range of Gothic style dresses and accessories,Missing,nan,nan,nan,nan,nan,nan
1326931200,84675,40-in-1 Explosive Megamix,[159],Missing,Missing,Do you like arcade games  puzzles action or shooting games,Missing,nan,nan,nan,nan,nan,nan
1325721600,84586,3 Heroes: Crystal Soul,[159],Missing,Missing,Crystennia is an ancient kingdom that uses Crystal Soul as its main energy source The kingdom is facing the threat of monsters created by Rune Crystals,Missing,nan,nan,nan,nan,nan,nan
1327968000,76204,Mega Man X3: Zero Project,[19],"[5, 8]",Missing,A modification of Mega Man X3 that modifies and edits many aspects of the game to allow Zero to be fully playable,Missing,nan,nan,nan,nan,nan,nan
1325635200,65685,Pocket League Story,"[6, 39, 48, 130]","[13, 14, 15, 32]",Missing,Kairosofts Soccer Management Simulation,Missing,0.0,0.0,15.75,60.0,5.0,2.0
1325721600,65399,Samurai Sword Destiny,[37],"[4, 31]",Missing,Samurai Sword Destiny is a 2D action game released for the 3DS eShop Players take the role of the samurai Akane as she searches for her missing brother,Missing,0.0,3.58,0.0,50.0,1.0,2.0
1326326400,65065,101 Pinball World,[159],[30],Missing,101 Pinball World is a pinball game for DSiWare,Missing,nan,nan,nan,nan,nan,nan
1326931200,63025,Gaia's Moon,"[20, 159]",Missing,Missing,Gaias Moon is a DSiWare onebutton game in the style of Lunar Lander The player maneuvers Atreyu through the air avoiding enemies and obstacles,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1327622400,52136,Winter Sports 2012: Feel the Spirit,"[5, 37]","[10, 13, 14]",Missing,Winter Sports 2012 gives you the opportunity to experience the thrill and excitement of some of the most high octane adrenaline filled events on snow and ice,Missing,0.0,0.0,0.0,50.0,1.0,0.0
