first_release_date,id,name,platforms,summary,genres,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
1346976000,269789,Jewel Link: Galactic Quest,[20],Its the year 3495 and your mission is to help Captain Smith of the Starship Victory on an intergalactic adventure to save the planets A massive explosion has rocked the entire cosmos  a gigantic star has gone supernova unleashing unimaginable destructive force on the galaxys citizens  The resulting wave of wreckage now threatens the existence of the entire universe With 3 different ways to play and powerups to collect use your match3 skills to search galactic locations and help destroy the space debris before its too late,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1348531200,240396,FIFA Soccer 13,[37],Nintendo 3DS port of FIFA 13,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1346889600,141149,PachiPara 3D: Ooumi Monogatari 2 with Agnes Lum - Pachi-Pro Fuuunroku Hana Kesareta License,[37],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1347494400,138121,Medarot 7: Kabuto Version,[37],Medarot 7 is the seventh numbered game in the Medarot franchise  Much like its predecessor Medarot DS Medarot 7 is an RPG following the adventures of Azuma Amakura and his Medarot Metabee in the Kabuto version or Rokusho in the Kuwagata version Medarot 7 incorporates many of the gameplay changes made in Medarot DS but does not function as a sequel Rather it completely ignores the events of Medarot DS and begins a new story using the same characters and places,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1347926400,134306,Classic Kong,[19],A homebrew Donkey Kong clone for the SNES released as an opensource game on the web and later released as a physical cartridge by Piko Interactive,"[8, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1346630400,132839,Super Mario 64: Star Revenge,[4],Super Mario 64 Star Revenge is rom hackmod of Super Mario 64 by BroDute It is the first game of the Star Revenge series of hacks,[8],Missing,Missing,nan,nan,nan,nan,nan,nan
1347494400,119237,Club Nintendo Picross,[37],Club Nintendo Picross is a game in Nintendos Picross series that was only available to Japanese members of Club Nintendo It was downloadable for 80 points Like all Picross games the player must solve nonograms where a picture is made by filling in squares on a grid within a time limit Which squares are filled is determined by numbers on each row and column The numbers indicate how many squares are filled in within that row or column A wrong guess penalizes time Too many wrong guesses and the game is over,[9],Missing,Missing,9.31,0.0,11.07,77.0,6.0,15.0
1348704000,85184,Hitori by Nikoli,[37],With the Nikoli puzzle series you can enjoy highquality Sudoku puzzles created by Nikoli who gave the worldfamous puzzle its name,"[9, 15]",Missing,Missing,nan,nan,nan,nan,nan,nan
1346889600,85057,Crazy Hunter,[159],Ever heard the story about the hen that laid the golden egg,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1346889600,84522,Heyawake by Nikoli,[37],Heyawake by Nikoli contains 50 Heyawake puzzles,"[9, 15]",Missing,Missing,nan,nan,nan,nan,nan,nan
1347494400,83882,Medarot 7: Kuwagata Version,[37],Medarot 7 is the seventh numbered game in the Medarot franchise  Much like its predecessor Medarot DS Medarot 7 is an RPG following the adventures of Azuma Amakura and his Medarot Metabee in the Kabuto version or Rokusho in the Kuwagata version Medarot 7 incorporates many of the gameplay changes made in Medarot DS but does not function as a sequel Rather it completely ignores the events of Medarot DS and begins a new story using the same characters and places,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1347494400,64991,Samurai Warriors: Chronicles 2nd,[37],Sengoku Musou Chronicle 2nd 戦国無双 Chronicle 2nd is the revamp of Samurai Warriors Chronicles According to the initial news report it was made to answer the positive fan responses of the original title and is being revised to accommodate their requests There are currently no plans to localize it in North America  The producer says this title is not a completely new title the main scenario particular stages and character movesets remain relatively unchanged It is targeted towards consumers who may have played or interested fans who have not yet played Samurai Warriors Chronicles,[25],Missing,Missing,nan,nan,nan,nan,nan,nan
1346889600,64953,Lost Heroes,"[37, 38]",Missing,[12],Missing,Missing,38.34,52.9,65.15,90.0,1.0,3.0
1346889600,64551,Balloon Pop Remix,[37],Balloon Pop Remix is a downloadable title for 3DSWare,"[9, 15, 33]",Missing,Missing,2.52,0.0,0.0,0.0,0.0,1.0
1347321600,47705,Hotel Transylvania,"[20, 37]",Hotel Transylvania is a platformer based on the family comedy CGI film of the same name,"[8, 31, 33]",Missing,Missing,4.57,0.0,0.0,0.0,0.0,1.0
1348012800,47636,Puzzler World 2012 3D,[37],With Puzzler World 2012 3D players can collect trophies in a personal trophy cabinet as proof of skill collect hint tokens for help on tricky clues and puzzles and teach the game to remember individual letters and numbers using the handwriting recognition feature Add more variety and hours of fun by unlocking bonus games with new modes Take on additional bonus games such as Hangman Chain Letters Missing Piece and more with Challenge mode For an extra challenge unlock Master mode puzzles to reveal a broad range of even tougher puzzles,[9],Missing,Missing,nan,nan,nan,nan,nan,nan
1348531200,28355,Wipeout 3,"[5, 12, 37, 41]",Wipeout 3 gets gamers back on their favorite insane obstacle course game show complete with updated features even more wacky characters and all the epic wipeouts players can handle,[8],Missing,Missing,12.36,15.0,0.0,80.0,11.0,8.0
1348099200,23675,Rising Board 3D,[37],Do you miss the sandy beaches Get your board and dive into the happy colourful world of Pop Island If you are looking for fame or just the beauty of a trick join us Youre joining a style youre joining a family,"[10, 33]",Missing,Missing,0.0,0.0,3.5,50.0,1.0,2.0
1348704000,23588,Kart Krashers,[159],Kart Krashers is a racing game for DSiWare,[10],Missing,Missing,nan,nan,nan,nan,nan,nan
1348099200,21005,Retro Pocket,[159],Retro Pocket is a fun and exciting video game that brings you back to the glory days of LED handhelds,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1348099200,9146,Guilty Gear XX Accent Core Plus R,"[6, 46, 52, 130]",Ultimate battle action and the epitome of the GUILTY GEAR XX series now on Steam   Bonus soundtracks included,"[4, 33]",90.13840002707154,Missing,3.79,16.89,75.32,80.0,50.0,35.0
1348704000,6892,Style Savvy: Trendsetters,[37],In the Style Savvy Trendsetters game you take on the role of a budding fashion mogul working your way to the top of the fashion world Manage your own boutique and help customers find the perfect outfit by keeping up with fashion trends stocking new clothes for your store and customizing your shop to reflect your personality  Choose from over 12000 clothing items and accessories spanning 19 different brands to put together dreamcometrue ensembles for hundreds of customers Share your creations with friends who have the game through an online shopping portal download additional outfits online and discover an AR Photo Shoot mode that virtually puts your outfits into the real world,[13],88.0,Missing,17.07,28.58,48.08,81.0,9.0,16.0
1347926400,1011,Borderlands 2,"[3, 6, 9, 12, 14, 34, 46, 48, 49, 130]",A new era of shoot and loot is about to begin Play as one of four new vault hunters facing off against a massive new world of creatures psychos and the evil mastermind Handsome Jack Make new friends arm them with a bazillion weapons and fight alongside them in 4 player coop on a relentless quest for revenge and redemption across the undiscovered and unpredictable living planet,"[5, 12]",84.52953874824314,Five years after the events of Borderlands a valuable mineral called Eridium starts flourishing through Pandoras crust Handsome Jack the leader of the Hyperion Corporation secures this new resource and uses it to rule over Pandora with an iron fist Meanwhile rumors of an even larger Vault hidden on Pandora spread across the galaxy drawing a new group of Vault Hunters to the planet in search of it,30.21,54.44,129.86,81.0,2651.0,3197.0
1348012800,11625,The Room,"[6, 34, 39, 130]",The Room is a 2012 puzzle video game developed by Britishbased Fireproof Games The game was originally developed for the iOS platform and released in September 2012 The Android version debuted as part of a Humble Bundle in March 2013 and was subsequently released on Google Play The Room presents the player with a series of strange boxes that have a number of physical mechanisms on them The player is challenged to figure out how to open each one  typically by undoing a series of locks  to access another puzzle box within it The game uses a variety of motions enabled by mobile device touchscreens to simulate actions in real life such as looking around the device turning keys and activating switches Through the game a story involving the research of an unnamed person into the fifth Classical Element Null which is described in notes found through the various box puzzles,"[2, 9, 32]",80.75782261683145,The game has a minimal story in which the player is told by letters of a mysterious box in a room in a house as the player solves the puzzles around the box more notes from the same author  one who previously had solved the mystery of the box  are found describing the boxs use of an ethereal material called Null as well as showing the author slowly descending into madness,2.56,2.57,2.71,77.0,739.0,1393.0
1348099200,1337,Torchlight II,"[3, 6, 14, 48, 49, 130]",Torchlight II features randomly generated dungeons and numerous types of monsters to fight for loot Torchlight II is an action RPG as its predecessor but features overland areas with multiple hub towns and a longer campaign Players are able to customize character appearance with choice of sex face hair style and hair color Additionally several elements from the first game return such as pets and fishing The game features four playable character classes Each class has 3 skill trees to choose from which enable customization within each class,"[12, 25, 31, 32]",77.74055419019841,Missing,20.68,28.88,76.18,76.0,635.0,928.0
1347321600,5968,Double Dragon Neon,"[6, 9, 12, 130]",Twin brothers Billy and Jimmy have been kicking butt and taking names for 25 years Join them in this bodacious reimagining of the classic beat em up that started it all Double Dragon Neon Battle through glassjawed goons deadly teleporting geishas scientific abominations and more as you hunt down the evil Skullmageddon and save the love of your life Marion,"[4, 25, 32]",77.03095026457392,Missing,3.61,5.01,12.07,72.0,100.0,120.0
1348531200,6164,The Testament of Sherlock Holmes,"[6, 9, 12, 130]",The Testament of Sherlock Holmes immerses you in 1898 London as you conduct an incredible investigation  All the evidence suggests our hero is the main suspect in a case involving theft fraud and doublecrossings Unable to prove his own innocence Holmes is rapidly losing Londons trust as doubt spreads through the city like wildfire Even Doctor Watsons faith in his friend begins to waver as the famous detective flees Scotland Yard and raises further suspicion prowling around at night destruction of evidence would Holmes go so far as to commit murder  The complex and decidedlymature storyline surrounds a particularly tricky investigation in which each and every puzzle will challenge both insight and wits  As Sherlock Holmes you will use the detectives full repertoire handle and inspect clues reenact crimes and use the games new deduction system to draw your own conclusions  Choose your questioning approach to catch characters off guard and gather valuable information Face an open investigation and decide which leads to follow and which to ignore,"[2, 9, 31]",76.90282588992018,Unable to prove his own innocence Holmes is rapidly losing Londons trust as doubt spreads through the city like wildfire Even Doctor Watsons faith in his friend begins to waver as the famous detective flees Scotland Yard and raises further suspicion prowling around at night destruction of evidence would Holmes go so far as to commit murder,12.24,13.23,13.53,74.0,131.0,204.0
1347321600,30152,Transcripted,"[6, 14, 48, 49, 130]",After 3 years Transcripted the illegitimate son of Zuma and Geometry Wars is finally back on Steam Discover now this unique mix of twin stick shooter and match3 with its twisted mechanics and original story,"[5, 9, 15, 32, 33]",70.0,Missing,3.71,10.52,0.0,70.0,4.0,9.0
1347494400,8261,Fractured Soul,"[6, 37]",Fractured Soul takes the classic platformers of the 80s and doubles the action Your unique ability to shift between two parallel dimensions allows you to weave through enemy fire catch opponents by surprise and leap over impossibly wide gaps by using platforms in both realities,"[5, 8, 31, 32, 33]",70.0,You are the Entity one who is able to shift between realities at will Your mission is to defend the Typhon Cluster lifeblood of all existence from a swarm of invading hostiles With danger on all sides it is only your unique power that can give you a fighting chance,3.29,4.5,0.0,53.0,8.0,11.0
1347494400,62950,Bookstore Dream,[159],A simulation game where you manage your own bookstore Able to pick your publishers items to sell and decide where to place your bookcases and set your own discounts,[13],67.0,Missing,3.91,6.0,0.0,68.0,4.0,3.0
1348531200,4675,Angry Birds Trilogy,"[5, 9, 12, 37, 41, 46]",The game contains the first three games of the popular mobile game series Both the PlayStation 3 and Xbox 360 versions of the game are able to be played with motion controls along with the traditional controllers  The game includes exclusive levels that cannot be found on the original games The game also contains biographies of each bird except for Hal green bird Bubbles orange bird and Stella pink bird In order for the game to update Rovio released DLC packs the Anger Management Pack and the Fowl Temper Pack,"[9, 15, 31, 33]",66.61782387924715,Missing,16.06,19.06,24.1,60.0,14.0,13.0
1347494400,16397,Secret Files 3,"[6, 130]",The adventure is not limited to the present there are also all kinds of puzzles to solve set in the past and in the future and depending on the choices the player makes alternative endings await them,"[2, 9, 31]",61.51714843574551,The dream couple Max and Nina have announced their forthcoming weddingbut at the beginning of Secret Files 3 the event suffers a catastrophe Max is arrested by Berlins police force The accusation Terrorism  Ninas biggest adventure yet awaits her in the franchises third game Could it be possible that everything is connected to the happenings in Tunguska Is humankind depending on her Can she save Max or is fate more important than her happiness Throughout the story players will experience a cinematic hunt crossing continents with many riddles waiting to be solved,5.08,5.78,8.19,68.0,23.0,40.0
1347494400,64557,Crazy Kangaroo,[37],Crazy Kangaroo is an action game from Gamelion,"[8, 31, 33]",53.0,Missing,nan,nan,nan,nan,nan,nan
1347926400,32042,Firefighters: The Simulation,"[6, 48, 49, 130]",You and your team will experience the exciting work of the professional fire brigade surviving realistic missions where you extinguish house fires salvage and neutralize extremely toxic and hazardous substances and accomplish many other fascinating tasks,"[13, 15]",40.0,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1348185600,3831,Air Conflicts: Pacific Carriers,"[6, 9, 12, 14, 48, 130]",True heroes know no bounds Experience top combat action in this brand new arcade flight sim and become immersed in the exploits of famous aircraft carriers Choose the side you want to play on the US Navy or the Imperial Japanese Navy Climb into the cockpit and relive the most famous battles of the War in the Pacific,"[13, 15, 33]",40.0,Missing,10.45,11.22,11.8,46.0,9.0,12.0
