,id,name,platforms,genres,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,269827,Driver Dan's Story Train,[20],Missing,Missing,Missing,Missing,,,,,,
1,260836,Super Mario: The Power Star Journey,[4],[8],A complete major sm64 hack Super MarioThe Power Star Journey brings you a new adventure for Mario to enjoy This hack features 97 stars 25 new worlds to explore variable difficulty with some tough moments new music that fit the mood  environment A new story  Texts are important since some really give clues to mysteries of the game The Readme file is important because it has my youtube channel  also CRUCIAL because for players with no youtube accounts the Readme has my Email so anyone can reach me  Can Mario save the King Star  return peace to Mushroom Kingdom once more  ENJOY THE GAME,Missing,Missing,,,,,,
2,256679,Skylanders: Giants,[37],"[8, 25, 31]",Skylanders Giants is a 2012 video game in the Skylanders series a direct sequel to the 2011 game Skylanders Spyros Adventure and features the voices of Kevin Michael Richardson Greg Ellis Peter Lurie Steve Blum Dave Wittenberg Carlos Alazraqui Kevin Sorbo Bobcat Goldthwait Patrick Seitz and Julie Nathanson It is the game before Skylanders Swap Force As the title suggests it features larger Skylanders known as Giants along with other new gameplay mechanics  The 3DS ports of the first four Skylanders games are completely different from their home console counterparts in terms of gameplay and story,Missing,Missing,10.17,21.96,31.65,66.0,104.0,64.0
3,255369,Super Metroid: Digital Cube,[19],[31],Digital Cube is a romhack for Super Metroid widely influenced by movies CubeHypercubeCube Zero In the movies some people wake up trapped in a giant cube with multiples cubic rooms with different color and numbers Some rooms are deadly traps like acids spikes sound pressure etc This hack is based one the same concept  49 paininarse square rooms Good Luck to exit ,Missing,Missing,,,,,,
4,250090,Super Mario Rainbow Road,[4],[8],Missing,Missing,Missing,,,,,,
5,220258,Dual Pack: Pac-Man World 3 / Namco Museum DS,[37],Missing,Missing,Missing,Missing,,,,,,
6,134176,New Super Mario Bros. 2: Coin Challenge Pack B,[37],[8],Coin Challenge Pack B is the second of three Coin Rush packs to be released by the end of October,Missing,Missing,,,,,,
7,134175,New Super Mario Bros. 2: Gold Mushroom Pack,[37],[8],The Gold Mushroom Pack is the first of two Coin Rush packs for New Super Mario Bros 2 released on October 25th 2012 The pack consists of courses filled with large amounts of coins and Gold Mushrooms It is rated two out of five stars in difficulty making it the easier pack of the two released in late October 2012  This pack uses 2 blocks on the SD card when bought alone,Missing,Missing,,,,,,
8,134174,New Super Mario Bros. 2: Nerve-Wrack Pack,[37],[8],The NerveWrack Pack is the third of the three Coin Rush packs for New Super Mario Bros 2 released in Japan Europe and Oceania on October 2nd 2012 and in North America on October 4th 2012 The pack contains challenging courses with no Checkpoint Flags meaning no additional seconds can be added to the time limit It is rated five out of five stars in difficulty making it the second most difficult downloadable Coin Rush pack after the Impossible Pack  This pack uses 2 blocks on the SD card when bought alone,Missing,Missing,,,,,,
9,134173,New Super Mario Bros. 2: Coin Challenge Pack A,[37],[8],Coin Challenge Pack A named Challenge the Record A in Japan is the first of three Coin Rush packs released in Japan Europe Oceania on October 2nd 2012 and in North America on October 4th 2012,Missing,Missing,,,,,,
