first_release_date,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1415923200,269535,4 in 1: Meine Tierarztpraxis + Meine Tierpension + Mein Gestuet + Mein Pferd,[20],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1416355200,253796,3DSCraft,[37],3DSCraft is an unofficial Homebrew version of Minecraft The game is a recreation of the creative mode of Minecraft where you can build break blocks and fly around,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1416528000,159108,Pokémon Omega Ruby and Pokémon Alpha Sapphire Dual Pack,[37],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1417305600,146944,The Ramen Sensei,"[6, 34, 39, 48, 130]",Build your ramen rep by fashioning the ultimate bowl from a vast assortment of noodles soup and toppings From roast pork to miso mackerel and morethe only limit is your imagination meaning youll need to use your noodle to nail the right recipes and bring hungry customers in by the crowd Enter contests and see how you size up against rivals thus cementing your standing as superlative sensei of the savory Succeedand one day you might even have your own ramen theme park Try searching for Kairosoft to see all of our games,"[9, 12, 13, 15, 32]",Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1416441600,142284,Dora Eigo: Nobita to Yousei no Fushigi Collection,[37],Learn to read write and pronounce English in a fun way with Doraemon Try out fun minigames such as alphabetic keiko English word shiritori replacement quiz and matote quiz and fully hone your English skills,[26],Missing,Missing,nan,nan,nan,nan,nan,nan
1416441600,99786,Arcade Archives: Terra Cresta,"[48, 130]",Arcade Archives Terra Cresta is a port of the shooting game Terra Cresta Players recapture parts that have been left in the ground to intercept the enemy in the formation attack To aim the space devil Mandora,"[5, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1416441600,86235,Around the World in 80 Days,[159],Join Phileas Fogg and his faithful companion Passepartout on their wondrous journey around the world in 80 days,Missing,Missing,Missing,1.84,0.0,3.4,50.0,3.0,8.0
1415836800,85465,Vacation Adventures: Park Ranger 2,"[6, 37]",Join the Rangers for another truly sensational Vacation Adventure in the great outdoors,"[9, 31, 32]",Missing,Missing,nan,nan,nan,nan,nan,nan
1417046400,85424,Talking Phrasebook,[37],Dont get lost in translation when you travel Talking Phrasebook  7 Languages comes fully loaded with 780 useful expressions organized in 53 categories to cover most situations you may encounter as a traveler,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1415836800,85364,Scarygirl Illustration Kit,[37],Vector drawing and animation for illustrators of all ages,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1415232000,85222,Kemonomix+,[37],KemonoMix is a game about training kemonos on a strange planet  You play the game by training your kemono using it to explore the planet and transforming it with mixes Mixes in particular change the kemonos appearance and skills and can be used to make kemonos stronger  In the game the players goals are to explore the planet within 2000 days and to collect spaceship parts and return home to Earth,[12],Missing,Missing,nan,nan,nan,nan,nan,nan
1415232000,85151,Football Up Online,[37],Football Up now with online mode,"[13, 14, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1415836800,85147,Fishdom,"[6, 39, 159]",Thrilling maritimethemed puzzles await you in a beautiful underwater world,"[9, 13]",Missing,Missing,0.77,0.0,0.0,45.0,2.0,1.0
1415836800,84948,Top Model 3D,[37],Do you have what it takes to be the next Top Model,[13],Missing,Missing,nan,nan,nan,nan,nan,nan
1415664000,84904,Safari Quest,[37],Embark on a quest to find the white lion in this exciting puzzle safari,"[9, 15, 35]",Missing,Missing,nan,nan,nan,nan,nan,nan
1416441600,84771,Asterix: The Mansions of the Gods,[37],By Toutatis Play Asterix The Mansions of the Gods Play as Asterix Obelix and Dogmatix in their quest to save the forest Prepare the magic potion so you can give the crazy Romans lots of smacks Walk through the village hunt wild boar make the bard stop singing and prepare the final victory banquet,[31],Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
