first_release_date,genres,id,name,platforms,storyline,summary,rating,main,extra,completionist,review_score,review_count,people_polled
1420848000,[8],260837,K-16: Story of Steel,[19],The vampire Scarlet lost her brother Crimson during Niscuras invasion of Paradia Overtaken by extreme grief and distress she decides the entire human race is to blame and decides to just end it all She hires Team Supernova who set up three space stations around the galaxy The plan is to absorb the power of the stars in order to create a supermassive black hole that will swallow everything Sicari being a human cannot go into space so it is up to the robot K16 go and travel up there and save the day,The sequel to 2013s Sicari,Missing,nan,nan,nan,nan,nan,nan
1420243200,[12],205642,EquestriaBound: Return of the Nightmare,[19],Missing,A Complete My Little Pony conversion of EarthBound including a new script music graphics and events With the Spirit of Nightmare Moon returning to Equestria Dinky Sweetie Belle Apple Bloom and Scootaloo must team up to gather the Elements of Harmony and defeat her,Missing,nan,nan,nan,nan,nan,nan
1421712000,[8],141607,Super Mario World Remix,[19],Missing,A vanilla romhack of Nintendos Super Mario World Made by Maddy Thornson under the name YMM of Extremely OK Games the creator of the Jumper series Towerfall and Celeste It is of kaizolight difficulty,Missing,nan,nan,nan,nan,nan,nan
1422662400,"[13, 15, 31]",135642,Magazine Mogul,"[6, 39, 48, 130]",Missing,Help your community grow through the power of the press in this magazine sim Take charge of your own magazine Its up to you to turn heads and help your community grow through the power of the press  It all starts with compelling coverage Brainstorm story ideas and angles with your editorial team then deploy staff to put those ideas into print Hit the streets for info and you just might snag the hottest scoop of the year  Wider circulation means better publicity and tourism for your town so win new readers over with fresh and interesting features Keep it up and the mayor may headhunt you to assist with urban planning relying on you for advice on public projects events and even what businesses to invite into town  A small local magazine can make a big difference Do you have what it takes to become a magazine mogul,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1422489600,"[5, 33]",99560,Arcade Archives: Gradius,"[48, 130]",Missing,Arcade Archives Gradius is a port of the shooting game Gradius Players control the Super Dimension fighter Vic Viper and fight Bacterian with the aid of devastating powerups This shooting game is the first of a masterpiece series from Konami that had a major impact on later shooters,Missing,nan,nan,nan,nan,nan,nan
1421280000,"[14, 33]",85658,Family Tennis SP,"[41, 130]",Missing,Smash away in this exciting new tennis game Choose from eight cute anime characters and challenge opponents in a tournament or practice match,Missing,nan,nan,nan,nan,nan,nan
1421280000,"[9, 15, 35]",85615,Monster Combine TD,[37],Missing,Monster Combine TD is a sweet fusion between Tower Defense and board games,Missing,nan,nan,nan,nan,nan,nan
1420675200,"[13, 15]",85539,Classic Card Games,[37],Missing,Classic Card Games is a huge collection of the finest card classics and casino games  right in your pocket,Missing,nan,nan,nan,nan,nan,nan
1421884800,"[5, 31, 33]",85461,Undead Storm Nightmare,[37],Missing,Fight off hordes of bloody thirsty zombies as you face a new zombie epidemic first hand,Missing,0.0,10.28,0.0,0.0,0.0,1.0
1421884800,"[4, 14, 33]",75706,Arcade Archives: Shusse Ozumo,"[48, 130]",Missing,Arcade Archives Shusse Ozumo is a port of the sports game Shusse Ozumo Players play as Sumo wrestlers and aim to become a Yokozuna Shusse Ozumo is the oldest sumo arcade game and was the forerunner of later Sumo Tournament games Sumo is a competitive fullcontact wrestling sport where a wrestler Rikishi attempts to force another wrestler out of a circular ring Dohyo or into touching the ground with anything other than the soles of the feet Dance a battle of skill and power in the sumo ring There is only room for one yokozuna,Missing,nan,nan,nan,nan,nan,nan
1421280000,"[13, 25]",60691,Kenka Bancho 6: Soul & Blood,[37],Missing,The Kenka Bancho series finds its way over to the 3DS,Missing,0.0,26.58,0.0,80.0,2.0,1.0
1421366400,[9],60579,Mario and Donkey Kong: Minis on the Move + Mario vs. Donkey Kong: Minis March Again!,[37],Missing,A twopack of two downloadonly Mario andvs Donkey Kong games released exclusively in Europe in a retail box with download codes inside,Missing,nan,nan,nan,nan,nan,nan
1421625600,"[7, 35]",58950,Eat Beat: Dead Spike-san,"[34, 39, 130]",Missing,Eat Beat Dead Spikesan is a spin off of the Blazblue series and features Ragnas deathspike in a eating frenzy,Missing,4.0,0.0,0.0,40.0,1.0,1.0
1421280000,"[9, 31, 33]",56283,Space Lift Danger Panic!,[37],Missing,Space Lift Danger Panic was originally released for the 3DS in 2015,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1421280000,[8],38305,Yoshi's Strange Quest,[19],Picking up where Marios Strange Quest left off it turns out that the part where Yoshis eggs hatched at the end of MSQ didnt actually happen What really happened after Mario beat Bowser rescued Yoshis eggs and saved the princess was that Yoshi and his sleepy friend decided to move to a new land so that he can protect his eggs from Bowser before they really hatched So both Yoshis do so and they find themselves in the land of Weirdonia However it seems that Bowser apparently insists on stealing Yoshis eggs since Yoshis eggs were stolen again while Yoshi was out shopping Since Mario isnt around to help this time Yoshi goes on a quest by himself to retrieve his eggs However just like Marios Strange Quest this isnt your ordinary quest The land of Weirdonia is a strange land filled with bizarre gimmicks weird themes and possibly jelly filled donuts and pizza Expect the unexpected during Yoshis journey,This is the sequel to Marios Strange Quest and a mod of Super Mario World,Missing,nan,nan,nan,nan,nan,nan
1421884800,"[9, 32]",16654,TorqueL,"[6, 46, 48, 130]",Missing,TorqueL is a unique 2D rolling  extend platformeractionpuzzle game Including total 50 chambers 7 basic routes and 1 secret route,Missing,1.49,5.5,11.17,55.0,11.0,6.0
1422489600,"[14, 15, 33]",8664,Best of Arcade Games,"[9, 37, 46]",Missing,A collection of 4 offbrand clones of classic arcade games like Brick Breaker Tetraminos Air Hockey and Bubble Buster,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1420675200,"[5, 31]",46747,Space Marshals,"[34, 39, 130]",Missing,Space Marshals is a Scifi Wild West adventure taking place in outer space This tactical topdown shooter puts you in the shoes of specialist Burton in his hunt for dangerous fugitives after a disastrous prison break,90.0,5.0,10.16,0.0,71.0,6.0,6.0
1422489600,"[5, 33]",44028,Ace Combat: Assault Horizon Legacy +,"[37, 137]",Missing,An enhanced update of Ace Combat Assault Horizon Legacy featuring new control options and amiibo support,80.0,4.39,7.75,13.8,73.0,30.0,55.0
1421193600,"[8, 9, 15]",15654,Boxboy!,[37],Missing,Box Boy is a platform game in which players control a boxshaped character named Qbby as he makes his way through each level The source of the games mechanics come from Qbbys ability to spawn boxes out of his body the number of which varies between each level These boxes can spread out in whatever direction is possible to make various shapes and can either be carried or thrown and pushed around The boxes have various uses such as allowing players to reach high ledges or cross large gaps holding down switches or blocking deadly lasers Additionally by hooking these boxes onto a ledge while Qbby is still attached he can pull himself up  Each level features one or more crowns which can be collected with advanced play but will become uncollectable if the player uses too many boxes during a level These crowns unlock additional worlds as the game progresses Medals obtained from clearing each level can be spent on extras such as costumes technique manuals and bonus levels,79.60196071653719,nan,nan,nan,nan,nan,nan
1422230400,"[2, 9, 31]",8682,Grim Fandango Remastered,"[3, 6, 14, 34, 39, 46, 48, 49, 130]",Missing,Somethings rotten in the land of the dead and youre being played for a sucker Meet Manny Calavera travel agent at the Department of Death He sells luxury packages to souls on their fouryear journey to eternal rest But theres trouble in paradise Help Manny untangle himself from a conspiracy that threatens his very salvation  One of the most acclaimed adventure games of all time is now back better than ever Grim Fandangos epic story of four years in the life or death of Manny Calavera travel agent to the dead has been remastered to look sound and control even better than when it won GameSpots Game of the Year award upon its original launch Grim Fandango still stands as a classic of the genre with unforgettable characters and unique combination of film noir and Mexican folklore,76.94569533020803,nan,nan,nan,nan,nan,nan
1421712000,"[5, 31]",7707,Saints Row IV: Re-Elected,"[6, 48, 49, 130, 170]",You are the President of the United States of America and you must save all of us on Earth The Boss of the Saints has been elected to the Presidency of the United States but the Saints are just getting started  After a catastrophic alien invasion of Earth led by the evil Overlord Zinyak the Saints have been transported to a bizarroSteelport simulation With homies new and old at their side and an arsenal of superpowers and strange weapons they must fight to free humanity from alien granddaddy Zinyaks mental grasp,Saints Row IV ReElected is a remaster of Saints Row IV including all DLC Originally released on Xbox One and PlayStation 4 the game came to Nintendo Switch Stadia and PC at later dates  In 2022 ReElected was released on the Epic Games Store and all previous releases of the original Saints Row IV on Steam and GOG were updated to ReElected for free with crossplay enabled across the different PC launchers,75.72450879688265,15.14,24.96,41.46,72.0,214.0,275.0
1421884800,[12],11317,The Legend of Legacy,[37],Missing,With 7 different perspectives from which to experience the adventure whose story will you unravel first  A mysterious island emerges prompting adventurers to head towards it in hopes of obtaining glory treasure and more But what does it truly hold Join the 7 characters in The Legend of Legacy and unravel the mystery of Avalons past  Explore Avalon and discover each characters motivation in traveling to the island With 7 different perspectives from which to experience the adventure whose story will you unravel first Perhaps the Elementalist who uses spirits as his guide Or will you sympathize with the frog prince searching for more of his kind Pick your characters wisely as team formations and specific combat roles are crucial in battle  The Legend of Legacy staff roster includes familiar names like character designer Tomomi Kobayashi renowned composer Masashi Hamauzu writer Masato Kato game designer Kyoji Koizumi and Masataka Matsuura With such a legendary staff breathing life into the game get ready to embark on the quest of a lifetime,75.0,32.69,48.29,71.35,60.0,28.0,20.0
1422489600,"[5, 7, 8, 31, 32]",8605,Gunman Clive 2,"[6, 37]",Missing,Gunman Clive returns in an all new adventure Now in Color,74.35346119920318,2.0,3.59,6.45,71.0,76.0,99.0
1421884800,"[12, 13, 15, 16, 26, 31, 32, 35]",11260,Armello,"[3, 6, 14, 34, 39, 48, 49, 130]",The game takes place in the dark fairy tale Kingdom of Armello a world filled with anthropomorphic animals separated into numerous clans When the current king becomes corrupted by a dark force called the Rot representatives from these factions rise up to embark on a journey to become the new king or queen in his stead,Armello is a grand swashbuckling adventure that combines three styles of play The deep tactics of card games with the rich strategy of table top board games combined with a character roleplaying system  As a hero from one of the clans of Armello youll quest scheme hire agents explore vanquish monsters cast spells and face off against other players with one ultimate end goal in mind  storming the palace and becoming King or Queen of Armello The Kingdom of Armello is as dangerous as it is beautiful perils banes and bandits hide around every corner and a spreading corruption known as the rot is leaving no creature untouched  Armello is League of Geeks attempt to revolutionise digital board and card games whilst providing players a rich world within which they can craft their own stories of epic adventure The aim was to create a rich game full of backstabbing close shaves shattered alliances ruses and empty promises  a perfect game to play with your friends,73.00720684603218,1.74,18.24,99.22,68.0,66.0,64.0
1421712000,[12],8598,Citizens of Earth,"[3, 6, 37, 41, 46, 48]",Missing,As the newly elected Vice President of the World its your job to save the Earth by recruiting friends family and the local townsfolk A true politician would never get his own hands dirty after all,72.0,14.23,23.27,33.69,62.0,34.0,52.0
1421798400,"[9, 32]",10225,Hook,"[3, 6, 14, 34, 39, 74, 130]",Missing,Hook is a minimal relaxing puzzle game,70.91816833589402,1.09,1.3,1.32,73.0,141.0,313.0
1421280000,"[12, 13, 15, 31, 32, 34]",36162,Tales of Aravorn: Seasons of the Wolf,"[3, 6, 14, 48, 49, 130, 167, 169]",Missing,ToA Seasons Of The Wolf is a RPG set in same world of Loren The Amazon Princess The romance is still present but the game provides a much better experience on the RPG gameplay part with isometric maps randomized loot many skills and clever AI,70.0,0.0,29.5,0.0,80.0,1.0,2.0
1421366400,"[31, 32, 34]",27778,Sakura Angels,"[3, 6, 14, 130]",日本語バージョンダウンロード開始されましたTwo girls blessed with magical powers are faced with the task of saving the lonely protagonist from the clutches of a mysterious witch and ancient evil sealed away long ago by his ancestors What does this sorceress want from our protagonist,日本語バージョンダウンロード開始されましたTwo girls blessed with magical powers are faced with the task of saving the lonely protagonist from the clutches of a mysterious witch and ancient evil sealed away long ago by his ancestors What does this sorceress want from our protagonist,67.7144519453404,2.53,4.45,5.02,49.0,37.0,67.0
