,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,"[5, 8]",269878,Rockman 2: Basic Master,[18],Missing,Missing,Missing,,,,,,
1,[10],242435,Mario Kart DS N64 Circuit,[20],A hack of Mario Kart DS which adds in Mario Kart 64 tracks into the game,Missing,Missing,,,,,,
2,Missing,213297,Sniper Elite 4: Target - Fuhrer,"[6, 48, 49, 130]",Hidden in a forgotten corner of the Mediterranean a secret Nazi Uboat facility threatens Allied shipping When agent Karl Fairburne attempts to assassinate the bases Commander he finds his target already dead executed in person by a shadowy visitor Karls mission has changed Target Führer Destroy the Uboat base and take down Hitler in as many ways as you can in this replayable campaign mission for 12 players,Missing,Missing,,,,,,
3,[10],198446,Super Mario Kart: F1 Tracks,[19],Here is a ROM hack for Super Mario Kart which changes the tracks to reflect some of the ones used in F1 racing,Missing,Missing,,,,,,
4,[8],194641,Sir Ababol: Remastered Edition,"[18, 25]",Sir Ababol Remastered Edition is an updated release of the 2013 NES homebrew title Sir Ababol Despite the original version available as a free download the game was sold on cartridges without the developers consent In response they created this new and updated version of the game as the original title was the first time they developed for NES Initially this version of the game was exclusively available through a crowdfunding action with a physical release containing a cartridge but in the spirit of the original game both the game and the source code were eventually made available as a free download afterwards  This release improves the original game by correcting a number of map bugs and imperfections It also adds new colours and tweaks the movement to optimize it and make it more responsive By completing the game two additional playable characters can be unlocked Completing it once unlocks Zazelle and a second time Johnny Limite They each have different moves providing different gameplay  The crowdfunded version comes on a cartridge with a box and manual The cartridges are numbered with a unique serial number Based on the tier different extras were provided such as having your name listed in the manual There is also a tier with a blue cartridge limited to six copies This tier comes with two bottles of Gik Blue wine  Although not directly confirmed the CPC version of the game called Sir Ababol NESOM Edition listed here is most likely based on this 2017 NES version,Missing,Missing,,,,,,
5,[31],168744,Dragon Ball: Xenoverse 2 - Super Pack 2,"[49, 130]",Expand your experience with new exciting content 2 new playable characters Champa and Vados New story quests from DRAGON BALL SUPER 1 Additional Stage 8 New Attacks 3 New Costumes 1 Additional Vehicle Super Souls and Emotes,Missing,Missing,,,,,,
6,"[10, 13, 14, 33]",133400,MX Nitro: Unleashed,"[6, 48, 49, 130]",MX Nitro Unleashed invites you to blaze into motocross racing nirvana Tear through new urban environments at blistering speeds including mean streets and a bustling subway system Freestyle through the air with 55 deathdefying tricks to earn Nitro speed boosts in your battles against new hardcore bosses Crash your way through reimagined levels packed with adrenalinepumping ramps and obstacles MX Nitro Unleashed expands upon the original MX Nitro with new tracks new bosses and new outfits The game also includes several improvements from the original including improved visuals from rider textures to the water and new Easy difficulty mode,Missing,Missing,7.36,0.0,0.0,55.0,2.0,2.0
7,"[5, 12, 31, 32, 33]",122346,Soul Knight,"[34, 39, 130]",In a time of gun and sword the magical stone that maintains the balance of the world is stolen by hightech aliens The world is hanging on a thin thread It all depends on you retrieving the magical stone  We honestly cant keep making it all up Lets just shoot some alien minions  This is the game you have always wanted in your subconscious Explore the dungeon collect crazy weapons dodge bullets and shootem all up Extremely easy and intuitive control super smooth and enjoyable gameplay mixed with roguelike elements Best shooter game you will find on the mobile store so far  Features   Unique heroes with unique ability   120 weapons waiting for you to explore   Randomly generated dungeon world new experience every time   NPCs that actually matter They will fight by your side   Autoaim mechanism for super intuitive control   Many more features that you will find out in game,Missing,Missing,0.52,33.65,0.0,69.0,14.0,9.0
8,"[5, 8, 33]",121427,Arcade Archives: Mutant Night,"[48, 130]",Mutant Night is an action game released by UPL in 1987 Players will control a mysterious character named Mutronkun who will power up using various methods such as becoming a giant or creating bodydoubles in order to defeat the enemies,Missing,Missing,,,,,,
9,"[2, 31]",119400,The Wardrobe: Even Better Edition,"[6, 48, 49, 130]",A protagonist overflowing with sarcasm cynicism and who continually breaks through the fourth wall More than 40 handillustrated and digitally colored locations populated with more than 70 characters and enriched by dozens of puzzles,Missing,Missing,,,,,,
10,"[12, 13, 15, 24]",117578,Super Robot Wars V,"[6, 46, 48, 130]",Super Robot Wars V is a tactical roleplaying game developed by BB Studio and published by Bandai Namco Entertainment for the PlayStation 4 and PlayStation Vita Released as part of Super Robot Wars 25th anniversary it is the eighth standalone entry to the series since Super Robot Wars NEO with the games continued focus on the massive crossover between different mecha anime series released in Japan It is released in Asia on February 23 2017,Missing,Missing,39.03,57.56,79.38,78.0,23.0,34.0
11,Missing,79296,Dragon Quest Monsters: Joker 3 Professional,[37],The final game in the Dragon Quest Monsters Joker series,Missing,Missing,,,,,,
12,"[4, 33]",76578,ACA Neo Geo: World Heroes,"[6, 39, 48, 49, 130]",Eight characters based on historical celebrities such as Hattori Hanzo and Rasputin will fight each other to become the worlds strongest champion,Missing,Missing,,,,,,
13,[33],56295,Go! Go! Kokopolo 3D,[37],Get ready to return to the worlds first chaseemup in an allnew sequel  Go Go Kokopolo 3D Set across 80 brand new stages of pure arcade mayhem help the hyperactive wildcat Kokopolo and his insane buddies track down a secret recipe for immortality by causing as much mischief as possible in this epic actionpacked caper,Missing,Missing,,,,,,
14,[5],54559,Sky Ride,"[48, 130]",A futuristic bike combat game,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
15,Missing,54380,Sniper Elite 4: Digital Deluxe Edition,"[49, 130]",Discover unrivalled sniping freedom in the largest and most advanced World War 2 shooter ever built Experience tactical thirdperson combat gameplay choice and epic longshots across gigantic levels as you liberate wartime Italy from the grip of Fascism  Sniper Elite 4 includes an expansive campaign for 12 players dedicated coop modes for 24 players and gripping competitive multiplayer for up to 12,Missing,Missing,,,,,,
16,"[8, 31, 32]",53762,The Mooseman: Mythic Edition,"[3, 6, 14, 34, 39, 48, 49, 130]",This bundle caontains the original The Mooseman and the DLC The Mooseman Soundtrack and Artbook DLC,Missing,Missing,,,,,,
