first_release_date,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1552003200,[8],268338,Quickie World 2,[19],Missing,Missing,Missing,3.65,4.77,5.0,95.0,2.0,4.0
1551657600,[4],257260,Lucha Underground,[4],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1553558400,[4],256936,WCW Feel The Bang,[4],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1552867200,Missing,255541,Fortnite: The Laguna Pack,[130],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1553126400,"[12, 31]",249276,Secret of Mana: Relocalized,[19],Secret of Mana  Relocalized focuses on updating uncensoring and relocalizing gameplay graphical and text both script and nonscript elements of Secret of Mana  Death Machine AKA Kettle Kin gets restored to its full uncensored chainsaw wielding glory Not only is this a graphical hack it also rewrites the its AI to perform just as it did in the original Japanese release  Teleportation Circles When Square released this game in 1993 Nintendo of America had strict policies against religious imagery appearing in its titles The sixpointed stars in the teleportation circles were reduced to triangles This hack restores them to their original appearance  Title Screen Background When Square ported this game over to English they butchered the original background image Because of some graphical problems they cropped the image of the full Mana Tree at its roots and expanded it The result is a blurry pixelated mess Relocalized restores the original image  Opening Text Crawl Relocalized updates the opening text crawl to that of the superior HD version  Mixed Case Character Names This features adds lowercase letters to the character naming screen  Relocalization The titular feature This hack takes the games outdated awkward and inaccurate text and script elements and localizes them differently Just like with FuSoYas hack before it Relocalized holds true to the style of beloved 90s Squaresoft translator Ted Woolsey,Missing,Missing,nan,nan,nan,nan,nan,nan
1553990400,[31],241860,The Legend of Zelda: Majora's Mask Randomizer,[4],Majoras Mask Randomizer is an application that randomizes item locations music and more for Majoras Mask presenting millions of combinations and new ways to replay the game,Missing,Missing,nan,nan,nan,nan,nan,nan
1552867200,"[13, 15]",239258,Pocket Academy Zero,"[34, 39, 48, 130]",Congratulations on your enrollment Help your students succeed and make your school famous,Missing,Missing,nan,nan,nan,nan,nan,nan
1553817600,"[12, 31]",237701,Assassin's Creed III Remastered,"[6, 48, 49, 130, 170]",Relive the American Revolution or experience it for the first time in Assassins Creed III Remastered with enhanced graphics and improved gameplay mechanics Also includes Assassins Creed Liberation remastered and all solo DLC content  FIGHT FOR FREEDOM 1775 The American Colonies are about to revolt As Connor a Native American Assassin secure liberty for your people and your nation From bustling city streets to the chaotic battlefields assassinate your foes in a variety of deadly ways with a vast array of weaponry  A NEW VISUAL AND GAMEPLAY EXPERIENCE Play the iconic Assassins Creed III with enhanced graphics now featuring 4K resolution new character models polished environment rendering and more The gameplay mechanics have been revamped as well improving your experience and your immersion  ADDITIONAL CONTENT Also includes all the original solo DLC including The Tyranny of King Washington and the full game Assassins Creed Liberation Remastered,Missing,Missing,14.37,30.3,53.72,69.0,398.0,634.0
1552348800,[12],227122,The Caligula Effect: Overdose - Swimsuit Bundle,[130],Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1551916800,[5],220900,Stellar Interface: Deluxe Edition,[130],Enjoy everything that Stellar Interface has to offer,Missing,Missing,nan,nan,nan,nan,nan,nan
1552521600,[31],219086,A Link to the Past: ReLink,[19],Project ReLink A Link To The Past Layout  Logic Modification Hack  ReLink is an expansive Romhack for ALTTP which modifies both Overworld areas and Dungeons to change the required items needed for progression through the game While none of the locations you acquire unique items have changes the places where you use them has ReLink opens up much of the darkworld earlier allowing players greater freedom in choosing where they want to go and when All of these changes and edits to the game are meant to be used alongside the randomizer in the future,Missing,Missing,nan,nan,nan,nan,nan,nan
1553644800,[8],215377,HotHead Heights,[19],Mario seems to have heard of some trouble that FryGuy has been causing to the local islands The goal is to get to the heart of his firey rule and get control of the isles once more,Missing,Missing,nan,nan,nan,nan,nan,nan
1552435200,[8],214777,New Super Kaizo Bros.,[19],An intermediatelevel Kaizo hack of Super Mario World starring 24 exits  New Super Kaizo Bros features  custom musics  retry system  wall kick,Missing,Missing,nan,nan,nan,nan,nan,nan
