,genres,id,name,platforms,summary,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
0,"[8, 31]",275620,The Legend of Zelda: The Mini Quest,[19],This hack is based on The Legend of Zelda The Wind Waker with references from other games of the franchise Now go save Zelda once again,Missing,Missing,,,,,,
1,"[9, 15, 35]",274483,Brawl Chess: Fantasy Edition,[130],Missing,Missing,Missing,,,,,,
2,[8],273533,Super Mario World Master Quest Reborn,[19],When Peach and Bowser share a magical cake they fuse into Bowsette Now Mario has to search the land of Grale to find the eight pieces of the Triforce to wish the enchantment away,Missing,Missing,,,,,,
3,Missing,263393,Dragon Ball FighterZ: Android 21 - Lab Coat,[130],Missing,Missing,Missing,,,,,,
4,[4],255783,Smash Remix: Version 1.1.0,[4],The first postbeta update for Smash Remix added Sonic the Hedgehog and Classic Sonic as a new playable character new stages including some based on the Sonic the Hedgehog franchise among others and new features and modes like the Home Run Contest,Missing,Missing,,,,,,
5,[31],255374,Super Metroid CRE,[19],Missing,Missing,Missing,,,,,,
6,[8],249550,Celeste.smc,[19],A Super Mario World rom hack created to reproduce Celestes mechanics,Missing,Missing,,,,,,
7,"[12, 31]",246582,Final Fantasy VI: Ted Woolsey Uncensored Edition,[19],Back when Final Fantasy VI Final Fantasy III US was released the game was heavily toned down censoring graphics and the like When it was rereleased for the Playstation the graphics were uncensored but toned down script remained Then came Final Fantasy VI Advance with a newer though some consider drier translation but the color palette and music were altered for the handheld console Others have made retranslations such as the great work by RPGOne Lina Darkstar and Kwhazit  Now this is Final Fantasy VI Ted Woolsey Uncensored Edition The goal was to make the SNES version uncut and to clean up the script but keep the nuance used by Woolsey in the original games release Using the original Woolsey script as a basis to analyze the entire game was looked through line by line using FFVI Advance RPGOne and Lina Darkstar to accomplish this Recently the games script was also heavily analyzed by Kwhazit and Mato Legends of Localization With these newer and more heavily detailed looks into the game the script was again updated to provide a much more accurate version while still remaining true to the original games release  Also used was various tools and patches to uncensor the graphics restore Character Class names extend spell names rename monsters and items and make hopefully the version of Final Fantasy VI that everyone will play  Any bug fixes or additions that were used were chosen not for any balance changes but to fix persistent issues in the game as to not change the experience of the original too much This even includes the long list used in the optional BugFix versions of the game  Additional AddOns are also optionally included These tweaks bring an overall complete experience that many would say should have been in the original game to begin with  The Music Player included with the game has been altered for compatibility with Ted Woolsey Uncensored Edition,Missing,Missing,,,,,,
8,Missing,246037,Groove Coaster: Wai Wai Party!!!! - Hit Song + VTuber Pack 3,[130],Missing,Missing,Missing,,,,,,
9,Missing,246035,Groove Coaster: Wai Wai Party!!!! - Vocaloid Pack 6,[130],Missing,Missing,Missing,,,,,,
10,"[13, 32]",223576,Farm Together: Wedding Pack,[130], New crop Mint  New flower Bleeding Heart  New decorations Wedding Guestbook Wedding Bench Wedding Chairs Wedding Sign  Two new outfits with four different skins  Two new hairstyles  New backpack  New earrings  New house Love Nest  New house decorations Wedding Chair Wedding Table Wedding Sofa Canopy Bed Wedding Window Heart Ceiling Lamp Wedding Cake Heart Carpet Romantic Notes Wedding Flower Vase  New house wall  New house floor,Missing,Missing,,,,,,
11,"[13, 32]",223573,Farm Together: Candy Pack,[130], New crop Stevia  New flower Candy Cane Sorrel  New tree Cotton Candy Tree  New road Cookie Path  New fences Wafer Fence and Lollipops  New building Cake Shop  Two new outfits with four different skins  Two new hairstyles  New backpack  New house Candy House  New house decorations Cream Window Chocolate Table Pancake Carpet Cream Nightstand Chocolate Nightstand Ice Cream Lamps Ice Cream Sofa Cake Bed  New house walls  New house floors,Missing,Missing,,,,,,
12,Missing,223566,3 in 1: Multiplayer Bundle,[130],Pack of three multiplayer games  Overlanders  Retro Game Pack  Multi Quiz,Missing,Missing,,,,,,
13,[8],223087,Super Depressed Bro...,[18],Super Depressed Bro is as the title suggests a game about depression There are 8 levels that can be played in any order but none of them have victory conditions In other words there is no way to beat anything Each level has an item that you can collect but the items are best thought of as souvenirs,Missing,Missing,,,,,,
14,[8],222744,domenyX Generations,[19],domenyXs 5th birthday as a streamer is coming Time to prepare a big party for their subscribers  Things are going well and then XYNEMOD is back with an evil plan to take over all the worlds by dragging both domenyXs from different worlds into the mysterious TIME DIMENSION  Enjoy 30 exits and nostalgic boss battles based on the previous domenyX hacks series across many different worlds You can play with two different versions of domenyX classic and modern by playing with a friend on TWO PLAYER MODE  What mysteries await the domenicis on this journey Good luck,Missing,Missing,,,,,,
15,[12],221266,Atelier Sophie 2: The Alchemist of the Mysterious Dream - Digital Deluxe Edition,[130],Missing,Missing,Missing,,,,,,
16,"[5, 8]",219088,Mega Man 3 Improvement,[18],This is an improvement patch for Mega Man IIIRockman 3 It has many improvements to the game  MANY bugfixes that existed originally in MM3,Missing,Missing,,,,,,
17,[8],219079,DKC New Competition Cartridge,[19],A new take on the DKC Competition Cartridge to run through some new levels  10 points for all balloons and enemies for balance,Missing,Missing,,,,,,
18,Missing,219078,Dennis the Menace Redux,[19],Dennis the Menace Redux is an overhaul patch to Dennis The Menace on Super Nintendo Its primary goal is to balance difficulty add several new mechanics and an SRAM function  Changes from the base game  Only Three Big Coins needed to complete a stage Excluding Autoscroll stages only 1 is needed Timer resets to 999 after losing a life Weapons now one hit kill lesser enemies Less invincibility time for bosses Completing sewers 3 will take you to Sewers boss Carry coins over to next level and between lives Collect 49 small coins and Dennis receives full health 1 Big Coin 1 Extra Life and 1 Extra Continue Game saves with SRAM SRAM Saving Game saves at the start of every level,Missing,Missing,,,,,,
19,"[8, 31]",219044,Marioblade Chronicles 64,[4],Marioblade Chronicles 64 is a hack made for Simpleflips Crossover themed competition It is a single level reimagining of Xenoblade Chronicles first area Colony 9,Missing,Missing,,,,,,
20,[8],215206,Umokay 64 DS 3: Travel in Time,[20],Umokay 64 DS 3 is the third installment of the Umokay 64DS series it is a series of minihacks each containing several levels to explore and a custom final boss to offer Each installments story is a follow up to the previous  It is a hack of Super Mario 64 DS based on a discord emote called umokay and its many variations,Missing,Missing,,,,,,
21,[8],215166,Ztar Attack: Mario Escape from the Jail - Definitive Edition,[4],Mario Escape from the Jail  Definitive Edition is a ROM hack which contains 5 main courses and several side courses to explore and 50 collectable stars This hack is a remaster of the original Escape from the Jail made in 2016 This marks the second hack contributed in remaking a game of the Ztar Attack series as well as the third game not made by the original creator the first being Forest Ruins Rebooted the second being Ztar Attack Rebooted  Following the story this game unfolds as a prequel to Ztar Attack under the brand Ztar Attack 05 Unlike Ztar Attack Rebooted the game uses the original level layout but key sections are condensed by quality standards  visuals and exploration alike Plus newer gameplay tech and custom assets are implemented,Missing,Missing,,,,,,
22,"[7, 9]",213223,Hatsune Miku Connecting Puzzle Tamagotori: Snow Miku 2022,[130],The new stages have SNOW MIKU themed eggs birds and berries The birds in the puzzles are SNOW MIKU themed as well Collect exclusive berries to find SNOW MIKU design birds and birds with special items,Missing,Missing,,,,,,
23,[31],213041,The Legend of Zelda: Perils of Darkness,[18],This hack is truly a brand new Zelda experience and one that is unrecognizable next to the original game This hack is very nonlinear as the dungeons are not numbered in quest 1 The dungeons can be beaten in numerous random orders Any region can be explored from the start and players can get a good advantage early on by venturing to certain areas first The second quest is the total opposite and is entirely linear There is no possible way to beat the dungeons out of order Just know that if Darknuts or Wizzrobes are seen in the beginning then save that dungeon for after the others Play wisely exploration is rewarded,Missing,Missing,,,,,,
24,"[5, 7, 9, 15, 32]",209355,Touhou Spell Bubble: Liz Triangle Song Pack,[130],To celebrate ten million views weve included the hit track Who Killed UNOwen uncut and changedup in tempo Weve also included an alloriginal Touhou Gouyoku Ibun arrangement of the tune Yok,Missing,Missing,,,,,,
25,Missing,208043,3 in 1: Logical Bundle,[130],Pack of three logic games,Missing,Missing,,,,,,
26,"[10, 13, 14]",203721,Mudness Offroad Car Simulator,"[39, 48, 130]",Mountain adventure of offroad suv are showing more suvs in 4wd for offroad 4 x 4 offroad is new off the road for best simulation game Extreme offroad driving experience,Missing,Missing,,,,,,
27,Missing,201018,Sol Cresta: Dramatic DLC,[130],Stand up Sol Cresta and take back the sun from the clutches of evil The galaxysized Sol Cresta Dramatic Mode has docked,Missing,Missing,,,,,,
28,[12],199870,Atelier Sophie 2: The Alchemist of the Mysterious Dream - Ultimate Edition,[130],Missing,Missing,Missing,,,,,,
29,Missing,199869,Gunvolt Chronicles: Luminous Avenger iX 2 - Special DLC Boss: Yang Yumo,[130],Adds the VS Yumo mission to the base mission select menu Select this mission to go into battle against Yang Yumo from Dusk Diver 2,Missing,Missing,,,,,,
30,[5],199868,Sol Cresta: Dramatic Edition,[130],Dock split and form up Pilot 3 fighters and take back the sun from the clutches of evil with this Sol Cresta bundle that offers both the slick and speedy gameplay of the main games Arcade Mode and the densely woven story and unique case of Dramatic Mode,Missing,Missing,,,,,,
31,"[15, 24, 31, 32]",199854,Roguebook: Fugoro - Merchant of Wonders,"[6, 130]",Mischievous greedy an expert with a staff This triton has more than one trick up his sleeve Recruit Fugoro a new playable hero and unlock 50 new cards talents and treasures to combine to defeat the Roguebook,Missing,Missing,,,,,,
