,genres,id,name,platforms,summary,storyline,main,extra,completionist,review_score,review_count,people_polled
0,"[9, 13, 15, 31]",275999,Pizza Bar Tycoon: GOTY Edition,[130],Missing,Missing,,,,,,
1,"[4, 12, 31]",275998,For a Vast Future: Extended Edition,[130],Missing,Missing,,,,,,
2,"[4, 15, 31]",275997,Mixx Island: Remix Plus - Legendary Edition,[130],Missing,Missing,,,,,,
3,"[10, 13, 14]",275938,Extreme Skyway Racer Simulator,[130],Missing,Missing,,,,,,
4,[8],275900,Rogue Glitch Ultra,[130],Missing,Missing,,,,,,
5,Missing,275899,My Time at Sandrock: Super Furniture Pack,[130],Missing,Missing,,,,,,
6,"[15, 33]",275898,Smash Balls,[130],Missing,Missing,,,,,,
7,Missing,275896,The Dark Eye Bundle,[130],Missing,Missing,,,,,,
8,[31],275891,Burning Secrets: A Bara Visual Novel,[130],Missing,Missing,,,,,,
9,"[9, 31]",275890,Adventure Word: Around the World,[130],World Trip using English words Solve unique and thrilling English word puzzles operated with your fingers and adventure on hundreds of stages around the world,Missing,,,,,,
10,[9],275889,MechanixMind: IQ Puzzle Adventure,[130],Dive into a world where physics reigns and every level offers endless possibilities,Missing,,,,,,
11,Missing,275887,The Smurfs: Learn and Play,[130],Discover the world and learn by playing with Smurfs,Missing,,,,,,
12,"[10, 13, 14]",275886,Truck Simulator Collection,[130],Heres the biggest truck collection youve been waiting for Hop behind the wheel choose a mission and deliver your clients cargo on time,Missing,,,,,,
13,[33],275809,Arcade Archives: Shao-Lin's Road,[130],Take down the evildoers and avenge your kungfu master,Missing,,,,,,
14,"[8, 33]",275681,The Great Battle of Shark Monkey Squirrel Dinossaur Bird Bee,[130],This is a story that has never been told before,Missing,,,,,,
15,"[10, 13, 14]",275679,Drag Racing Car Simulator,[130],Are you ready to prove your skills and become the ultimate racing champion,Missing,,,,,,
16,"[12, 13, 31, 32]",275677,Bem Feito,"[6, 48, 49, 130, 167, 169]",Bem Feito is a Life Sim where players follow Reginaldo a charming and almost silent protagonist Reginaldos simple life revolves around his daily household tasks captivating friends and perhaps unexpected choices that subtly shape the course of the game,Missing,1.5,1.75,2.25,90.0,2.0,4.0
17,Missing,275617,Nickelodeon All-Star Brawl 2: Costume Pack,[130],Style up your brawl with this additional pack of ultimate costumes Featuring a bonus costume for every brawler in the game,Missing,,,,,,
18,[4],275498,Nickelodeon All-Star Brawl 2: Ultimate Edition,"[49, 130, 169]",Duke it out with the biggest and best fighting character roster yet This Ultimate edition contains the following content  Full Base Game  Season Pass Content  4 additional brawlers  Bonus SpongeBob Squarepants The Quickster Costume  A bonus costume for every brawler,Missing,,,,,,
19,[4],275497,Nickelodeon All-Star Brawl 2: Deluxe Edition,"[49, 130, 169]",Nickelodeon AllStar Brawl 2 lets you duke it out with the biggest and best fighting character roster yet This Deluxe edition contains the following content  Full Base Game  Season Pass Content  4 additional brawlers  Bonus SpongeBob Squarepants The Quickster Costume,Missing,,,,,,
20,[31],275147,My Time at Sandrock: Deluxe Edition,[130],Celebrate the ultimate My Time at Sandrock experience with the exclusive Bundle,Missing,,,,,,
21,"[5, 12, 15]",275141,Fortnite: Chapter 4 - Season OG,"[6, 34, 48, 49, 130, 167, 169]",Drop in the original Island once again in Fortnite Battle Royale Chapter 4 Season OG Throughout Fortnite OG each major update will bring a different phase of Battle Royales past starting with Chapter 1 Season 5 That means Shopping Carts ATKs the Assault Rifle Pump Shotgun and more in both Battle Royale and Zero Build  Go back in time Season by Season Some of the unvaulted gear in each update will remain for that update be in more than one update or stay for the rest of Fortnite OG,Missing,,,,,,
22,"[12, 13, 31, 32]",275106,My Time at Sandrock: Interior Decorator Pack,[130],Contains 8 floor designs 8 wallpapers and 4 roof designs to build your perfect home,Missing,,,,,,
23,"[12, 13, 31, 32]",275079,My Time at Sandrock: Far East Furniture Pack,[130],Contains 10 elegant pieces of Orientalstyle furniture,Missing,,,,,,
24,"[12, 13, 31, 32]",275077,My Time at Sandrock: Pet Pack - Lil Gecko,[130],Travel to the desert community of Sandrock and take on the role of a fledgling Builder Use your trusty toolset to gather resources construct machines and turn your rundown workshop into a welloiled production facility to save the town from the jaws of economic ruin,Missing,,,,,,
25,"[12, 13, 31, 32]",275076,My Time at Sandrock: Cute Critter Furniture Pack,[130],Contains 10 cute pieces of furniture inspired in design by animals,Missing,,,,,,
26,Missing,275060,The Smurfs 2: The Prisoner of the Green Stone: Corrupted Outfit / Farmer Outfit / Adorable Outfit,[130],Missing,Missing,,,,,,
27,Missing,275057,My Time at Sandrock: Builders Beach and Ball Clothing Pack,[130],Missing,Missing,,,,,,
28,[33],275051,Hole io: Freak Edition,[130],Missing,Missing,,,,,,
29,Missing,275050,Catan: Console Edition - Championship Maps,[130],Missing,Missing,,,,,,
30,[33],275049,Paper io 2: Animals Edition,[130],Missing,Missing,,,,,,
31,"[13, 14, 33]",275048,Moto Rush GT: Platinium Edition,[130],Missing,Missing,,,,,,
32,"[5, 15]",275047,Zombie Defense: Definitive Edition,[130],Zombie Defense Definitive Edition is a bundle of the main game with 6 DLC packs included that unlock extra weapons character boosting skins and some additional currency for unlocks,Missing,,,,,,
33,Missing,275046,Gungrave G.O.R.E: Ultimate Enhanced Edition - Harry Macdowel,[130],Missing,Missing,,,,,,
34,Missing,275045,Catan: Console Edition - The Helpers,[130],Missing,Missing,,,,,,
35,"[9, 31, 33]",275043,Erogods: Olympus,[130],Erogods Olympus  is a dating simulator with feminized Greek gods,Missing,,,,,,
36,"[15, 33]",275042,World War: D-Day Part One,[130],Part 3 of a Reality single play FPS game set in World War II The upcoming operation is DDay on the beaches of Normandy Defeat your enemies and get your weapons,Missing,,,,,,
37,"[10, 13, 14]",275036,Polyturbo Drift Racing Simulator,"[6, 130]",Polyturbo Drift Racing Simulator offers a heartracing blend of simulation and racing providing hours of excitement for players of all skill levels This game promises thrilling competition and intense action Take the wheel and prove youre the ultimate racing champion,Missing,,,,,,
38,"[13, 15]",275035,Village Tycoon: Farm City Simulator,[130],Village Tycoon Farm City Simulator is a fun and addictive farming simulation game that challenges players to develop their farming capabilities and turn their small village into a bustling metropolis With beautiful and fun buildings expansions and a variety of crops to grow players must manage their farmfields produce goods and deliver orders to their citizens and neighbors to keep them happy and earn cash and XP,Missing,,,,,,
39,"[10, 13, 33]",275034,Rally Racing: Cars & Drift Mania,[130],Rev up your engines in Rally Racing,Missing,,,,,,
40,"[7, 9]",275033,Cats on Streets,[130],Cats on Streets invites players to spot and uncover hidden feline friends in cities like Tokyo Paris and London Unleash your inner detective and embark on this charming cathunting adventure,Missing,,,,,,
