first_release_date,genres,id,name,platforms,summary,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
734054400,[14],48220,Pro Sport Hockey,[18],Pro Sport Hockey is an Ice Hockey game developed by TOSE and published by Jaleco Entertainment which was released in 1993,Missing,Missing,0.0,0.0,0.0,68.0,2.0,0.0
734832000,[31],48168,Mickey's Safari in Letterland,[18],Endlessly entertaining MICKEYS SAFARI IN LETTERLAND is a delightful way to help children improve important early recognition skills as they have fun with Mickey and his Disney pal Goofy 6 Exciting animated worlds of adventure await all who join Mickey on his safari to find the lost letter tablets and return them to the museum Hidden surprises are scattered throughout each levelincluding rare alphabet jewels that spell out words and add extra challenge to the fun,Missing,Missing,0.35,0.84,1.35,49.0,11.0,15.0
735523200,[14],44453,International Tennis Tour,[19],International Tennis Tour is a video game about tennis and being an international superstar There are practice exhibition and career mode where the player is given a generous number of dollars and must compete on the world tennis circuit in order to gain more money,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
735523200,[5],42653,Operation Logic Bomb,"[19, 58, 306]",The best scientists in the world have been working for years on the Subspace Particle Transfer Project a process that uses subspace transporters to dematerialize an object then instantly rematerializes it at another location Short distance transfers of individuals have also been successful and the scientists were about to begin longrange transport experiments  However contact with the research laboratory has been lost Someone  or something  has taken over the facility and shut down all outside communications There is no information about the intruders or their capabilities no one has entered the facility and returned to tell about it Plans for a final assault have been prepared and if it fails there will be no choice but to destroy the entire installation Agent Logan who has been fitted with bioelectronic implants that give him superior strength reflexes and anlystical abilities has been briefed on all aspects of the mission Now its up to him to infiltrate the lab neutralize the intruders and rescure the scientists,Missing,Missing,1.47,0.0,10.0,63.0,15.0,17.0
734313600,[4],38432,Street Combat,[19],KNOCKOUT ACTION FOR 2 PLAYERS AT ONCE  Your MissionSeek out and destroy a group of ruthless villains wholl stop at nothing to wipe you off the map Each brutal renegade is a wizard at martial arts and trick moves You must battle six deadly foes until you confront your greatest challengetheir master the diabolical CJ  Punch leap somersault and kick your way over skyscraper beams through the jungle gritty back alleys a wrestling ring the top of a truck and more Youve never punchedup so much pure action and exciting game play,Missing,Missing,0.23,0.0,0.0,40.0,1.0,1.0
733708800,[13],5351,Aerobiz Supersonic,"[19, 29, 58, 306]",You have just been elected as the CEO of a brand new airline company that must compete against 3 other airlines for global dominance Set up new routes buy businesses and manage all your resources including planes cashflow and company representatives  The basic premise of the game is the same as that of the original Aerobiz but this time you have more planes to choose from more city airports spanned over 7 different global regions and 4 different time period scenarios complete with historically accurate political relationships and events  Do you have what it takes to make your company fly high Or will it crash and burn,Missing,Missing,7.18,21.35,0.0,80.0,3.0,3.0
735523200,"[8, 31]",6488,Disney's DuckTales 2,"[18, 99]",Scrooge McDuck is hot on the trail of the richest adventure ever Pieces to the map of the Lost Treasure of McDuck have been scattered across the globe and Scrooge must find them before the greedy Flintheart Glomgold grabs them Its going to be a race to the finish as both of them try to find the treasure and become the richest duck in the world Join Scrooge and his nephews as they explore the ancient pyramids of Egypt and do battle with swashbuckling pirates in the Bermuda Triangle Help them search the haunted halls of an ancient Scottish castle and scale the watery heights of Niagara Falls Aid Scrooge in his quest for the secret of the island of Mu and youll gain the final clue to unravel the hidden location of the Lost Treasure of McDuck,84.51539242241279,As the game opens Huey runs to his uncle Scrooge McDuck with a torn piece of paper which is a piece of a treasure map drawn by Fergus McDuck Inspired to discover the hidden treasure left by Fergus Scrooge starts an expedition to find the missing pieces unaware that his archenemy Flintheart Glomgold is also after the lost treasure of McDuck  Scrooge travels to Niagara Falls a pirate ship in the Bermuda Triangle Mu Egypt and Scotland Each area has its own unique treasure that is guarded by a boss After all five main stages are cleared Webby is kidnapped by Glomgold and held for ransom on the pirate ship in the Bermuda Triangle Scrooge arrives and gives Glomgold the treasures only to discover that this Glomgold is actually a shapeshifting robot called the D1000 programmed to destroy him After the D1000 is defeated Glomgold sinks the ship and tries to take Scrooge and the treasures with it,nan,nan,nan,nan,nan,nan
736041600,"[8, 9, 15]",454,The Lost Vikings,"[19, 58]",The Lost Vikings is a puzzleplatform video game developed by Silicon  Synapse now Blizzard Entertainment and published by Interplay  The game features infinite opportunities of retries in case the player loses one of the Vikings  In 2015 The Lost Vikings were added as a playable hero in Heroes of the Storm allowing players to control the three Vikings as individual units making a unique departure from the typical heroes available  Character abilities  All three Vikings Erik Baleog and Olaf have three health points which they can lose by getting hurt by enemies or by falling from great heights and the ability to carry and use items mainly keys bombs and food which restore health points Each of the Vikings has a unique set of abilities  Erik can run faster than the other two can jump and can bash through some walls and enemies with his helmet Baleog can kill enemies with his sword or from a distance with his bow and a lifetime supply of arrows The bow can also be used to hit switches from a distance Olaf can block enemies and their projectiles with his shield and use his shield as a hang glider Olafs shield can also be used as a stepping stone for Erik to enable him to reach higher ground which would not be possible without the shield,76.27454167791092,The three Vikings gets kidnapped by Tomator emperor of the alien Croutonian empire for an intergalactic zoo and becomes lost in various periods of time After escaping through the airlock of the spaceship they must traverse various bizarre locations to find their way back home,10.15,13.81,16.64,75.0,58.0,41.0
733795200,[12],11617,Breath of Fire,"[19, 24, 41, 58, 137]",Recognized by Capcom as their first traditional roleplaying video game Breath of Fire would set the precedent for future entries in the series and features character designs by company head of development Keiji Inafune as well as music by members of Capcoms inhouse sound team Alph Lyla In 2001 the game was rereleased for the Game Boy Advance handheld system with new save features and minor graphical enhancements with the English version being released in Europe for the first time  Set in a fantasy world Breath of Fire follows the journey of a boy named Ryu one of the last surviving members of an ancient race with the ability to transform into mighty dragons as he searches the world for his sister During his quest Ryu meets other warriors who share his quest and comes into conflict with the Dark Dragon Clan a militaristic empire who seeks to take over the world by reviving a mad goddess The game experienced mostly positive reception upon release and was followed by a direct sequel Breath of Fire II in 1994,72.85084976018979,Missing,28.14,30.0,30.54,68.0,183.0,151.0
735955200,"[9, 15]",3450,Super Bomberman,"[19, 55, 58, 306]",Super Bomberman is the first video game in the Bomberman series to appear on the Super Nintendo Entertainment System It is also the first fourplayer game to be released on the Super NES,71.32225836390725,Far to the north of BomberMans hometown Peace Town lies the modern metropolis Diamond City There the evil Carat Diamond and his cohort scientist Dr Mook are holding a Robot Tournament with robots specially designed for their combat and offensive capabilities Hoping to steal BomberMans advanced combat capabilities Diamond has created a fake BomberMan to go to Peace Town and kidnap the real BomberMan Aware of Diamonds plot Black BomberMan heads out alone to face the fake BomberMan But Black BomberMan is defeated and his castle is taken Somehow Black BomberMan escapes and seeks refuge with White BomberMan and warns him of Diamonds evil plan Soon wave upon wave of enemy robots begin their advance toward Peace Town Now our two heroes must join forces to overthrow the evil Diamond,2.0,3.26,3.7,75.0,90.0,63.0
