,genres,id,name,platforms,summary,rating,main,extra,completionist,review_score,review_count,people_polled
0,[14],185992,Jikkyou J.League Perfect Striker,[4],Jikkyou JLeague Perfect Striker is the Japanese version of the International Superstar Soccer 64 Instead of international teams it had JLeague teams,Missing,,,,,,
1,[35],85994,Mahjong Master,[4],Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
2,"[9, 14]",60587,Special Tee Shot,"[19, 58, 306]",Scrapped Super Nintendo game that was reworked into Kirbys Dream Course The game was later released for one week on the Satellaview,Missing,0.0,0.0,0.0,0.0,0.0,0.0
3,"[15, 33]",49081,Bomberman GB 3,"[33, 37]",The 11th planet of Bomber Nebula named Owen faces a sudden earthquake Deep within its underground the terrible Evil Bomber had been trapped for ages He finally rises to power and steals the Bomber Capsules from Bomberman Bomberman and his friends then vow to take back the Capsules and defeat Evil Bomber  This game was only released in Japan It is the last game in the Bomberman GB trilogy and features the appearance of a few new characters like Cutie Bomber,Missing,1.82,0.0,0.0,80.0,1.0,1.0
4,[8],48569,Peach & Daisy: The Royal Games,[18],Peach  Daisy The Royal Games is a hack which allows you to play as Peach or Daisy in Super Mario Some of the enemy sprites have been redesigned and all the levels have been redone,Missing,,,,,,
5,"[13, 31]",47748,Wonder Project J2: Corlo no Mori no Josette,[4],Wonder Project J2 takes place 15 years after the events of the first Wonder Project J game and focuses on a gijin robot girl named Josette The game begins with Josette leaving her home on Corlo Island and traveling to Blueland where she must learn to behave like a human and ultimately stop an empire from destroying the world,Missing,,,,,,
6,[8],4455,Izzy's Quest for the Olympic Rings,"[19, 29]",Izzys Quest for the Olympic Rings is the official game of the mascot of the 1996 Olympic Games in Atlanta As the name suggests Izzy must find the five Olympic rings hidden by the guardians so that Izzy does not take them to his world  The game plays a lot like Mario games to eliminate an opponent Izzy must jump over his head There are two jumps available the ball jump suitable for height and the hurdle jump suitable for distance Both allow Izzy to clear an enemy but the second harms himIf Izzy is hit then he must find three medals or at the next hit he loses a life There are some extra objects like Olympic torches and eggs that hatch either objects for bonus points trampolines or morph points to reach otherwise inaccessible areas or traps Izzy can also morph into a glider a baseball player an archer or a rocket among others to overcome some sections of the levels  Graphics and sound remain faithful to the cartoony origins of the mascot,Missing,0.0,0.0,0.0,50.0,1.0,0.0
7,[10],2342,Mario Kart 64,"[4, 5, 41]",Mario Kart 64 is the second main installment of the Mario Kart series It is the first game in the series to use threedimensional graphics however the characters and items in this game are still twodimensional prerendered sprites The game offers two camera angles and three engine sizes 50cc 100cc and 150cc Each kart has distinctive handling acceleration and top speed capabilities Shells that you fire at rival racers Bananas that make them skid out and Lightning Bolts that make them small and very slow are just a few of the games unique powerups,82.24095234392377,4.79,11.37,18.89,79.0,602.0,255.0
8,"[8, 31]",24979,Disney's Pocahontas,"[19, 29]",Disneys Pocahontas is a platform game based on the film of the same name The Sega GenesisMega Drive version was developed by Funcom Oslo on contract with Disney and was released on January 1 1996 It was followed by a later version for the Game Boy developed by Tiertex Design Studios and released on June 10 1996 nearly a year after the films premiere,78.10424138330472,1.83,0.0,2.07,74.0,14.0,7.0
9,[10],3595,San Francisco Rush: Extreme Racing,"[4, 7, 52]",San Francisco Rush Extreme Racing is the first game in the Rush series Tne N64 version contains six regular tracks and two hidden tracks The regular tracks can be run in either reverse or mirrored modes and feature added collectible hidden keys throughout the track that can be used to unlock hidden vehicles It also contains a Practice Mode and a Death Race mode where the game ends if the player crashes The N64 port of Rush also includes a Circuit Mode and a save system for Fast Times circuit progress and hidden keys that the player can find on secret spots to unlock new cars,71.9713485112562,11.33,16.5,17.83,70.0,14.0,13.0
10,"[8, 9]",4402,The Smurfs Travel the World,"[19, 29, 33, 35, 64]",Night falls at the Smurf Village Inquisitive Smurf brings Smurfette along to Papa Smurfs laboratory to see the Magic Crystal that allows them to travel to anywhere in the world but suddenly Smurfette breaks it and they are gone Now they must face the challenges in all continents in order to retrieve all shards of the Crystal and return home In the Master System and the portable versions of this game there is also the additional task of cleaning the various regions of the world that the two Smurfs visit of its pollution,50.71953873231369,1.56,0.0,0.0,53.0,3.0,2.0
