first_release_date,id,name,platforms,summary,genres,storyline,rating,main,extra,completionist,review_score,review_count,people_polled
1041292800,274992,Hi-5: Fun Club,[6],Hi5 Fun Club is a PC CDROM game for Hi5,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,273902,100+ Great Games: Volume II,[6],100 Great Games Volume II is a collection of just over one hundred casual games The games are grouped into four categories Action Board Puzzle and Cards,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1038873600,273178,Jungle Tour,[6],Duke is sent into a jungle to find a research center overrun by those alien scumbags,[5],Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,271389,Bug Busters,[6],Missing,[5],Missing,Missing,nan,nan,nan,nan,nan,nan
1040515200,268865,Die Bücher Luzifers,[6],Die Bücher Luzifers is the second game of German RPG Maker developer Kelven and is yet another horror game While influcenes of Silent Hill and Resident Evil do exist in this one theyre more subtile and the plotline and world do feel a lot more unique then in the first game,[31],Private detective John is visited by a woman entering her office with another job She is concerned about the company her husband has been working with in the past and thinks that they maybe involved in some illegal operations Quite the ordinary job John proceeds to go to the office building of the company but as soon as he enters he notices that not a single person is there However he is not alone and is soon confronted by various monsters roaming the hallways While this is already a strange occurance he is later tasked by another mysterious man to bring him a even more mysterious book A book written by Lucifer himself,Missing,nan,nan,nan,nan,nan,nan
1041292800,266711,Sonic 2099,[6],2002 the year Sonic 2099 was released on Windows Made and self published by TGF Team this action game is available for free,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,266569,Afritis,[6],2002 the year AfriTris was released on Windows Made by gaimplay and published by gaimplay this falling block puzzle game is available for free on this page,[9],Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,264371,3D Monster Maze,[6],A fan remake of the classic ZX Spectrum game featuring enhanced mazes items and full color graphics,[33],Missing,Missing,0.23,0.0,0.0,50.0,3.0,2.0
1041292800,261446,Angel Sweet,[6],Missing,[31],Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,259723,Popstars: Deine Chance,[6],Missing,[7],Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,255668,Show da Copa com Estádio 97,[6],Show da Copa com Estádio 97 is a comedic soccer trivia game featuring the cast of the radio program Estádio 97 and questions related to the World Cup,"[14, 26]",Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,251182,Recreational Warfare,[6],RecWar is an action game where the main goal is to destroy as many vehicles as possible To do this you have several weapons and unlimited ammo at your disposal You can play over a network splitscreen against your friends or just kill computer opponents Playing splitscreen and over a network at the same time is also possible handy when youre on the same team RecWar also includes team game and Capture The Flag play modes The Flag isnt just any flag though,"[14, 32, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
1041292800,251044,Cubis,[6],The original release from FreshGames in 2002 Involves the player shooting cubes onto an isometric board in order to make matches of 3 or more and clear them from the board,"[9, 33]",Missing,Missing,0.0,0.0,0.0,70.0,1.0,0.0
1041292800,250902,Air Defence,[6],Missing,"[5, 33]",Missing,Missing,nan,nan,nan,nan,nan,nan
