,id,name,platforms,summary,genres,rating,storyline,main,extra,completionist,review_score,review_count,people_polled
0,269070,Birds On A Wire,[6],Birds On A Wire is a color matching game with small cartoon birds,Missing,Missing,Missing,,,,,,
1,259421,Frontline Force,[6],In Front Line Force the players are divided into two teams Attackers and Defenders The object for the Attackers is to capture various Capture Points spread throughout the map The object for the Defenders is to defend those points Once a point is captured by the Attackers it cannot be taken back The round is over when either the Attackers capture all the Capture Points or when the round time runs out in which case the Defenders win After the a team wins the roles of are switched If you were previously attacking you are now defending and vice versa,[5],Missing,Missing,,,,,,
2,256862,Vae Victus 2,[6],Vae Victus II is an all new level set for Doom 2 utilizing new graphics and music The episode consists of 7 levels of varying themes and difficulty The first Vae Victus was an attempt to honor the traditional gameplay of Alien Vendetta and other classic megawads however VV2 is a more balanced approach that provides challenging battles without the swarms of roaming enemies The architecture is improved over last years offering and is more refined in its concept and design I am a classic doomer at heart so I decided to keep this wad compatible with every source port that allows for limit removing Coop play is also supported as are difficulty settings In addition every map can be beat from pistol starts,[5],Missing,Missing,,,,,,
3,253553,Dollar,[6],In Dollar the player takes the role of a female police officer who has to solve a tough case The murder of Elisabeth Lindberg who has been found in the mens room of a hotel in Stockholm After her fathers death she took over the business much to the disapproval of some employees and relatives Shes also a former model and has been recently divorced from a famous pop star This means there are a lot of suspects around  The player takes the role of the supervisor and never leaves his office  exceptions are the interrogations which he is also responsible for his two assistants are specialised in forensics and general investigations The player gives his orders by stamping fields on the various info sheets eg to to execute a search warrant he opens the house sheet and drags  drops the stamp on the corresponding field After a short while he receives the results in an email  every time new information arrive these can be directly accessed by clicking on a symbol in the upper left corner  The player also has four other tools to his disposal which help him solving the case The phone is used to call three people The managing inspector who gives hints when stuck the district attorney to receive search warrants and a journalist who can give important additional information A special board is dedicated to show the relationships of all suspects to the victim or to each other Here the player also orders the surveillance of a suspect The computer has a timeline of the crime saved which is used to find discrepancies in the statements of the suspects and unaccounted time Finally the map shows all locations which are relevant to the investigation  Before the interrogations the player has to choose up to three topics He often has the choice between a nice and a confrontational statement While the latter may bring more information it can also offend the suspect and lead him to stop the conversation It is however not possible to get stuck because of that,Missing,Missing,Missing,,,,,,
4,240430,Gunster: Rain of Bullets,[6],Gunster Rain of Bullets was a 2D multiplayer action video game created by Koreanbased company NHN who in turn hosted the game using the North American portal named ijji One other version of Gunster exists named Gunstriker Reloaded Bullets and is hosted at Hangame Japan  Gunster Rain of Bullets is a port from a Korean game of the same name and was hosted directly by Hangame which both localizations were shut down Minor differences exist between the two localizations but the biggest difference is that they are managed independently of one another,[5],Missing,Missing,,,,,,
5,221910,Half-Life: The Gate,"[6, 14]",The Gate is a single player modifcation with a difference featuring a 30 plus strong team of voice actors and authentic WWII weaponry and heart pumping classical music,[5],Missing,Missing,,,,,,
6,221803,Half-Life: Soldier,[6],Find a way to enter into the enemy base and destroy it This is your only chance soldier,[5],Missing,Missing,,,,,,
7,218619,Navy SEALs: Covert Operations,[6],Missing,[5],Missing,Missing,,,,,,
8,217567,Poke646: Vendetta,[6],The game puts you once again in the shoes of Damien Reeves now driven by his lust for revenge for all the suffering he had to go through in the original Poke646 Experience exciting locations a new weapon and surprising gameplay innovations,[5],Missing,Missing,1.0,0.0,1.52,0.0,0.0,3.0
9,206912,Championship Horse Trainer,[6],Missing,"[13, 14]",Missing,Missing,,,,,,
10,206832,"Cards, Mahjongg, & Solitaire",[6],Missing,Missing,Missing,Missing,,,,,,
11,144840,The Ghoul's Forest 2,[6],Like the first you are stranded in the middle of a dark forest with a monster somewhere A monster you must kill This time it is a little different however and a lot harder You only have a super shotgun to kill the Ghoul and ammo for the shotgun is scattered around the forest You start in the middle this time and the Ghoul comes from the outside area The new Ghoul Sjas is faster hardly visible and will kill you in a single melee attack He also teleports away when hit You must rely on sound to defeat him as the only way of knowing if he is near is by his signature screaming sound  The Ghouls Forest 2 gained much more attention than the first wad of the series It inspired many people to make spinoffs maps and even their own nonghoul horror wads,[5],Missing,Missing,,,,,,
12,136548,Leisure Suit Larry Collection,[6],5 Complete Games Now playable on todays PCs including for the first time ever Windows XP All the origional risque humor and obscure inside jokes make Larry equally entertaining for older teens and adults Nostalgic point and click gameplay makes Leisure Suit Larry accessible to gamers of any skill level Retrace the steps of 40 something lovable loser Larry Laffer from the original Land of the Lounge Lizards through luxury cruises tropical isles and beyond in search of Miss Right  or at least Miss Right Now All five hilarious games are included for hours of risque play Whatever your age Larry will make you feel better about your love life,[2],Missing,Missing,,,,,,
13,120513,Mahjongg Artifacts,"[6, 39]",A prequel to Mahjongg Artifacts Chapter 2 the Story Mode of Mahjongg Artifacts introduces players to the start of the adventure through graphic comic scenes As players explore five ancient cultures and master more and more complicated Mahjong layouts they will uncover lost relics as well as special tiles that will help them in their quest The Classic mode of the game will allow players to choose which layouts and tile sets they want to complete while Endless Mode constantly produces a neverending arrangement of tiles which will provide a limitless challenge,[9],Missing,Missing,,,,,,
14,92666,Kobold Quest,"[6, 14]",Missing,[12],Missing,Missing,,,,,,
15,92253,Bomberman v1.8,[6],Missing,Missing,Missing,Missing,,,,,,
16,80047,Astro Fury,[6],You are alone against the whole hip of spaceships attacking the planet Their furious attacks dont let you move freely their space supremacy is strong their force is obvious as never before Lots of alien enemies ruled by the monsterboss are here and there is no escape from them in the galaxy Unless you learn the tactics and start to fight with them Pull yourself together dont be scared by the mission and the rivals strength  go ahead and prove you are the one to save the planet from the invaders Astro Fury is an excellent experience for those who adore fighting changing weapons and defeating evil opponents Alone against the huge army What bravery must you have to stop them  still nothing is impossible Youve got the equipment the ship and the talent of an unsurpassed pilot Astro Fury will be a great campaign with furious onslaught aggressive attacks and you must be ready for swift moves and exact shooting Astro Fury contains three skill levels numerous stages that will end with a final battle against the boss You are free to get upgrades  if you fight well enough and destroy many aircrafts Every time you are attacked you need to dodge the bullet the rocket or whatever you are shot with Otherwise the number of lives will be decreased There are 10 big levels with stages inside Each is full of a wide variety of aircrafts that differ in size level of danger and speed You need to adjust to the new types of enemies quickly or you will be the one defeated today,[5],Missing,Missing,,,,,,
17,76980,"Scooby Doo! Case File #3: Frights, Camera, Mystery!",[6],Scooby Doo Case File 3 Frights Camera Mystery is the third in the series of ScoobyDoo themed point and click adventure games by The Learning Company,[31],Missing,Missing,,,,,,
18,73553,Triplane Turmoil II,[6],Missing,[33],Missing,Missing,,,,,,
19,72908,EverQuest: The Serpent's Spine,[6],The Serpents Spine is the twelfth expansion to the popular MMORPG franchise EverQuest,[12],Missing,Missing,0.0,0.0,0.0,90.0,1.0,0.0
20,68962,Undercover: Operation Wintersun,[6],Missing,[31],Missing,Missing,6.22,0.0,0.0,50.0,4.0,5.0
21,63237,Pioneers,[6],Pioneers is an open source rendition of Settlers of Catan,"[15, 16, 35]",Missing,Missing,,,,,,
22,62964,Chomperman,[6],A freeware PacMan clone for PC released in 2005,Missing,Missing,Missing,,,,,,
23,60139,Floatpoint,"[3, 6, 14, 82]",It is night on this side of the planet Settled areas are lit a jagged crescent in the tropics lining the inland sea The bright splatter along the top of the curve is Tanhua as bright from space as New York The north continent is darker sprinkled finely with small lights where the failing climate makes it hard to survive a winter And the northernmost point almost lost on the slope of Mt Cordia is the original Aleheart Colony where the first settlers from Earth landed It is your destination as well A piece of interactive fiction written by Emily Short,[31],Missing,Missing,,,,,,
24,52761,Petka 007: Zoloto Partii,[6],This installment in the longrunning Russian series begins with the titular Petka and his commander Vassilij Ivanovich Chapaev on a ship with their comrade Furmanov reminiscence of a popular story from the times of the Russian civil war of 1918 But as it often happens in video games something goes wrong the young and reckless Petka accidentally teleports the ship into the future namely 1969 The ship collides with Hugh Hefners motorboat Chapaev is unconscious and Petka realizes that the future once again depends only on him  Like the previous games in the series Zoloto Partii The Gold of the Party is a puzzlesolving adventure mainly focusing on inventorybased puzzles Graphically it follows the template introduced in the previous game The title and the setting are an obvious parody on James Bond but the game also pays homage to Leisure Suit Larry Love for Sail also the seventh installment in the famous humorous adventure game series like Love for Sail it is set on a ship and revolves around pleasing young sexy women,[31],Missing,Missing,,,,,,
25,49243,Backyard Sports: Baseball 2007,"[6, 8, 21]",Backyard Baseball 2007 is the fifth iteration of the best selling youth baseball video game of all time and the only kids game to hold the coveted Major League Baseball MLB and Major League Baseball Players Association MLBPA licenses Backyard Baseball 2007 features a roster full of top MLB pros as kids and includes all 30 MLB teams uniforms and logos In addition the games kidfriendly nonviolent format and high level of diversity makes it especially popular with parents,[14],Missing,Missing,,,,,,
26,47410,Company of Heroes: Collector's Edition,[6],Company of Heroes takes you back to World War II where youll guide Able Company through the deadliest battles in WW2s European theatre including the DDay landings at Normandy Through a rich single player campaign players experience the cinematic intensity courage and bravery of ordinary soldiers thrust into extraordinary events Special Collectors Edition with bonus maps and more,[11],Missing,Missing,,,,,,
27,43384,Ford Bold Moves Street Racing,"[6, 8, 11, 38]",This entry in the Ford Racing series sees the racing move onto the streets of Los Angeles with a unique team racing experience included that puts the player in control of their own Ford Racing threecar team allowing them to race and also issue commands to team mates to gain tactical and positional advantage The game showcases 18 fully licensed Ford super cars from the 1970 Mk1 Capri RS1600 through the Ford GT to the 2007 Shelby GT 500,[10],Missing,Missing,,,,,,
28,23779,Safari Photo Africa: Wild Earth,[6],The player acts as a photojournalist in Serengeti National Park and is assigned to photograph various types of animals from hyenas to rhinoceroses,"[13, 31]",Missing,Missing,,,,,,
29,21954,World Championship Poker: Featuring Howard Lederer - All In,"[5, 6, 8, 12, 38]",World Championship Poker Featuring Howard Lederer All In features some of the most recognizable and successful poker stars in the world including Howard Lederer his sister Annie Duke Greg Raymer Amir Vahidi Paul Darden and Robert Williamson III Joining the roster for this years edition are noted international poker superstars Marcel Luske Thomas Bihl and Erin Ness who parlayed a victory at a Maxim Magazine office tournament into a seat at the 2004 World Series of Poker 18 types of poker are featured including Texas Holdem Five Card Draw Seven Card Stud Omaha and more MultiTable Online Tournaments Scenario Mode Players are presented with a series of poker puzzle challenges that gradually increase in difficulty Lucky Charms Players can improve their luck through this Career Mode skill Mixed Games Play two or more variations of poker during a single game with the game changing every time the dealer button makes it around the table,"[14, 16, 35]",Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
30,20561,LMA Manager 2007,"[6, 8, 12]",LMA Manager 2007 is a soccer management game in the LMA Manager series Like its predecessors the game allows players to manage a soccer team Included are teams from over 50 different countries and leagues from 8 of those countries Available are over a 1000 different officially licensed teams The game features an improved database engine and a transfer system with more depth than its predecessors  All matches can be watched in full 3D The AI plays the matches out but it is still possible to make adjustments to player positions and the like It is also possible to see the results of matches and all kinds of player and team statistics in the ingame magazine FootballOne,"[13, 14]",Missing,Missing,0.0,0.0,24.0,0.0,0.0,1.0
31,12200,Sono Hanabira ni Kuchizuke wo,[6],Sono Hanabira ni Kuchizuke o is an adult visual novel and the first game in the Sono Hanabira ni Kuchizuke o series of games The game follows Nanami Oda who is a new freshman in high school However on the first day she ends up in an accident in which a senior student from the school comes to her rescue Ever since that meeting with Yuna Matsubara Nanami just cannot get her mind off of her and later decides to join the student council,"[31, 34]",Missing,Missing,,,,,,
32,9431,Age of Pirates: Caribbean Tales,[6],Age of Pirates Caribbean tales is a completely fully featured piratebased role playing adventure game Offering a rich gaming experience with deep character development and extensive open ended questsAge of Pirates is truly the most advanced and fully featured pirate game ever made Age of Pirates takes full advantage of cutting edge PC graphicaltechnology and boasts a visually stunning 3D setting The storyline offers players a passionate and involved plot without forcing linear play and player will find the game extremely open ended In terms of action the game offers both land and sea battles from bloody sword fights on the Caribbean shores to epic naval battles with squadrons of warships blasting each other out of the water,"[12, 13]",Missing,Missing,9.0,0.0,13.0,75.0,2.0,3.0
33,6932,Cabela's Alaskan Adventures,"[6, 8, 12]",Cabelas Alaskan Adventures is the ultimate hunting and fishing adventure to North Americas last frontier Experience all that Alaska has to offer as you go on 38 hunting and fishing adventures across vast tundra For the first time in one game you will be able to hunt trophy animals fish bird hunt dog sled through the Alaskan Artic and compete in various outdoorthemed contests It will take every ounce of skill and strategy to hunt or catch that recordbreaking trophy Its as truetolife as it gets Go exploring or get to your next hunting spot in a snowmobile truck or ATV All new shooting features and controls including Hunters Sense Gun Sway and Drop Dot Incredibly realistic terrain including vast tundra dense forests river deltas rocky slopes and more,"[5, 13, 14, 31]",Missing,Missing,0.0,0.0,0.0,40.0,1.0,0.0
34,5951,NBA Live 07,"[6, 9, 12]",NBA Live is a series of basketball video games published by EA Sports It is the successor to EAs previous NBA Playoffs and NBA Showdown series Its main competitor is the NBA 2K series,"[13, 14]",93.20362908424636,Missing,5.0,0.0,0.0,58.0,10.0,1.0
35,16983,Dungeon Crawl Stone Soup,[6],Dungeon Crawl Stone Soup is a roguelike dungeon crawler Available as pure ascii or with tile graphics playable offline or as a web version  DCSS lets the player create a hero from a large number of races and classes then sends him off into the dungeon to fetch the Orb of Zot While descending through the dungeon players will encounter a variety of different enemies to kill sneak around or even befriend  The game features very in depth mechanics comparatively simple controls and poses a very hard but fair challenge,"[12, 15]",89.711494485007,Missing,9.77,17.48,0.0,88.0,4.0,7.0
36,654,Company of Heroes,"[6, 39]",Command the company that changed the face of history Battle your way across Europe as your troops make intuitive use of the terrain and buildings for cover and mount attacks on an equally intelligent enemy Your Mission Your Men Your Decisions,"[11, 15]",85.4496301524935,Missing,19.37,25.59,82.23,81.0,229.0,208.0
37,21228,The Chosen: Well of Souls,[6],The Chosen Well Of Souls is an action roleplaying game RPG in a dark period of the 19th century The story revolves around 3 characters Frater Simon Elena and Tong Wong respectively mage thief and warrior who are members of the Mystery Guards Fraternities organizations devoted to exterminating demons and dark forces They are now after an immortal sorcerer Marcus Dominus Ingens who commands armies of demons summoned with the souls of alchemists and is bent on destroying Gods Envoy a powerful being who appears every 200 years,"[12, 25]",84.0,The powerful Sorcerer Marcus Dominus Ingens became immortal after unraveling the mystery of the Philosophers Stone His pride and hunger for power made him eliminate all alchemists whos skills and knowledge equaled his Now he keeps their souls in Golden Tanks and uses them for his evil purposes and controlling infernal forces Whole armies of demons and devils are at his command In order to take control over the world however hed have to destroy the Gods Envoy who resides at the Equilibrium Place  the eternal throne  to which every 200 years comes the being who has the great power of doing good The Gods Envoy is deep meditative state and cannot directly intervene in the situation on Earth Marcus is aware that he is too weak to destroy the Gods Envoy so he sets free hordes of infernal monsters in order to harvest human souls and later keep them in Golden Tanks Each new soul makes Marcus more powerful while the Gods Envoy becomes weaker and weaker And then one day For many years the Mystery Guards Fraternities have trained Hunters to fight the evil Hardbitten well trained in magic and alchemy they traversed the world fighting against the powers of darkness Now their Fraternities need them back to face the whole army of infernal beasts The life of Gods Envoy and the world order are at stakeThe best of the best Frater Simon Elena and Tong Wong prepare to save the Earth ready to risk their lives in the fight against Marcus,0.0,0.0,17.0,45.0,2.0,1.0
